Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-06-22,13.24,23600,-1.2(-4.84 %),1880,44368000,0,0,23600,23600,23600
2011-06-23,13.86,24700,1.1(4.66 %),570,13089000,0,0,22500,24700,22500
2011-06-24,13.86,24700,0(0.00 %),13330,328667000,0,0,23500,24900,23500
2011-06-27,13.19,23500,-1.2(-4.86 %),16310,383285000,0,0,23500,23500,23500
2011-06-28,12.57,22400,-1.1(-4.68 %),1260,28224000,0,0,22400,22400,22400
2011-06-29,11.95,21300,-1.1(-4.91 %),200,4260000,0,0,21300,21300,21300
2011-06-30,11.39,20300,-1(-4.69 %),10,203000,0,0,20300,20300,20300
2011-07-01,11.34,20200,-0.1(-0.49 %),5000,101000000,0,0,20200,20200,20200
2011-07-04,10.78,19200,-1(-4.95 %),110,2112000,0,0,19200,19200,19200
2011-07-05,10.27,18300,-0.9(-4.69 %),4890,89487000,0,0,18300,18300,18300
2011-07-06,9.76,17400,-0.9(-4.92 %),740,12876000,0,0,17400,17400,17400
2011-07-07,9.32,16600,-0.8(-4.60 %),150,2490000,0,0,16600,16600,16600
2011-07-08,8.87,15800,-0.8(-4.82 %),8330,131614000,0,0,15800,15800,15800
2011-07-11,8.47,15100,-0.7(-4.43 %),430,6493000,0,0,15100,15100,15100
2011-07-12,8.08,14400,-0.7(-4.64 %),74560,1073968000,0,0,14400,14800,14400
2011-07-13,8.08,14400,0(0.00 %),26890,388396000,0,0,14400,14600,13800
2011-07-14,7.86,14000,-0.4(-2.78 %),8810,123280000,0,0,14000,14000,13800
2011-07-15,7.46,13300,-0.7(-5.00 %),10020,134356000,0,0,14300,14300,13300
2011-07-18,7.74,13800,0.5(3.76 %),2060,28271000,0,0,13900,13900,13500
2011-07-19,7.52,13400,-0.4(-2.90 %),5620,75400000,0,0,14200,14200,13400
2011-07-20,7.52,13400,0(0.00 %),2570,34433000,0,0,13900,13900,13300
2011-07-21,7.74,13800,0.4(2.99 %),1580,21769000,0,0,13900,13900,13400
2011-07-22,7.41,13200,-0.6(-4.35 %),16790,222195000,0,0,13400,13500,13200
2011-07-25,7.3,13000,-0.2(-1.52 %),4810,63085000,0,0,13500,13500,13000
2011-07-26,6.96,12400,-0.6(-4.62 %),17330,216441000,0,0,12600,13300,12400
2011-07-27,7.3,13000,0.6(4.84 %),2330,29390000,0,0,12000,13000,12000
2011-07-28,6.96,12400,-0.6(-4.62 %),9020,113867000,0,0,13000,13000,12400
2011-07-29,6.68,11900,-0.5(-4.03 %),36110,438359000,0,0,12400,12400,11900
