Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-12-19,36.9,177400,16.1(9.98 %),22000,3902800000,50000,8000000000,177400,177400,177400
2007-12-20,40.59,189800,17.7(9.98 %),37800,7374780000,50000,8000000000,189800,189800,189800
2007-12-21,44.64,208800,19.5(9.99 %),14400,3044240000,0,0,208800,208800,208800
2007-12-24,43.98,211400,0(0.00 %),2800,627790000,0,0,229600,229600,211400
2007-12-25,41.98,201800,-22.4(-9.99 %),6000,1210800000,0,0,201800,201800,201800
2007-12-26,38.4,187700,-17.2(-8.52 %),7800,1418710000,50000,9085000000,187700,187700,187700
2007-12-27,35.36,171700,-11.9(-6.54 %),3500,620300000,0,0,181000,197500,171700
2007-12-28,40.54,181900,17.7(9.99 %),4600,886620000,0,0,170000,181900,170000
2008-01-02,41.6,200000,7.3(3.79 %),7400,1552830000,0,0,208500,208500,200000
2008-01-03,40.77,196000,-13.8(-6.58 %),6800,1318100000,0,0,189000,196000,189000
2008-01-04,40.77,196000,2.2(1.14 %),5100,999600000,0,0,196000,196000,196000
2008-01-07,39.52,190000,-6(-3.06 %),7400,1456500000,0,0,197000,197000,190000
2008-01-08,39.32,189000,-7.8(-3.96 %),8900,1728930000,0,0,196000,197000,180000
2008-01-09,39.52,190000,-4.3(-2.21 %),300,57000000,0,0,190000,190000,190000
2008-01-10,39.52,190000,0(0.00 %),7100,1356770000,0,0,187000,191900,187000
2008-01-11,39.94,192000,0.9(0.47 %),1100,210390000,0,0,190000,192000,190000
2008-01-14,37.55,180500,-10.8(-5.65 %),5300,1015050000,0,0,192000,192000,180500
2008-01-15,39.5,189900,-1.6(-0.84 %),7000,1329300000,0,0,189900,189900,189900
2008-01-16,39.52,190000,0.1(0.05 %),19900,3791700000,0,0,184000,190900,184000
2008-01-17,39.52,190000,-0.5(-0.26 %),32500,6186100000,0,0,193000,193000,186000
2008-01-18,39.73,191000,0.7(0.37 %),37900,7224500000,0,0,188000,192000,188000
2008-01-21,39.94,192000,1.4(0.73 %),30300,5816900000,0,0,193000,193000,190000
2008-01-22,39.94,192000,0(0.00 %),30000,5760000000,0,0,192000,192000,192000
2008-01-23,38.48,185000,-7(-3.65 %),32900,6281000000,0,0,191000,191000,185000
2008-01-24,39.84,191500,0.6(0.31 %),33000,6319500000,0,0,191500,191500,191500
2008-01-25,39.73,191000,-0.5(-0.26 %),30500,5825500000,0,0,191000,191000,191000
2008-01-28,39.46,189700,-1.3(-0.68 %),31400,5955770000,0,0,189700,189700,185000
2008-01-29,39.52,190000,0.3(0.16 %),33200,6407000000,0,0,193000,193000,190000
2008-01-30,39.84,191500,-1.5(-0.78 %),38200,7471480000,0,0,196000,196000,191500
2008-01-31,40.67,195500,-0.1(-0.05 %),36000,7037750000,0,0,195000,195500,195000
