Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2005-12-13,4.24,61500,2.5(4.24 %),47140,2867760,0,0,60000,61500,60000
2005-12-14,4.14,60000,-1.5(-2.44 %),29540,1793130,0,0,61500,61500,60000
2005-12-15,4.07,59000,-1(-1.67 %),34670,2064270,0,0,60000,60000,59000
2005-12-16,4.07,59000,0(0.00 %),6030,355770,0,0,59000,59000,59000
2005-12-19,4.0,58000,-1(-1.69 %),15990,936640,0,0,59000,59000,58000
2005-12-20,3.93,57000,-1(-1.72 %),9640,549610,0,0,58000,58000,57000
2005-12-21,3.83,55500,-1.5(-2.63 %),16710,929905,0,0,56000,56000,55500
2005-12-22,3.79,55000,-0.5(-0.90 %),25980,1428900,0,0,55000,55000,55000
2005-12-23,3.76,54500,-0.5(-0.91 %),16030,873635,0,0,54500,54500,54500
2005-12-26,3.76,54500,0(0.00 %),14190,773355,0,0,54500,54500,54500
2005-12-27,3.72,54000,-0.5(-0.92 %),16670,903670,0,0,54500,54500,54000
2005-12-28,3.65,53000,-1(-1.85 %),26700,1416100,0,0,53500,53500,53000
2005-12-29,3.72,54000,1(1.89 %),28130,1504320,0,0,53000,54000,53000
2005-12-30,3.72,54000,0(0.00 %),23040,1265160,0,0,56000,56000,54000
2006-01-03,3.65,53000,-1(-1.85 %),1000,53000,0,0,54000,54000,53000
2006-01-04,3.65,53000,0(0.00 %),16220,859660,0,0,53000,53000,53000
2006-01-05,3.69,53500,0.5(0.94 %),10600,563950,0,0,53000,53500,53000
2006-01-06,3.69,53500,0(0.00 %),7220,386270,0,0,53500,53500,53500
2006-01-09,3.69,53500,0(0.00 %),2010,107690,0,0,54000,54000,53500
2006-01-10,3.69,53500,0(0.00 %),3450,184575,0,0,53500,53500,53500
2006-01-11,3.65,53000,-0.5(-0.93 %),6850,363800,0,0,53500,53500,53000
2006-01-12,3.62,52500,-0.5(-0.94 %),9220,484050,200000,10700000,52500,52500,52500
2006-01-13,3.65,53000,0.5(0.95 %),15130,799260,0,0,52500,53000,52500
2006-01-17,3.65,53000,0(0.00 %),8030,425590,0,0,53000,53000,53000
