Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2005-07-18,2.7,14500,-0.4(-2.68 %),0,0,0,0,14500,16000,14500
2005-07-20,2.51,13500,-1.4(-9.40 %),0,0,0,0,13500,15500,13500
2005-07-22,2.29,12550,-1.3(-9.56 %),0,0,0,0,12550,12550,12550
2005-07-25,2.07,11450,-1.2(-9.76 %),0,0,0,0,11450,11450,11450
2005-07-27,2.27,11900,1.1(9.91 %),0,0,0,0,11900,11900,11900
2005-07-29,2.5,13050,1.2(9.84 %),0,0,0,0,13050,13050,13050
2005-08-01,2.74,14350,1.3(9.70 %),0,0,0,0,14350,14350,14350
2005-08-03,2.79,15000,0.3(2.04 %),0,0,0,0,15000,15000,15000
2005-08-05,2.76,14800,-0.2(-1.33 %),0,0,0,0,14800,14800,13950
2005-08-08,2.51,13750,-0.1(-0.74 %),0,0,0,0,13750,13750,13750
2005-08-10,2.51,13500,0.1(0.75 %),0,0,0,0,13500,13500,13500
2005-08-12,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2005-08-15,2.51,13500,0(0.00 %),0,0,0,0,13500,14450,13500
2005-08-17,2.57,13800,0.2(1.47 %),0,0,0,0,13800,13800,13000
2005-08-19,2.51,13500,0.5(3.85 %),0,0,0,0,13500,13500,13500
2005-08-22,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2005-08-24,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2005-08-26,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,12550
2005-08-29,2.5,13400,1.2(9.84 %),0,0,0,0,13400,13400,13000
2005-08-31,2.42,13000,-0.4(-2.99 %),0,0,0,0,13000,13500,13000
2005-09-05,2.51,13500,0.2(1.50 %),0,0,0,0,13500,13500,13500
2005-09-07,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2005-09-09,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2005-09-12,2.53,13600,0.1(0.74 %),0,0,0,0,13600,13600,13500
2005-09-14,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2005-09-16,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2005-09-19,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2005-09-21,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
2005-09-23,2.51,13500,0(0.00 %),0,0,0,0,13500,13500,13500
