Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-12-11,13.2,18100,2.3(14.56 %),13600,246160000,0,0,18100,18100,18100
2017-12-12,15.17,19350,2.7(14.92 %),200,4160000,0,0,19350,19350,19350
2017-12-13,15.39,21100,0.3(1.44 %),8600,190490000,0,0,22250,22250,21000
2017-12-14,15.53,21300,-0.9(-4.05 %),14700,317920000,0,0,22000,22000,21300
2017-12-15,15.83,21700,0.1(0.46 %),56300,1213850000,0,0,19800,21900,19800
2017-12-18,16.34,22400,0.8(3.70 %),42900,963160000,0,0,22200,23000,22100
2017-12-19,16.48,22600,0.1(0.44 %),35500,802140000,0,0,22500,22800,22500
2017-12-20,16.19,22200,-0.4(-1.77 %),36200,806810000,0,0,22800,22800,22000
2017-12-21,16.26,22300,0(0.00 %),35300,786720000,0,0,22300,22900,22100
2017-12-22,16.77,23000,0.7(3.14 %),21800,494000000,0,0,22000,23000,21000
2017-12-25,16.77,23000,0.3(1.32 %),33500,769030000,0,0,22800,23200,22700
2017-12-26,17.14,23500,0.5(2.17 %),21800,513370000,0,0,22000,24000,22000
2017-12-27,17.65,24200,0.7(2.98 %),41900,1023160000,0,0,23600,25150,23600
2017-12-28,18.23,25000,0.6(2.46 %),36500,912460000,0,0,24500,25100,24500
2017-12-29,18.38,25200,0.2(0.80 %),30300,764760000,0,0,25100,25500,25100
2018-01-02,17.65,24200,-1(-3.97 %),35100,852600000,0,0,25200,25200,24200
2018-01-03,17.94,24600,0.3(1.23 %),36000,885010000,0,0,24400,24900,24200
2018-01-04,18.23,25000,0.4(1.63 %),31900,797150000,0,0,24700,25200,24600
2018-01-05,17.65,24200,-0.8(-3.20 %),34200,829630000,0,0,25200,25200,24100
2018-01-08,16.99,23300,-1(-4.12 %),42000,982300000,0,0,23500,25000,23200
2018-01-09,16.77,23000,-0.4(-1.71 %),41900,965470000,0,0,23200,23600,23000
2018-01-10,16.85,23100,0.1(0.43 %),40300,931410000,0,0,23000,23900,23000
2018-01-11,16.48,22600,-0.5(-2.16 %),35000,793670000,0,0,23200,23200,22500
2018-01-12,16.7,22900,0.2(0.88 %),33100,753410000,0,0,22700,23500,22500
2018-01-15,16.04,22000,-0.8(-3.51 %),47400,1043840000,0,0,22800,22800,22000
2018-01-16,15.97,21900,-0.1(-0.45 %),58700,1292280000,0,0,23500,23500,21900
2018-01-17,15.83,21700,-0.3(-1.36 %),63600,1384770000,0,0,22100,22200,21700
2018-01-18,14.66,20200,-1.7(-7.80 %),63900,1294320000,0,0,23000,23000,20200
2018-01-19,14.59,20000,-0.3(-1.48 %),58900,1180700000,0,0,20300,21500,20000
2018-01-22,14.66,20100,0.1(0.50 %),74100,1485770000,0,0,21400,21400,20000
2018-01-23,14.73,20200,0.1(0.50 %),69500,1405180000,0,0,21500,21500,20200
2018-01-24,14.8,20300,0.1(0.50 %),75400,1527200000,0,0,20300,20400,20000
2018-01-25,14.88,20400,0.1(0.49 %),82300,1667570000,0,0,20300,20600,20000
2018-01-26,14.59,20000,-0.3(-1.48 %),62100,1243370000,0,0,20400,20400,20000
2018-01-29,14.44,19800,-0.2(-1.00 %),68900,1365220000,0,0,20000,20000,19800
2018-01-30,14.22,19500,-0.3(-1.52 %),66300,1293520000,0,0,19800,19800,19500
2018-01-31,14.29,19600,0.1(0.51 %),69800,1371670000,0,0,19600,20200,19600
2018-02-01,13.86,19000,-0.7(-3.55 %),62300,1195220000,0,0,20000,20000,19000
2018-02-02,14.59,20000,0.8(4.17 %),54500,1089710000,0,0,19300,20100,19300
2018-02-05,13.86,19000,-1(-5.00 %),72800,1393440000,0,0,20000,20000,19000
2018-02-06,13.2,18100,-1(-5.24 %),65900,1193720000,0,0,19100,19100,17900
2018-02-07,13.56,18600,0.5(2.76 %),56600,1049620000,0,0,18200,18700,18200
2018-02-08,13.35,18300,-0.2(-1.08 %),58600,1068660000,0,0,18500,18600,18100
2018-02-09,13.35,18300,0.1(0.55 %),68100,1222390000,0,0,18200,18300,17700
2018-02-12,13.56,18600,0.6(3.33 %),47100,861090000,0,0,18200,18600,18000
2018-02-13,13.56,18600,0.3(1.64 %),31000,576300000,0,0,18400,18600,18400
2018-02-21,13.86,19000,0.4(2.15 %),44900,851360000,0,0,18700,19100,18700
2018-02-22,13.93,19100,0.1(0.53 %),46100,880950000,0,0,19100,19300,19000
2018-02-23,14.08,19300,0.2(1.05 %),59000,1138140000,0,0,19200,19300,19100
2018-02-26,14.29,19600,0.3(1.55 %),57800,1129960000,0,0,19300,19600,19000
2018-02-27,14.29,19600,0.1(0.51 %),38100,745310000,0,0,19600,20000,19000
2018-02-28,13.86,19000,-0.6(-3.06 %),20100,384030000,0,0,19700,19700,19000
2018-03-01,13.93,19100,0(0.00 %),37600,717260000,0,0,19200,19200,18800
2018-03-02,14.0,19200,0.1(0.52 %),40800,783370000,0,0,19200,19300,19200
2018-03-05,14.08,19300,0.1(0.52 %),56200,1083320000,0,0,19200,19300,19000
2018-03-06,14.22,19500,0.2(1.04 %),64400,1255410000,0,0,19300,19500,19300
2018-03-07,14.59,20000,0.5(2.56 %),50500,1007920000,0,0,19600,20100,19500
2018-03-08,14.95,20500,0.5(2.50 %),67800,1387840000,0,0,20100,20600,20100
2018-03-09,15.32,21000,0.5(2.44 %),64400,1344970000,0,0,20500,21100,20400
2018-03-12,15.32,21000,0.1(0.48 %),63600,1330180000,0,0,20900,21000,20300
2018-03-13,15.39,21100,0.2(0.96 %),66800,1405520000,0,0,20900,21300,20700
2018-03-14,15.53,21300,0.3(1.43 %),64200,1361110000,0,0,21000,21400,20800
2018-03-15,15.68,21500,0.3(1.42 %),75500,1616700000,0,0,21200,21600,21000
2018-03-16,15.68,21500,0.1(0.47 %),58900,1267410000,0,0,21500,21600,21500
2018-03-19,15.32,21000,-0.5(-2.33 %),42100,891080000,0,0,21600,21600,21000
2018-03-20,14.8,20300,-0.9(-4.25 %),46700,954390000,0,0,20900,20900,20300
2018-03-21,14.59,20000,-0.4(-1.96 %),43200,867800000,0,0,20400,20400,20000
2018-03-22,13.93,19100,-1(-4.98 %),59800,1171470000,0,0,20200,20200,19100
2018-03-23,15.39,20450,1.5(7.65 %),43400,909470000,0,0,19000,20450,19000
2018-03-26,16.19,22200,1.2(5.71 %),34900,769050000,0,0,21200,22200,21200
2018-03-27,17.14,23500,1.5(6.82 %),37100,861370000,0,0,22000,23500,22000
2018-03-28,17.87,24500,1.3(5.60 %),36400,886860000,0,0,23300,24600,23300
2018-03-29,18.16,24900,0.5(2.05 %),37600,930860000,0,0,24500,25000,24000
2018-03-30,17.87,24500,-0.3(-1.21 %),37900,926040000,0,0,24900,24900,24000
2018-04-02,18.01,24700,0.3(1.23 %),38700,955400000,0,0,24500,24900,24400
2018-04-03,17.79,24400,-0.3(-1.21 %),31600,767960000,0,0,24800,25000,24000
2018-04-04,16.99,23300,-1(-4.12 %),34800,822960000,0,0,24400,24400,23300
2018-04-05,16.77,23000,-0.6(-2.54 %),36400,854840000,0,0,23700,24200,23000
2018-04-06,16.26,22300,-1.2(-5.11 %),37900,847220000,0,0,23000,23000,22300
2018-04-09,16.85,23100,0.7(3.12 %),40800,915340000,0,0,22000,23850,21200
2018-04-10,16.77,23000,0.6(2.68 %),38700,889880000,0,0,22500,23000,22500
2018-04-11,17.36,23800,0.8(3.48 %),36200,847190000,0,0,23100,23800,23100
2018-04-12,17.36,23800,0.4(1.71 %),42000,992350000,0,0,23400,23900,23100
2018-04-13,17.94,24600,1(4.24 %),37500,920170000,0,0,23700,24600,23700
2018-04-16,17.58,24100,-0.4(-1.63 %),41300,1006810000,0,0,24600,25000,24000
2018-04-17,17.28,23700,-0.7(-2.87 %),37600,892160000,0,0,24500,24500,23500
2018-04-18,17.14,23500,-0.2(-0.84 %),40600,946690000,0,0,23900,24200,23100
2018-04-19,16.41,22500,-0.8(-3.43 %),37900,862380000,0,0,23400,23400,22500
2018-04-20,16.92,23200,0.4(1.75 %),40600,922270000,0,0,22600,23300,22100
2018-04-23,16.77,23000,0.3(1.32 %),40000,918870000,0,0,22800,23100,22800
2018-04-24,17.21,23600,0.6(2.61 %),40600,943310000,0,0,23100,23600,22000
2018-04-26,18.01,24700,1.5(6.47 %),38200,932510000,0,0,23300,24900,23300
2018-04-27,18.23,25000,0.6(2.46 %),33500,834540000,0,0,24700,25100,24700
2018-05-02,17.72,24300,-0.6(-2.41 %),39200,969320000,0,0,25100,25100,24300
2018-05-03,17.36,23800,-0.9(-3.64 %),34900,832750000,0,0,24600,24600,23700
2018-05-04,17.65,24200,0.3(1.26 %),31500,757400000,0,0,23700,24200,23500
2018-05-07,17.14,23500,-0.5(-2.08 %),32600,780720000,0,0,24100,24300,23500
2018-05-08,16.85,23100,-0.8(-3.35 %),35800,839870000,0,0,23900,24100,23100
2018-05-09,16.56,22700,-0.8(-3.40 %),35000,807550000,0,0,23000,23700,22700
2018-05-10,16.77,23000,-0.1(-0.43 %),31200,715610000,0,0,23200,23400,22500
2018-05-11,16.26,22300,-0.6(-2.62 %),37700,847820000,0,0,22900,23100,22000
2018-05-14,16.92,23200,0.7(3.11 %),37600,844310000,0,0,22500,23500,22000
2018-05-15,16.92,23200,0.7(3.11 %),38400,886720000,0,0,23100,23700,22800
2018-05-16,16.85,23100,0(0.00 %),39500,903780000,0,0,23100,23500,22700
2018-05-17,16.41,22500,-0.4(-1.75 %),43100,979560000,0,0,22900,22900,22500
2018-05-18,16.63,22800,0.1(0.44 %),42200,949300000,0,0,22600,23100,22200
2018-05-21,16.48,22600,0.1(0.44 %),37100,838640000,0,0,22500,23100,22300
2018-05-22,16.63,22800,0.2(0.88 %),38600,878960000,0,0,22700,23000,22600
2018-05-23,16.85,23100,0.3(1.32 %),46300,1064760000,0,0,22800,23100,22400
2018-05-24,16.99,23300,0.3(1.30 %),40200,940870000,0,0,23000,23900,23000
2018-05-25,16.92,23200,-0.2(-0.85 %),34900,810570000,0,0,23400,23600,22700
2018-05-28,16.41,22500,-0.7(-3.02 %),41300,936770000,0,0,23200,23200,22500
2018-05-29,16.85,23100,0.4(1.76 %),42800,976110000,0,0,22800,23100,22000
2018-05-30,16.63,22800,0(0.00 %),37300,847330000,0,0,22900,23200,22400
2018-05-31,17.07,23400,0.7(3.08 %),40300,925470000,0,0,22700,23400,22400
2018-06-01,16.92,23200,0.2(0.87 %),37300,868910000,0,0,23000,23500,22700
2018-06-04,17.28,23700,0.4(1.72 %),37400,881720000,0,0,23300,23800,23300
2018-06-05,17.58,24100,0.5(2.12 %),38200,917660000,0,0,23600,24200,23600
2018-06-06,17.65,24200,0.2(0.83 %),39800,956310000,0,0,24100,24500,23500
2018-06-07,17.65,24200,0.2(0.83 %),35800,866050000,0,0,24000,24300,23800
2018-06-08,17.43,23900,-0.3(-1.24 %),41000,978820000,0,0,24200,24300,23500
2018-06-11,17.43,23900,0(0.00 %),41300,974040000,0,0,23500,24000,23000
2018-06-12,16.77,23000,-0.6(-2.54 %),40200,921870000,0,0,23600,23600,22500
2018-06-13,16.99,23300,0.4(1.75 %),43400,1007690000,0,0,23000,23400,22800
2018-06-14,16.56,22700,-0.5(-2.16 %),42500,963560000,0,0,23200,23200,22500
2018-06-15,16.41,22500,-0.2(-0.88 %),42500,962080000,0,0,22700,23000,22400
2018-06-18,16.41,22500,-0.1(-0.44 %),40000,903260000,0,0,22600,22900,22400
2018-06-19,16.19,22200,-0.4(-1.77 %),43200,958290000,0,0,22600,22600,22000
2018-06-20,16.48,22600,0.4(1.80 %),44500,1000090000,0,0,22300,22900,22000
2018-06-21,15.97,21900,-0.6(-2.67 %),46100,1019560000,0,0,22600,22800,21700
2018-06-22,15.75,21600,-0.5(-2.26 %),44300,965830000,0,0,22100,22200,21400
2018-06-25,15.9,21800,0(0.00 %),43200,940040000,0,0,21600,22100,21300
2018-06-26,15.75,21600,-0.2(-0.92 %),40500,871680000,0,0,21800,21800,21100
2018-06-27,15.39,21100,-0.4(-1.86 %),46700,986640000,0,0,21700,21700,20800
2018-06-28,14.88,20400,-0.7(-3.32 %),47900,976360000,0,0,20900,20900,20200
2018-06-29,14.95,20500,0.1(0.49 %),47200,954710000,0,0,20500,20700,19900
2018-07-02,14.44,19800,-0.4(-1.98 %),50300,997880000,0,0,20300,20500,19600
2018-07-03,14.0,19200,-0.6(-3.03 %),34100,663960000,0,0,19800,20100,19000
2018-07-04,14.66,20100,0.6(3.08 %),48900,948310000,0,0,19600,20100,19000
2018-07-05,14.22,19500,0.1(0.52 %),44300,865520000,0,0,20000,20200,19100
2018-07-06,13.71,18800,-0.7(-3.59 %),50500,963110000,0,0,19600,19700,18600
2018-07-09,14.0,19200,0.1(0.52 %),47800,920310000,0,0,19200,19500,18900
2018-07-10,13.86,19000,-0.3(-1.55 %),46500,888710000,0,0,19300,19600,18800
2018-07-11,13.49,18500,-0.6(-3.14 %),53800,991550000,0,0,20350,20350,18000
2018-07-12,13.64,18700,0.3(1.63 %),49000,904500000,0,0,18500,18800,17800
2018-07-13,13.78,18900,0.4(2.16 %),55000,1032900000,0,0,18700,18900,18400
2018-07-16,13.56,18600,-0.2(-1.06 %),49300,927010000,0,0,18900,19200,18500
2018-07-17,13.78,18900,0.1(0.53 %),42200,792810000,0,0,18900,19100,18400
2018-07-18,13.86,19000,0.2(1.06 %),52400,989220000,0,0,18800,19100,18600
2018-07-19,13.64,18700,-0.2(-1.06 %),50200,946760000,0,0,19100,19300,18600
2018-07-20,13.56,18600,-0.3(-1.59 %),52000,966930000,0,0,18600,18900,18300
2018-07-23,14.08,19300,0.7(3.76 %),58500,1113830000,0,0,18600,19300,18400
2018-07-24,13.49,18500,-0.5(-2.63 %),51200,964120000,0,0,19100,19300,18500
2018-07-25,13.56,18600,-0.2(-1.06 %),44800,838030000,0,0,18600,18800,18600
2018-07-26,13.78,18900,0.2(1.07 %),51700,977410000,0,0,18700,19000,18600
2018-07-27,13.86,19000,0.1(0.53 %),53700,1016820000,0,0,19000,19300,18700
2018-07-30,14.0,19200,0.3(1.59 %),56700,1080230000,0,0,19000,19200,18800
2018-07-31,13.86,19000,-0.1(-0.52 %),55800,1066420000,0,0,19200,19200,19000
2018-08-01,13.71,18800,-0.3(-1.57 %),60900,1156550000,0,0,19100,19300,18600
2018-08-02,13.71,18800,-0.2(-1.05 %),57900,1090430000,0,0,18800,19100,18600
2018-08-03,13.93,19100,0.3(1.60 %),58600,1105590000,0,0,18800,19100,18300
2018-08-06,13.93,19100,0.2(1.06 %),52500,997240000,0,0,19100,19100,18900
2018-08-07,14.0,19200,0.2(1.05 %),54700,1044320000,0,0,19100,19200,18900
2018-08-08,14.15,19400,0.3(1.57 %),58300,1123510000,0,0,19300,20300,18500
2018-08-09,13.86,19000,-0.3(-1.55 %),56900,1089710000,0,0,19400,19400,19000
2018-08-10,13.93,19100,-0.1(-0.52 %),59100,1118470000,0,0,19000,19200,18800
2018-08-13,13.86,19000,0.1(0.53 %),56700,1075850000,0,0,19500,19500,18700
2018-08-14,13.78,18900,-0.1(-0.53 %),61900,1170720000,0,0,19100,19100,18800
2018-08-15,13.56,18600,-0.3(-1.59 %),59400,1116650000,0,0,18900,19000,18600
2018-08-16,13.56,18600,-0.2(-1.06 %),55600,1037360000,0,0,18700,18800,18500
2018-08-17,13.71,18800,0.1(0.53 %),53200,997460000,0,0,18600,18800,18600
2018-08-20,13.71,18800,0.1(0.53 %),63000,1181070000,0,0,18800,18900,18500
2018-08-21,13.71,18800,0.1(0.53 %),58800,1101030000,0,0,18800,18900,18600
2018-08-22,13.27,18200,-0.5(-2.67 %),67500,1257190000,0,0,18800,18800,18200
2018-08-23,13.78,18900,0.3(1.61 %),54900,1029380000,0,0,18400,18900,18200
2018-08-24,13.86,19000,0.2(1.06 %),59300,1120910000,0,0,18600,19000,18500
2018-08-27,13.64,18700,-0.2(-1.06 %),63400,1193010000,0,0,19000,19000,18600
2018-08-28,13.49,18500,-0.3(-1.60 %),47100,879710000,0,0,18800,18900,18500
2018-08-29,13.42,18400,-0.3(-1.60 %),65800,1222130000,0,0,18500,18800,18400
2018-08-30,13.49,18500,-0.1(-0.54 %),61100,1134870000,0,0,18500,18700,18400
2018-08-31,13.64,18700,0.1(0.54 %),67500,1253760000,0,0,18600,18700,18300
2018-09-04,13.35,18300,-0.3(-1.61 %),63000,1161360000,0,0,18700,18900,18300
2018-09-05,12.84,17600,-0.8(-4.35 %),69700,1259990000,0,0,18300,18400,17600
2018-09-06,13.05,17900,-0.2(-1.10 %),61400,1104860000,0,0,18200,18200,17900
2018-09-07,13.2,18100,0.1(0.56 %),63700,1149870000,0,0,18100,18100,17900
2018-09-10,13.27,18200,0.1(0.55 %),63300,1146500000,0,0,18200,18200,17900
2018-09-11,13.35,18300,0.2(1.10 %),59300,1081610000,0,0,18200,18400,18000
2018-09-12,13.42,18400,0.2(1.10 %),64200,1177810000,0,0,18400,18400,18200
2018-09-13,13.42,18400,0.1(0.55 %),64700,1187470000,0,0,18400,18400,18200
2018-09-14,13.42,18400,0(0.00 %),65700,1213500000,0,0,18500,18500,18400
2018-09-17,13.42,18400,-0.1(-0.54 %),61700,1137630000,0,0,18500,18500,18300
2018-09-18,13.27,18200,-0.2(-1.09 %),70300,1285120000,0,0,18400,18400,18100
