Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-01-21,3.05,44100,2.1(5.00 %),20,882000,50000,1995000000,44100,44100,44100
2010-01-22,3.2,46300,2.2(4.99 %),10,463000,30000,1323000000,46300,46300,46300
2010-01-25,3.36,48600,2.3(4.97 %),20,972000,0,0,48600,48600,48600
2010-01-26,3.52,51000,2.4(4.94 %),20,1020000,0,0,51000,51000,51000
2010-01-27,3.7,53500,2.5(4.90 %),20,1070000,100000,5350000000,53500,53500,53500
2010-01-28,3.87,56000,2.5(4.67 %),8000,448000000,0,0,56000,56000,56000
2010-01-29,4.04,58500,2.5(4.46 %),1020,59670000,0,0,58500,58500,58500
2010-02-01,4.22,61000,2.5(4.27 %),205650,12491945000,0,0,60500,61000,60000
2010-02-02,4.11,59500,-1.5(-2.46 %),87660,5385575000,0,0,63500,63500,59500
2010-02-03,4.11,59500,0(0.00 %),15730,937765000,0,0,60000,60000,59000
2010-02-04,4.11,59500,0(0.00 %),32360,1925930000,0,0,59500,61000,57500
2010-02-05,3.94,57000,-2.5(-4.20 %),99420,5703495000,0,0,59000,59500,57000
2010-02-08,3.77,54500,-2.5(-4.39 %),86260,4722740000,80000,4640000000,56000,56500,54500
2010-02-09,3.87,56000,1.5(2.75 %),21980,1205660000,0,0,53500,56000,53500
2010-02-10,3.9,56500,0.5(0.89 %),46980,2645170000,0,0,58000,58000,56000
2010-02-11,3.94,57000,0.5(0.88 %),29860,1688625000,0,0,57000,57000,55000
2010-02-12,3.9,56500,-0.5(-0.88 %),16200,920610000,0,0,58000,58000,56500
2010-02-22,3.87,56000,-0.5(-0.88 %),24430,1367715000,0,0,57000,57000,55000
2010-02-23,3.7,53500,-2.5(-4.46 %),52540,2819330000,0,0,54500,55000,53500
2010-02-24,3.87,56000,2.5(4.67 %),45540,2499815000,0,0,53500,56000,53000
2010-02-25,3.94,57000,1(1.79 %),49370,2829515000,0,0,57500,58000,56000
2010-02-26,3.87,56000,-1(-1.75 %),26660,1496525000,0,0,56500,57000,55500
2010-03-01,3.94,57000,1(1.79 %),82290,4748470000,0,0,56000,58500,56000
2010-03-02,3.87,56000,-1(-1.75 %),59240,3325930000,0,0,57500,57500,56000
2010-03-03,3.87,56000,0(0.00 %),11990,673590000,0,0,57500,57500,56000
2010-03-04,3.9,56500,0.5(0.89 %),67340,3813675000,0,0,57000,57500,56000
2010-03-05,4.08,59000,2.5(4.42 %),118420,6898305000,0,0,56500,59000,56500
2010-03-08,4.01,58000,-1(-1.69 %),68000,4070400000,0,0,59500,61000,58000
2010-03-09,4.18,60500,2.5(4.31 %),121310,7284115000,0,0,59500,60500,59000
2010-03-10,4.39,63500,3(4.96 %),100670,6348700000,0,0,63000,63500,61500
2010-03-11,4.6,66500,3(4.72 %),110820,7343760000,0,0,66000,66500,66000
2010-03-12,4.77,69000,2.5(3.76 %),204770,14161740000,0,0,69500,69500,67000
2010-03-15,4.63,67000,-2(-2.90 %),69650,4714705000,0,0,70000,70000,66000
2010-03-16,4.49,65000,-2(-2.99 %),136220,8978830000,0,0,65000,67500,64500
2010-03-17,4.56,66000,1(1.54 %),87110,5732485000,0,0,65500,67000,64000
2010-03-18,4.7,66000,2(3.12 %),54740,3548680000,0,0,66000,66000,63500
2010-03-19,4.56,64000,-2(-3.03 %),25480,1641720000,0,0,64500,65000,64000
2010-03-22,4.49,63000,-1(-1.56 %),25430,1600125000,0,0,64000,64000,62000
2010-03-23,4.31,60500,-2.5(-3.97 %),36220,2231310000,0,0,62000,62500,60500
2010-03-24,4.53,63500,3(4.96 %),43340,2749620000,0,0,62500,63500,62500
2010-03-25,4.53,63500,0(0.00 %),64560,3970220000,0,0,62000,65500,60500
2010-03-26,4.53,63500,0(0.00 %),23370,1474515000,0,0,63500,64000,62500
2010-03-29,4.74,66500,3(4.72 %),113090,7408960000,0,0,63000,66500,63000
2010-03-30,4.63,65000,-1.5(-2.26 %),44400,2914110000,0,0,67500,67500,65000
2010-03-31,4.7,66000,1(1.54 %),44990,2937590000,0,0,64000,66500,64000
2010-04-01,4.7,66000,0(0.00 %),25860,1684825000,0,0,66000,66000,64500
2010-04-02,4.56,64000,-2(-3.03 %),55130,3527300000,0,0,65000,65000,63000
2010-04-05,4.56,64000,0(0.00 %),59890,3844515000,0,0,64000,65500,64000
