Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-21,1.53,38000,-1.9(-4.76 %),5560,221464,0,0,39900,39900,38000
2006-12-22,1.45,36100,-1.9(-5.00 %),10,361,0,0,38000,38000,36100
2006-12-25,1.38,34300,-1.8(-4.99 %),2860,98098,0,0,34300,34300,34300
2006-12-26,1.31,32600,-1.7(-4.96 %),10060,327956,0,0,32600,32600,32600
2006-12-27,1.25,31000,-1.6(-4.91 %),12900,399900,0,0,31000,31000,31000
2006-12-28,1.19,29500,-1.5(-4.84 %),1500,44250,0,0,29500,29500,29500
2006-12-29,1.13,28100,-1.4(-4.75 %),550,15455,0,0,29500,29500,28100
2007-01-02,1.07,26700,-1.4(-4.98 %),10,0,0,0,28100,28100,26700
2007-01-03,1.02,25400,-1.3(-4.87 %),510,0,0,0,25400,25400,25400
2007-01-04,0.97,24200,-1.2(-4.72 %),10,0,0,0,24200,24200,24200
2007-01-05,0.93,23100,-1.1(-4.55 %),71290,0,0,0,24200,24200,23100
2007-01-08,0.97,24200,1.1(4.76 %),39040,35000000,0,0,24200,24200,24200
2007-01-09,1.02,25400,1.2(4.96 %),79720,2025000000,0,0,25400,25400,25400
2007-01-10,1.01,25000,-0.4(-1.57 %),50820,1284000000,0,0,25400,25400,25000
2007-01-11,1.01,25000,0(0.00 %),3740,94000000,0,0,25000,25000,25000
2007-01-12,0.96,23800,-1.2(-4.80 %),5300,126000000,0,0,23800,23900,23800
2007-01-15,0.92,22800,-1(-4.20 %),3310,76000000,0,0,23800,23800,22800
2007-01-16,0.87,21700,-1.1(-4.82 %),18700,406000000,0,0,21700,21700,21700
2007-01-17,0.89,22100,0.4(1.84 %),5400,116000000,0,0,22100,22100,20700
2007-01-18,0.88,22000,-0.1(-0.45 %),6600,145000000,0,0,22100,22100,21900
2007-01-19,0.88,22000,0(0.00 %),14600,321000000,0,0,21000,22000,21000
2007-01-22,0.84,20900,-1.1(-5.00 %),4100,86000000,0,0,22000,22000,20900
2007-01-23,0.8,19900,-1(-4.78 %),10210,203000000,0,0,20900,20900,19900
2007-01-24,0.8,19900,0(0.00 %),18100,361000000,0,0,20000,20000,19900
2007-01-25,0.84,20800,0.9(4.52 %),4900,102000000,0,0,20800,20800,20800
