Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-11-19,4.84,45600,-2.2(-4.60 %),10,456000,0,0,45600,45600,45600
2008-11-20,4.61,43400,-2.2(-4.82 %),10,434000,0,0,43400,43400,43400
2008-11-21,4.39,41300,-2.1(-4.84 %),10,413000,0,0,41300,41300,41300
2008-11-24,4.17,39300,-2(-4.84 %),3410,134013000,0,0,39300,39300,39300
2008-11-25,3.97,37400,-1.9(-4.83 %),3110,116314000,0,0,37400,37400,37400
2008-11-26,3.78,35600,-1.8(-4.81 %),8110,288716000,0,0,35600,35600,35600
2008-11-27,3.6,33900,-1.7(-4.78 %),2010,68139000,0,0,33900,33900,33900
2008-11-28,3.43,32300,-1.6(-4.72 %),2110,68153000,0,0,32300,32300,32300
2008-12-01,3.26,30700,-1.6(-4.95 %),2500,76750000,0,0,30700,30700,30700
2008-12-02,3.1,29200,-1.5(-4.89 %),24010,701092000,20000,584000000,29200,29200,29200
2008-12-03,2.95,27800,-1.4(-4.79 %),205250,5708810000,0,0,27800,28100,27800
2008-12-04,2.81,25850,-1.3(-4.85 %),393620,10051453000,35000,892500000,25850,26000,25850
2008-12-05,2.69,24400,-1.1(-4.31 %),340450,8301414000,0,0,24400,24900,24300
2008-12-08,2.82,25600,1.2(4.92 %),41980,1074688000,0,0,25600,25600,25600
2008-12-09,2.95,26800,1.2(4.69 %),17600,471680000,0,0,26800,26800,26800
2008-12-10,2.95,26800,0(0.00 %),138430,3630007000,0,0,26100,26800,25800
2008-12-11,3.1,28100,1.3(4.85 %),141980,3948898000,0,0,27600,28100,27600
2008-12-12,3.25,29500,1.4(4.98 %),26950,795025000,0,0,29500,29500,29500
2008-12-15,3.4,30900,1.4(4.75 %),4110,126999000,0,0,30900,30900,30900
2008-12-16,3.57,32400,1.5(4.85 %),367980,11894691000,0,0,32400,32400,31000
2008-12-17,3.51,31900,-0.5(-1.54 %),54180,1757044000,0,0,31000,33700,31000
2008-12-18,3.51,31900,0(0.00 %),28280,901643000,0,0,31900,32500,31000
2008-12-19,3.68,33400,1.5(4.70 %),23970,800598000,220000,7216000000,33400,33400,33400
2008-12-22,3.86,35000,1.6(4.79 %),28460,996100000,170000,5950000000,35000,35000,35000
2008-12-23,4.04,36700,1.7(4.86 %),120790,4431163000,0,0,36700,36700,34000
2008-12-24,3.97,36000,-0.7(-1.91 %),84960,3035745000,0,0,35100,37500,35100
2008-12-25,4.05,36800,0.8(2.22 %),26100,949384000,0,0,37000,37000,35000
2008-12-26,4.19,38000,1.2(3.26 %),136580,5198550000,0,0,38000,38600,37200
2008-12-29,4.27,38800,0.8(2.11 %),49470,1913066000,0,0,38800,38800,37300
2008-12-30,4.41,40000,1.2(3.09 %),89600,3536463000,0,0,38000,40000,37500
2008-12-31,4.63,42000,2(5.00 %),214730,8806584000,0,0,39500,42000,39000
2009-01-02,4.86,44100,2.1(5.00 %),92860,4094726000,0,0,44100,44100,43800
2009-01-05,4.65,42200,-1.9(-4.31 %),129310,5575561000,0,0,45900,45900,41900
2009-01-06,4.57,41500,-0.7(-1.66 %),83890,3515250000,0,0,42300,43000,40700
2009-01-07,4.42,40100,-1.4(-3.37 %),62310,2594010000,0,0,43000,43100,40100
2009-01-08,4.42,40100,0(0.00 %),145290,5659223000,0,0,38500,40100,38100
2009-01-09,4.52,41000,0.9(2.24 %),34710,1410079000,0,0,39900,41000,39900
2009-01-12,4.56,41400,0.4(0.98 %),22270,920290000,0,0,41000,42000,41000
2009-01-13,4.34,39400,-2(-4.83 %),37270,1481211000,0,0,40500,41000,39400
2009-01-14,4.19,38000,-1.4(-3.55 %),89440,3418420000,0,0,38300,40900,37800
2009-01-15,4.19,38000,0(0.00 %),47780,1819335000,0,0,37800,38500,37800
2009-01-16,4.4,39900,1.9(5.00 %),121950,4844862000,0,0,39500,39900,39000
2009-01-19,4.49,40800,0.9(2.26 %),42500,1734950000,0,0,41000,41000,40000
