Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2015-08-13,7.52,16800,0(0.00 %),1032160,16468000000,0,0,15700,17400,15700
2015-08-14,7.03,15700,-1.1(-6.55 %),43220,680000000,0,0,16800,16800,15700
2015-08-17,6.58,14700,-1(-6.37 %),233640,3440000000,0,0,14800,15700,14700
2015-08-18,6.31,14100,-0.6(-4.08 %),192470,2693000000,0,0,13900,14500,13700
2015-08-19,5.91,13200,-0.9(-6.38 %),199870,2646000000,0,0,13400,13800,13200
2015-08-20,5.73,12800,-0.4(-3.03 %),559440,6940000000,0,0,12800,13000,12300
2015-08-21,5.73,12800,0(0.00 %),186130,2302000000,0,0,13200,13500,12000
2015-08-24,5.37,12000,-0.8(-6.25 %),129560,1555000000,0,0,12400,12400,12000
2015-08-25,5.19,11600,-0.4(-3.33 %),256450,2915000000,0,0,12000,12000,11200
2015-08-26,5.24,11700,0.1(0.86 %),146730,1704000000,0,0,11100,12200,11100
2015-08-27,5.37,12000,0.3(2.56 %),84660,1041000000,0,0,12200,12500,11900
2015-08-28,5.33,11900,-0.1(-0.83 %),139320,1665000000,0,0,12000,12300,11700
2015-08-31,5.33,11900,0(0.00 %),161890,1913000000,0,0,11900,12200,11700
2015-09-01,5.55,12400,0.5(4.20 %),220520,2738000000,0,0,11700,12700,11700
2015-09-03,5.55,12400,0(0.00 %),475110,5973000000,547270,6348332000,12100,13000,12100
2015-09-04,5.91,13200,0.8(6.45 %),2061900,25572000000,0,0,12800,13200,12200
2015-09-07,6.18,13800,0.6(4.55 %),416610,5711000000,0,0,13700,14000,13500
2015-09-08,6.4,14300,0.5(3.62 %),319070,4404000000,0,0,13600,14300,13400
2015-09-09,6.18,13800,-0.5(-3.50 %),441160,6097000000,0,0,14300,14300,13700
2015-09-10,6.04,13500,-0.3(-2.17 %),496090,6812000000,0,0,13600,14200,13500
2015-09-11,6.4,14300,0.8(5.93 %),2194520,29739000000,0,0,13600,14400,13200
2015-09-14,6.27,14000,-0.3(-2.10 %),397890,5543000000,0,0,14400,14400,13800
2015-09-15,6.22,13900,-0.1(-0.71 %),168850,2333000000,220000,2882000000,13600,14000,13600
2015-09-16,6.22,13900,0(0.00 %),189730,2633000000,120000,1704000000,13900,14000,13800
2015-09-17,6.35,14200,0.3(2.16 %),613460,8719000000,0,0,14000,14500,14000
2015-09-18,6.71,15000,0.8(5.63 %),942230,13800000000,0,0,14600,15000,14400
2015-09-21,6.67,14900,-0.1(-0.67 %),416000,6166000000,0,0,14900,15000,14700
2015-09-22,6.94,15500,0.6(4.03 %),904780,13745000000,0,0,14900,15500,14900
2015-09-23,7.07,15800,0.3(1.94 %),623070,9658000000,0,0,15200,15800,15200
2015-09-24,6.85,15300,-0.5(-3.16 %),1198320,18396000000,0,0,15600,15600,15200
2015-09-25,6.76,15100,-0.2(-1.31 %),561830,8381000000,0,0,14900,15200,14800
2015-09-28,6.44,14400,-0.7(-4.64 %),1034650,15133000000,25000,400000000,14900,14900,14400
2015-09-29,6.44,14400,0(0.00 %),439480,6333000000,0,0,14300,14700,14000
2015-09-30,6.27,14000,-0.4(-2.78 %),2968690,42346000000,0,0,14500,14800,14000
2015-10-01,6.49,14500,0.5(3.57 %),968220,14144000000,4784940,62682714000,14400,14900,14400
2015-10-02,6.58,14700,0.2(1.38 %),375940,5526000000,0,0,14800,14800,14600
2015-10-05,6.71,15000,0.3(2.04 %),482710,7140000000,0,0,14700,15000,14500
2015-10-06,6.8,15200,0.2(1.33 %),932880,14181000000,4526940,72431040000,15200,15400,14900
2015-10-07,6.8,15200,0(0.00 %),708050,10790000000,238000,3808000000,15400,15400,15100
2015-10-08,6.89,15400,0.2(1.32 %),500050,7706000000,0,0,15300,15600,15300
2015-10-09,6.85,15300,-0.1(-0.65 %),546060,8414000000,0,0,15500,15700,15300
2015-10-12,6.76,15100,-0.2(-1.31 %),2103380,31602000000,1770000,25311000000,15400,15400,14900
2015-10-13,6.58,14700,-0.4(-2.65 %),487570,7281000000,0,0,15000,15200,14700
2015-10-14,6.67,14900,0.2(1.36 %),275170,4092000000,0,0,14900,15000,14700
2015-10-15,6.71,15000,0.1(0.67 %),327270,4923000000,0,0,14900,15200,14800
2015-10-16,6.76,15100,0.1(0.67 %),633950,9574000000,0,0,15100,15200,15000
2015-10-19,6.67,14900,-0.2(-1.32 %),205130,3070000000,0,0,15100,15100,14900
2015-10-20,6.62,14800,-0.1(-0.67 %),451490,6642000000,0,0,14900,14900,14500
2015-10-21,6.71,15000,0.2(1.35 %),505920,7502000000,0,0,14800,15000,14700
2015-10-22,6.8,15200,0.2(1.33 %),336560,5008000000,0,0,15000,15200,14600
2015-10-23,6.98,15600,0.4(2.63 %),1831390,28168000000,0,0,15200,15600,15000
2015-10-26,6.98,15600,0(0.00 %),782880,12256000000,0,0,15900,15900,15400
2015-10-27,6.98,15600,0(0.00 %),382930,5936000000,0,0,15600,15600,15400
2015-10-28,6.94,15500,-0.1(-0.64 %),857450,13316000000,0,0,15700,15700,15300
2015-10-29,7.38,16500,1(6.45 %),440130,7003000000,0,0,15500,16500,15400
2015-10-30,7.25,16200,-0.3(-1.82 %),551100,8925000000,0,0,16200,16400,15900
2015-11-02,7.43,16600,0.4(2.47 %),2631200,43142000000,0,0,16200,16800,16200
2015-11-03,7.61,17000,0.4(2.41 %),1062440,17749000000,0,0,16500,17000,16300
2015-11-04,7.7,17200,0.2(1.18 %),614030,10519000000,0,0,17000,17200,16900
2015-11-05,7.56,16900,-0.3(-1.74 %),791260,13438000000,0,0,17100,17300,16800
2015-11-06,7.29,16300,-0.6(-3.55 %),1209300,20023000000,0,0,16900,16900,16300
2015-11-09,7.34,16400,0.1(0.61 %),1479620,24059000000,0,0,16300,16600,16100
