Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-10-09,16.28,37800,1.8(5.00 %),27020,1021356000,27660,1045548000,37800,37800,37800
2009-10-12,17.05,39600,1.8(4.76 %),36550,1447380000,50000,1872000000,39600,39600,39600
2009-10-13,17.87,41500,1.9(4.80 %),21130,876895000,0,0,41500,41500,41500
2009-10-14,18.73,43500,2(4.82 %),35100,1526850000,20000,870000000,43500,43500,43500
2009-10-15,19.64,45600,2.1(4.83 %),3090,140904000,30000,1368000000,45600,45600,45600
2009-10-16,20.59,47800,2.2(4.82 %),460,21988000,103000,4923400000,47800,47800,47800
2009-10-19,21.53,50000,2.2(4.60 %),15160,758000000,0,0,50000,50000,50000
2009-10-20,22.61,52500,2.5(5.00 %),29790,1563975000,123000,5932500000,52500,52500,52500
2009-10-21,23.69,55000,2.5(4.76 %),46910,2580050000,197780,10022222000,55000,55000,55000
2009-10-22,24.76,57500,2.5(4.55 %),50780,2919850000,123000,6557500000,57500,57500,57500
2009-10-23,25.41,59000,1.5(2.61 %),510140,30461880000,30000,1800000000,60000,60000,57500
2009-10-26,25.41,59000,0(0.00 %),352540,20616885000,0,0,57500,61000,57500
2009-10-27,24.33,56500,-2.5(-4.24 %),180970,10328920000,30000,1845000000,57000,58500,56500
2009-10-28,23.26,54000,-2.5(-4.42 %),130310,7036740000,42000,2478000000,54000,54000,54000
2009-10-29,22.18,51500,-2.5(-4.63 %),25650,1320975000,40000,2160000000,51500,51500,51500
2009-10-30,23.26,54000,2.5(4.85 %),626330,32420754000,60000,2940000000,51500,54000,49000
2009-11-02,23.26,54000,0(0.00 %),208100,10823140000,20000,1030000000,51500,54500,51500
2009-11-03,22.18,51500,-2.5(-4.63 %),110470,5779730000,42000,2373000000,53000,54000,51500
2009-11-04,21.1,49000,-2.5(-4.85 %),183260,9014240000,0,0,49000,51000,49000
2009-11-05,20.76,48200,-0.8(-1.63 %),244680,11744137000,0,0,47200,49800,46600
2009-11-06,21.75,50500,2.3(4.77 %),346780,17512240000,100000,5050000000,50500,50500,50000
2009-11-09,20.89,48500,-2(-3.96 %),140630,6826745000,0,0,49000,50500,48000
2009-11-10,19.85,46100,-2.4(-4.95 %),100670,4704908000,0,0,49300,49300,46100
2009-11-11,20.24,47000,0.9(1.95 %),85700,3985351000,0,0,46100,47500,46000
2009-11-12,20.24,47000,0(0.00 %),110670,5270639000,0,0,47000,48700,47000
2009-11-13,21.23,49300,2.3(4.89 %),205200,9845745000,0,0,47000,49300,46500
2009-11-16,22.18,51500,2.2(4.46 %),319240,16439260000,0,0,51500,51500,51000
2009-11-17,21.15,49100,-2.4(-4.66 %),159120,7980859000,0,0,52000,52000,49100
2009-11-18,21.1,49000,-0.1(-0.20 %),117600,5679823000,0,0,49100,49100,47500
2009-11-19,21.96,51000,2(4.08 %),428310,21608181000,0,0,49500,51000,49000
2009-11-20,21.1,49000,-2(-3.92 %),164720,8299420000,0,0,50500,52000,49000
2009-11-23,20.24,47000,-2(-4.08 %),76060,3657312000,0,0,49900,49900,46900
2009-11-24,19.29,44800,-2.2(-4.68 %),127190,5754608000,20000,986000000,48500,48500,44800
2009-11-25,18.35,42600,-2.2(-4.91 %),121240,5198802000,0,0,45000,45000,42600
2009-11-26,17.44,40500,-2.1(-4.93 %),8050,326025000,20000,894000000,40500,40500,40500
2009-11-27,16.58,38500,-2(-4.94 %),195300,7649885000,0,0,38500,42000,38500
2009-11-30,15.76,36600,-1.9(-4.94 %),105670,3897442000,0,0,36600,39200,36600
2009-12-01,16.37,38000,1.4(3.83 %),169980,6504206000,0,0,38000,38400,38000
2009-12-02,15.55,36100,-1.9(-5.00 %),91100,3334211000,20000,798000000,36500,38000,36100
2009-12-03,15.12,35100,-1(-2.77 %),31870,1118259000,0,0,35100,37600,34500
2009-12-04,15.16,35200,0.1(0.28 %),31420,1117544000,0,0,36200,36200,34900
