Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-03-24,11.73,50000,2(4.17 %),500,25000000,30000,1368000000,50000,50000,50000
2010-03-25,12.31,52500,2.5(5.00 %),500,26250000,0,0,52500,52500,52500
2010-03-26,12.9,55000,2.5(4.76 %),500,27500000,0,0,55000,55000,55000
2010-03-29,13.49,57500,2.5(4.55 %),500,28750000,0,0,57500,57500,57500
2010-03-30,14.07,60000,2.5(4.35 %),10,600000,0,0,60000,60000,60000
2010-03-31,14.78,63000,3(5.00 %),126280,7952640000,0,0,63000,63000,62000
2010-04-01,15.48,66000,3(4.76 %),94580,6210885000,0,0,66000,66000,63500
2010-04-02,16.18,69000,3(4.55 %),50190,3417310000,0,0,67500,69000,67500
2010-04-05,15.83,67500,-1.5(-2.17 %),40680,2709095000,0,0,70000,70000,66000
2010-04-06,15.13,64500,-3(-4.44 %),70610,4563995000,0,0,65000,65000,64500
2010-04-07,15.83,67500,3(4.65 %),43570,2867435000,0,0,65000,67500,63000
2010-04-08,16.18,69000,1.5(2.22 %),27100,1862975000,0,0,69000,69000,67000
2010-04-09,15.72,67000,-2(-2.90 %),15080,1016505000,0,0,70000,70000,67000
2010-04-12,15.13,64500,-2.5(-3.73 %),35720,2329460000,0,0,65500,67000,64500
2010-04-13,14.54,62000,-2.5(-3.88 %),17580,1117080000,0,0,63500,65500,62000
2010-04-14,14.89,63500,1.5(2.42 %),19480,1233440000,0,0,62500,64500,62000
2010-04-15,15.13,64500,1(1.57 %),26670,1711060000,0,0,64000,64500,64000
2010-04-16,15.25,65000,0.5(0.78 %),18560,1202385000,0,0,66500,66500,64500
2010-04-19,15.13,64500,-0.5(-0.77 %),17960,1151505000,0,0,64000,64500,64000
2010-04-20,15.13,64500,0(0.00 %),31230,2000520000,0,0,64000,64500,64000
2010-04-21,15.01,64000,-0.5(-0.78 %),27960,1792690000,0,0,64000,65000,64000
2010-04-22,15.36,65500,1.5(2.34 %),30980,2034000000,0,0,64000,67000,64000
