Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-11-16,5.29,16800,-0.2(-1.18 %),2240,36875000,0,0,16200,17100,16200
2010-11-17,5.45,17300,0.5(2.98 %),320,5456000,0,0,17300,17300,16800
2010-11-18,5.36,17000,-0.3(-1.73 %),2570,42766000,0,0,16500,17300,16500
2010-11-19,5.23,16600,-0.4(-2.35 %),1010,16366000,0,0,16200,16600,16200
2010-11-22,4.98,15800,-0.8(-4.82 %),40,652000,0,0,17400,17400,15800
2010-11-23,4.76,15100,-0.7(-4.43 %),1650,25014000,0,0,16000,16000,15100
2010-11-24,4.76,15100,0(0.00 %),60,899000,0,0,15100,15100,14400
2010-11-25,4.76,15100,0(0.00 %),4050,59789000,0,0,15100,15100,14400
2010-11-26,4.54,14400,-0.7(-4.64 %),4840,69821000,0,0,14500,14900,14400
2010-11-29,4.32,13700,-0.7(-4.86 %),2680,37870000,0,0,14900,14900,13700
2010-11-30,4.47,14200,0.5(3.65 %),5190,73820000,0,0,14300,14300,14000
2010-12-01,4.47,14200,0(0.00 %),2900,41750000,0,0,14500,14500,14200
2010-12-02,4.5,14300,0.1(0.70 %),2190,30923000,0,0,14300,14300,13900
2010-12-03,4.73,15000,0.7(4.90 %),7530,108656000,0,0,14400,15000,13700
2010-12-06,4.79,15200,0.2(1.33 %),3820,56924000,0,0,15000,15200,14400
2010-12-07,4.57,14500,-0.7(-4.61 %),740,10979000,0,0,15400,15500,14500
2010-12-08,4.57,14500,0(0.00 %),2580,35719000,0,0,15000,15000,13800
2010-12-09,4.35,13800,-0.7(-4.83 %),7310,103594000,0,0,13800,15000,13800
2010-12-10,4.54,14400,0.6(4.35 %),9840,140656000,0,0,14300,14400,14200
2010-12-13,4.76,15100,0.7(4.86 %),5950,89845000,0,0,15100,15100,15100
2010-12-14,4.95,15700,0.6(3.97 %),4010,63210000,0,0,15800,15800,15700
2010-12-15,5.17,16400,0.7(4.46 %),18100,296652000,0,0,16400,16400,16300
2010-12-16,5.29,16800,0.4(2.44 %),4110,65947000,0,0,16400,17000,16000
2010-12-17,5.04,16000,-0.8(-4.76 %),8000,128898000,0,0,16000,17000,16000
2010-12-20,5.17,16400,0.4(2.50 %),3080,49604000,0,0,15300,16700,15300
2010-12-21,5.14,16300,-0.1(-0.61 %),8820,138893000,0,0,16400,16900,15600
2010-12-22,5.01,15900,-0.4(-2.45 %),1060,16854000,0,0,15900,15900,15900
2010-12-23,5.21,15300,0.6(4.08 %),2460,35484000,0,0,14800,15400,14800
2010-12-24,4.98,14600,-0.7(-4.58 %),1030,15045000,0,0,14600,15300,14600
2010-12-27,5.08,14900,0.3(2.05 %),3150,46846000,0,0,15200,15200,14800
2010-12-28,4.87,14300,-0.6(-4.03 %),5570,80107000,0,0,15000,15000,14200
2010-12-29,4.63,13600,-0.7(-4.90 %),3130,42711000,0,0,14900,14900,13600
2010-12-30,4.84,14200,0.6(4.41 %),2090,27871000,0,0,14000,14200,13000
2010-12-31,4.84,14200,0(0.00 %),0,0,0,0,14200,14200,14200
2011-01-04,4.6,13500,-0.7(-4.93 %),650,8810000,0,0,14200,14200,13500
2011-01-05,4.77,14000,0.5(3.70 %),1260,17225000,0,0,14000,14000,13500
2011-01-06,4.91,14400,0.4(2.86 %),5070,68712000,0,0,14300,14500,13300
2011-01-07,4.7,13800,-0.6(-4.17 %),2210,30952000,0,0,14500,14500,13800
2011-01-10,4.8,14100,0.3(2.17 %),2230,30855000,0,0,14200,14200,13200
2011-01-11,4.8,14100,0(0.00 %),220,3051000,0,0,14400,14400,13400
2011-01-12,4.77,14000,-0.1(-0.71 %),1710,23039000,0,0,13400,14000,13400
2011-01-13,4.77,14000,0(0.00 %),370,5187000,0,0,14100,14100,14000
2011-01-14,4.91,14400,0.4(2.86 %),1810,25598000,0,0,14000,14400,14000
2011-01-17,4.67,13700,-0.7(-4.86 %),1750,24279000,0,0,14500,14500,13700
2011-01-18,4.77,14000,0.3(2.19 %),50,700000,0,0,14000,14000,14000
2011-01-19,4.7,13800,-0.2(-1.43 %),950,13044000,0,0,14000,14000,13600
2011-01-20,4.63,13600,-0.2(-1.45 %),4670,62026000,0,0,13300,13600,13200
2011-01-21,4.77,14000,0.4(2.94 %),7740,101709000,0,0,13100,14000,13000
