Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-10-06,4.0,13800,-0.4(-2.82 %),1196846,16490225000.0,1457311,17742257100,14200,14200,13600
2017-10-09,4.03,13900,0.1(0.72 %),1018740,14131010000.0,371030,4978154000,13800,14000,13700
2017-10-10,3.97,13700,-0.2(-1.44 %),1369264,18827860000.0,0,0,13900,14000,13600
2017-10-11,3.8,13100,-0.7(-5.07 %),1929895,25686584500.0,6602,77903600,13800,13800,12900
2017-10-12,3.68,12700,-0.6(-4.51 %),1503890,19247523000.0,0,0,13100,13100,12500
2017-10-13,3.54,12200,-0.6(-4.69 %),1998290,24752178000.0,0,0,12500,12800,12100
2017-10-16,3.65,12600,0.2(1.61 %),2078341,26158130000.0,480000,6106000000,12100,13050,12000
2017-10-17,3.88,13400,0.8(6.35 %),2352646,30742159900.0,0,0,12700,13400,12700
2017-10-18,3.85,13300,0.2(1.53 %),1921054,25953701000.0,0,0,13300,13700,13300
2017-10-19,3.77,13000,-0.5(-3.70 %),1665342,21665681500.0,0,0,13300,13300,12900
2017-10-20,3.77,13000,0(0.00 %),716310,9276545900.0,0,0,13100,13100,12800
2017-10-23,3.65,12600,-0.4(-3.08 %),989690,12588160400.0,0,0,13000,13000,12600
2017-10-24,3.77,13000,0.3(2.36 %),2296792,29571955400.0,0,0,12600,13200,12500
2017-10-25,3.94,13600,0.7(5.43 %),4451160,59980157500.0,55,605000,13000,13700,13000
2017-10-26,3.94,13600,0.1(0.74 %),4783279,64796394300.0,136479,1569508500,13500,13700,13400
2017-10-27,3.91,13500,0(0.00 %),917448,12356435600.0,50000,575000000,13500,13600,13400
2017-10-30,3.85,13300,-0.2(-1.48 %),1155892,15426416000.0,30000,345000000,13500,13500,13200
2017-10-31,3.77,13000,-0.3(-2.26 %),998097,13033530400.0,38000,433200000,13200,13200,13000
2017-11-01,3.8,13100,0(0.00 %),1832620,23873277300.0,100000,1360000000,13100,13100,12900
2017-11-02,3.77,13000,0(0.00 %),1436565,18649054500.0,46887,614219700,13100,13100,12900
2017-11-03,3.71,12800,-0.2(-1.54 %),1311510,16828689000.0,262500,2940000000,13000,13000,12700
2017-11-06,3.68,12700,-0.1(-0.78 %),1721340,21844042000.0,1500000,19200000000,12600,12900,12500
2017-11-07,3.62,12500,-0.2(-1.57 %),3472406,43460608300.0,0,0,12800,12800,12400
2017-11-08,3.74,12900,0.4(3.20 %),3419190,43284391200.0,10450,111815000,12600,13000,12500
2017-11-09,3.82,13200,0.5(3.94 %),2027331,26760145200.0,34857,376455600,12900,13400,12900
2017-11-10,3.77,13000,-0.2(-1.52 %),2162571,28418253200.0,0,0,13100,13300,13000
2017-11-13,3.77,13000,-0.1(-0.76 %),1658710,21513146700.0,102000,1336200000,13100,13100,12800
2017-11-14,3.9,12600,0.4(3.28 %),1417790,17804109000.0,0,0,12700,12900,12300
2017-11-15,3.96,12800,0.2(1.59 %),1199023,15170116100.0,0,0,12300,12800,12300
2017-11-16,4.12,13300,0.6(4.72 %),3654576,48006715400.0,51500,664200000,12700,13500,12700
2017-11-17,4.03,13000,-0.1(-0.76 %),1427771,18716742500.0,0,0,13300,13400,12900
2017-11-20,4.0,12900,-0.2(-1.53 %),1377090,17863049300.0,0,0,13100,13100,12800
2017-11-21,4.03,13000,0(0.00 %),1436020,18589401000.0,2001600,29817760000,13000,13100,12800
2017-11-22,4.06,13100,0.2(1.55 %),2574539,33781047100.0,92569,1108259000,12700,13200,12700
2017-11-23,4.09,13200,0.1(0.76 %),2175399,28803474700.0,0,0,13300,13400,13100
