Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-01-10,8.86,37100,-1.9(-4.87 %),115220,4279000000,0,0,37300,37300,37100
2008-01-11,9.29,38900,1.8(4.85 %),63380,2448000000,0,0,38000,38900,37100
2008-01-14,9.19,38500,-0.4(-1.03 %),62760,2442000000,0,0,39000,40400,38500
2008-01-15,8.74,36600,-1.9(-4.94 %),88500,3241000000,0,0,36600,38800,36600
2008-01-16,9.17,38400,1.8(4.92 %),42870,1635000000,0,0,38000,38400,37500
2008-01-17,8.83,37000,-1.4(-3.65 %),78060,2968000000,0,0,38400,39000,37000
2008-01-18,9.05,37900,0.9(2.43 %),48410,1829000000,0,0,37000,37900,35200
2008-01-21,9.05,37900,0(0.00 %),25000,938000000,0,0,38000,38000,36100
2008-01-22,8.64,36200,-1.7(-4.49 %),9300,336000000,0,0,36100,36200,36100
2008-01-23,8.21,34400,-1.8(-4.97 %),60200,2076000000,0,0,34700,34700,34400
2008-01-24,7.81,32700,-1.7(-4.94 %),1570,53000000,0,0,36100,36100,32700
2008-01-25,7.5,31400,-1.3(-3.98 %),4530,141000000,0,0,31100,31400,31100
2008-01-28,7.5,31400,0(0.00 %),9800,295000000,0,0,29900,31400,29900
2008-01-29,7.52,31500,0.1(0.32 %),19400,613000000,0,0,31900,31900,30000
2008-01-30,7.88,33000,1.5(4.76 %),56560,1840000000,0,0,31500,33000,31500
2008-01-31,8.26,34600,1.6(4.85 %),39060,1284000000,0,0,32000,34600,32000
2008-02-01,8.62,36100,1.5(4.34 %),46040,1654000000,0,0,36000,36100,35000
2008-02-12,9.05,37900,1.8(4.99 %),25630,965000000,0,0,37900,37900,35000
2008-02-13,8.62,36100,-1.8(-4.75 %),26630,981000000,0,0,37500,37500,36100
2008-02-14,8.59,36000,-0.1(-0.28 %),19710,710000000,0,0,36100,36200,36000
2008-02-15,8.26,34600,-1.4(-3.89 %),14910,519000000,0,0,36000,36000,34200
2008-02-18,7.88,33000,-1.6(-4.62 %),26140,865000000,0,0,33000,33500,33000
2008-02-19,7.81,32700,-0.3(-0.91 %),30900,1005000000,0,0,32000,33000,32000
2008-02-20,7.42,31100,-1.6(-4.89 %),16640,537000000,0,0,32800,32900,31100
2008-02-21,7.07,29600,-1.5(-4.82 %),37070,1099000000,0,0,29600,29900,29600
2008-02-22,7.16,30000,0.4(1.35 %),46300,1351000000,0,0,28700,30000,28600
2008-02-25,7.52,31500,1.5(5.00 %),79900,2517000000,0,0,31500,31500,31500
2008-02-26,7.16,30000,-1.5(-4.76 %),45660,1449000000,0,0,32800,32800,30000
2008-02-27,7.4,31000,1(3.33 %),41480,1271000000,0,0,30000,31000,30000
2008-02-28,7.5,31400,0.4(1.29 %),18010,564000000,0,0,31500,31500,31000
2008-02-29,7.28,30500,-0.9(-2.87 %),9650,295000000,0,0,31400,31400,30500
2008-03-03,6.97,29200,-1.3(-4.26 %),36150,1076093000,0,0,30000,30100,29200
2008-03-04,6.64,27800,-1.4(-4.79 %),36200,1013588000,0,0,27800,28200,27800
2008-03-05,6.33,26500,-1.3(-4.68 %),100730,2670575000,0,0,26500,28000,26500
2008-03-06,6.64,27800,1.3(4.91 %),65060,1808668000,30000,756000000,27800,27800,27800
2008-03-07,6.95,29100,1.3(4.68 %),35500,1033050000,20000,530000000,29100,29100,29100
2008-03-10,6.68,28000,-1.1(-3.78 %),67450,2044550000,0,0,30500,30500,28000
2008-03-11,6.76,28300,0.3(1.07 %),97910,2768423000,0,0,28000,28700,28000
2008-03-12,6.76,28300,0(0.00 %),24100,687195000,0,0,28800,28800,28300
2008-03-13,6.85,28700,0.4(1.41 %),16110,464411000,0,0,29500,29500,28700
2008-03-14,6.85,28700,0(0.00 %),9220,260211000,0,0,27600,28700,27600
2008-03-17,6.52,27300,-1.4(-4.88 %),55780,1553767000,0,0,27500,28200,27300
2008-03-18,6.21,26000,-1.3(-4.76 %),54890,1427140000,0,0,26000,26000,26000
2008-03-19,6.21,26000,0(0.00 %),51130,1368000000,0,0,26000,27000,26000
2008-03-20,5.9,24700,-1.3(-5.00 %),23110,571220000,0,0,24700,25100,24700
2008-03-21,5.61,23500,-1.2(-4.86 %),48950,1151526000,0,0,23600,23600,23500
2008-03-24,5.35,22400,-1.1(-4.68 %),69700,1561339000,0,0,22400,22500,22400
2008-03-25,5.13,21500,-0.9(-4.02 %),32290,692551000,0,0,21600,21600,21400
