Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-11-02,1.63,13200,-0.6(-4.35 %),1255220,16834712000,4213252,60183204000,13600,13800,13200
2011-11-03,1.62,13100,-0.1(-0.76 %),1193910,15413108000,1520846,19162660000,13000,13200,12600
2011-11-04,1.6,12900,-0.2(-1.53 %),483860,6286356000,0,0,13200,13200,12900
2011-11-07,1.52,12300,-0.6(-4.65 %),1158750,14526088000,62413,767680000,12900,12900,12300
2011-11-08,1.49,12000,-0.3(-2.44 %),1105490,13216126000,0,0,12100,12200,11800
2011-11-09,1.44,11600,-0.4(-3.33 %),740500,8703786000,0,0,11900,12000,11600
2011-11-10,1.46,11800,0.2(1.72 %),1258020,14792215000,0,0,11400,12100,11400
2011-11-11,1.49,12000,0.2(1.69 %),1024320,12404013000,0,0,12000,12200,11900
2011-11-14,1.47,11900,-0.1(-0.83 %),681580,8103197000,0,0,11900,12000,11800
2011-11-15,1.46,11800,-0.1(-0.84 %),333650,3961624000,98870,1127118000,11900,12000,11800
2011-11-16,1.47,11900,0.1(0.85 %),963200,11431875000,192156,2267441000,11800,12000,11700
2011-11-17,1.47,11900,0(0.00 %),833240,9879778000,150000,1710000000,11900,11900,11700
2011-11-18,1.49,12000,0.1(0.84 %),1468870,17389039000,0,0,11800,12000,11600
2011-11-21,1.54,12400,0.4(3.33 %),1247370,15138939000,0,0,11800,12400,11800
2011-11-22,1.58,12800,0.4(3.23 %),1100380,14043232000,0,0,12400,13000,12400
2011-11-23,1.57,12700,-0.1(-0.78 %),580420,7392935000,850000,10370000000,12900,13000,12600
2011-11-24,1.54,12400,-0.3(-2.36 %),545770,6830047000,0,0,12700,12700,12400
2011-11-25,1.52,12300,-0.1(-0.81 %),587810,7210889000,0,0,12300,12400,12100
2011-11-28,1.56,12600,0.3(2.44 %),1119140,14096750000,0,0,12400,12800,12300
2011-11-29,1.58,12800,0.2(1.59 %),1368920,17485089000,5500000,66000000000,12600,12900,12600
2011-11-30,1.55,12500,-0.3(-2.34 %),1192350,15187459000,0,0,12900,12900,12500
2011-12-01,1.57,12700,0.2(1.60 %),903960,11494295000,0,0,12600,12800,12600
2011-12-02,1.57,12700,0(0.00 %),505490,6435556000,0,0,12700,12800,12600
2011-12-05,1.61,13000,0.3(2.36 %),915680,11835640000,0,0,12700,13100,12700
2011-12-06,1.58,12800,-0.2(-1.54 %),709500,9123096000,0,0,13000,13000,12800
2011-12-07,1.6,11900,0.1(0.86 %),1243680,14521029000,0,0,11900,11900,11900
2011-12-08,1.58,11600,-0.1(-0.85 %),381970,4442062000,0,0,11800,11800,11600
2011-12-09,1.56,11400,-0.2(-1.72 %),861100,9898515000,0,0,11600,11600,11300
2011-12-12,1.57,11500,0.1(0.88 %),640030,7344881000,53000,577700000,11300,11600,11300
2011-12-13,1.56,11400,-0.1(-0.87 %),648920,7439510000,0,0,11400,11600,11400
2011-12-14,1.54,11300,-0.1(-0.88 %),1185060,13411255000,0,0,11400,11400,11100
2011-12-15,1.54,11300,0(0.00 %),582760,6533795000,0,0,11400,11400,11000
2011-12-16,1.54,11300,0(0.00 %),510930,5798333000,0,0,11300,11500,11200
2011-12-19,1.54,11300,0(0.00 %),468810,5328571000,58217,628744000,11200,11400,11200
2011-12-20,1.54,11300,0(0.00 %),560760,6317517000,0,0,11200,11300,11200
2011-12-21,1.56,11400,0.1(0.88 %),588730,6672049000,0,0,11300,11400,11300
2011-12-22,1.53,11200,-0.2(-1.75 %),587640,6648830000,0,0,11400,11400,11100
2011-12-23,1.52,11100,-0.1(-0.89 %),597370,6688012000,20000,214000000,11200,11300,11100
2011-12-26,1.5,11000,-0.1(-0.90 %),1035190,11260962000,50000,530000000,11100,11200,10700
2011-12-27,1.43,10500,-0.5(-4.55 %),1727600,18289040000,298870,3138135000,10900,10900,10500
2011-12-28,1.45,10600,0.1(0.95 %),1741660,18344345000,0,0,10500,10700,10400
2011-12-29,1.48,10800,0.2(1.89 %),1019180,10874325000,0,0,10700,10800,10600
2011-12-30,1.48,10800,0(0.00 %),510030,5533309000,0,0,10800,11000,10800
2012-01-03,1.49,10900,0.1(0.93 %),462000,4997890000,0,0,10800,10900,10700
2012-01-04,1.49,10900,0(0.00 %),368740,4010212000,0,0,10800,10900,10600
2012-01-05,1.46,10700,-0.2(-1.83 %),478490,5134423000,0,0,10900,10900,10600
2012-01-06,1.46,10700,0(0.00 %),331370,3540334000,600000,6300000000,10700,10800,10600
2012-01-09,1.48,10800,0.1(0.93 %),464800,5004208000,0,0,10800,10900,10600
2012-01-10,1.5,11000,0.2(1.85 %),897700,9788908000,0,0,10700,11000,10700
2012-01-11,1.52,11100,0.1(0.91 %),653750,7218419000,0,0,11100,11100,11000
2012-01-12,1.54,11300,0.2(1.80 %),475010,5320382000,0,0,11100,11300,11000
2012-01-13,1.57,11500,0.2(1.77 %),425170,4865477000,0,0,11300,11500,11300
2012-01-16,1.61,11800,0.3(2.61 %),553980,6514729000,0,0,11500,11900,11500
2012-01-17,1.57,11500,-0.3(-2.54 %),645660,7530610000,55000,660000000,11900,11900,11500
2012-01-18,1.57,11500,0(0.00 %),343520,3964811000,0,0,11500,11800,11400
2012-01-19,1.63,11900,0.4(3.48 %),268670,3158919000,0,0,11700,11900,11600
2012-01-20,1.61,11800,-0.1(-0.84 %),275900,3265484000,1879470,21613905000,11900,12000,11700
2012-01-30,1.64,12000,0.2(1.69 %),457150,5430323000,55000,660000000,11900,12000,11700
2012-01-31,1.65,12100,0.1(0.83 %),822330,9992517000,0,0,12000,12400,11900
2012-02-01,1.64,12000,-0.1(-0.83 %),586840,7019975000,0,0,12100,12100,11800
2012-02-02,1.72,12600,0.6(5.00 %),1360930,16972212000,0,0,12200,12600,12200
2012-02-03,1.75,12800,0.2(1.59 %),4077030,53501732000,200000,2640000000,12900,13200,12700
2012-02-06,1.71,12500,-0.3(-2.34 %),1157510,14685440000,0,0,13000,13000,12500
2012-02-07,1.72,12600,0.1(0.80 %),963570,12174972000,0,0,12800,12800,12400
2012-02-08,1.79,13100,0.5(3.97 %),2496360,32312670000,0,0,12700,13100,12600
2012-02-09,1.83,13400,0.3(2.29 %),4113510,55557755000,1000000,13400000000,13100,13700,13100
2012-02-10,1.8,13200,-0.2(-1.49 %),3139790,41960900000,60000,768000000,13400,13600,13100
2012-02-13,1.76,12300,-0.3(-2.38 %),949610,11836498000,55000,660000000,12700,12700,12300
2012-02-14,1.81,12700,0.4(3.25 %),1310730,16383096000,0,0,12300,12700,12200
2012-02-15,1.77,12400,-0.3(-2.36 %),1089850,13567829000,0,0,12700,12700,12200
2012-02-16,1.79,12500,0.1(0.81 %),1264950,15685973000,0,0,12300,12500,12200
2012-02-17,1.81,12700,0.2(1.60 %),1215500,15390575000,4100000,52500000000,12500,12700,12500
2012-02-20,1.89,13200,0.5(3.94 %),2941850,38617534000,0,0,12900,13300,12800
2012-02-21,1.84,12900,-0.3(-2.27 %),2805190,36653654000,0,0,13400,13400,12900
2012-02-22,1.9,13300,0.4(3.10 %),3635880,47931809000,2000000,25800000000,12800,13400,12800
2012-02-23,1.99,13900,0.6(4.51 %),5790660,79174132000,1417676,19055696000,13400,13900,13200
2012-02-24,2.03,14200,0.3(2.16 %),7576700,108887426000,0,0,14100,14500,14000
2012-02-27,2.1,14700,0.5(3.52 %),5071310,73179095000,0,0,14400,14800,14100
2012-02-28,2.04,14000,-0.4(-2.78 %),4770100,67841163000,0,0,14700,14700,13700
2012-02-29,2.08,14300,0.3(2.14 %),6070940,85640906000,10523410,142414985000,13700,14300,13700
2012-03-01,2.17,14900,0.6(4.20 %),11644670,172338669000,0,0,14400,15000,14200
2012-03-02,2.27,15600,0.7(4.70 %),14086080,216821314000,0,0,15200,15600,15100
2012-03-05,2.38,16300,0.7(4.49 %),1604700,26156610000,7944717,127901211000,16300,16300,16300
2012-03-06,2.41,16500,0.2(1.23 %),15791100,267485179000,6025000,93427500000,17100,17100,16300
2012-03-07,2.35,16100,-0.4(-2.42 %),9630560,154845710000,0,0,16300,16500,15800
2012-03-08,2.23,15300,-0.8(-4.97 %),9290320,143589584000,132730,2116769000,15400,16000,15300
2012-03-09,2.17,14900,-0.4(-2.61 %),6469510,96225538000,0,0,14800,15400,14600
2012-03-12,2.1,14400,-0.5(-3.36 %),7728610,111265777000,67770,1014104000,14900,14900,14200
2012-03-13,2.19,15000,0.6(4.17 %),5046780,74828241000,89000,1281600000,14700,15100,14400
2012-03-14,2.13,14600,-0.4(-2.67 %),3632820,53881834000,78000,1188600000,15300,15300,14600
2012-03-15,2.23,15300,0.7(4.79 %),5270660,78484245000,0,0,14400,15300,14300
2012-03-16,2.26,15500,0.2(1.31 %),6865540,108173000000,85000,1332000000,15900,16000,15400
2012-03-19,2.26,15500,0(0.00 %),4156720,64724096000,0,0,15400,15800,15300
