Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2024-06-27,38.38,40850,-1.25(-2.97 %),189700,7798000000,0,0,42000,42000,40500
2024-06-28,38.38,40850,0(0.00 %),136200,5632000000,0,0,41150,42400,40800
2024-07-01,38.14,40600,-0.25(-0.61 %),97800,3959000000,0,0,40600,40850,40150
2024-07-02,38.94,41450,0.85(2.09 %),94800,3885000000,0,0,41400,41500,40600
2024-07-03,38.99,41500,0.05(0.12 %),61700,2541000000,0,0,41500,41950,41000
2024-07-04,38.89,41400,-0.1(-0.24 %),82300,3394000000,0,0,41700,41850,41000
2024-07-05,38.99,41500,0.1(0.24 %),103900,4329000000,0,0,41500,42500,41000
2024-07-08,38.24,40700,-0.8(-1.93 %),121500,4992000000,0,0,41500,41600,40600
2024-07-09,38.52,41000,0.3(0.74 %),139700,5698000000,0,0,41200,41200,40650
2024-07-10,38.33,40800,-0.2(-0.49 %),184300,7486000000,0,0,41000,41000,40400
2024-07-11,37.77,40200,-0.6(-1.47 %),110300,4451000000,0,0,40650,40750,40150
2024-07-12,37.44,39850,-0.35(-0.87 %),117400,4675000000,0,0,40200,40200,39550
2024-07-15,38.19,40650,0.8(2.01 %),188200,7904000000,0,0,39850,42500,39850
2024-07-16,37.44,39850,-0.8(-1.97 %),61600,2477000000,0,0,40650,40650,39850
2024-07-17,36.64,39000,-0.85(-2.13 %),121400,4796000000,0,0,40000,40100,38850
2024-07-18,36.5,38850,-0.15(-0.38 %),92500,3579000000,0,0,39000,39200,38500
2024-07-19,36.17,38500,-0.35(-0.90 %),41000,1580000000,0,0,38800,38850,38350
2024-07-22,35.32,37600,-0.9(-2.34 %),114900,4346000000,0,0,38500,38500,37500
2024-07-23,34.15,36350,-1.25(-3.32 %),179400,6610000000,0,0,37550,37700,36350
2024-07-24,34.67,36900,0.55(1.51 %),31600,1156000000,0,0,36750,37000,36350
2024-07-25,34.52,36750,-0.15(-0.41 %),25200,926000000,0,0,36950,36950,36550
2024-07-26,34.52,36750,0(0.00 %),35500,1307000000,0,0,36650,37200,36650
2024-07-29,34.99,37250,0.5(1.36 %),47100,1747000000,0,0,36750,37300,36750
2024-07-30,35.37,37650,0.4(1.07 %),27300,1025000000,0,0,37700,37700,37300
2024-07-31,36.92,39300,1.65(4.38 %),104500,4111000000,0,0,37700,40000,37650
2024-08-01,35.37,37650,-1.65(-4.20 %),51600,1977000000,0,0,39600,39600,37200
2024-08-02,34.9,37150,-0.5(-1.33 %),65200,2423000000,0,0,37650,37650,37000
2024-08-05,34.01,36200,-0.95(-2.56 %),144100,5252000000,0,0,37350,37350,36200
2024-08-06,34.71,36950,0.75(2.07 %),77900,2846000000,0,0,36600,36950,36200
2024-08-07,34.81,37050,0.1(0.27 %),24600,909000000,0,0,37500,37550,36900
2024-08-08,35.04,37300,0.25(0.67 %),67700,2520000000,0,0,37050,37500,36950
2024-08-09,35.23,37500,0.2(0.54 %),41900,1567000000,0,0,37250,37500,37000
2024-08-12,35.42,37700,0.2(0.53 %),10600,397000000,0,0,37400,38000,37400
2024-08-13,35.51,37800,0.1(0.27 %),32400,1219000000,0,0,37800,37950,37150
2024-08-14,35.13,37400,-0.4(-1.06 %),18700,703000000,0,0,37750,37850,37400
2024-08-15,35.42,37700,0.3(0.80 %),33800,1275000000,0,0,37400,37850,37400
2024-08-16,35.51,37800,0.1(0.27 %),59700,2252000000,0,0,37700,37950,37400
2024-08-19,36.92,39300,1.5(3.97 %),81300,3144000000,0,0,37850,39350,37850
2024-08-20,36.68,39050,-0.25(-0.64 %),40300,1573000000,0,0,39400,39400,38500
2024-08-21,36.45,38800,-0.25(-0.64 %),26300,1014000000,0,0,39000,39100,38400
2024-08-22,35.98,38300,-0.5(-1.29 %),15900,609000000,0,0,38850,38850,38150
2024-08-23,35.93,38250,-0.05(-0.13 %),19400,742000000,0,0,38300,38400,38100
2024-08-26,35.79,38100,-0.15(-0.39 %),37400,1419000000,0,0,38100,38150,37800
2024-08-27,35.7,38000,-0.1(-0.26 %),24100,912000000,0,0,38350,38350,37650
2024-08-28,35.51,37800,-0.2(-0.53 %),32800,1243000000,0,0,38000,38100,37800
2024-08-29,35.6,37900,0.1(0.26 %),22500,850000000,0,0,37800,38000,37700
2024-08-30,35.6,37900,0(0.00 %),22100,835000000,0,0,37900,37950,37500
2024-09-04,35.51,37800,-0.1(-0.26 %),20100,756000000,0,0,37900,37900,37500
2024-09-05,35.23,37500,-0.3(-0.79 %),14500,545000000,0,0,37800,37800,37500
2024-09-06,35.23,37500,0(0.00 %),21600,810000000,0,0,37500,37600,37500
2024-09-09,34.67,36900,-0.6(-1.60 %),45300,1680000000,0,0,37200,37800,36900
2024-09-10,34.62,36850,-0.05(-0.14 %),37800,1387000000,0,0,37200,37500,36200
2024-09-11,34.29,36500,-0.35(-0.95 %),34800,1275000000,0,0,36850,36850,36500
2024-09-12,34.71,36950,0.45(1.23 %),22300,821000000,0,0,36700,37000,36650
2024-09-13,34.76,37000,0.05(0.14 %),9300,342000000,0,0,37200,37200,36750
2024-09-16,34.52,36750,-0.25(-0.68 %),55400,2030000000,0,0,37000,37000,36500
2024-09-17,34.48,36700,-0.05(-0.14 %),35100,1283000000,0,0,36500,36800,36450
2024-09-18,34.62,36850,0.15(0.41 %),8900,328000000,0,0,37000,37000,36750
2024-09-19,34.57,36800,-0.05(-0.14 %),29400,1076000000,0,0,36850,36850,36500
2024-09-20,34.52,36750,-0.05(-0.14 %),30600,1124000000,0,0,37000,37000,36600
2024-09-23,34.2,36400,-0.35(-0.95 %),31700,1158000000,0,0,37000,37000,36400
2024-09-24,34.48,36700,0.3(0.82 %),46500,1698000000,20000,678000000,36450,37000,36400
2024-09-25,34.71,36950,0.25(0.68 %),32700,1208000000,0,0,36900,37000,36800
2024-09-26,35.04,37300,0.35(0.95 %),33100,1227000000,0,0,36950,37300,36900
2024-09-27,34.95,37200,-0.1(-0.27 %),27000,1009000000,0,0,37500,37500,37100
2024-09-30,34.95,37200,0(0.00 %),95300,3597000000,0,0,37700,38450,37200
2024-10-01,34.95,37200,0(0.00 %),16100,599000000,0,0,37300,37400,37150
2024-10-02,34.95,37200,0(0.00 %),9400,348000000,0,0,37500,37500,36900
2024-10-03,34.85,37100,-0.1(-0.27 %),16000,590000000,20000,692000000,36900,37100,36800
2024-10-04,34.48,36700,-0.4(-1.08 %),18200,669000000,0,0,37000,37000,36700
2024-10-07,34.57,36800,0.1(0.27 %),23300,860000000,0,0,36850,37000,36750
2024-10-08,34.52,36750,-0.05(-0.14 %),10900,400000000,0,0,36800,36800,36700
2024-10-09,34.57,36800,0.05(0.14 %),27100,993000000,0,0,37100,37800,36500
2024-10-10,34.48,36700,-0.1(-0.27 %),7900,290000000,0,0,37000,37000,36700
2024-10-11,34.43,36650,-0.05(-0.14 %),45200,1647000000,0,0,36750,36850,36300
2024-10-14,34.57,36800,0.15(0.41 %),23200,849000000,0,0,36650,36800,36600
2024-10-15,34.34,36550,-0.25(-0.68 %),40300,1473000000,0,0,36950,36950,36500
2024-10-16,34.52,36750,0.2(0.55 %),19200,699000000,20000,680000000,36500,36800,36350
2024-10-17,34.67,36900,0.15(0.41 %),5000,183000000,0,0,36550,36900,36550
2024-10-18,34.38,36600,-0.3(-0.81 %),24900,912000000,0,0,36700,36700,36500
2024-10-21,34.38,36600,0(0.00 %),24100,879000000,0,0,36350,36600,36350
2024-10-22,34.24,36450,-0.15(-0.41 %),22600,821000000,20000,681000000,36600,36600,36300
2024-10-23,34.24,36450,0(0.00 %),15500,562000000,0,0,36450,36450,36200
2024-10-24,33.96,36150,-0.3(-0.82 %),53500,1935000000,0,0,36400,36500,36000
2024-10-25,34.01,36200,0.05(0.14 %),12500,452000000,20000,673000000,36100,36450,36050
2024-10-28,34.01,36200,0(0.00 %),16600,600000000,0,0,36250,36250,36150
2024-10-29,33.91,36100,-0.1(-0.28 %),27700,999000000,0,0,36200,36200,36000
2024-10-30,34.01,36200,0.1(0.28 %),25900,938000000,0,0,36200,36400,36100
2024-10-31,34.01,36200,0(0.00 %),25300,911000000,0,0,36100,36400,36000
2024-11-01,33.82,36000,-0.2(-0.55 %),20300,731000000,0,0,36300,36300,35900
2024-11-04,33.82,36000,0(0.00 %),16200,582000000,0,0,36000,36150,35900
2024-11-05,33.82,36000,0(0.00 %),8800,315000000,0,0,35750,36100,35650
2024-11-06,33.91,36100,0.1(0.28 %),29200,1052000000,0,0,36100,36250,36000
2024-11-07,33.82,36000,-0.1(-0.28 %),31300,1125000000,0,0,36100,36300,35800
2024-11-08,33.96,36150,0.15(0.42 %),86400,3124000000,0,0,36100,36300,36050
2024-11-11,34.1,36300,0.15(0.41 %),33300,1210000000,0,0,36200,36800,36200
2024-11-12,34.1,36300,0(0.00 %),23600,860000000,0,0,36450,36550,36300
2024-11-13,33.91,36100,-0.2(-0.55 %),32100,1154000000,0,0,36300,36400,35800
2024-11-14,33.72,34900,-0.2(-0.57 %),32300,1129000000,0,0,35300,35300,34800
2024-11-15,33.24,34400,-0.5(-1.43 %),24600,850000000,0,0,34900,34900,34400
2024-11-18,33.53,34700,0.3(0.87 %),135900,4869000000,0,0,36500,36500,34400
2024-11-19,33.53,34700,0(0.00 %),3000,104000000,0,0,34750,35000,34600
2024-11-20,33.33,34500,-0.2(-0.58 %),14000,482000000,0,0,34700,34950,34200
2024-11-21,33.38,34550,0.05(0.14 %),3900,133000000,0,0,34400,34550,34250
2024-11-22,33.33,34500,-0.05(-0.14 %),2600,89000000,0,0,34550,34550,34300
2024-11-25,33.14,34300,-0.2(-0.58 %),6600,227000000,0,0,34600,34800,34300
2024-11-26,33.09,34250,-0.05(-0.15 %),7800,267000000,0,0,34300,34600,34200
