Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-29,4.21,38000,-2(-5.00 %),22200,859900,0,0,40000,40000,38000
2007-01-02,4.0,36100,-1.9(-5.00 %),10,0,0,0,38000,38000,36100
2007-01-03,3.8,34300,-1.8(-4.99 %),10,0,0,0,34300,34300,34300
2007-01-04,3.8,34300,0(0.00 %),14700,495000000,0,0,34300,34300,32600
2007-01-05,3.77,34000,-0.3(-0.87 %),4500,0,0,0,34300,34300,34000
2007-01-08,3.83,34500,0.5(1.47 %),3250,0,0,0,34500,34500,34500
2007-01-09,3.88,35000,0.5(1.45 %),1210,43000000,0,0,34500,35500,34500
2007-01-10,3.88,35000,0(0.00 %),4680,164000000,0,0,35000,35000,35000
2007-01-11,3.82,34400,-0.6(-1.71 %),3010,105000000,0,0,35000,35000,34400
2007-01-12,3.63,32700,-1.7(-4.94 %),3990,131000000,0,0,33000,33000,32700
2007-01-16,3.45,31100,-1.6(-4.89 %),3300,103000000,0,0,32700,32700,31100
2007-01-17,3.45,31100,0(0.00 %),6000,187000000,0,0,31100,31100,31100
2007-01-18,3.62,32600,1.5(4.82 %),4600,150000000,0,0,32600,32600,32600
2007-01-19,3.77,34000,1.4(4.29 %),7000,238000000,0,0,34000,34000,34000
2007-01-22,3.96,35700,1.7(5.00 %),2100,75000000,0,0,34000,35700,34000
2007-01-23,3.96,35700,0(0.00 %),2210,79000000,0,0,35700,35700,35700
2007-01-24,3.77,34000,-1.7(-4.76 %),2100,71000000,0,0,34000,34000,34000
2007-01-25,3.58,32300,-1.7(-5.00 %),12400,401000000,0,0,34000,34000,32300
2007-01-26,3.6,32500,0.2(0.62 %),3000,98000000,0,0,32300,32500,32300
2007-01-29,3.77,34000,1.5(4.62 %),4500,152000000,0,0,34000,34000,33600
2007-01-31,3.58,32300,-1.7(-5.00 %),2770,277000000,0,0,34000,34000,32300
2007-02-01,3.58,32300,0(0.00 %),60,6000000,0,0,32300,32300,32300
2007-02-02,3.45,31100,-1.2(-3.72 %),250,25000000,0,0,32300,32300,31100
2007-02-05,3.55,32000,0.9(2.89 %),3460,112000000,0,0,32000,32600,32000
2007-02-06,3.55,32000,0(0.00 %),50,2000000,0,0,32000,32000,32000
2007-02-07,3.55,32000,0(0.00 %),1840,59000000,0,0,32000,32000,32000
2007-02-08,3.55,32000,0(0.00 %),1510,48000000,0,0,32000,32000,31000
2007-02-09,3.44,31000,-1(-3.12 %),1200,37000000,0,0,31000,32000,30400
2007-02-12,3.6,32500,1.5(4.84 %),2210,72000000,0,0,32100,32500,32100
2007-02-13,3.77,34000,1.5(4.62 %),3600,123000000,0,0,34000,34100,34000
2007-02-14,3.66,33000,-1(-2.94 %),620,20000000,0,0,33000,33000,33000
2007-02-15,3.66,33000,0(0.00 %),3500,116000000,0,0,33000,33000,33000
2007-02-26,3.84,34600,1.6(4.85 %),3990,132000000,0,0,34600,34600,33000
2007-02-27,4.03,36300,1.7(4.91 %),12940,469000000,0,0,36300,36300,36000
2007-02-28,3.99,36000,-0.3(-0.83 %),900,33000000,0,0,36000,36300,36000
2007-03-01,4.19,37800,1.8(5.00 %),12580,469000000,0,0,37800,37800,36000
2007-03-02,4.19,37800,0(0.00 %),15140,572000000,0,0,37800,37800,37800
2007-03-05,4.19,37800,0(0.00 %),10230,378000000,0,0,37800,37800,36500
2007-03-06,4.1,37000,-0.8(-2.12 %),28770,1075000000,0,0,37000,37800,37000
2007-03-07,4.3,38200,1.8(4.95 %),16390,626000000,0,0,37000,38200,37000
2007-03-08,4.52,40100,1.9(4.97 %),38210,1510000000,0,0,38200,40100,38200
2007-03-09,4.74,42100,2(4.99 %),14900,627000000,0,0,42100,42100,42100
2007-03-12,4.98,44200,2.1(4.99 %),5880,260000000,0,0,44200,44200,44200
2007-03-13,5.23,46400,2.2(4.98 %),18850,875000000,0,0,46400,46400,46400
2007-03-14,4.97,44100,-2.3(-4.96 %),60050,2856000000,0,0,44100,48700,44100
2007-03-15,4.72,41900,-2.2(-4.99 %),12480,527000000,0,0,42500,42500,41900
2007-03-16,4.72,41900,0(0.00 %),14360,595000000,0,0,41900,41900,41000
2007-03-19,4.95,43900,2(4.77 %),9000,395000000,0,0,41900,43900,41900
2007-03-20,4.96,44000,0.1(0.23 %),11700,520000000,0,0,43900,45000,43900
2007-03-21,4.71,41800,-2.2(-5.00 %),7210,320000000,0,0,46000,46000,41800
2007-03-22,4.49,39800,-2(-4.78 %),17360,706000000,0,0,41800,41800,39800
2007-03-23,4.7,41700,1.9(4.77 %),6500,261000000,0,0,40000,41700,40000
2007-03-26,4.47,39700,-2(-4.80 %),2460,99000000,0,0,41000,41000,39700
