Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-01-13,8.76,19000,-1(-5.00 %),110,2090000,0,0,19000,19000,19000
2011-01-14,8.39,18200,-0.8(-4.21 %),162550,2946195000,0,0,18100,19000,18100
2011-01-17,8.76,19000,0.8(4.40 %),1010,19190000,0,0,19000,19000,19000
2011-01-18,8.34,18100,-0.9(-4.74 %),4320,79304000,100000,1990000000,18300,18800,18100
2011-01-19,8.48,18400,0.3(1.66 %),284980,5267336000,0,0,17400,19000,17400
2011-01-20,8.21,17800,-0.6(-3.26 %),123450,2214130000,0,0,18100,18400,17800
2011-01-21,8.25,17900,0.1(0.56 %),22880,404050000,317370,5903082000,17300,18000,17300
2011-01-24,8.3,18000,0.1(0.56 %),10300,177326000,0,0,17400,18000,17100
2011-01-25,7.88,17100,-0.9(-5.00 %),28890,494019000,0,0,17100,17100,17100
2011-01-26,7.56,16400,-0.7(-4.09 %),18980,313678000,0,0,17100,17100,16400
2011-01-27,7.28,15800,-0.6(-3.66 %),44810,726279000,194000,3026400000,17100,17100,15800
2011-01-28,7.61,16500,0.7(4.43 %),14710,241904000,0,0,16000,16500,16000
2011-02-08,7.97,17300,0.8(4.85 %),12920,223316000,0,0,17300,17300,17200
2011-02-09,8.02,17400,0.1(0.58 %),2000,34900000,0,0,17500,17500,17400
2011-02-10,7.88,17100,-0.3(-1.72 %),7000,118200000,0,0,16800,17100,16800
2011-02-11,7.56,16400,-0.7(-4.09 %),1350,22931000,20000,358000000,17100,17100,16400
2011-02-14,7.84,17000,0.6(3.66 %),7570,125150000,0,0,16800,17000,16500
2011-02-15,7.47,16200,-0.8(-4.71 %),39330,638396000,0,0,16400,16400,16200
2011-02-16,7.51,16300,0.1(0.62 %),1400,22099000,0,0,16400,16400,15700
2011-02-17,7.15,15500,-0.8(-4.91 %),41260,640576000,0,0,15800,15800,15500
2011-02-18,6.82,14800,-0.7(-4.52 %),16300,242594000,0,0,15200,15200,14800
2011-02-21,6.5,14100,-0.7(-4.73 %),54630,770283000,0,0,14100,14100,14100
2011-02-22,6.18,13400,-0.7(-4.96 %),5600,75040000,0,0,13400,13400,13400
2011-02-23,5.95,12900,-0.5(-3.73 %),198470,2550145000,0,0,12800,13300,12800
2011-02-24,5.72,12400,-0.5(-3.88 %),28640,355104000,0,0,13200,13200,12300
2011-02-25,5.99,13000,0.6(4.84 %),29350,379017000,0,0,12900,13000,12800
2011-02-28,5.95,12900,-0.1(-0.77 %),2920,38029000,0,0,13400,13400,12800
2011-03-01,5.9,12800,-0.1(-0.78 %),42050,530162000,0,0,13000,13000,12400
2011-03-02,5.62,12200,-0.6(-4.69 %),78300,965535000,0,0,12600,12600,12200
