Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2020-12-24,7.87,17300,0.3(1.76 %),7683250,131446000000,1017000,16122450000,17500,17500,16900
2020-12-25,8.42,18500,1.2(6.94 %),9311200,167569000000,0,0,17300,18500,17300
2020-12-28,8.53,18750,0.25(1.35 %),8600300,161531000000,23142,399199500,19000,19000,18500
2020-12-29,8.65,19000,0.25(1.33 %),9680050,182071000000,0,0,18850,19000,18500
2020-12-30,8.6,18900,-0.1(-0.53 %),6435250,121051000000,0,0,18900,19000,18600
2020-12-31,8.56,18800,-0.1(-0.53 %),8721150,163588000000,0,0,18800,18900,18550
2021-01-04,8.56,18800,0(0.00 %),10019300,187435000000,0,0,18800,18900,18400
2021-01-05,8.56,18800,0(0.00 %),6425700,120061000000,0,0,18800,18800,18450
2021-01-06,8.83,19400,0.6(3.19 %),13781900,263557000000,0,0,18850,19450,18800
2021-01-07,9.1,20000,0.6(3.09 %),10025000,195920000000,20000,361000000,19400,20000,19300
2021-01-08,9.38,20600,0.6(3.00 %),9146300,186397000000,0,0,20000,20700,20000
2021-01-11,9.42,20700,0.1(0.49 %),8229200,170065000000,350000,7245000000,20600,20750,20500
2021-01-12,9.33,20500,-0.2(-0.97 %),5232000,107408000000,269300,5520650000,20700,20700,20400
2021-01-13,9.06,19900,-0.6(-2.93 %),6368000,127608000000,0,0,20350,20350,19750
2021-01-14,9.06,19900,0(0.00 %),5747400,111663000000,0,0,19900,19900,19000
2021-01-15,9.12,20050,0.15(0.75 %),6096800,120853000000,0,0,19900,20050,19650
2021-01-18,8.92,19600,-0.45(-2.24 %),3836200,76012000000,0,0,20050,20050,19600
2021-01-19,8.42,18500,-1.1(-5.61 %),2760800,52266000000,0,0,19650,19700,18250
2021-01-20,8.42,18500,0(0.00 %),2122300,38464000000,0,0,18500,18600,17450
2021-01-21,8.42,18500,0(0.00 %),5980900,110267000000,0,0,18550,18600,18250
2021-01-22,8.47,18600,0.1(0.54 %),6146500,113892000000,0,0,18550,18750,18350
2021-01-25,8.37,18400,-0.2(-1.08 %),2317700,42710000000,0,0,18600,18600,18300
