Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-11-29,15.46,56000,2(3.70 %),96040,5516000000,0,0,57700,57700,56000
2018-11-30,15.16,54900,-1.1(-1.96 %),141060,7760000000,0,0,56200,56200,54800
2018-12-03,14.5,52500,-2.4(-4.37 %),233640,12417000000,0,0,54700,54700,51200
2018-12-04,14.52,52600,0.1(0.19 %),135900,7169000000,0,0,53000,53100,52400
2018-12-05,13.89,50300,-2.3(-4.37 %),266020,13448000000,0,0,52600,52700,48950
2018-12-06,13.81,50000,-0.3(-0.60 %),107370,5338000000,0,0,50300,50300,49000
2018-12-07,13.89,50300,0.3(0.60 %),44440,2252000000,0,0,51000,51000,50000
2018-12-10,13.86,50200,-0.1(-0.20 %),94800,4689000000,0,0,50300,50500,48900
2018-12-11,13.53,46700,-1.1(-2.38 %),47340,2167000000,0,0,48500,48500,46700
2018-12-12,12.84,42800,-2.3(-5.10 %),134820,5847000000,0,0,44200,46000,42000
2018-12-13,12.6,42000,-0.8(-1.87 %),182210,7640000000,0,0,42800,43000,41500
2018-12-14,11.94,39800,-2.2(-5.24 %),97990,3973000000,0,0,41150,42000,39200
2018-12-17,12.06,40200,0.4(1.01 %),29230,1167000000,0,0,39800,41300,39000
2018-12-18,12.74,42450,2.25(5.60 %),33710,1399000000,0,0,39200,42500,39200
2018-12-19,12.6,42000,-0.45(-1.06 %),18460,777000000,0,0,42500,42500,41950
2018-12-20,12.44,41450,-0.55(-1.31 %),53070,2185000000,0,0,40900,41900,40300
2018-12-21,12.56,41850,0.4(0.97 %),30740,1268000000,0,0,41650,42000,39250
2018-12-24,12.45,41500,-0.35(-0.84 %),19500,816000000,0,0,40600,42500,40600
2018-12-25,12.0,40000,-1.5(-3.61 %),36630,1468000000,0,0,41000,41000,39600
2018-12-26,12.3,41000,1(2.50 %),18260,740000000,0,0,40000,41000,40000
2018-12-27,12.3,41000,0(0.00 %),30790,1267000000,0,0,41500,41500,40300
2018-12-28,12.3,41000,0(0.00 %),26780,1104000000,0,0,41000,41450,40100
2019-01-02,12.3,41000,0(0.00 %),19350,795000000,0,0,41000,41350,40900
2019-01-03,12.3,41000,0(0.00 %),46390,1897000000,0,0,41100,41300,40000
2019-01-04,12.3,41000,0(0.00 %),30470,1249000000,0,0,40300,41350,40300
2019-01-07,12.24,40800,-0.2(-0.49 %),10200,418000000,0,0,41000,41000,40500
2019-01-08,12.3,41000,0.2(0.49 %),22560,925000000,0,0,41350,41350,41000
2019-01-09,12.26,40850,-0.15(-0.37 %),42850,1756000000,0,0,41000,41000,40700
2019-01-10,12.24,40800,-0.05(-0.12 %),14810,604000000,0,0,41000,41000,40800
2019-01-11,12.21,40700,-0.1(-0.25 %),18390,749000000,0,0,40800,40800,40500
2019-01-14,12.9,43000,2.3(5.65 %),98700,4125000000,0,0,40850,43400,40800
2019-01-15,13.74,45800,2.8(6.51 %),117520,5237000000,0,0,42100,46000,42100
2019-01-16,13.8,46000,0.2(0.44 %),36510,1688000000,0,0,46000,47500,45500
2019-01-17,13.44,44800,-1.2(-2.61 %),33940,1533000000,0,0,46000,46000,44800
2019-01-18,13.29,44300,-0.5(-1.12 %),18750,824000000,0,0,44600,44600,43100
2019-01-21,13.59,45300,1(2.26 %),16110,727000000,0,0,44500,45300,44200
2019-01-22,13.65,45500,0.2(0.44 %),118490,5381000000,0,0,44000,45850,44000
2019-01-23,13.64,45450,-0.05(-0.11 %),48220,2173000000,0,0,45800,45800,45000
2019-01-24,13.5,45000,-0.45(-0.99 %),31970,1427000000,0,0,45450,45500,44400
2019-01-25,13.5,45000,0(0.00 %),38220,1717000000,0,0,45050,45050,44700
2019-01-28,14.07,46900,1.9(4.22 %),92430,4212000000,0,0,44800,46950,44800
2019-01-29,14.43,48100,1.2(2.56 %),75160,3596000000,0,0,46300,49300,46100
2019-01-30,14.4,48000,-0.1(-0.21 %),52900,2540000000,0,0,48000,49000,47900
2019-01-31,14.4,48000,0(0.00 %),26410,1267000000,0,0,48000,48100,47500
2019-02-01,14.63,48750,0.75(1.56 %),24390,1189000000,0,0,48100,49500,48100
2019-02-11,14.85,49500,0.75(1.54 %),20300,994000000,0,0,49000,49900,48200
2019-02-12,15.03,50100,0.6(1.21 %),87140,4366000000,0,0,49500,50600,49500
2019-02-13,15.48,51600,1.5(2.99 %),47830,2433000000,0,0,50200,52000,50100
2019-02-14,15.36,51200,-0.4(-0.78 %),35200,1818000000,0,0,51400,52300,51000
2019-02-15,15.24,50800,-0.4(-0.78 %),74280,3795000000,0,0,51200,51500,50800
2019-02-18,16.11,53700,2.9(5.71 %),138180,7285000000,0,0,51000,53700,50800
2019-02-19,16.08,53600,-0.1(-0.19 %),42270,2267000000,0,0,53700,54300,53200
2019-02-20,16.02,53400,-0.2(-0.37 %),23830,1270000000,0,0,53600,53700,53000
2019-02-21,15.9,53000,-0.4(-0.75 %),78340,4153000000,0,0,53400,53500,52600
2019-02-22,15.78,52600,-0.4(-0.75 %),52280,2738000000,0,0,52800,52900,52000
2019-02-25,15.9,53000,0.4(0.76 %),210950,11003000000,0,0,52500,53000,51700
2019-02-26,16.29,54300,1.3(2.45 %),146270,7873000000,0,0,53200,54300,53100
2019-02-27,16.32,54400,0.1(0.18 %),82440,4491000000,0,0,54300,54700,54300
2019-02-28,16.17,53900,-0.5(-0.92 %),66120,3563000000,0,0,53100,54400,53100
2019-03-01,16.53,55100,1.2(2.23 %),119120,6513000000,0,0,52700,57000,52700
2019-03-04,16.62,55400,0.3(0.54 %),43470,2414000000,0,0,56000,56000,55000
2019-03-05,15.93,53100,-2.3(-4.15 %),49960,2715000000,0,0,54600,55400,53100
2019-03-06,16.14,53800,0.7(1.32 %),109700,5728000000,0,0,53400,53900,51500
2019-03-07,15.6,52000,-1.8(-3.35 %),46990,2459000000,0,0,53800,53800,51900
2019-03-08,15.9,53000,1(1.92 %),64090,3371000000,0,0,52000,53300,52000
2019-03-11,15.87,52900,-0.1(-0.19 %),22300,1174000000,0,0,53000,53000,51800
2019-03-12,16.26,54200,1.3(2.46 %),129880,7064000000,0,0,54300,54800,53900
2019-03-13,16.11,53700,-0.5(-0.92 %),25680,1387000000,0,0,54400,54600,53500
2019-03-14,16.05,53500,-0.2(-0.37 %),11320,608000000,0,0,53700,54000,53500
2019-03-15,15.84,52800,-0.7(-1.31 %),39930,2119000000,0,0,53100,53600,52600
2019-03-18,16.02,53400,0.6(1.14 %),79540,4238000000,0,0,52500,53800,52500
2019-03-19,15.9,53000,-0.4(-0.75 %),77290,4116000000,0,0,53600,53700,50900
2019-03-20,15.84,52800,-0.2(-0.38 %),15480,811000000,0,0,53000,53000,51400
2019-03-21,15.45,51500,-1.3(-2.46 %),50160,2620000000,0,0,52800,53000,51500
2019-03-22,15.33,51100,-0.4(-0.78 %),66190,3389000000,0,0,51600,52000,50700
2019-03-25,15.21,50700,-0.4(-0.78 %),35870,1829000000,0,0,50600,51700,50600
2019-03-26,15.48,51600,0.9(1.78 %),17130,876000000,0,0,50200,51600,50200
2019-03-27,15.51,51700,0.1(0.19 %),25360,1304000000,0,0,51800,51800,51000
2019-03-28,15.6,52000,0.3(0.58 %),19170,993000000,0,0,51700,52000,51500
2019-03-29,15.3,51000,-1(-1.92 %),13710,705000000,0,0,51800,51800,51000
2019-04-01,15.18,50600,-0.4(-0.78 %),18150,926000000,0,0,50600,51500,50600
2019-04-02,15.3,51000,0.4(0.79 %),41120,2100000000,0,0,51600,52000,50500
2019-04-03,15.87,52900,1.9(3.73 %),121610,6346000000,0,0,51800,52900,51200
2019-04-04,15.9,53000,0.1(0.19 %),95960,5098000000,0,0,53000,53500,52800
2019-04-05,16.35,54500,1.5(2.83 %),425970,22963000000,0,0,53000,54500,53000
2019-04-08,16.41,54700,0.2(0.37 %),122410,6686000000,0,0,54800,54800,54000
2019-04-09,16.2,54000,-0.7(-1.28 %),138850,7536000000,0,0,54100,54800,54000
2019-04-10,17.04,56800,2.8(5.19 %),1075690,59884000000,0,0,53900,56800,53200
2019-04-11,17.1,57000,0.2(0.35 %),209810,11975000000,0,0,56800,57900,56000
2019-04-12,18.15,60500,3.5(6.14 %),434420,25906000000,0,0,56900,60800,56900
2019-04-16,18.03,60100,-0.4(-0.66 %),200400,11950000000,0,0,59500,60500,58500
2019-04-17,18.21,60700,0.6(1.00 %),141720,8614000000,0,0,60700,62000,60100
2019-04-18,18.0,60000,-0.7(-1.15 %),182580,10908000000,0,0,60000,62000,58000
2019-04-19,18.24,60800,0.8(1.33 %),80940,4883000000,0,0,59200,60800,59200
2019-04-22,17.7,59000,-1.8(-2.96 %),119820,7100000000,0,0,60800,60800,58100
2019-04-23,18.12,60400,1.4(2.37 %),94930,5682000000,31000,1891000000,59000,60400,58900
2019-04-24,18.54,61800,1.4(2.32 %),161730,9935000000,0,0,59700,62000,59700
2019-04-25,18.27,60900,-0.9(-1.46 %),43010,2628000000,0,0,60600,62000,60600
2019-04-26,18.15,60500,-0.4(-0.66 %),65800,4014000000,0,0,60400,61500,60400
2019-05-02,18.36,61200,0.7(1.16 %),91170,5610000000,0,0,61000,63000,59700
2019-05-03,18.45,61500,0.3(0.49 %),125400,7756000000,0,0,61000,62500,61000
2019-05-06,18.48,61600,0.1(0.16 %),49750,3046000000,0,0,61000,62000,60600
2019-05-07,17.91,59700,-1.9(-3.08 %),79610,4798000000,0,0,61600,61600,59600
2019-05-08,17.43,58100,-1.6(-2.68 %),217690,12644000000,0,0,58500,58600,57500
2019-05-09,17.1,57000,-1.1(-1.89 %),101180,5784000000,0,0,58100,58200,56000
2019-05-10,17.52,58400,1.4(2.46 %),92460,5370000000,0,0,57000,59000,57000
2019-05-13,17.4,58000,-0.4(-0.68 %),26130,1507000000,0,0,57000,58800,57000
2019-05-14,17.64,58800,0.8(1.38 %),53470,3132000000,0,0,58000,58800,57700
2019-05-15,17.34,57800,-1(-1.70 %),96180,5557000000,0,0,58800,58800,57500
2019-05-16,17.58,58600,0.8(1.38 %),80980,4695000000,290000,16820000000,57800,58600,57700
2019-05-17,17.73,59100,0.5(0.85 %),62040,3667000000,0,0,58100,59400,58100
2019-05-20,17.7,59000,-0.1(-0.17 %),96590,5723000000,0,0,58600,59700,58600
2019-05-21,18.06,60200,1.2(2.03 %),224820,13515000000,0,0,58500,60600,58500
2019-05-22,17.97,59900,-0.3(-0.50 %),67430,4053000000,0,0,59900,60400,59600
2019-05-23,17.97,59900,0(0.00 %),43130,2583000000,0,0,60000,60500,59200
2019-05-24,17.97,59900,0(0.00 %),98460,5935000000,0,0,59500,61000,59500
2019-05-27,17.79,59300,-0.6(-1.00 %),28850,1719000000,0,0,59900,60400,59300
2019-05-28,17.7,59000,-0.3(-0.51 %),120910,7056000000,0,0,59300,59400,57700
2019-05-29,17.4,58000,-1(-1.69 %),146300,8495000000,0,0,59000,59000,57300
2019-05-30,17.34,57800,-0.2(-0.34 %),60520,3506000000,0,0,58000,58400,57400
2019-05-31,17.34,57800,0(0.00 %),62700,3629000000,0,0,57700,58100,57500
2019-06-03,17.1,57000,-0.8(-1.38 %),76750,4405000000,0,0,53800,58000,53800
2019-06-04,17.22,57400,0.4(0.70 %),50670,2902000000,0,0,56900,57700,56900
2019-06-05,17.43,58100,0.7(1.22 %),41900,2443000000,0,0,57800,59000,57800
2019-06-06,17.52,58400,0.3(0.52 %),54900,3206000000,0,0,58400,58500,58000
2019-06-07,18.72,62400,4(6.85 %),420550,25720000000,0,0,58500,62400,58500
2019-06-10,18.6,62000,-0.4(-0.64 %),137240,8486000000,0,0,62800,62800,61000
2019-06-11,18.63,62100,0.1(0.16 %),247290,15499000000,220000,12694000000,62000,63500,61700
2019-06-12,18.03,60100,-2(-3.22 %),114760,7026000000,0,0,62100,62100,60100
2019-06-13,18.36,61200,1.1(1.83 %),63390,3857000000,495000,27670500000,60100,61600,60100
2019-06-14,18.3,61000,-0.2(-0.33 %),150030,9255000000,0,0,61500,62300,60500
2019-06-17,18.0,60000,-1(-1.64 %),101730,6118000000,0,0,60300,61200,59000
2019-06-18,18.06,60200,0.2(0.33 %),59790,3584000000,0,0,59600,60500,59600
2019-06-19,18.15,60500,0.3(0.50 %),103970,6299000000,0,0,60500,61400,60000
2019-06-20,18.24,60800,0.3(0.50 %),69620,4234000000,0,0,61200,61400,60400
2019-06-21,17.88,59600,-1.2(-1.97 %),236390,14104000000,0,0,59600,61400,59000
2019-06-24,17.37,57900,-1.7(-2.85 %),354830,20611000000,0,0,60000,60000,57200
2019-06-25,17.4,58000,0.1(0.17 %),120410,6959000000,0,0,57600,58500,57300
