Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-11-06,23.32,45300,2.1(4.86 %),1420500,64270871000,0,0,45300,45300,44000
2009-11-09,22.19,43100,-2.2(-4.86 %),379190,16685898000,0,0,44000,45200,43100
2009-11-10,21.1,41000,-2.1(-4.87 %),241150,9889353000,0,0,41000,41100,41000
2009-11-11,20.59,40000,-1(-2.44 %),416210,16419905000,0,0,39700,41000,39000
2009-11-12,19.56,38000,-2(-5.00 %),282170,10824764000,0,0,38400,39700,38000
2009-11-13,20.07,39000,1(2.63 %),664120,24610896000,0,0,36100,39000,36100
2009-11-16,20.95,40700,1.7(4.36 %),231890,9219190000,0,0,39000,40700,38500
2009-11-17,21.1,41000,0.3(0.74 %),249410,10222600000,0,0,41800,41800,39700
2009-11-18,20.69,40200,-0.8(-1.95 %),432410,17297879000,0,0,41000,41000,39000
2009-11-19,20.59,40000,-0.2(-0.50 %),520320,20330767000,0,0,40000,40200,38200
2009-11-20,19.92,38700,-1.3(-3.25 %),279530,10848915000,0,0,40000,40000,38200
2009-11-23,19.82,38500,-0.2(-0.52 %),327300,12505562000,0,0,38700,39000,37300
2009-11-24,19.41,37700,-0.8(-2.08 %),215780,8073661000,0,0,38500,38500,36900
2009-11-25,18.48,35900,-1.8(-4.77 %),337700,12183476000,0,0,37700,37700,35900
2009-11-26,17.6,34200,-1.7(-4.74 %),63290,2169923000,65000,2444000000,34300,34300,34200
2009-11-27,17.6,34200,0(0.00 %),196960,6611759000,0,0,32500,35900,32500
2009-11-30,17.96,34900,0.7(2.05 %),237250,8244512000,0,0,34200,35000,32500
2009-12-01,18.22,35400,0.5(1.43 %),118540,4194741000,0,0,34900,35900,34000
2009-12-02,17.5,34000,-1.4(-3.95 %),147850,5066887000,0,0,34000,35800,33900
2009-12-03,16.78,32600,-1.4(-4.12 %),47530,1565135000,400000,13400000000,32800,34000,32600
2009-12-04,17.6,34200,1.6(4.91 %),264960,9061403000,0,0,34200,34200,34000
2009-12-07,18.38,35700,1.5(4.39 %),113690,4038998000,0,0,35700,35700,33500
2009-12-08,18.02,35000,-0.7(-1.96 %),60640,2113156000,0,0,35000,36900,34200
2009-12-09,17.96,34900,-0.1(-0.29 %),142880,4943754000,0,0,33800,35000,33300
2009-12-10,17.91,34800,-0.1(-0.29 %),145670,5045000000,0,0,34900,34900,33200
2009-12-11,17.04,33100,-1.7(-4.89 %),164380,5455113000,0,0,33400,34000,33100
2009-12-14,17.86,34700,1.6(4.83 %),121610,4212671000,27500,866250000,33100,34700,33100
2009-12-15,18.68,36300,1.6(4.61 %),256900,9286252000,200000,6900000000,35000,36300,34500
2009-12-16,18.68,36300,0(0.00 %),411340,14664813000,0,0,36300,36300,34500
2009-12-17,18.38,35700,-0.6(-1.65 %),276570,9925767000,0,0,36500,36500,34800
2009-12-18,18.79,36500,0.8(2.24 %),176870,6433123000,0,0,36400,36500,35200
2009-12-21,18.53,36000,-0.5(-1.37 %),58460,2130826000,0,0,36800,37500,35200
2009-12-22,18.07,35100,-0.9(-2.50 %),50840,1801470000,0,0,36500,36500,35100
2009-12-23,17.66,34300,-0.8(-2.28 %),16400,567127000,800000,29440000000,34600,35100,34300
2009-12-24,17.5,34000,-0.3(-0.87 %),25490,866319000,0,0,33600,35000,33600
2009-12-25,18.12,35200,1.2(3.53 %),46850,1637281000,800000,25885000000,34900,35200,34000
2009-12-28,18.27,35500,0.3(0.85 %),125740,4418404000,0,0,33500,35800,33500
2009-12-29,17.96,34900,-0.6(-1.69 %),19840,705294000,7150474,259962206000,36000,36000,34900
2009-12-30,17.96,34900,0(0.00 %),30580,1070712000,0,0,34900,35400,34800
2009-12-31,17.6,34200,-0.7(-2.01 %),37010,1290584000,0,0,35000,35500,34100
2010-01-04,18.48,35900,1.7(4.97 %),182850,6531113000,0,0,35000,35900,35000
2010-01-05,19.35,37600,1.7(4.74 %),310230,11664115000,0,0,37600,37600,37400
2010-01-06,20.07,39000,1.4(3.72 %),181180,6795793000,0,0,36500,39000,36500
2010-01-07,19.56,38000,-1(-2.56 %),52800,2031816000,0,0,39000,39000,38000
2010-01-08,18.84,36600,-1.4(-3.68 %),104480,3895215000,0,0,37500,38400,36600
