Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2014-07-15,6.32,87000,5.5(6.75 %),13480,1172760000,100000,8500000000,87000,87000,87000
2014-07-16,6.76,93000,6(6.90 %),17290,1607970000,500000,42500000000,93000,93000,93000
2014-07-17,7.23,99500,6.5(6.99 %),95120,9464440000,0,0,99500,99500,99500
2014-07-18,7.71,106000,6.5(6.53 %),134460,14253000000,0,0,106000,106000,106000
2014-07-21,7.71,106000,0(0.00 %),311030,33850000000,0,0,113000,113000,101000
2014-07-22,7.92,109000,3(2.83 %),568890,61431000000,0,0,104000,109000,104000
2014-07-23,7.92,109000,0(0.00 %),23330,2550000000,0,0,110000,110000,108000
2014-07-24,7.85,108000,-1(-0.92 %),33590,3630630000,0,0,108000,109000,108000
2014-07-25,7.85,108000,0(0.00 %),79630,8619000000,0,0,108000,109000,108000
2014-07-28,7.85,108000,0(0.00 %),93810,10137000000,0,0,108000,109000,108000
2014-07-29,7.71,106000,-2(-1.85 %),25300,2671000000,0,0,108000,108000,105000
2014-07-30,7.71,106000,0(0.00 %),16160,1700000000,0,0,107000,107000,105000
2014-07-31,7.49,103000,-3(-2.83 %),37400,3838000000,0,0,105000,105000,101000
2014-08-01,7.49,103000,0(0.00 %),28290,2944000000,0,0,105000,105000,102000
2014-08-04,7.49,103000,0(0.00 %),13350,1375000000,0,0,103000,103000,103000
2014-08-05,7.56,104000,1(0.97 %),21340,2239000000,0,0,104000,105000,104000
2014-08-06,7.78,107000,3(2.88 %),20800,2185000000,0,0,104000,107000,104000
2014-08-07,7.78,107000,0(0.00 %),17250,1838000000,0,0,107000,107000,106000
2014-08-08,7.78,107000,0(0.00 %),9190,981000000,0,0,106000,107000,106000
2014-08-11,8.29,114000,7(6.54 %),179250,20180000000,0,0,114000,114000,111000
2014-08-12,8.58,118000,4(3.51 %),64140,7448000000,20000,2140000000,115000,118000,115000
2014-08-13,9.01,124000,6(5.08 %),147010,17690000000,0,0,119000,125000,117000
2014-08-14,9.6,132000,8(6.45 %),149800,19460980000,0,0,124000,132000,124000
2014-08-15,10.25,141000,9(6.82 %),100130,14057000000,0,0,140000,141000,136000
2014-08-18,10.83,149000,8(5.67 %),29910,4405000000,0,0,146000,149000,144000
2014-08-19,10.11,139000,-10(-6.71 %),39150,5520000000,0,0,145000,148000,139000
2014-08-20,10.11,139000,0(0.00 %),46550,6256000000,0,0,131000,140000,131000
2014-08-21,9.81,135000,-4(-2.88 %),58570,8085000000,0,0,137000,139000,135000
2014-08-22,10.25,141000,6(4.44 %),45860,6367540000,0,0,135000,141000,135000
2014-08-25,10.47,144000,3(2.13 %),61190,8815000000,0,0,145000,146000,141000
2014-08-26,9.74,134000,-10(-6.94 %),29880,4059000000,0,0,144000,144000,134000
2014-08-27,9.96,137000,3(2.24 %),11450,1570440000,20000,2800000000,138000,140000,135000
2014-08-28,9.96,137000,0(0.00 %),5070,690280000,0,0,137000,137000,135000
2014-08-29,9.81,135000,-2(-1.46 %),15750,2098000000,0,0,137000,137000,130000
2014-09-03,9.81,135000,0(0.00 %),25120,3396000000,0,0,136000,136000,133000
2014-09-04,9.6,132000,-3(-2.22 %),37750,4939000000,0,0,134000,134000,130000
2014-09-05,9.89,136000,4(3.03 %),44760,6059000000,0,0,133000,136000,133000
2014-09-08,10.54,145000,9(6.62 %),171700,24234630000,0,0,138000,145000,136000
2014-09-09,10.83,149000,4(2.76 %),88810,13615190000,0,0,155000,155000,147000
2014-09-10,11.05,152000,3(2.01 %),23640,3553360000,0,0,153000,153000,146000
2014-09-11,11.05,152000,0(0.00 %),25860,3900470000,0,0,151000,154000,150000
2014-09-12,10.98,151000,-1(-0.66 %),44670,6709760000,0,0,152000,153000,149000
2014-09-15,11.05,152000,1(0.66 %),14500,2197520000,0,0,151000,153000,151000
2014-09-16,11.05,152000,0(0.00 %),65900,9924270000,0,0,151000,152000,150000
2014-09-17,11.05,152000,0(0.00 %),6430,976250000,0,0,154000,154000,150000
2014-09-18,11.2,154000,2(1.32 %),13030,1985900000,30000,4590000000,150000,154000,150000
2014-09-19,11.92,164000,10(6.49 %),20120,3244970000,0,0,157000,164000,157000
2014-09-22,12.72,175000,11(6.71 %),28590,4981980000,0,0,175000,175000,168000
2014-09-23,12.65,174000,-1(-0.57 %),13620,2437580000,0,0,180000,183000,174000
2014-09-24,12.58,173000,-1(-0.57 %),5790,1023550000,0,0,178000,178000,173000
2014-09-25,11.7,161000,-12(-6.94 %),30100,4897110000,0,0,170000,170000,161000
