Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2020-10-12,4.46,15800,-0.2(-1.25 %),536634,8641965200,0,0,16800,16800,15700
2020-10-13,4.52,16000,-0.1(-0.62 %),545206,8551661700,0,0,15700,16000,15600
2020-10-14,4.24,15000,-0.7(-4.46 %),811941,11851499200,0,0,14900,15100,14900
2020-10-15,4.24,15000,0.4(2.74 %),561213,8121940300,0,0,13950,15000,13950
2020-10-16,4.29,15200,0.7(4.83 %),304401,4553843700,0,0,14800,15300,14500
2020-10-19,4.24,15000,0(0.00 %),421911,6329597300,0,0,14900,15100,14800
2020-10-20,4.18,14800,-0.2(-1.33 %),196333,2909668600,500000,7500000000,15000,15000,14800
2020-10-21,4.52,15850,1.2(8.11 %),1279124,19507592700,300000,4500000000,14800,15850,14800
2020-10-22,4.41,15600,0.3(1.96 %),118158,1831144200,400000,5600000000,15500,15900,14900
2020-10-23,4.29,15200,-0.3(-1.94 %),175080,2673330400,0,0,15600,15600,15200
2020-10-26,4.29,15200,-0.1(-0.65 %),205157,3097861500,1370000,19180000000,15200,15200,14150
2020-10-27,4.24,15000,-0.1(-0.66 %),142071,2143766300,0,0,15100,15600,15000
2020-10-28,4.15,14700,-0.4(-2.65 %),293391,4384735700,130000,2015000000,14900,15500,14500
2020-10-29,4.18,14800,-0.1(-0.67 %),106987,1582712400,0,0,14900,14900,14700
2020-10-30,4.21,14900,0.1(0.68 %),75375,1105065600,0,0,14900,14900,13750
2020-11-02,4.24,15000,0.3(2.04 %),128684,1933423800,360000,5040000000,14900,15400,14000
2020-11-03,4.24,15000,0(0.00 %),51017,757017600,0,0,15000,15000,14300
2020-11-04,4.21,14900,0.1(0.68 %),44315,658487900,867000,13438500000,14900,15500,14800
2020-11-05,4.18,14800,-0.1(-0.67 %),52581,780749200,0,0,14900,14900,14800
2020-11-06,4.18,14800,0(0.00 %),201969,2961260700,0,0,14900,14900,14500
2020-11-09,4.12,14600,-0.1(-0.68 %),46727,682771900,780200,10922800000,14500,14700,14000
2020-11-10,4.12,14600,0(0.00 %),71501,1053408200,0,0,14800,14800,14600
2020-11-11,4.12,14600,-0.1(-0.68 %),61003,887761700,0,0,14500,14700,14500
2020-11-12,4.07,14400,-0.2(-1.37 %),84144,1213155700,0,0,14500,14700,14100
2020-11-13,4.04,14300,-0.1(-0.69 %),142426,2042480400,0,0,14500,14700,14200
2020-11-16,3.95,14000,-0.3(-2.10 %),192333,2697577500,0,0,14300,14300,13900
2020-11-17,3.95,14000,0(0.00 %),173905,2433445000,0,0,14000,14100,13900
2020-11-18,3.95,14000,0(0.00 %),163769,2303908400,0,0,14000,14700,14000
2020-11-19,3.95,14000,-0.1(-0.71 %),77782,1091416200,0,0,14200,14200,13900
2020-11-23,3.95,14000,0(0.00 %),137771,1922218000,0,0,14000,14000,13900
2020-11-24,3.95,14000,0(0.00 %),49150,685438000,3287000,43945300000,14000,15000,13000
2020-11-25,3.93,13900,0(0.00 %),140901,1957425500,0,0,13900,13900,13800
2020-11-26,3.93,13900,0(0.00 %),59267,821174600,0,0,13900,13900,13800
2020-11-30,3.9,13800,0(0.00 %),61801,855844800,0,0,13000,13900,13000
2020-12-01,3.87,13700,-0.2(-1.44 %),102253,1398670900,0,0,13800,13800,13400
2020-12-02,3.84,13600,-0.1(-0.73 %),77370,1057962000,0,0,13700,13800,13400
2020-12-03,3.84,13600,-0.1(-0.73 %),151385,2067199500,0,0,13700,13700,13600
2020-12-04,3.84,13600,-0.1(-0.73 %),95631,1298763100,0,0,13600,13700,13500
2020-12-07,3.93,13900,0.3(2.21 %),358468,4872931200,0,0,13500,13900,13300
2020-12-08,4.01,14200,0.6(4.41 %),212823,2963779300,0,0,13800,14300,13600
2020-12-09,4.32,15200,1.4(10.07 %),416812,6313404700,14200,168980000,14500,15200,13200
2020-12-10,4.24,15000,-0.1(-0.66 %),179078,2727018700,4936200,85396260000,15300,16350,15000
2020-12-11,4.15,14700,-0.5(-3.29 %),171801,2540410300,0,0,14900,14900,14400
2020-12-14,4.15,14700,-0.1(-0.68 %),119127,1760103000,0,0,14800,14900,14600
2020-12-15,4.15,14700,-0.1(-0.68 %),71472,1047813500,4936200,62196120000,14800,14800,13650
2020-12-16,4.15,14700,0(0.00 %),149416,2193090800,0,0,14700,14900,14600
2020-12-17,4.09,14500,-0.2(-1.36 %),78852,1150708500,0,0,14600,14800,14500
2020-12-18,4.12,14600,0(0.00 %),86293,1255887900,4145900,69236530000,14500,15500,14500
2020-12-21,4.15,14700,0.1(0.68 %),188770,2763176200,0,0,14600,14700,14500
2020-12-22,4.26,15100,0.5(3.42 %),335049,4992203000,0,0,14600,15200,14200
2020-12-23,4.35,15400,0.5(3.36 %),283487,4356627500,4145900,52652930000,15200,15500,14050
2020-12-24,4.24,15000,-0.4(-2.60 %),113100,1699946400,0,0,15400,15700,14600
2020-12-25,4.26,15100,0.1(0.67 %),109301,1637875800,161500,2067200000,15200,15200,13950
2020-12-28,4.21,14900,-0.1(-0.67 %),152396,2273961700,900000,15040000000,15000,16150,14800
2020-12-29,4.18,14800,-0.1(-0.67 %),89312,1319768300,0,0,14900,14900,14700
2020-12-30,4.18,14800,0(0.00 %),78558,1163309500,638800,10859600000,14800,15000,14700
2020-12-31,4.18,14800,0(0.00 %),127545,1887684400,700000,8820000000,14800,14900,13750
2021-01-04,4.18,14800,0(0.00 %),167617,2477706700,0,0,14800,14900,14700
2021-01-05,4.26,15100,0.3(2.03 %),317362,4774451100,838800,14259600000,14800,15850,14800
2021-01-06,4.35,15400,0.4(2.67 %),356886,5477692500,0,0,15100,15600,15000
2021-01-07,4.43,15700,0.4(2.61 %),321423,4966358000,0,0,15300,15700,15200
2021-01-08,4.55,16100,0.6(3.87 %),473821,7479368100,0,0,15700,16200,15200
2021-01-11,4.66,16500,0.7(4.43 %),363500,5897417300,0,0,16000,16600,15900
2021-01-12,4.6,16300,0.1(0.62 %),189610,3076291300,0,0,16500,16500,16000
2021-01-13,4.55,16100,-0.1(-0.62 %),340096,5441241600,0,0,16200,16300,15800
2021-01-14,4.49,15900,-0.1(-0.62 %),114203,1813777400,0,0,16000,16000,15800
2021-01-15,4.55,16100,0.2(1.26 %),150850,2407566600,0,0,15900,16100,15700
2021-01-18,4.52,16000,0(0.00 %),226161,3614379900,2799,38066400,16100,16100,14950
2021-01-19,4.35,15400,-0.6(-3.75 %),268558,4207348000,0,0,16000,16400,14900
