Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-25,6.41,94500,4.5(5.00 %),14880,1406160,0,0,94500,94500,94500
2006-12-26,6.71,99000,4.5(4.76 %),49910,4941090,0,0,99000,99000,99000
2006-12-27,6.98,103000,4(4.04 %),16000,1648000,0,0,103000,103000,103000
2006-12-28,7.32,108000,5(4.85 %),46910,5066280,0,0,108000,108000,108000
2006-12-29,7.59,112000,4(3.70 %),27620,3112160,0,0,113000,113000,112000
2007-01-02,7.32,108000,-4(-3.57 %),12830,1413000000,0,0,108000,112000,108000
2007-01-03,6.98,103000,-5(-4.63 %),15800,0,0,0,103000,103000,103000
2007-01-04,6.98,103000,0(0.00 %),23680,2439000000,0,0,103000,103000,103000
2007-01-05,7.05,104000,1(0.97 %),32740,0,0,0,104000,104000,103000
2007-01-08,7.39,109000,5(4.81 %),36100,600000000,0,0,109000,109000,109000
2007-01-09,7.73,114000,5(4.59 %),10900,1243000000,0,0,114000,114000,114000
2007-01-10,7.39,109000,-5(-4.39 %),11610,1278000000,0,0,114000,114000,109000
2007-01-11,7.39,109000,0(0.00 %),18270,1941000000,0,0,104000,109000,104000
2007-01-12,7.12,105000,-4(-3.67 %),7650,807000000,0,0,108000,108000,105000
2007-01-15,7.46,110000,5(4.76 %),24810,2729000000,0,0,110000,110000,110000
2007-01-16,7.8,115000,5(4.55 %),16490,1896000000,0,0,115000,115000,115000
2007-01-17,8.13,120000,5(4.35 %),27510,3301000000,0,0,120000,120000,120000
2007-01-18,8.52,125000,5.5(4.60 %),21040,2624000000,0,0,125000,125000,124000
2007-01-19,8.18,120000,-5(-4.00 %),46270,5656000000,0,0,125000,125000,120000
2007-01-22,7.77,114000,-6(-5.00 %),30580,3486000000,0,0,114000,114000,114000
2007-01-23,7.77,114000,0(0.00 %),13840,1578000000,0,0,114000,114000,114000
2007-01-24,7.9,116000,2(1.75 %),9940,1154000000,0,0,114000,119000,114000
2007-01-25,7.9,116000,0(0.00 %),13630,1587000000,0,0,120000,120000,115000
2007-01-26,7.83,115000,-1(-0.86 %),11350,1312000000,0,0,116000,116000,115000
2007-01-29,8.04,118000,3(2.61 %),13740,1612000000,0,0,118000,118000,116000
2007-01-30,8.11,119000,1(0.85 %),13880,1652000000,0,0,119000,119000,119000
2007-01-31,8.58,126000,6(5.00 %),43680,4368000000,0,0,120000,126000,120000
2007-02-01,8.31,122000,-4(-3.17 %),12860,1286000000,0,0,126000,126000,122000
2007-02-02,8.31,122000,0(0.00 %),18210,1821000000,0,0,122000,122000,122000
2007-02-05,8.65,127000,5(4.10 %),25100,3208000000,0,0,127000,128000,127000
2007-02-06,9.06,133000,6(4.72 %),27930,3672000000,0,0,133000,133000,130000
2007-02-07,9.47,139000,6(4.51 %),14100,1960000000,0,0,139000,139000,139000
2007-02-08,9.88,145000,6(4.32 %),51490,7466000000,0,0,145000,145000,145000
2007-02-09,10.36,152000,7(4.83 %),69270,10529000000,0,0,152000,152000,152000
2007-02-12,10.83,159000,7(4.61 %),10060,1600000000,0,0,159000,159000,159000
2007-02-13,11.31,166000,7(4.40 %),26050,4324000000,0,0,166000,166000,166000
2007-02-14,11.85,174000,8(4.82 %),35880,6243000000,0,0,174000,174000,174000
2007-02-15,12.26,180000,6(3.45 %),43410,7877000000,0,0,180000,182000,180000
2007-02-26,12.88,189000,9(5.00 %),7650,1446000000,0,0,189000,189000,189000
2007-02-27,13.49,198000,9(4.76 %),9480,1876000000,0,0,198000,198000,189000
2007-02-28,12.88,189000,-9(-4.55 %),29390,5642000000,0,0,189000,198000,189000
2007-03-01,13.49,198000,9(4.76 %),33700,6555000000,0,0,198000,198000,189000
2007-03-02,13.97,205000,7(3.54 %),34960,7193000000,0,0,207000,207000,204000
2007-03-05,14.31,210000,5(2.44 %),18330,3838000000,0,0,210000,210000,207000
2007-03-06,13.97,205000,-5(-2.38 %),25840,5406000000,0,0,205000,212000,205000
2007-03-07,14.31,210000,5(2.44 %),34700,7377000000,0,0,215000,215000,210000
2007-03-08,14.1,207000,-3(-1.43 %),25590,5235000000,0,0,200000,207000,200000
2007-03-09,14.65,215000,8(3.86 %),26570,5658000000,0,0,208000,215000,208000
2007-03-12,14.99,220000,5(2.33 %),38890,8460000000,0,0,215000,220000,215000
2007-03-13,14.65,215000,-5(-2.27 %),8760,1896000000,0,0,215000,220000,210000
2007-03-14,13.97,205000,-10(-4.65 %),10520,2157000000,0,0,205000,205000,205000
2007-03-15,13.28,195000,-10(-4.88 %),5120,998000000,0,0,195000,195000,195000
2007-03-16,13.9,204000,9(4.62 %),9300,1838000000,0,0,195000,204000,195000
2007-03-19,14.31,210000,6(2.94 %),22140,4621000000,0,0,204000,214000,204000
2007-03-20,13.63,200000,-10(-4.76 %),16860,3418000000,0,0,205000,205000,200000
2007-03-21,13.63,200000,0(0.00 %),9380,1864000000,0,0,200000,200000,195000
2007-03-22,13.63,200000,0(0.00 %),12520,2504000000,0,0,200000,200000,200000
2007-03-23,13.35,196000,-4(-2.00 %),14560,2854000000,0,0,195000,198000,195000
2007-03-26,12.94,190000,-6(-3.06 %),7000,1319000000,0,0,187000,190000,187000
