Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-02-19,6.36,21600,0(0.00 %),175760,3670890000,125000,2700000000,20600,21800,20600
2009-02-20,6.33,21500,-0.1(-0.46 %),109820,2346542000,50000,1080000000,20700,21500,20600
2009-02-23,6.06,20600,-0.9(-4.19 %),180970,3774993000,80000,1710000000,21500,21500,20600
2009-02-24,5.8,19700,-0.9(-4.37 %),95490,1932162000,0,0,20600,21500,19700
2009-02-25,6.06,20600,0.9(4.57 %),37340,769204000,255000,5253000000,19700,20600,19700
2009-02-26,6.36,21600,1(4.85 %),119680,2550930000,100000,2160000000,20600,21600,20600
2009-02-27,6.36,21600,0(0.00 %),68350,1461580000,80000,1752000000,21600,21900,20700
2009-03-02,6.36,21600,0(0.00 %),28060,591435000,100000,2160000000,21600,21900,20700
2009-03-03,6.21,21100,0.1(0.48 %),60960,1279466000,0,0,21000,21100,20900
2009-03-04,6.24,21200,0.1(0.47 %),49400,1059448000,63000,1266300000,21100,21600,21100
2009-03-05,6.24,21200,0(0.00 %),68370,1464045000,25000,530000000,21200,21500,21200
2009-03-06,6.53,22200,1(4.72 %),98720,2134814000,20000,424000000,21200,22200,21000
2009-03-09,6.56,22300,0.1(0.45 %),62000,1389027000,40000,888000000,22200,23300,22000
2009-03-10,6.62,22500,0.2(0.90 %),39700,884370000,0,0,22300,22500,22000
2009-03-11,6.77,23000,0.5(2.22 %),105180,2404198000,0,0,22500,23200,22500
2009-03-12,7.09,24100,1.1(4.78 %),102530,2389470000,0,0,23000,24100,22500
2009-03-13,7.21,24500,0.4(1.66 %),31040,753056000,0,0,24100,24800,24000
2009-03-16,7.42,25200,0.7(2.86 %),48640,1219291000,0,0,24500,25500,24500
2009-03-17,7.59,25800,0.6(2.38 %),46100,1183966000,0,0,25200,25800,25200
2009-03-18,7.59,25800,0(0.00 %),58160,1495228000,0,0,25800,26300,25400
2009-03-19,7.59,25800,0(0.00 %),63710,1631584000,0,0,25800,25900,25200
2009-03-20,7.39,25100,-0.7(-2.71 %),45560,1140979000,0,0,25800,25800,24700
2009-03-23,7.42,25200,0.1(0.40 %),91310,2295550000,100000,2390000000,25100,26000,25000
2009-03-24,7.74,26300,1.1(4.37 %),70900,1861625000,0,0,25200,26400,25200
2009-03-25,8.08,26000,-0.3(-1.14 %),54730,1403139000,50000,1300000000,26300,26300,25400
2009-03-26,8.11,26100,0.1(0.38 %),56810,1484901000,0,0,26000,26300,26000
2009-03-27,8.08,26000,-0.1(-0.38 %),53970,1405600000,20000,522000000,26100,26200,26000
2009-03-30,8.08,26000,0(0.00 %),26830,696556000,0,0,25500,26200,25500
2009-03-31,7.9,25400,-0.6(-2.31 %),68820,1778989000,0,0,26000,26000,25400
2009-04-01,7.93,25500,0.1(0.39 %),64550,1659296000,0,0,26000,26000,25500
2009-04-02,7.83,25200,-0.3(-1.18 %),39990,1008188000,48200,1229100000,25500,25500,24600
2009-04-03,8.08,26000,0.8(3.17 %),172740,4406472000,0,0,25200,26000,25100
2009-04-07,8.49,27300,1.3(5.00 %),255740,6719167000,0,0,26000,27300,25400
2009-04-08,8.08,26000,-1.3(-4.76 %),85740,2388260000,0,0,27300,28400,26000
2009-04-09,8.49,27300,1.3(5.00 %),298310,8127422000,50000,1365000000,26000,27300,26000
2009-04-10,8.89,28600,1.3(4.76 %),2000,57200000,40000,1040000000,27300,28600,27300
2009-04-13,9.33,30000,1.4(4.90 %),13920,417600000,40000,1144000000,30000,30000,30000
2009-04-14,9.79,31500,1.5(5.00 %),163690,5016607000,20000,570000000,30000,31500,29900
2009-04-15,10.26,33000,1.5(4.76 %),346530,11365441000,0,0,31500,33000,31500
2009-04-16,10.26,33000,0(0.00 %),165200,5658701000,20000,628000000,34600,34600,32000
2009-04-17,9.76,31400,-1.6(-4.85 %),90340,2860213000,0,0,33000,33000,31400
2009-04-20,9.3,29900,-1.5(-4.78 %),20880,624312000,52000,1554800000,29900,29900,29900
2009-04-21,8.86,28500,-1.4(-4.68 %),6270,178695000,0,0,28500,28500,28500
2009-04-22,8.86,28500,0(0.00 %),229470,6425102000,0,0,27500,29000,27100
2009-04-23,8.58,27600,-0.9(-3.16 %),121780,3395947000,0,0,28500,28500,27200
2009-04-24,8.71,28000,0.4(1.45 %),70370,1904026000,20000,526000000,26700,28000,26600
2009-04-27,8.71,28000,0(0.00 %),70760,1966385000,0,0,28000,28100,27500
2009-04-28,8.71,28000,0(0.00 %),87180,2434045000,0,0,27700,28000,27600
2009-04-29,8.77,28200,0.2(0.71 %),138810,3898794000,0,0,28000,28300,27900
2009-05-04,9.2,29600,1.4(4.96 %),42230,1250008000,0,0,29600,29600,29600
2009-05-05,9.51,30600,1(3.38 %),255000,7871881000,0,0,31000,31000,30000
2009-05-06,9.3,29900,-0.7(-2.29 %),174450,5234548000,20000,582000000,29500,30600,29300
2009-05-07,9.26,29800,-0.1(-0.33 %),170420,5081620000,0,0,30500,30500,29000
2009-05-08,9.26,29800,0(0.00 %),141070,4191265000,0,0,28700,30000,28700
2009-05-11,9.42,30300,0.5(1.68 %),157560,4745308000,0,0,30400,30400,29500
2009-05-12,9.89,31800,1.5(4.95 %),260490,8143961000,88060,2686128000,30300,31800,30200
2009-05-13,10.35,33300,1.5(4.72 %),274600,9084715000,400000,13320000000,32900,33300,32100
2009-05-14,10.85,34900,1.6(4.80 %),131470,4587953000,0,0,34900,34900,34800
2009-05-15,11.38,36600,1.7(4.87 %),130960,4792901000,0,0,36600,36600,36000
2009-05-18,11.57,37200,0.6(1.64 %),176200,6588835000,0,0,37500,38000,36600
2009-05-19,11.57,37200,0(0.00 %),231660,8626656000,0,0,37900,37900,36500
2009-05-20,11.85,38100,0.9(2.42 %),376250,14120393000,0,0,36700,39000,36700
2009-05-21,12.44,40000,1.9(4.99 %),282780,11171033000,0,0,38100,40000,38100
2009-05-22,12.47,40100,0.1(0.25 %),177460,7147667000,0,0,40200,41900,39500
2009-05-25,12.75,41000,0.9(2.24 %),206310,8430833000,0,0,41000,41400,40200
2009-05-26,12.13,39000,-2(-4.88 %),246250,9658943000,0,0,40000,40000,39000
2009-05-27,12.4,39900,0.9(2.31 %),446380,16849994000,0,0,37500,39900,37100
2009-05-28,12.0,38600,-1.3(-3.26 %),227560,8750675000,276000,10488000000,38500,39500,38000
2009-05-29,11.5,37000,-1.6(-4.15 %),98550,3688011000,0,0,38600,38600,36900
2009-06-01,11.75,37800,0.8(2.16 %),144180,5455470000,0,0,37000,38500,37000
2009-06-02,11.81,38000,0.2(0.53 %),262310,10150543000,30000,1140000000,39400,39400,38000
2009-06-03,11.53,37100,-0.9(-2.37 %),215270,8018547000,0,0,37300,37800,37000
2009-06-04,11.81,38000,0.9(2.43 %),463100,17547462000,0,0,37100,38400,37100
2009-06-05,12.4,39900,1.9(5.00 %),318270,12698958000,0,0,39900,39900,39800
2009-06-08,13.0,41800,1.9(4.76 %),351290,14440248000,0,0,39000,41800,39000
2009-06-09,13.28,42700,0.9(2.15 %),207300,8736036000,0,0,41100,43500,41100
2009-06-10,12.62,40600,-2.1(-4.92 %),228100,9290044000,0,0,40800,41100,40600
2009-06-11,13.24,42600,2(4.93 %),495730,20669506000,0,0,41000,42600,40600
2009-06-12,13.9,44700,2.1(4.93 %),110110,4921917000,0,0,44700,44700,44700
2009-06-15,14.58,46900,2.2(4.92 %),83360,3909584000,70000,3283000000,46900,46900,46900
2009-06-16,15.3,49200,2.3(4.90 %),969060,47583390000,0,0,49200,49200,45500
2009-06-17,14.89,47900,-1.3(-2.64 %),303240,14734217000,0,0,49300,49300,47500
2009-06-18,14.58,46900,-1(-2.09 %),162500,7768829000,0,0,49000,49000,46000
2009-06-19,13.87,44600,-2.3(-4.90 %),347640,15658747000,0,0,45900,46200,44600
2009-06-22,13.18,42400,-2.2(-4.93 %),53850,2283240000,0,0,42400,42400,42400
2009-06-23,12.53,40300,-2.1(-4.95 %),2740,110422000,0,0,40300,40300,40300
2009-06-24,13.15,42300,2(4.96 %),466310,18448124000,60000,2538000000,38300,42300,38300
2009-06-25,12.96,41700,-0.6(-1.42 %),370580,15272782000,0,0,42300,42300,40200
2009-06-26,12.9,41500,-0.2(-0.48 %),85610,3532242000,0,0,40400,41500,40400
2009-06-29,12.31,39600,-1.9(-4.58 %),103930,4211641000,0,0,40600,41500,39600
2009-06-30,12.59,40500,0.9(2.27 %),195230,7787889000,20000,830000000,40700,41200,37800
2009-07-01,11.97,38500,-2(-4.94 %),37320,1442775000,0,0,39100,39100,38500
2009-07-02,11.97,38500,0(0.00 %),60530,2331433000,0,0,38900,38900,38000
2009-07-03,12.56,40400,1.9(4.94 %),179950,7234631000,0,0,40000,40400,38900
2009-07-06,13.18,42400,2(4.95 %),108640,4606336000,20000,848000000,42400,42400,42400
2009-07-07,13.37,43000,0.6(1.42 %),205790,8936815000,0,0,42400,44000,42400
2009-07-08,13.37,43000,0(0.00 %),32820,1415180000,0,0,43000,43500,42500
2009-07-09,13.21,42500,-0.5(-1.16 %),125940,5384235000,0,0,42000,44400,42000
2009-07-10,12.59,40500,-2(-4.71 %),78030,3197139000,20000,850000000,42500,42500,40400
2009-07-13,12.0,38600,-1.9(-4.69 %),57180,2234555000,0,0,40500,40500,38600
2009-07-14,11.88,38200,-0.4(-1.04 %),66380,2517238000,0,0,38100,38500,37500
2009-07-15,11.88,38200,0(0.00 %),66630,2578231000,0,0,39600,39600,38200
2009-07-16,12.13,39000,0.8(2.09 %),24370,957531000,20000,800000000,39900,39900,38300
2009-07-17,12.09,38900,-0.1(-0.26 %),40060,1561501000,0,0,39500,39500,38700
2009-07-20,11.81,38000,-0.9(-2.31 %),39540,1488395000,0,0,37300,38000,37300
2009-07-21,11.94,38400,0.4(1.05 %),84840,3266867000,40000,1520000000,38500,39000,38000
2009-07-22,11.88,38200,-0.2(-0.52 %),28960,1106646000,44800,1720320000,38500,38500,38200
2009-07-23,12.47,40100,1.9(4.97 %),138230,5313256000,0,0,38200,40100,38100
2009-07-24,13.09,42100,2(4.99 %),196130,8257073000,0,0,42100,42100,42100
2009-07-27,13.09,42100,0(0.00 %),81070,3456037000,0,0,42800,42900,42100
2009-07-28,13.03,41900,-0.2(-0.48 %),106990,4460004000,0,0,41100,42000,41000
