Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-07-14,7.75,50000,2.4(5.04 %),6800,332380000,0,0,49000,50000,44300
2010-07-15,7.05,46500,-3.4(-6.95 %),5100,232260000,0,0,46500,46500,46500
2010-07-16,7.51,48500,3(6.59 %),4700,222950000,0,0,46000,48500,46000
2010-07-19,6.83,45100,-3.3(-6.96 %),6900,306290000,0,0,47000,47000,45100
2010-07-20,6.51,42000,-2.4(-5.41 %),3600,149610000,0,0,41600,42000,41300
2010-07-21,6.89,44500,2.9(6.97 %),9900,408900000,0,0,40000,44500,39050
2010-07-22,6.51,42000,0.7(1.69 %),6100,260040000,0,0,42500,44100,42000
2010-07-23,6.35,41000,-1.6(-3.76 %),1700,71200000,0,0,43000,43000,41000
2010-07-26,6.2,40000,-1.9(-4.53 %),3500,140750000,0,0,41500,41500,40000
2010-07-27,5.89,38000,-2.2(-5.47 %),600,22820000,0,0,38200,38200,38000
2010-07-28,5.48,35400,-2.6(-6.84 %),7000,247840000,0,0,35400,35600,35400
2010-07-29,5.27,34000,-1.4(-3.95 %),11000,364300000,0,0,33500,36000,33000
2010-07-30,5.48,35400,2.3(6.95 %),13200,464380000,0,0,33000,35400,33000
2010-08-02,5.83,37600,2.4(6.82 %),10700,394240000,300000,10200000000,36200,37600,36000
2010-08-03,6.09,39300,2.5(6.79 %),22000,848800000,0,0,38100,39300,37500
2010-08-04,6.35,41000,2.4(6.22 %),7800,294700000,0,0,39000,41000,36550
2010-08-05,5.45,38150,-2.6(-6.88 %),2600,91560000,0,0,38150,38150,38150
2010-08-06,5.1,32900,-2.3(-6.53 %),8800,290030000,0,0,33100,33100,32800
2010-08-09,5.47,35200,2.3(6.97 %),18600,631610000,0,0,34000,35200,31000
2010-08-10,5.35,34500,0.5(1.47 %),500,17100000,0,0,34000,34500,34000
2010-08-11,5.58,36000,1.8(5.26 %),100,3600000,0,0,36000,36000,36000
2010-08-12,5.19,33500,-2.5(-6.94 %),1100,36850000,0,0,33500,33500,33500
2010-08-13,4.83,31200,-2.3(-6.87 %),2000,62500000,0,0,31300,31300,31200
2010-08-16,5.16,33300,2(6.39 %),24900,749770000,0,0,33000,33300,29200
2010-08-17,4.57,30950,-0.6(-1.99 %),5000,146500000,0,0,30950,30950,30950
2010-08-18,4.49,29000,-0.3(-1.02 %),1200,36260000,0,0,31000,31300,29000
2010-08-19,4.35,28100,-2.1(-6.95 %),4500,126660000,0,0,28500,28500,28100
2010-08-20,4.25,27400,-0.7(-2.49 %),1700,47700000,0,0,28100,28100,27400
2010-08-23,4.06,26200,-1.9(-6.76 %),1400,36680000,0,0,26200,26200,26200
