Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-09-12,11.57,75000,-6.3(-7.75 %),8700,638720000,0,0,80000,80000,70000
2017-09-13,11.27,73000,-0.4(-0.54 %),60000,4331690000,0,0,71000,73100,71000
2017-09-14,11.27,73000,0.8(1.11 %),28600,2070840000,25600,2048000000,71000,73000,71000
2017-09-15,11.73,76000,3.6(4.97 %),19200,1421450000,4100,328000000,72000,76000,71800
2017-09-18,11.88,77000,3(4.05 %),17000,1298510000,3400,272000000,75000,77000,75000
2017-09-19,12.19,79000,2.6(3.40 %),31600,2454750000,0,0,75200,80000,75200
2017-09-20,12.35,80000,2.3(2.96 %),55300,4328410000,0,0,77700,80500,73500
2017-09-21,12.44,80600,2.3(2.94 %),10200,826880000,0,0,80500,81500,80400
2017-09-22,12.41,80400,-0.7(-0.86 %),12600,1019460000,0,0,80300,81100,80300
2017-09-25,12.64,81900,1(1.24 %),15200,1233340000,0,0,80100,81900,80100
2017-09-26,12.7,82300,1.2(1.48 %),21100,1721680000,0,0,81300,82300,81300
2017-09-27,12.96,84000,2.4(2.94 %),8100,680550000,0,0,83000,84500,83000
2017-09-28,13.43,87000,3(3.57 %),9300,803650000,0,0,84500,87000,84500
2017-09-29,13.41,86900,0.5(0.58 %),8800,766280000,0,0,87500,88000,86500
2017-10-02,12.82,83100,-4(-4.59 %),8300,709670000,0,0,85000,87000,83100
2017-10-03,12.96,84000,-1.5(-1.75 %),1500,125550000,0,0,85500,85500,81600
2017-10-04,12.67,82100,-1.6(-1.91 %),16200,1328550000,0,0,82000,82100,82000
2017-10-05,13.2,85500,3.5(4.27 %),43500,3712850000,0,0,82500,85500,82500
2017-10-06,12.96,84000,-1.4(-1.64 %),1500,125160000,0,0,83400,84000,83200
2017-10-09,12.89,83500,0.1(0.12 %),1100,91750000,0,0,83400,83500,83400
2017-10-10,13.1,84900,1.5(1.80 %),69900,5929560000,0,0,82000,85000,82000
2017-10-11,12.84,83200,-1.6(-1.89 %),1400,118280000,0,0,85000,85000,83200
2017-10-12,12.9,83600,-0.9(-1.07 %),2300,194880000,0,0,84900,84900,83600
2017-10-13,12.96,84000,-0.7(-0.83 %),33600,2849150000,0,0,84900,84900,84000
2017-10-16,12.89,83500,-1.3(-1.53 %),1100,91850000,0,0,83500,83500,83500
2017-10-17,12.81,83000,-0.5(-0.60 %),100,8300000,0,0,83000,83000,83000
2017-10-18,12.81,83000,0(0.00 %),6500,539600000,0,0,83100,83100,83000
2017-10-19,12.81,83000,0(0.00 %),1300,107900000,0,0,83000,83000,83000
2017-10-20,12.81,83000,0(0.00 %),1300,107900000,0,0,83000,83000,83000
2017-10-23,12.73,82500,-0.5(-0.60 %),2400,199000000,0,0,83000,83000,82500
2017-10-24,12.81,83000,0.1(0.12 %),4000,331000000,0,0,82000,83000,82000
2017-10-25,12.78,82800,0(0.00 %),0,0,0,0,82800,82800,82800
2017-10-26,12.78,82800,0(0.00 %),0,0,0,0,82800,82800,82800
2017-10-27,12.78,82800,0(0.00 %),0,0,0,0,82800,82800,82800
2017-10-30,12.81,83000,0.2(0.24 %),1500,122150000,0,0,81200,83000,81000
2017-10-31,12.05,78100,-3.3(-4.05 %),4100,327810000,0,0,80000,80000,78100
2017-11-01,12.11,78500,-1.5(-1.88 %),1200,94200000,0,0,78500,78500,78500
2017-11-02,12.04,78000,-0.5(-0.64 %),2200,172100000,0,0,78500,78500,78000
2017-11-03,12.07,78200,0(0.00 %),0,0,0,0,78200,78200,78200
2017-11-06,12.07,78200,0(0.00 %),0,0,0,0,78200,78200,78200
2017-11-07,12.35,80000,1.8(2.30 %),2000,160000000,0,0,80000,80000,80000
2017-11-09,12.35,80000,0(0.00 %),23400,1872000000,0,0,80000,80000,80000
2017-11-10,12.35,80000,0(0.00 %),0,0,0,0,80000,80000,80000
2017-11-13,12.96,84000,4(5.00 %),12100,992400000,0,0,82000,84000,82000
2017-11-14,12.65,82000,0(0.00 %),1000,82050000,0,0,82100,82100,82000
2017-11-15,12.67,82100,0(0.00 %),2200,176050000,0,0,77000,82200,77000
2017-11-16,12.73,82500,2.5(3.12 %),400,33000000,0,0,82500,82500,82500
2017-11-17,12.89,83500,1(1.21 %),200,16700000,0,0,83500,83500,83500
2017-11-20,12.9,83600,0.1(0.12 %),700,58500000,0,0,83500,83600,83500
2017-11-21,12.9,83600,0(0.00 %),3200,267500000,0,0,83500,83600,83500
2017-11-22,12.9,83600,0(0.00 %),3900,326040000,0,0,83600,83600,83600
2017-11-23,12.9,83600,0(0.00 %),9600,802560000,0,0,83600,83600,83600
2017-11-24,12.9,83600,0(0.00 %),1000,83600000,0,0,83600,83600,83600
2017-11-27,12.9,83600,0(0.00 %),800,66880000,0,0,83600,83600,83600
2017-11-28,12.19,79000,-4.6(-5.50 %),10000,790000000,0,0,79000,79000,79000
2017-11-29,13.58,84500,9(11.39 %),500,43700000,0,0,84500,84500,84500
