Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-12-04,3.8,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2017-12-05,3.8,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2017-12-06,3.8,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2017-12-07,3.8,20000,0(0.00 %),0,0,0,0,20000,20000,20000
2017-12-08,5.32,21400,8(40.00 %),45000,1260000000,0,0,21400,21400,21400
2017-12-11,6.12,29950,4.2(15.00 %),40000,1288000000,0,0,29950,29950,29950
2017-12-12,7.03,34450,4.8(14.91 %),40000,1480000000,0,0,34450,34450,34450
2017-12-13,7.6,39600,3(8.11 %),13000,504990000,0,0,39600,39600,37000
2017-12-14,6.63,37200,-3.9(-10.05 %),15900,535160000,0,0,40000,40000,37200
2017-12-15,6.44,33900,0.2(0.59 %),8300,276390000,0,0,34000,34000,33000
2017-12-18,6.31,33200,-0.1(-0.30 %),5900,194950000,0,0,33300,33300,33000
2017-12-19,6.27,33000,0(0.00 %),1000,33000000,0,0,33000,33000,33000
2017-12-20,5.51,30700,-4(-12.12 %),9100,263640000,0,0,32500,32500,30700
2017-12-21,6.31,31050,4.2(14.48 %),36430,1034322500,10000,247000000,28700,31050,27800
2017-12-22,5.43,30900,0.2(0.70 %),2700,77641500,0,0,30900,32400,30900
2017-12-25,4.75,26600,-3.8(-13.19 %),57950,1440650000,0,0,28600,28600,26600
2017-12-26,4.69,24700,-0.2(-0.80 %),10190,252480000,0,0,26750,26750,24700
2017-12-27,4.69,24700,-0.1(-0.40 %),139511,3083850000,0,0,26000,26000,22950
2017-12-28,4.83,25400,3.3(14.93 %),6575,165257000,4458564,90295120800,25000,25400,25000
2017-12-29,5.22,27200,2.4(9.56 %),2505,70811000,0,0,27200,27200,26000
2018-01-02,5.87,29400,2.6(9.19 %),300,8710000,0,0,28100,29400,28100
2018-01-03,5.34,28750,-0.9(-3.10 %),1834,52612000,0,0,28750,29000,28750
2018-01-04,5.4,28400,-0.3(-1.05 %),2400,67480000,0,0,28100,28400,28000
2018-01-05,5.34,28100,0(0.00 %),200,5620000,0,0,28100,28100,28100
2018-01-08,5.79,30050,2.4(8.54 %),3670,107277800,0,0,28500,30050,28200
2018-01-09,5.78,30400,1.1(3.75 %),5000,151250000,59800,1495000000,30000,30500,30000
2018-01-10,5.79,30500,0.2(0.66 %),2700,81150000,0,0,30000,30500,30000
2018-01-11,5.72,30100,0(0.00 %),2010,60495000,0,0,30100,30100,30100
2018-01-12,5.7,30000,-0.1(-0.33 %),400,11570000,0,0,28000,30100,28000
2018-01-15,5.34,28100,-0.8(-2.77 %),500,14050000,0,0,28100,28100,28100
2018-01-16,5.68,29900,1.8(6.41 %),100,2990000,0,0,29900,29900,29900
2018-01-17,5.17,27800,-2.7(-9.03 %),1700,46120000,0,0,27800,27800,27800
2018-01-18,5.32,28000,0.9(3.32 %),5900,162600000,0,0,27200,28000,27200
2018-01-19,6.0,29950,4(14.49 %),21600,684600000,0,0,29950,29950,29950
2018-01-22,5.98,31500,-0.2(-0.63 %),9300,290240000,0,0,32000,32000,30000
2018-01-23,6.08,32000,0.8(2.56 %),7093,219933000,0,0,31100,32000,30000
2018-01-24,5.81,30600,-0.4(-1.29 %),2667,81503000,5,132000,31000,31000,30400
2018-01-25,5.89,31000,0.3(0.98 %),7521,231494700,0,0,30700,31000,30700
2018-01-26,5.89,31000,0.2(0.65 %),1300,39980000,0,0,31000,31000,30700
2018-01-29,5.74,30200,-0.6(-1.95 %),277,8360000,0,0,30300,30300,30200
2018-01-30,5.89,31000,0.7(2.31 %),5800,185450000,0,0,31900,32000,31000
2018-01-31,6.23,32800,0.8(2.50 %),3600,115920000,0,0,32000,32800,32000
2018-02-01,6.12,32200,0(0.00 %),320,10416000,0,0,33300,33300,32200
2018-02-02,6.78,34450,3.1(9.51 %),4591,160795200,0,0,32700,34450,32700
2018-02-05,7.22,38000,2.9(8.26 %),7300,277080000,0,0,36000,38200,36000
2018-02-06,6.84,36000,-2(-5.26 %),12400,443000000,0,0,36900,36900,35350
2018-02-07,7.41,38500,3.3(9.24 %),1300,50300000,0,0,36000,38500,36000
2018-02-08,7.79,41000,2.3(5.94 %),18900,757150000,0,0,38700,41000,38700
2018-02-09,8.25,43400,3.3(8.23 %),11910,500210000,0,0,41000,43400,41000
2018-02-12,9.18,46450,6.3(15.00 %),23400,1109810000,0,0,45000,46450,45000
2018-02-13,9.58,50400,3(6.33 %),10300,504230000,40,1612000,48000,51700,48000
2018-02-21,9.31,49000,0(0.00 %),9200,453490000,0,0,51000,51000,49000
2018-02-22,9.4,49500,0.2(0.41 %),10700,534000000,0,0,49300,51000,48900
2018-02-23,9.46,49800,-0.1(-0.20 %),8424,421425200,0,0,49700,51000,49600
2018-02-26,9.88,52000,2(4.00 %),16252,840564200,0,0,49000,53000,49000
2018-02-27,9.88,52000,0.3(0.58 %),13520,707622000,0,0,51000,53000,51000
2018-02-28,9.77,51400,-0.9(-1.72 %),6300,326090000,0,0,52300,52500,51400
2018-03-01,9.88,52000,0.2(0.39 %),16110,835900000,0,0,51800,52400,51700
2018-03-02,10.31,48400,2.1(4.58 %),3800,182920000,0,0,50000,50000,48400
2018-03-05,9.13,44650,-5.6(-11.64 %),7000,312830000,0,0,46100,46200,44650
2018-03-06,8.49,39500,-5.2(-11.63 %),15300,611550000,0,0,42100,43000,39500
2018-03-07,9.45,42250,4(10.00 %),2500,108460000,0,0,42250,42250,42250
2018-03-08,9.5,44200,0.8(1.84 %),8900,396360000,0,0,43000,45000,43000
2018-03-09,9.99,46500,2(4.49 %),9300,424450000,0,0,44500,46500,44500
2018-03-12,9.5,44200,-1.4(-3.07 %),10710,488255000,0,0,46600,47500,44200
2018-03-13,9.67,45000,-0.6(-1.32 %),6100,274740000,0,0,45000,45600,45000
2018-03-14,9.77,45500,0.5(1.11 %),1100,50200000,0,0,48150,48150,45000
2018-03-15,9.56,44500,-1.1(-2.41 %),4200,187640000,0,0,45000,45000,44500
2018-03-16,9.67,45000,0.3(0.67 %),7700,342750000,0,0,44500,45000,44500
2018-03-19,9.58,44600,0.1(0.22 %),3900,173580000,0,0,44500,44600,44500
2018-03-20,9.45,44000,-0.5(-1.12 %),4500,197700000,4,151600,44500,44500,43500
2018-03-21,9.34,43500,-0.4(-0.91 %),7200,313340000,0,0,43600,43600,43500
2018-03-22,9.6,44700,1.2(2.76 %),2400,104520000,0,0,43500,44700,43500
2018-03-23,9.67,45000,1.4(3.21 %),100,4500000,0,0,45000,45000,45000
2018-03-26,9.67,45000,0(0.00 %),5300,238500000,0,0,45000,45000,45000
2018-03-27,9.67,45000,0(0.00 %),4400,198000000,0,0,45000,45000,45000
2018-03-28,9.67,45000,0(0.00 %),2300,103500000,0,0,45000,45000,45000
2018-03-29,9.24,43000,-2(-4.44 %),4600,202240000,0,0,45000,45000,43000
2018-03-30,9.45,44000,0(0.00 %),3000,128660000,0,0,43000,44000,40500
2018-04-02,9.67,45000,2.1(4.90 %),400,17620000,0,0,43000,45000,43000
2018-04-03,9.88,46000,1.9(4.31 %),100,4600000,0,0,46000,46000,46000
2018-04-04,9.88,46000,0(0.00 %),3500,160680000,0,0,46000,46200,45000
2018-04-05,9.5,44200,-1.7(-3.70 %),1600,70720000,0,0,44200,44200,44200
2018-04-06,9.67,45000,0.8(1.81 %),1700,76850000,0,0,44500,46000,44500
2018-04-09,9.84,45800,0.6(1.33 %),2500,114100000,0,0,45000,45800,45000
2018-04-10,9.8,45600,0(0.00 %),1000,45600000,0,0,45600,45600,45600
2018-04-11,9.69,45100,-0.5(-1.10 %),900,40940000,0,0,45600,45600,45100
2018-04-12,9.75,45400,-0.1(-0.22 %),400,17870000,0,0,42500,45400,42500
2018-04-13,9.6,44700,0(0.00 %),0,0,0,0,44700,44700,44700
2018-04-16,9.34,43500,-1.2(-2.68 %),900,38880000,0,0,43000,43500,43000
2018-04-17,9.67,45000,1.8(4.17 %),600,26310000,0,0,43800,45000,43500
2018-04-18,9.45,44000,0.1(0.23 %),600,26400000,0,0,44000,44000,44000
2018-04-19,9.45,44000,0(0.00 %),600,26400000,0,0,44000,44000,44000
2018-04-20,9.45,44000,0(0.00 %),100,4400000,0,0,44000,44000,44000
2018-04-23,9.45,44000,0(0.00 %),2700,119410000,0,0,44300,44300,44000
2018-04-24,9.47,44100,-0.1(-0.23 %),5300,232150000,0,0,44300,44300,43500
2018-04-26,9.41,43800,0(0.00 %),4400,192720000,0,0,43800,43800,43800
2018-04-27,9.54,44400,0.6(1.37 %),2000,88710000,0,0,44500,44500,44300
2018-05-02,9.54,44400,0(0.00 %),1100,48820000,0,0,44200,44400,44200
2018-05-03,9.52,44300,-0.1(-0.23 %),3300,146440000,0,0,44500,44500,44300
2018-05-04,9.54,44400,0(0.00 %),3000,133200000,0,0,44400,44400,44400
2018-05-07,10.31,47500,3.6(8.11 %),2800,133220000,0,0,47500,47500,47000
2018-05-08,10.23,47600,0(0.00 %),1800,85680000,0,0,47600,47600,47600
2018-05-09,10.2,47500,-0.1(-0.21 %),3000,142770000,0,0,47600,47600,47500
2018-05-10,10.23,47600,0(0.00 %),1100,52720000,0,0,48000,49000,47600
2018-05-11,10.42,48500,0.6(1.25 %),5500,264850000,0,0,48000,49000,47900
2018-05-14,11.6,51900,5.8(12.03 %),3700,193500000,0,0,49000,51900,49000
2018-05-15,11.06,51500,-0.8(-1.53 %),3900,201200000,200900,8940050000,52000,52000,51000
2018-05-16,10.81,50300,-1.3(-2.52 %),2700,137900000,0,0,51500,51500,50300
2018-05-17,11.06,51500,0.4(0.78 %),4300,223200000,0,0,51500,52000,51500
2018-05-18,11.17,52000,0.1(0.19 %),700,35770000,0,0,52000,52000,50100
2018-05-21,10.78,50200,-0.9(-1.76 %),1500,75430000,0,0,50500,50500,50200
2018-05-22,10.96,51000,0.7(1.39 %),300,15300000,0,0,51000,51000,51000
2018-05-23,10.81,50300,-0.7(-1.37 %),1400,70420000,0,0,50300,50300,50300
2018-05-24,10.81,50300,0(0.00 %),800,40240000,0,0,50300,50300,50300
2018-05-25,11.06,51500,1.2(2.39 %),1940,98020000,0,0,50500,52000,50300
2018-05-28,10.81,50300,-0.3(-0.59 %),1900,95690000,0,0,50500,50500,50300
2018-05-29,10.96,51000,0.6(1.19 %),200,10200000,0,0,51000,51000,51000
2018-05-30,10.85,50500,-0.5(-0.98 %),940,47465000,0,0,50500,50500,50500
2018-05-31,11.06,51500,1(1.98 %),1330,67290000,0,0,50300,51500,50300
2018-06-01,10.89,50700,0(0.00 %),0,0,0,0,50700,50700,50700
2018-06-04,10.89,50700,0(0.00 %),200,10140000,0,0,50700,50700,50700
2018-06-05,10.85,50500,-0.2(-0.39 %),330,15772000,0,0,47200,50500,47200
2018-06-06,10.78,50200,2.7(5.68 %),100,5020000,0,0,50200,50200,50200
2018-06-07,10.78,50200,0(0.00 %),0,0,0,0,50200,50200,50200
2018-06-08,10.78,50200,0(0.00 %),0,0,0,0,50200,50200,50200
2018-06-11,10.78,50200,0(0.00 %),1110,55670000,0,0,50200,50200,50000
2018-06-12,10.85,50500,0.3(0.60 %),7000,352140000,0,0,50200,51000,50200
2018-06-13,10.81,50300,0(0.00 %),0,0,0,0,50300,50300,50300
2018-06-14,10.85,50500,0.2(0.40 %),300,15150000,0,0,50500,50500,50500
2018-06-15,10.85,50500,0(0.00 %),0,0,0,0,50500,50500,50500
2018-06-18,10.74,50000,-0.5(-0.99 %),1600,80290000,0,0,50500,50500,50000
2018-06-19,10.76,50100,-0.1(-0.20 %),3100,155450000,0,0,50200,50200,50000
