Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-01-17,4.55,31300,1.4(4.68 %),1282900,38581030000,20000,570000000,28600,31300,28600
2011-01-18,4.77,32800,1.5(4.79 %),1244920,39693226000,0,0,31300,32800,30000
2011-01-19,5.0,34400,1.6(4.88 %),1070570,35599971000,20000,624000000,31500,34400,31500
2011-01-20,5.21,35800,1.4(4.07 %),1150840,39085127000,0,0,32800,36100,32800
2011-01-21,4.96,34100,-1.7(-4.75 %),907920,31075386000,170000,5797000000,34300,35800,34100
2011-01-24,4.71,32400,-1.7(-4.99 %),155800,5056967000,419180,13632432000,32500,32700,32400
2011-01-25,4.48,30800,-1.6(-4.94 %),633610,19517648000,290000,9508000000,30800,31000,30800
2011-01-26,4.31,29600,-1.2(-3.90 %),403060,12093679000,0,0,30800,30800,29400
2011-01-27,4.36,30000,0.4(1.35 %),525180,15387062000,576000,16243200000,29600,30000,28600
2011-01-28,4.26,29300,-0.7(-2.33 %),313890,9204650000,100000,3000000000,29100,30100,29000
2011-02-08,4.28,29400,0.1(0.34 %),130100,3841815000,95000,2897500000,29300,30000,29300
2011-02-09,4.16,28600,-0.8(-2.72 %),250030,7271789000,0,0,29000,29500,28600
2011-02-10,4.18,28700,0.1(0.35 %),235720,6735676000,0,0,28600,28700,28200
2011-02-11,4.0,27500,-1.2(-4.18 %),309650,8746606000,0,0,28600,28700,27500
2011-02-14,3.99,27400,-0.1(-0.36 %),151730,4168004000,295000,8171000000,27400,27800,27400
2011-02-15,3.94,27100,-0.3(-1.09 %),146650,3987106000,20000,570000000,27000,27500,26700
2011-02-16,3.93,27000,-0.1(-0.37 %),74800,2019024000,0,0,26800,27100,26800
2011-02-17,3.84,26400,-0.6(-2.22 %),46720,1223795000,0,0,26700,26700,25800
2011-02-18,3.78,26000,-0.4(-1.52 %),207480,5417576000,25000,675000000,26600,26600,26000
2011-02-21,3.59,24700,-1.3(-5.00 %),345160,8550888000,0,0,25100,25100,24700
2011-02-22,3.59,24700,0(0.00 %),166260,4119660000,0,0,23700,25900,23700
2011-02-23,3.64,25000,0.3(1.21 %),75210,1912427000,0,0,25700,25900,25000
2011-02-24,3.71,25500,0.5(2.00 %),82130,2050444000,0,0,24500,25500,24200
2011-02-25,3.75,25800,0.3(1.18 %),73270,1880896000,0,0,24800,25800,24800
2011-02-28,3.64,25000,-0.8(-3.10 %),142270,3599510000,25000,645000000,26300,26300,24800
2011-03-01,3.64,25000,0(0.00 %),31410,775820000,0,0,24700,25000,24500
2011-03-02,3.48,23900,-1.1(-4.40 %),151410,3617759000,0,0,25000,25000,23800
2011-03-03,3.4,23400,-0.5(-2.09 %),186200,4357950000,0,0,22900,23900,22900
2011-03-04,3.33,22900,-0.5(-2.14 %),52020,1208168000,30000,702000000,23500,23500,22900
2011-03-07,3.49,24000,1.1(4.80 %),34800,824055000,0,0,22100,24000,22100
2011-03-08,3.4,23400,-0.6(-2.50 %),39460,949940000,0,0,24000,24500,23400
2011-03-09,3.32,22800,-0.6(-2.56 %),59020,1360866000,0,0,23400,23400,22800
2011-03-10,3.35,23000,0.2(0.88 %),142370,3282535000,0,0,23000,23500,23000
2011-03-11,3.51,24100,1.1(4.78 %),315760,7608356000,279930,6438390000,24000,24100,24000
2011-03-14,3.52,24200,0.1(0.41 %),399140,9647034000,0,0,24700,24700,24000
2011-03-15,3.51,24100,-0.1(-0.41 %),233050,5660046000,0,0,24200,24500,24100
2011-03-16,3.35,23000,-1.1(-4.56 %),43510,1011522000,0,0,24100,24200,23000
2011-03-17,3.36,23100,0.1(0.43 %),222500,5219850000,300000,6900000000,23000,23800,23000
2011-03-18,3.35,23000,-0.1(-0.43 %),163070,3808442000,150000,3465000000,23100,23600,23000
2011-03-21,3.51,24100,1.1(4.78 %),370300,8888115000,0,0,24100,24100,23600
2011-03-22,3.68,25300,1.2(4.98 %),454400,11495789000,100000,2530000000,25300,25300,24800
2011-03-23,3.67,25200,-0.1(-0.40 %),264520,6683293000,0,0,25300,26000,24700
2011-03-24,3.68,25300,0.1(0.40 %),213280,5384310000,0,0,25400,25500,25000
2011-03-25,3.56,24500,-0.8(-3.16 %),172720,4263526000,0,0,24900,25200,24400
2011-03-28,3.65,25100,0.6(2.45 %),220320,5518400000,0,0,25000,25300,24600
2011-03-29,3.71,25500,0.4(1.59 %),436650,11142301000,0,0,24900,25800,24900
2011-03-30,3.7,25400,-0.1(-0.39 %),136990,3478834000,0,0,25100,25600,25100
2011-03-31,3.67,25200,-0.2(-0.79 %),240830,6111679000,0,0,25400,25600,25200
2011-04-01,3.64,25000,-0.2(-0.79 %),119120,2983744000,0,0,24800,25200,24800
2011-04-04,3.62,24900,-0.1(-0.40 %),352370,8716160000,0,0,24800,25100,24200
2011-04-05,3.56,24500,-0.4(-1.61 %),132930,3273865000,0,0,24500,24900,24500
2011-04-06,3.74,25700,1.2(4.90 %),402640,10159577000,0,0,24900,25700,24300
2011-04-07,3.81,26200,0.5(1.95 %),318850,8305635000,0,0,25700,26500,25000
2011-04-08,3.91,26900,0.7(2.67 %),379990,10080199000,0,0,26000,26900,25500
2011-04-13,3.91,26900,0(0.00 %),285080,7693216000,0,0,26900,27400,26500
2011-04-14,3.75,25800,-1.1(-4.09 %),140800,3714490000,0,0,26700,26900,25800
2011-04-15,3.74,25700,-0.1(-0.39 %),130050,3353738000,0,0,26000,26000,25500
2011-04-18,3.7,25400,-0.3(-1.17 %),123670,3164877000,0,0,25800,25800,25400
2011-04-19,3.68,25300,-0.1(-0.39 %),90230,2289949000,0,0,25000,25700,24900
2011-04-20,3.68,25300,0(0.00 %),44000,1117954000,0,0,25200,25600,25200
2011-04-21,3.62,24900,-0.4(-1.58 %),46480,1163181000,0,0,25300,25300,24900
2011-04-22,3.45,23700,-1.2(-4.82 %),108660,2627600000,0,0,24800,24800,23700
2011-04-25,3.61,24800,1.1(4.64 %),220080,5393541000,0,0,23900,24800,23700
2011-04-26,3.61,24800,0(0.00 %),68170,1693026000,0,0,24500,25100,24500
2011-04-27,3.64,25000,0.2(0.81 %),63300,1575640000,0,0,24800,25000,24800
2011-04-28,3.71,25500,0.5(2.00 %),94870,2387123000,0,0,24800,25500,24800
2011-04-29,3.64,25000,-0.5(-1.96 %),132640,3327810000,0,0,24600,25400,24600
2011-05-04,3.58,24600,-0.4(-1.60 %),100500,2492800000,0,0,24600,25200,24600
2011-05-05,3.52,24200,-0.4(-1.63 %),22100,537410000,0,0,24400,24600,24200
2011-05-06,3.52,24200,0(0.00 %),90800,2205360000,0,0,23900,24600,23900
2011-05-09,3.56,24500,0.3(1.24 %),103490,2576309000,0,0,24500,25400,24200
2011-05-10,3.59,24700,0.2(0.82 %),66420,1668952000,0,0,24400,25700,24400
2011-05-11,3.54,24300,-0.4(-1.62 %),28940,712132000,0,0,24500,24800,24300
2011-05-12,3.46,23800,-0.5(-2.06 %),19800,474850000,0,0,24000,24200,23800
2011-05-13,3.46,23800,0(0.00 %),34890,837647000,0,0,23900,24300,23800
2011-05-16,3.48,23900,0.1(0.42 %),25200,597810000,0,0,23600,23900,23500
2011-05-17,3.43,23600,-0.3(-1.26 %),33700,794350000,0,0,23600,23600,23500
2011-05-18,3.46,23800,0.2(0.85 %),22700,533370000,0,0,23500,23800,23300
2011-05-19,3.43,23600,-0.2(-0.84 %),10280,243256000,0,0,23800,23800,23600
2011-05-20,3.39,23300,-0.3(-1.27 %),22920,537586000,0,0,23600,23600,23300
2011-05-23,3.42,23500,0.2(0.86 %),54700,1258760000,0,0,23300,23500,22800
2011-05-24,3.33,22900,-0.6(-2.55 %),19540,450336000,0,0,23500,23500,22900
2011-05-25,3.3,22700,-0.2(-0.87 %),15760,357962000,0,0,22800,22800,22700
2011-05-26,3.46,23800,1.1(4.85 %),34100,781718000,0,0,22600,23800,22500
2011-05-27,3.49,24000,0.2(0.84 %),14500,346200000,0,0,23400,24000,23400
2011-05-30,3.38,23200,-0.8(-3.33 %),23940,559903000,0,0,23700,23900,23200
2011-05-31,3.4,23400,0.2(0.86 %),5400,125660000,0,0,23200,23400,23200
2011-06-01,3.56,24500,1.1(4.70 %),20130,479955000,0,0,23400,24500,23400
2011-06-02,3.74,25700,1.2(4.90 %),29340,738696000,0,0,24300,25700,24300
2011-06-03,3.59,24700,-1(-3.89 %),101300,2545770000,0,0,25700,25700,24500
2011-06-06,3.49,24000,-0.7(-2.83 %),116000,2831708000,0,0,24500,24700,24000
2011-06-07,3.67,25200,1.2(5.00 %),104630,2598845000,99000,2376000000,24100,25200,24000
2011-06-08,3.7,25400,0.2(0.79 %),75100,1907460000,0,0,25500,26400,24800
2011-06-09,3.74,25700,0.3(1.18 %),62900,1590800000,0,0,25400,25700,24800
2011-06-10,3.91,26900,1.2(4.67 %),99050,2634455000,0,0,25500,26900,25500
2011-06-13,4.04,27800,0.9(3.35 %),88100,2414840000,0,0,26900,28200,26400
2011-06-14,3.88,26700,-1.1(-3.96 %),92930,2588428000,0,0,27700,28500,26700
2011-06-15,3.72,25600,-1.1(-4.12 %),49470,1273588000,0,0,26700,26700,25400
2011-06-16,3.64,25000,-0.6(-2.34 %),36320,900644000,0,0,24900,25000,24700
2011-06-17,3.46,23800,-1.2(-4.80 %),27300,653900000,0,0,24000,24100,23800
2011-06-20,3.35,23000,-0.8(-3.36 %),16000,368010000,0,0,23100,23100,23000
2011-06-21,3.51,24100,1.1(4.78 %),31340,722923000,0,0,22500,24100,22500
2011-06-22,3.46,23800,-0.3(-1.24 %),28200,677820000,0,0,23700,24400,23600
2011-06-23,3.46,23800,0(0.00 %),11000,262800000,0,0,23500,24000,23500
2011-06-24,3.42,23500,-0.3(-1.26 %),18400,434400000,0,0,23800,23800,23400
2011-06-27,3.46,23800,0.3(1.28 %),109810,2575181000,0,0,23500,23800,23000
2011-06-28,3.52,24200,0.4(1.68 %),85400,2048590000,0,0,23500,24200,23500
2011-06-29,3.46,23800,-0.4(-1.65 %),59900,1411760000,0,0,24200,24200,23200
