Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-06-24,5.04,56500,-2.5(-4.24 %),20190,1141050000,0,0,59000,59000,56500
2010-06-25,4.91,55000,-1.5(-2.65 %),112760,6126435000,0,0,54000,58500,54000
2010-06-28,4.91,55000,0(0.00 %),13000,707000000,0,0,55000,55000,54000
2010-06-29,4.78,53500,-1.5(-2.73 %),34570,1857905000,0,0,56500,56500,53000
2010-06-30,4.78,53500,0(0.00 %),19820,1056620000,0,0,53500,53500,52000
2010-07-01,4.55,51000,-2.5(-4.67 %),31670,1626735000,0,0,52500,52500,51000
2010-07-02,4.78,53500,2.5(4.90 %),17240,913580000,0,0,50500,53500,50500
2010-07-05,4.86,54500,1(1.87 %),11100,607950000,0,0,55000,55000,54500
2010-07-06,4.78,53500,-1(-1.83 %),17710,941135000,0,0,53500,53500,53000
2010-07-07,4.78,53500,0(0.00 %),4910,260235000,0,0,53000,53500,53000
2010-07-08,4.64,52000,-1.5(-2.80 %),23900,1251050000,0,0,53500,53500,52000
2010-07-09,4.69,52500,0.5(0.96 %),23010,1208075000,0,0,53000,53000,52500
2010-07-12,4.64,52000,-0.5(-0.95 %),4740,246495000,329000,17108000000,53500,53500,52000
2010-07-13,4.82,54000,2(3.85 %),17130,904225000,0,0,54500,54500,52000
2010-07-14,4.69,52500,-1.5(-2.78 %),21750,1156975000,0,0,54000,54000,52500
2010-07-15,4.73,53000,0.5(0.95 %),36960,1959880000,0,0,53000,53500,53000
2010-07-16,4.73,53000,0(0.00 %),26500,1406800000,0,0,53000,53500,53000
2010-07-19,4.69,52500,-0.5(-0.94 %),35930,1901120000,0,0,53000,53500,52500
2010-07-20,4.78,53500,1(1.90 %),37680,2003540000,0,0,52500,53500,52500
2010-07-21,4.78,53500,0(0.00 %),35680,1903580000,0,0,53000,53500,53000
2010-07-22,4.78,53500,0(0.00 %),21290,1137915000,0,0,53000,53500,53000
2010-07-23,5.0,56000,2.5(4.67 %),78670,4369130000,0,0,54000,56000,54000
2010-07-26,4.91,55000,-1(-1.79 %),88060,5035710000,0,0,58000,58000,55000
2010-07-27,4.82,54000,-1(-1.82 %),22370,1210480000,0,0,54000,54500,54000
2010-07-28,4.82,54000,0(0.00 %),32060,1758630000,0,0,56000,56000,53000
2010-07-29,4.73,53000,-1(-1.85 %),6000,316500000,0,0,53000,53000,52500
2010-07-30,4.73,53000,0(0.00 %),93000,5016900000,0,0,52500,54500,52500
2010-08-02,4.73,53000,0(0.00 %),20440,1089770000,0,0,53000,53500,53000
2010-08-03,4.78,53500,0.5(0.94 %),37760,2027260000,0,0,53500,54000,53500
2010-08-04,4.73,53000,-0.5(-0.93 %),27100,1433760000,0,0,53500,53500,52500
2010-08-05,4.73,53000,0(0.00 %),19890,1051170000,0,0,53000,53000,52500
2010-08-06,4.73,53000,0(0.00 %),21460,1127955000,0,0,53000,53000,52000
2010-08-09,4.55,51000,-2(-3.77 %),10390,531340000,0,0,53000,53000,50500
2010-08-10,4.34,48600,-2.4(-4.71 %),72200,3557304000,113000,6045500000,50000,50500,48600
2010-08-11,4.51,50500,1.9(3.91 %),14180,715785000,0,0,51000,51000,49900
2010-08-12,4.42,49500,-1(-1.98 %),20110,1000795000,0,0,50500,50500,48000
2010-08-13,4.41,49400,-0.1(-0.20 %),18120,896829000,0,0,49400,50000,49400
2010-08-16,4.6,51500,2.1(4.25 %),6790,349685000,0,0,51500,51500,51500
