Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2022-11-29,9.03,9950,-0.55(-5.24 %),463300,4667000000,0,0,10400,10450,9900
2022-11-30,8.62,9500,-0.5(-5.00 %),145600,1443000000,0,0,9950,10250,9450
2022-12-01,8.17,9000,-0.5(-5.26 %),373800,3335000000,0,0,9500,9500,8840
2022-12-02,8.17,9000,0(0.00 %),182700,1582000000,0,0,8800,9000,8370
2022-12-05,8.33,9180,0.18(2.00 %),235000,2147000000,0,0,9000,9350,9000
2022-12-06,8.15,8980,-0.22(-2.39 %),141800,1276000000,0,0,9180,9200,8850
2022-12-07,8.16,8990,-0.01(-0.11 %),257600,2308000000,0,0,8970,9050,8800
2022-12-08,8.35,9200,0.2(2.22 %),325300,2962000000,0,0,8990,9200,8950
2022-12-09,8.26,9100,-0.1(-1.09 %),530200,4797000000,0,0,9200,9200,8920
2022-12-12,8.26,9100,0(0.00 %),173600,1586000000,0,0,9100,9200,9050
2022-12-13,8.17,9000,-0.1(-1.10 %),168400,1517000000,0,0,9100,9120,8900
2022-12-14,8.21,9040,0.04(0.44 %),115400,1044000000,0,0,9000,9120,9000
2022-12-15,8.2,9030,0.03(0.33 %),72300,654000000,0,0,9040,9080,8950
2022-12-16,8.22,9050,0.05(0.56 %),20400,184000000,0,0,9030,9050,9000
2022-12-19,8.17,9000,-0.1(-1.10 %),28500,255000000,0,0,9050,9050,8900
2022-12-20,8.16,8990,-0.01(-0.11 %),21800,192000000,0,0,8950,8990,8660
2022-12-21,8.16,8990,-0.01(-0.11 %),21300,187000000,0,0,8990,8990,8700
2022-12-22,8.12,8950,-0.05(-0.56 %),12700,111000000,0,0,8950,8950,8600
2022-12-23,8.12,8940,-0.06(-0.67 %),6700,59000000,0,0,8950,8950,8720
2022-12-26,8.12,8940,0.04(0.45 %),15200,133000000,0,0,8900,8950,8680
2022-12-27,8.12,8940,0.04(0.45 %),7300,64000000,0,0,8940,8940,8800
2022-12-28,8.12,8940,0.04(0.45 %),3800,33000000,0,0,8940,8940,8920
2022-12-29,8.13,8960,0.06(0.67 %),13000,114000000,0,0,8920,8960,8500
2022-12-30,8.17,9000,0(0.00 %),8500,76000000,0,0,8960,9000,8950
2023-01-03,8.14,8970,-0.03(-0.33 %),3300,29000000,0,0,9000,9000,8970
2023-01-04,8.13,8960,-0.04(-0.44 %),18700,167000000,0,0,8960,8970,8800
2023-01-05,8.14,8970,-0.03(-0.33 %),13000,116000000,0,0,8960,8970,8960
2023-01-06,8.13,8960,-0.04(-0.44 %),600,5000000,0,0,8960,8960,8960
2023-01-09,8.12,8950,-0.05(-0.56 %),300,2000000,0,0,8960,8960,8950
2023-01-10,8.12,8950,-0.05(-0.56 %),18800,167000000,0,0,8950,8950,8610
2023-01-11,8.12,8950,-0.05(-0.56 %),13600,121000000,0,0,8900,8960,8850
2023-01-12,8.12,8950,-0.05(-0.56 %),2800,24000000,0,0,8900,8950,8850
2023-01-13,8.12,8950,-0.05(-0.56 %),2800,25000000,0,0,8960,8960,8950
2023-01-16,8.13,8960,-0.04(-0.44 %),21900,195000000,0,0,8900,8960,8850
2023-01-17,8.13,8960,-0.04(-0.44 %),31900,285000000,0,0,8900,8970,8900
2023-01-18,8.13,8960,-0.04(-0.44 %),800,7000000,0,0,8960,8960,8960
2023-01-19,8.14,8970,-0.03(-0.33 %),2500,22000000,0,0,8900,8970,8900
