Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-22,7.88,52500,-2.5(-4.55 %),9350,490875,0,0,52500,55000,52500
2006-12-25,7.49,49900,-2.6(-4.95 %),9900,494010,0,0,52500,52500,49900
2006-12-26,7.13,47500,-2.4(-4.81 %),47410,2251975,0,0,47500,47500,47500
2006-12-27,7.48,49800,2.3(4.84 %),1500,73900,0,0,49000,49800,49000
2006-12-28,7.81,52000,2.2(4.42 %),24650,1281800,0,0,52000,52000,52000
2006-12-29,7.81,52000,0(0.00 %),26560,1381120,0,0,52000,52000,52000
2007-01-02,7.51,50000,-2(-3.85 %),11100,566000000,0,0,50000,52000,50000
2007-01-03,7.21,48000,-2(-4.00 %),25400,0,0,0,48000,48000,47600
2007-01-04,7.51,50000,2(4.17 %),9540,475000000,0,0,50000,50000,49600
2007-01-05,7.51,50000,0(0.00 %),26820,0,0,0,50000,50000,50000
2007-01-08,7.43,49500,-0.5(-1.00 %),30350,648000000,0,0,50000,50000,49000
2007-01-09,7.34,48900,-0.6(-1.21 %),5670,277000000,0,0,49500,49500,48600
2007-01-10,7.34,48900,0(0.00 %),12600,603000000,0,0,48000,48900,47000
2007-01-11,7.19,47900,-1(-2.04 %),5520,266000000,0,0,49000,49000,47900
2007-01-12,7.06,47000,-0.9(-1.88 %),18800,893000000,0,0,47900,47900,47000
2007-01-15,7.06,47000,0(0.00 %),27800,1307000000,0,0,47000,47000,47000
2007-01-16,6.92,46100,-0.9(-1.91 %),6590,305000000,0,0,47000,47000,46100
2007-01-17,6.98,46500,0.4(0.87 %),9750,452000000,0,0,46100,46500,46100
2007-01-18,7.21,48000,1.5(3.23 %),3010,137000000,0,0,44500,48000,44500
2007-01-19,7.21,48000,0(0.00 %),15660,775000000,0,0,48000,50000,48000
2007-01-22,7.13,47500,-0.5(-1.04 %),9130,436000000,0,0,48000,48000,47500
2007-01-23,7.06,47000,-0.5(-1.05 %),12950,609000000,0,0,47500,47500,47000
2007-01-24,7.13,47500,0.5(1.06 %),8140,387000000,0,0,48000,48000,47000
2007-01-25,7.13,47500,0(0.00 %),14390,684000000,0,0,47500,47500,47500
2007-01-26,7.36,49000,1.5(3.16 %),17250,856000000,0,0,49800,49800,49000
2007-01-29,7.36,49000,0(0.00 %),12960,635000000,0,0,49000,49000,49000
