Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-12-24,5.46,283000,13(4.81 %),46600,13183000000,0,0,283000,283000,282000
2007-12-25,5.73,297000,14(4.95 %),108430,32174000000,0,0,297000,297000,290000
2007-12-26,5.71,296000,-1(-0.34 %),118370,34654000000,0,0,289000,298000,288000
2007-12-27,5.71,296000,0(0.00 %),109040,32343000000,0,0,299000,299000,286000
2007-12-28,5.67,294000,-2(-0.68 %),50930,14979000000,0,0,295000,295000,292000
2008-01-02,5.55,288000,-6(-2.04 %),27400,7942000000,0,0,292000,292000,288000
2008-01-03,5.36,278000,-10(-3.47 %),92650,25913000000,0,0,283000,283000,278000
2008-01-04,5.36,278000,0(0.00 %),42980,11980000000,0,0,278000,282000,278000
2008-01-07,5.21,270000,-8(-2.88 %),58040,15959000000,0,0,278000,278000,268000
2008-01-08,5.24,272000,2(0.74 %),47960,13188000000,0,0,277000,278000,272000
2008-01-09,5.15,267000,-5(-1.84 %),44220,11842000000,0,0,272000,272000,266000
2008-01-10,4.99,259000,-8(-3.00 %),109530,28569000000,0,0,262000,263000,259000
2008-01-11,5.01,260000,1(0.39 %),49130,12851000000,0,0,262000,264000,260000
2008-01-14,4.88,253000,-7(-2.69 %),38030,9710000000,0,0,260000,260000,253000
2008-01-15,4.7,244000,-9(-3.56 %),120580,29648000000,0,0,253000,253000,244000
2008-01-16,4.94,256000,12(4.92 %),51700,13230000000,0,0,256000,256000,253000
2008-01-17,4.97,258000,2(0.78 %),81270,21120000000,0,0,261000,261000,255000
2008-01-18,5.21,270000,12(4.65 %),77540,20632000000,0,0,260000,270000,260000
2008-01-21,5.26,273000,3(1.11 %),114500,31062000000,0,0,266000,276000,266000
2008-01-22,5.15,267000,-6(-2.20 %),67410,18061000000,0,0,268000,270000,267000
2008-01-23,4.99,259000,-8(-3.00 %),90840,23627000000,0,0,267000,267000,259000
2008-01-24,5.05,262000,3(1.16 %),79670,20957000000,0,0,260000,268000,260000
2008-01-25,5.26,273000,11(4.20 %),94690,25605000000,0,0,265000,273000,265000
2008-01-28,5.49,285000,12(4.40 %),107440,29892000000,0,0,277000,285000,273000
2008-01-29,5.76,299000,14(4.91 %),177500,52307000000,0,0,285000,299000,282000
2008-01-30,6.03,313000,14(4.68 %),140470,43950000000,0,0,313000,313000,311000
2008-01-31,5.94,308000,-5(-1.60 %),174260,52421000000,0,0,300000,309000,298000
2008-02-01,5.78,300000,-8(-2.60 %),91890,28035000000,0,0,312000,312000,300000
2008-02-12,5.53,287000,-13(-4.33 %),47250,13819000000,0,0,300000,300000,287000
2008-02-13,5.38,279000,-8(-2.79 %),40240,11277000000,0,0,287000,287000,276000
2008-02-14,5.42,281000,2(0.72 %),48680,13834000000,30400,8877000000,280000,290000,280000
2008-02-15,5.42,281000,0(0.00 %),66850,18743000000,0,0,285000,285000,277000
2008-02-18,5.3,275000,-6(-2.14 %),60140,16384000000,0,0,274000,275000,270000
2008-02-19,5.26,273000,-2(-0.73 %),86820,23648000000,0,0,274000,276000,268000
2008-02-20,5.01,260000,-13(-4.76 %),65410,17282000000,0,0,270000,272000,260000
2008-02-21,4.76,247000,-13(-5.00 %),17910,4424000000,0,0,247000,247000,247000
2008-02-22,4.53,235000,-12(-4.86 %),134000,31490000000,0,0,235000,235000,235000
2008-02-25,4.7,244000,9(3.83 %),100260,24368000000,0,0,240000,246000,240000
2008-02-26,4.47,232000,-12(-4.92 %),43010,10021000000,0,0,237000,237000,232000
2008-02-27,4.26,221000,-11(-4.74 %),107250,23999000000,0,0,221000,233000,221000
2008-02-28,4.22,219000,-2(-0.90 %),77690,17061000000,0,0,221000,225000,215000
2008-02-29,4.03,209000,-10(-4.57 %),53740,11237000000,0,0,209000,210000,209000
2008-03-03,3.84,199000,-10(-4.78 %),13250,2636750000,0,0,199000,199000,199000
2008-03-04,3.66,190000,-9(-4.52 %),6130,1164700000,0,0,190000,190000,190000
2008-03-05,3.49,181000,-9(-4.74 %),95990,17374190000,0,0,181000,181000,181000
2008-03-06,3.66,190000,9(4.97 %),320860,60909660000,0,0,190000,190000,185000
2008-03-07,3.84,199000,9(4.74 %),95760,19039360000,0,0,199000,199000,196000
2008-03-10,3.78,196000,-3(-1.51 %),96650,19803050000,0,0,208000,208000,191000
2008-03-11,3.6,187000,-9(-4.59 %),84570,15814590000,0,0,187000,187000,187000
2008-03-12,3.43,178000,-9(-4.81 %),162870,29132660000,0,0,178000,188000,178000
2008-03-13,3.28,170000,-8(-4.49 %),160190,27520650000,0,0,178000,179000,170000
2008-03-14,3.14,163000,-7(-4.12 %),62290,10194240000,0,0,163000,166000,163000
2008-03-17,2.99,155000,-8(-4.91 %),113260,17608460000,0,0,156000,157000,155000
2008-03-18,2.85,148000,-7(-4.52 %),71460,10576080000,0,0,148000,148000,148000
2008-03-19,2.72,141000,-7(-4.73 %),136830,19302330000,0,0,141000,147000,141000
2008-03-20,2.58,134000,-7(-4.96 %),121580,16293080000,0,0,134000,135000,134000
2008-03-21,2.47,128000,-6(-4.48 %),1950,249600000,0,0,128000,128000,128000
2008-03-24,2.35,122000,-6(-4.69 %),450,55250000,0,0,123000,123000,122000
2008-03-25,2.24,116000,-6(-4.92 %),420,48720000,0,0,116000,116000,116000
2008-03-26,2.14,111000,-5(-4.31 %),6570,729270000,0,0,111000,111000,111000
2008-03-27,2.16,112000,1(0.90 %),122070,13543740000,0,0,110000,112000,110000
2008-03-28,2.18,113000,1(0.89 %),26580,3003540000,0,0,113000,113000,113000
2008-03-31,2.2,114000,1(0.88 %),5020,572280000,0,0,114000,114000,114000
2008-04-01,2.22,115000,1(0.88 %),3500,402500000,0,0,115000,115000,115000
2008-04-02,2.24,116000,1(0.87 %),2450,284200000,0,0,116000,116000,116000
2008-04-03,2.26,117000,1(0.86 %),600,70200000,0,0,117000,117000,117000
2008-04-04,2.27,118000,1(0.85 %),620,73160000,0,0,118000,118000,118000
2008-04-07,2.31,120000,2(1.69 %),1850,222000000,0,0,120000,120000,120000
2008-04-08,2.27,118000,-2(-1.67 %),145730,17520860000,0,0,122000,122000,118000
2008-04-09,2.24,116000,-2(-1.69 %),27280,3164480000,0,0,116000,116000,116000
2008-04-10,2.2,114000,-2(-1.72 %),8710,992940000,0,0,114000,114000,114000
2008-04-11,2.16,112000,-2(-1.75 %),23560,2638720000,0,0,112000,112000,112000
2008-04-16,2.12,110000,-2(-1.79 %),8410,925100000,0,0,110000,110000,110000
2008-04-17,2.08,108000,-2(-1.82 %),93320,10079470000,0,0,108000,111000,108000
2008-04-18,2.04,106000,-2(-1.85 %),19850,2104100000,0,0,106000,106000,106000
2008-04-21,2.0,104000,-2(-1.89 %),7980,829920000,0,0,104000,104000,104000
2008-04-22,1.97,102000,-2(-1.92 %),6340,646680000,0,0,102000,102000,102000
2008-04-23,1.93,100000,-2(-1.96 %),500,50000000,0,0,100000,100000,100000
2008-04-24,1.89,98000,-2(-2.00 %),3050,298900000,0,0,98000,98000,98000
2008-04-25,1.86,96500,-1.5(-1.53 %),810,78165000,0,0,96500,96500,96500
2008-04-28,1.83,95000,-1.5(-1.55 %),15700,1491500000,0,0,95000,95000,95000
2008-04-29,1.8,93500,-1.5(-1.58 %),4270,399245000,0,0,93500,93500,93500
2008-05-05,1.77,92000,-1.5(-1.60 %),1390,128900000,0,0,93500,93500,92000
2008-05-06,1.74,90500,-1.5(-1.63 %),32960,2982880000,0,0,90500,90500,90500
2008-05-07,1.72,89000,-1.5(-1.66 %),33120,2947680000,0,0,89000,89000,89000
2008-05-08,1.69,87500,-1.5(-1.69 %),20770,1817375000,0,0,87500,87500,87500
2008-05-09,1.66,86000,-1.5(-1.71 %),1100,94600000,0,0,86000,86000,86000
2008-05-12,1.63,84500,-1.5(-1.74 %),2000,169000000,0,0,84500,84500,84500
2008-05-13,1.6,83000,-1.5(-1.78 %),600,49800000,0,0,83000,83000,83000
2008-05-14,1.57,81500,-1.5(-1.81 %),10,815000,0,0,81500,81500,81500
2008-05-15,1.54,80000,-1.5(-1.84 %),5720,457600000,0,0,80000,80000,80000
2008-05-16,1.51,78500,-1.5(-1.88 %),13670,1073095000,0,0,78500,78500,78500
2008-05-19,1.48,73000,-0.75(-1.91 %),6730,259105000,0,0,73000,73000,73000
2008-05-20,1.46,37800,-0.7(-1.82 %),1330,50274000,0,0,37800,37800,37800
2008-05-21,1.43,37100,-0.7(-1.85 %),6780,251538000,0,0,37100,37100,37100
2008-05-22,1.4,36400,-0.7(-1.89 %),24490,891436000,0,0,36400,36400,36400
2008-05-23,1.38,35700,-0.7(-1.92 %),3610,128877000,0,0,35700,35700,35700
2008-05-26,1.35,35000,-0.7(-1.96 %),600,21080000,0,0,35200,35200,35000
2008-05-27,1.35,35000,0(0.00 %),0,0,0,0,35000,35000,35000
2008-05-28,1.35,35000,0(0.00 %),0,0,0,0,35000,35000,35000
2008-05-29,1.35,35000,0(0.00 %),0,0,0,0,35000,35000,35000
2008-05-30,1.32,34300,-0.7(-2.00 %),10760,369068000,0,0,34300,34300,34300
2008-06-02,1.3,33700,-0.6(-1.75 %),100,3370000,0,0,33700,33700,33700
2008-06-03,1.28,33100,-0.6(-1.78 %),500,16550000,0,0,33100,33100,33100
2008-06-04,1.25,32500,-0.6(-1.81 %),1410,45825000,0,0,32500,32500,32500
2008-06-05,1.23,31900,-0.6(-1.85 %),100,3190000,0,0,31900,31900,31900
2008-06-06,1.21,31300,-0.6(-1.88 %),500,15650000,0,0,31300,31300,31300
2008-06-09,1.18,30700,-0.6(-1.92 %),1780,54748000,0,0,31300,31300,30700
2008-06-10,1.16,30100,-0.6(-1.95 %),10,301000,0,0,30100,30100,30100
2008-06-11,1.14,29500,-0.6(-1.99 %),1010,29795000,0,0,29500,29500,29500
2008-06-12,1.12,29000,-0.5(-1.69 %),17350,503150000,0,0,29000,29000,29000
2008-06-13,1.1,28500,-0.5(-1.72 %),47760,1361160000,0,0,28500,28500,28500
2008-06-16,1.12,29000,0.5(1.75 %),189890,5401950000,0,0,28000,29000,28000
2008-06-17,1.14,29500,0.5(1.72 %),244090,7200525000,0,0,29500,29500,29400
2008-06-18,1.12,29000,-0.5(-1.69 %),111460,3232340000,0,0,29000,29000,29000
2008-06-19,1.09,28200,-0.8(-2.76 %),3910,110262000,0,0,28200,28200,28200
2008-06-20,1.06,27400,-0.8(-2.84 %),9700,270660000,0,0,28200,28200,27400
2008-06-23,1.03,26600,-0.8(-2.92 %),11920,317072000,0,0,26600,26600,26600
2008-06-24,1.0,25900,-0.7(-2.63 %),16200,419580000,0,0,25900,25900,25900
2008-06-25,1.03,26600,0.7(2.70 %),123790,3204500000,0,0,25200,26600,25200
2008-06-26,1.0,25900,-0.7(-2.63 %),45510,1203099000,0,0,26600,26700,25900
2008-06-27,0.97,25200,-0.7(-2.70 %),107730,2716878000,0,0,25200,25900,25200
2008-06-30,1.0,25900,0.7(2.78 %),64800,1641581000,0,0,25200,25900,24900
2008-07-01,1.03,26600,0.7(2.70 %),8400,223440000,0,0,26600,26600,26600
2008-07-02,1.05,27300,0.7(2.63 %),60390,1648647000,0,0,27300,27300,27300
2008-07-03,1.08,28100,0.8(2.93 %),33400,938540000,0,0,28100,28100,28100
2008-07-04,1.11,28900,0.8(2.85 %),3340,96526000,0,0,28900,28900,28900
2008-07-07,1.08,28100,-0.8(-2.77 %),121740,3565029000,0,0,29700,29700,28100
2008-07-08,1.11,28700,0.6(2.14 %),74210,2060380000,0,0,27300,28700,27300
2008-07-09,1.14,29500,0.8(2.79 %),38740,1142830000,0,0,29500,29500,29500
2008-07-10,1.17,30300,0.8(2.71 %),27940,846582000,0,0,30300,30300,30300
2008-07-11,1.2,31200,0.9(2.97 %),8890,277368000,0,0,31200,31200,31200
2008-07-14,1.24,32100,0.9(2.88 %),15590,500439000,0,0,32100,32100,32100
2008-07-15,1.27,33000,0.9(2.80 %),6000,198000000,0,0,33000,33000,33000
2008-07-16,1.31,33900,0.9(2.73 %),267200,9024501000,0,0,33900,33900,32100
2008-07-17,1.35,34900,1(2.95 %),12570,438693000,0,0,34900,34900,34900
2008-07-18,1.38,35900,1(2.87 %),198300,7095454000,0,0,35900,35900,33900
2008-07-21,1.35,34900,-1(-2.79 %),72030,2513847000,0,0,34900,34900,34900
2008-07-22,1.31,33900,-1(-2.87 %),6100,207216000,0,0,34500,34500,33900
2008-07-23,1.27,32900,-1(-2.95 %),470,15473000,0,0,33900,33900,32900
2008-07-24,1.23,32000,-0.9(-2.74 %),318390,10361386000,0,0,32000,33800,32000
2008-07-25,1.21,31300,-0.7(-2.19 %),114140,3687311000,0,0,32800,32800,31300
2008-07-28,1.24,32200,0.9(2.88 %),51790,1649347000,0,0,31300,32200,31300
2008-07-29,1.28,33100,0.9(2.80 %),4710,155901000,0,0,33100,33100,33100
2008-07-30,1.31,34000,0.9(2.72 %),145630,4913718000,0,0,34000,34000,32200
2008-07-31,1.35,35000,1(2.94 %),173060,5951662000,0,0,34000,35000,33100
2008-08-01,1.39,36000,1(2.86 %),65730,2366280000,0,0,36000,36000,36000
2008-08-04,1.43,37000,1(2.78 %),170180,6269458000,0,0,36800,37000,36000
2008-08-05,1.38,35900,-1.1(-2.97 %),166190,5975935000,0,0,35900,36500,35900
2008-08-06,1.42,36900,1(2.79 %),43500,1605150000,0,0,36900,36900,36900
2008-08-07,1.47,38000,1.1(2.98 %),50110,1904180000,0,0,38000,38000,38000
2008-08-08,1.51,39100,1.1(2.89 %),46540,1819714000,0,0,39100,39100,39100
2008-08-11,1.55,40200,1.1(2.81 %),5350,215070000,0,0,40200,40200,40200
2008-08-12,1.6,41400,1.2(2.99 %),1160,48024000,20000,828000000,41400,41400,41400
2008-08-13,1.64,42600,1.2(2.90 %),1500,63900000,0,0,42600,42600,42600
2008-08-14,1.69,43800,1.2(2.82 %),800,35040000,20000,876000000,43800,43800,43800
2008-08-15,1.74,45100,1.3(2.97 %),43870,1978537000,0,0,45100,45100,45100
2008-08-18,1.82,47300,2.2(4.88 %),8900,420970000,0,0,47300,47300,47300
2008-08-19,1.91,49600,2.3(4.86 %),2160,107136000,0,0,49600,49600,49600
2008-08-20,2.0,52000,2.4(4.84 %),6270,326040000,0,0,52000,52000,52000
2008-08-21,2.1,54500,2.5(4.81 %),50,2725000,0,0,54500,54500,54500
2008-08-22,2.2,57000,2.5(4.59 %),680,38710000,0,0,54500,57000,54500
2008-08-25,2.29,59500,2.5(4.39 %),4060,241570000,0,0,59500,59500,59500
2008-08-26,2.39,62000,2.5(4.20 %),100,6200000,0,0,62000,62000,62000
2008-08-27,2.51,65000,3(4.84 %),2710,176150000,0,0,65000,65000,65000
2008-08-28,2.62,68000,3(4.62 %),18720,1272960000,0,0,68000,68000,68000
2008-08-29,2.74,71000,3(4.41 %),382200,27131775000,0,0,71000,71000,69500
2008-09-03,2.87,74500,3.5(4.93 %),29410,2191045000,0,0,74500,74500,74500
2008-09-04,3.01,78000,3.5(4.70 %),112890,8804315000,0,0,78000,78000,77000
2008-09-05,3.14,81500,3.5(4.49 %),148970,12141055000,0,0,81500,81500,81500
2008-09-08,2.99,77500,-4(-4.91 %),107610,8339775000,0,0,77500,77500,77500
2008-09-09,2.85,74000,-3.5(-4.52 %),170370,12632900000,0,0,74000,78000,74000
2008-09-10,2.72,70500,-3.5(-4.73 %),36590,2579595000,0,0,70500,70500,70500
2008-09-11,2.58,67000,-3.5(-4.96 %),10540,706180000,0,0,67000,67000,67000
2008-09-12,2.47,64000,-3(-4.48 %),6160,394240000,0,0,64000,64000,64000
2008-09-15,2.35,61000,-3(-4.69 %),219830,13449975000,0,0,61000,66500,61000
2008-09-16,2.24,58000,-3(-4.92 %),23620,1369960000,0,0,58000,58000,58000
2008-09-17,2.14,55500,-2.5(-4.31 %),980,54390000,0,0,55500,55500,55500
2008-09-18,2.04,53000,-2.5(-4.50 %),2020,107060000,0,0,53000,53000,53000
2008-09-19,2.14,55500,2.5(4.72 %),181610,10067230000,0,0,55500,55500,54500
2008-09-22,2.24,58000,2.5(4.50 %),11320,656560000,0,0,58000,58000,58000
2008-09-23,2.31,60000,2(3.45 %),287810,16570395000,0,0,56000,60500,56000
2008-09-24,2.26,58500,-1.5(-2.50 %),70130,4062315000,0,0,57000,60000,57000
2008-09-25,2.27,59000,0.5(0.85 %),95170,5553815000,0,0,58000,60000,57500
2008-09-26,2.26,58500,-0.5(-0.85 %),55840,3294395000,0,0,60000,60500,57000
2008-09-29,2.2,57000,-1.5(-2.56 %),42700,2468870000,30000,1680000000,58500,58500,56000
2008-09-30,2.1,54500,-2.5(-4.39 %),400,21800000,0,0,54500,54500,54500
2008-10-01,2.0,52000,-2.5(-4.59 %),112700,5865685000,0,0,52000,52500,52000
2008-10-02,1.97,51000,-0.95(-1.83 %),55040,2863170000,0,0,52000,54000,50000
2008-10-03,1.88,48700,-2.3(-4.51 %),67350,3317555000,0,0,49000,51000,48700
2008-10-06,1.79,46300,-2.35(-4.83 %),31650,1465495000,0,0,46300,46400,46300
2008-10-07,1.7,44000,-2.3(-4.97 %),5170,227480000,0,0,44000,44000,44000
2008-10-08,1.61,41800,-2.2(-5.00 %),6700,280060000,0,0,41800,41800,41800
2008-10-09,1.53,39800,-2(-4.78 %),107650,4332683000,0,0,39800,43000,39800
2008-10-10,1.46,37900,-1.9(-4.77 %),16370,620423000,0,0,37900,37900,37900
2008-10-13,1.39,36100,-1.8(-4.75 %),113430,4142030000,0,0,37000,38500,36100
2008-10-14,1.46,37900,1.8(4.99 %),5930,224747000,0,0,37900,37900,37900
2008-10-15,1.53,39700,1.8(4.75 %),110910,4391860000,0,0,39700,39700,37900
2008-10-16,1.6,41600,1.9(4.79 %),49080,1973401000,0,0,38100,41600,38100
2008-10-17,1.68,43600,2(4.81 %),76330,3327988000,20000,792000000,43600,43600,43600
2008-10-20,1.6,41500,-2.1(-4.82 %),53810,2346175000,0,0,45600,45600,41500
2008-10-21,1.66,43000,1.5(3.61 %),42250,1762280000,0,0,43000,43000,39500
2008-10-22,1.74,45000,2(4.65 %),50330,2121680000,0,0,40900,45000,40900
2008-10-23,1.65,42800,-2.2(-4.89 %),12200,522160000,0,0,42800,42800,42800
2008-10-24,1.57,40700,-2.1(-4.91 %),3040,123728000,0,0,40700,40700,40700
2008-10-27,1.49,38700,-2(-4.91 %),2750,106425000,0,0,38700,38700,38700
2008-10-28,1.42,36800,-1.9(-4.91 %),79010,2908971000,0,0,36800,37000,36800
2008-10-29,1.49,38600,1.8(4.89 %),123070,4745244000,20000,700000000,38600,38600,37000
2008-10-30,1.43,37000,-1.6(-4.15 %),52830,1945835000,0,0,36700,38500,36700
2008-10-31,1.39,36000,-1(-2.70 %),76460,2748901000,0,0,36000,37000,35200
2008-11-03,1.41,36500,0.5(1.39 %),46310,1655650000,0,0,35000,36500,34900
2008-11-04,1.48,38300,1.8(4.93 %),64980,2480320000,0,0,37900,38300,36500
2008-11-05,1.55,40200,1.9(4.96 %),27000,1085400000,0,0,40200,40200,40200
2008-11-06,1.62,42000,1.8(4.48 %),211410,8750268000,0,0,40200,42200,40000
2008-11-07,1.54,40000,-2(-4.76 %),107100,4387470000,0,0,40000,43000,40000
2008-11-10,1.62,42000,2(5.00 %),103600,4324785000,0,0,40900,42000,40200
2008-11-11,1.54,39900,-2.1(-5.00 %),31410,1258032000,0,0,40500,40500,39900
2008-11-12,1.52,39400,-0.5(-1.25 %),62050,2368574000,0,0,38100,39900,38000
2008-11-13,1.52,39300,-0.1(-0.25 %),14460,560344000,0,0,37900,40200,37900
2008-11-14,1.5,39000,-0.3(-0.76 %),74320,2992660000,0,0,41000,41000,38600
2008-11-17,1.53,39800,0.8(2.05 %),43840,1729395000,0,0,39800,39800,39000
2008-11-18,1.47,38000,-1.8(-4.52 %),30440,1157958000,20000,758000000,38000,39000,38000
2008-11-19,1.47,38100,0.1(0.26 %),22080,842095000,0,0,38700,38700,38000
2008-11-20,1.4,36200,-1.9(-4.99 %),67000,2432974000,0,0,36300,37800,36200
2008-11-21,1.42,36900,0.7(1.93 %),20410,743331000,0,0,34800,37000,34800
2008-11-24,1.36,35300,-1.6(-4.34 %),16050,579195000,0,0,37900,37900,35300
2008-11-25,1.41,36600,1.3(3.68 %),63190,2273321000,0,0,35200,36600,35000
2008-11-26,1.37,35600,-1(-2.73 %),15380,553470000,0,0,35600,36500,35600
2008-11-27,1.31,34000,-1.6(-4.49 %),47340,1625452000,0,0,34600,35000,34000
2008-11-28,1.38,35700,1.7(5.00 %),42060,1498790000,0,0,35500,35700,35000
2008-12-01,1.4,36200,0.5(1.40 %),27610,964175000,0,0,34000,36500,34000
2008-12-02,1.33,34600,-1.6(-4.42 %),18450,643140000,0,0,35800,35800,34600
2008-12-03,1.3,33800,-0.8(-2.31 %),21050,717230000,0,0,34500,34600,33700
2008-12-04,1.35,35000,1.2(3.55 %),13510,474061000,0,0,35400,35400,34000
2008-12-05,1.28,33300,-1.7(-4.86 %),31760,1059086000,0,0,34000,34000,33300
2008-12-08,1.22,31700,-1.6(-4.80 %),15080,478075000,0,0,31700,33000,31700
2008-12-09,1.17,30300,-1.4(-4.42 %),14370,451426000,0,0,32000,32000,30300
