Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-12-29,25.07,60100,0.1(0.17 %),3217540,191416000000,2950000,168180000000,60500,61600,57900
2016-12-30,25.07,60100,0(0.00 %),2391160,143180000000,0,0,60000,60100,58400
2017-01-03,24.61,59000,-1.1(-1.83 %),520260,30947000000,20000,1118000000,59000,60000,59000
2017-01-04,24.78,59400,0.4(0.68 %),1056370,62655000000,0,0,59000,59500,59000
2017-01-05,24.66,59100,-0.3(-0.51 %),637040,37672000000,0,0,59300,59400,59000
2017-01-06,24.7,59200,0.1(0.17 %),787010,46391000000,105667,5917352000,59000,59200,58800
2017-01-09,24.74,59300,0.1(0.17 %),1110630,65613000000,1300000,78000000000,59100,59300,58700
2017-01-10,24.61,59000,-0.3(-0.51 %),802560,47392000000,1300000,78000000000,59200,59200,58900
2017-01-11,24.66,59100,0.1(0.17 %),1077670,63529000000,1400000,84000000000,58900,59100,58700
2017-01-12,24.53,58800,-0.3(-0.51 %),904360,53332000000,0,0,59000,59100,58700
2017-01-13,24.61,59000,0.2(0.34 %),967870,56811000000,0,0,58800,59000,58500
2017-01-16,24.7,59200,0.2(0.34 %),1332640,78494000000,0,0,58900,59200,58700
2017-01-17,24.53,58800,-0.4(-0.68 %),1127570,66574000000,0,0,59100,59200,58800
2017-01-18,24.57,58900,0.1(0.17 %),1179580,69333000000,0,0,58700,59000,58700
2017-01-19,24.24,58100,-0.8(-1.36 %),1368300,80148000000,520000,30680000000,58800,59000,58000
2017-01-20,24.28,58200,0.1(0.17 %),975810,56820000000,0,0,58100,58500,57900
2017-01-23,24.11,57800,-0.4(-0.69 %),1087390,63188000000,0,0,58200,58400,57800
2017-01-24,24.16,57900,0.1(0.17 %),1201640,69555000000,0,0,57800,58200,57600
2017-01-25,25.28,60600,2.7(4.66 %),1636490,97338000000,0,0,58000,60600,58000
2017-02-02,25.41,60900,0.3(0.50 %),1363250,82641000000,0,0,60700,60900,60400
2017-02-03,25.41,60900,0(0.00 %),1185700,71769000000,0,0,60800,60900,60300
2017-02-06,24.99,59900,-1(-1.64 %),1119780,67543000000,0,0,60800,60800,59900
2017-02-07,24.82,59500,-0.4(-0.67 %),1226190,72961000000,0,0,59700,59800,59200
2017-02-08,24.66,59100,-0.4(-0.67 %),1262530,75096000000,0,0,59500,60000,59100
2017-02-09,24.53,58800,-0.3(-0.51 %),1679120,99418000000,0,0,59100,59700,58800
2017-02-10,24.53,58800,0(0.00 %),1606250,94952000000,0,0,59000,59600,58800
2017-02-13,24.7,59200,0.4(0.68 %),1257830,74550000000,0,0,58900,59500,58900
2017-02-14,24.7,59200,0(0.00 %),1291960,76677000000,0,0,59200,59600,59200
2017-02-15,24.82,59500,0.3(0.51 %),1404110,83497000000,0,0,59200,60000,59200
2017-02-16,25.16,60300,0.8(1.34 %),1493510,89807000000,0,0,59800,60600,59600
2017-02-17,25.36,60800,0.5(0.83 %),1384350,83968000000,0,0,60300,61400,60300
2017-02-20,26.32,63100,2.3(3.78 %),1026640,63383000000,0,0,61000,63500,61000
2017-02-21,27.53,66000,2.9(4.60 %),876160,56713000000,0,0,63500,67000,63100
2017-02-22,27.62,66200,0.2(0.30 %),866880,57943000000,0,0,66100,68000,66000
2017-02-23,27.49,65900,-0.3(-0.45 %),1538930,101388000000,0,0,66100,66600,64900
2017-02-24,27.24,65300,-0.6(-0.91 %),1235090,80538000000,0,0,65900,65900,64500
2017-02-27,27.74,66500,1.2(1.84 %),1041880,68296000000,0,0,66500,66900,65100
2017-02-28,27.95,67000,0.5(0.75 %),1508740,102065000000,0,0,66500,69500,66500
2017-03-01,28.7,68800,1.8(2.69 %),1218430,82926000000,0,0,67000,68800,67000
2017-03-02,28.7,68800,0(0.00 %),1299640,89772000000,0,0,68800,69500,68700
2017-03-03,28.74,68900,0.1(0.15 %),1150650,78490000000,450000,30600000000,68800,69000,67800
2017-03-06,28.74,68900,0(0.00 %),929730,63907000000,500000,34000000000,68800,69000,68300
2017-03-07,28.62,68600,-0.3(-0.44 %),910580,62644000000,92800,6384640000,68800,70000,68300
2017-03-08,28.37,68000,-0.6(-0.87 %),1049060,71371000000,0,0,68600,68600,66500
2017-03-09,28.37,68000,0(0.00 %),1011710,68557000000,500000,34000000000,68000,68100,67500
2017-03-10,28.37,68000,0(0.00 %),1068090,72976000000,0,0,68000,68700,67900
2017-03-13,30.33,72700,4.7(6.91 %),3354340,243249000000,1413800,102783260000,72700,72700,70000
2017-03-14,31.5,75500,2.8(3.85 %),845370,62801000000,1560000,117030000000,72700,75500,72600
2017-03-15,30.58,73300,-2.2(-2.91 %),938030,70633000000,0,0,75800,77000,73100
2017-03-16,30.29,72600,-0.7(-0.95 %),1000630,72878000000,3245830,230453930000,73000,73300,72600
2017-03-17,28.2,67600,-5(-6.89 %),2375730,162220000000,1829420,128059400000,71700,72000,67600
2017-03-20,28.7,68800,1.2(1.78 %),1155350,79960000000,1505420,101766392000,67800,70000,67800
2017-03-21,28.66,68700,-0.1(-0.15 %),690130,47510000000,1614390,109424972000,68800,69100,68500
2017-03-22,28.2,67600,-1.1(-1.60 %),637610,43239000000,2086610,141250107000,68600,68600,67600
2017-03-23,27.87,66800,-0.8(-1.18 %),563610,37903000000,1000000,66600000000,67600,67800,66400
2017-03-24,28.79,69000,2.2(3.29 %),1446360,99058000000,730520,51063348000,66800,69300,66800
2017-03-27,28.83,69100,0.1(0.14 %),532530,36701000000,779780,53804820000,69000,69300,68700
2017-03-28,28.58,68500,-0.6(-0.87 %),406850,28026000000,550000,37950000000,69100,69300,68300
2017-03-29,28.58,68500,0(0.00 %),517550,35449000000,730000,49935000000,68500,69000,68200
2017-03-30,28.66,68700,0.2(0.29 %),560350,38481000000,1160000,79288000000,68500,68900,68400
2017-03-31,28.87,69200,0.5(0.73 %),793980,54777000000,720000,49511000000,68800,69500,68700
2017-04-03,28.99,69500,0.3(0.43 %),755190,52673000000,0,0,69200,70000,68900
2017-04-04,29.37,70400,0.9(1.29 %),427440,29925000000,1330590,92561005000,69500,70700,69500
2017-04-05,29.37,70400,0(0.00 %),303140,21360000000,1400000,98530000000,70700,71000,70000
2017-04-07,29.37,70400,0(0.00 %),172000,12052000000,6500000,455000000000,70400,70500,69800
2017-04-10,29.41,70500,0.1(0.14 %),499710,35324000000,800000,56443000000,70500,70900,70300
2017-04-11,29.5,70700,0.2(0.28 %),491060,34733000000,800000,56800000000,70500,70900,70500
2017-04-12,29.5,70700,0(0.00 %),485270,34268000000,900000,63770000000,70800,70900,70300
2017-04-13,29.41,70500,-0.2(-0.28 %),302580,21355000000,1050000,74430000000,70700,70800,70400
2017-04-14,29.2,70000,-0.5(-0.71 %),407240,28529000000,900000,63510000000,70600,70600,69700
2017-04-17,29.08,69700,-0.3(-0.43 %),212430,14849000000,600000,42180000000,70000,70100,69700
2017-04-18,29.04,69600,-0.1(-0.14 %),376040,26091000000,350000,24500000000,69800,69800,68900
2017-04-19,29.29,70200,0.6(0.86 %),316870,22187000000,1000000,70175000000,69700,70500,69500
2017-04-20,29.54,70800,0.6(0.85 %),531930,37626000000,1500000,105625000000,70200,71000,70100
2017-04-21,30.25,72500,1.7(2.40 %),294460,21234000000,1256000,90322000000,70900,73000,70800
2017-04-24,30.5,73100,0.6(0.83 %),293990,21559000000,1050000,76715000000,72800,74500,72600
2017-04-25,30.45,73000,-0.1(-0.14 %),265790,19426000000,3528680,258281508000,73000,73300,72700
2017-04-26,30.37,72800,-0.2(-0.27 %),457960,33465000000,1100000,80385000000,73000,73500,72800
2017-04-27,30.25,72500,-0.3(-0.41 %),600290,43570000000,800000,58380000000,72900,73300,71400
2017-04-28,29.5,70700,-1.8(-2.48 %),577350,40988000000,1460000,106156000000,72500,72500,70200
2017-05-03,29.24,70100,-0.6(-0.85 %),633660,44616000000,1300000,92300000000,70700,71000,70100
2017-05-04,28.99,69500,-0.6(-0.86 %),447240,31162000000,1111120,78627296000,70100,70100,69300
2017-05-05,28.99,69500,0(0.00 %),358060,24910000000,0,0,69600,69900,69400
2017-05-08,28.41,68100,-1.4(-2.01 %),338780,23279000000,900000,62640000000,69500,69600,68100
2017-05-09,28.62,68600,0.5(0.73 %),418830,28663000000,830000,56676000000,68100,69000,67700
2017-05-10,28.79,69000,0.4(0.58 %),503660,34677000000,700000,48150000000,68600,69200,68200
2017-05-11,28.83,69100,0.1(0.14 %),536880,36959000000,500000,34590000000,69000,69100,68700
