Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-05-05,26.67,36500,0.5(1.39 %),1883710,68566093000,540000,19878000000,36500,37000,35500
2010-05-06,26.97,36900,0.4(1.10 %),1677620,61722930000,626000,21902200000,36700,37000,36500
2010-05-07,25.87,35400,-1.5(-4.07 %),1031810,36527035000,710000,25281000000,35300,36500,35200
2010-05-10,25.94,35500,0.1(0.28 %),2541710,87976393000,328500,11337350000,35000,35500,33700
2010-05-11,25.58,35000,-0.5(-1.41 %),1480570,52387407000,150000,5410000000,36000,36000,35000
2010-05-12,24.34,33300,-1.7(-4.86 %),1127180,37722073000,200000,6660000000,34000,34400,33300
2010-05-13,23.46,32100,-1.2(-3.60 %),2085780,66872929000,100000,3170000000,33300,33500,31700
2010-05-14,23.53,32200,0.1(0.31 %),878800,28357656000,0,0,32100,32800,31900
2010-05-17,23.53,32200,0(0.00 %),1454150,46540406000,840000,28052000000,31500,32200,31500
2010-05-18,23.82,32600,0.4(1.24 %),1328720,43238922000,449000,14505000000,32500,32700,32200
2010-05-19,23.39,32000,-0.6(-1.84 %),901420,28922455000,1311900,40668900000,32000,32700,31600
2010-05-20,24.12,33000,1(3.12 %),818340,25866891000,2000000,64000000000,31000,33000,30800
2010-05-21,22.95,31400,-1.6(-4.85 %),235190,7384966000,1030000,33942000000,31400,31400,31400
2010-05-24,22.22,30400,-1(-3.18 %),746930,22813639000,2525000,79247500000,30600,31400,30000
2010-05-25,21.92,30000,-0.4(-1.32 %),1035890,31132809000,280000,8147000000,29800,30700,29700
2010-05-26,23.02,31500,1.5(5.00 %),1205090,36980128000,158000,4503000000,30000,31500,30000
2010-05-27,23.39,32000,0.5(1.59 %),1146960,36431990000,250000,7500000000,31900,32500,31000
2010-05-28,24.48,33500,1.5(4.69 %),1458660,48580373000,0,0,33600,33600,32500
2010-05-31,23.6,32300,-1.2(-3.58 %),1780130,58192579000,0,0,33000,33100,32000
2010-06-01,23.53,32200,-0.1(-0.31 %),1259910,40320734000,150000,4605000000,32400,32500,31400
2010-06-02,23.6,32300,0.1(0.31 %),1465390,47040661000,240000,7608000000,32000,32500,31800
2010-06-03,24.77,33900,1.6(4.95 %),3288980,111349877000,2300000,74770000000,33800,33900,33300
2010-06-04,25.94,35500,1.6(4.72 %),2290970,81155265000,600000,21300000000,35400,35500,35000
2010-06-07,25.58,35000,-0.5(-1.41 %),1266000,44475811000,0,0,34500,36000,34000
2010-06-08,25.21,34500,-0.5(-1.43 %),866480,30116508000,0,0,34900,35500,34000
2010-06-09,25.43,34800,0.3(0.87 %),2939450,101551823000,0,0,34500,34800,33900
2010-06-10,25.43,34800,0(0.00 %),917700,31851342000,0,0,34800,34800,34100
2010-06-11,26.53,36300,1.5(4.31 %),2613940,93910825000,55190,1920612000,35300,36400,34800
2010-06-14,27.84,38100,1.8(4.96 %),2918970,110729690000,3270000,124335000000,37400,38100,37000
2010-06-15,29.23,40000,1.9(4.99 %),3857860,153342402000,373000,14920000000,39500,40000,38600
2010-06-16,30.47,41700,1.7(4.25 %),2178830,90917168000,0,0,41800,42000,40300
2010-06-17,29.01,39700,-2(-4.80 %),2934080,117028207000,0,0,40100,40900,39700
2010-06-18,28.87,39500,-0.2(-0.50 %),2118310,83459308000,0,0,39100,41000,38200
2010-06-21,29.09,39800,0.3(0.76 %),1314500,52552184000,77000,2979200000,39800,40500,39200
2010-06-22,28.35,38800,-1(-2.51 %),1644490,64554064000,0,0,39800,40000,38100
2010-06-23,29.23,40000,1.2(3.09 %),1839070,71878222000,0,0,37500,40000,37500
2010-06-24,28.14,38500,-1.5(-3.75 %),552600,21869910000,0,0,40300,40300,38500
2010-06-25,27.4,37500,-1(-2.60 %),629630,23782890000,0,0,38100,38300,37500
2010-06-28,28.21,38600,1.1(2.93 %),1473400,56157911000,0,0,37500,38600,37500
2010-06-29,28.28,38700,0.1(0.26 %),1049010,40590498000,0,0,39300,39300,38200
2010-06-30,27.77,38000,-0.7(-1.81 %),1072350,40716315000,399310,15524780000,38700,38700,37500
2010-07-01,27.77,38000,0(0.00 %),795400,30159117000,1000000,38000000000,37500,38100,37500
2010-07-02,28.65,39200,1.2(3.16 %),1722090,66491362000,1000000,38000000000,38500,39200,37700
2010-07-05,29.23,40000,0.8(2.04 %),1415350,56129444000,0,0,40000,40100,38700
2010-07-06,29.09,39800,-0.2(-0.50 %),1678850,66502263000,0,0,39900,39900,38700
2010-07-07,28.94,39600,-0.2(-0.50 %),894550,35395003000,0,0,39500,39800,38800
2010-07-08,28.28,38700,-0.9(-2.27 %),725920,28313333000,0,0,39100,39700,38700
2010-07-09,27.92,38200,-0.5(-1.29 %),721340,27732378000,0,0,38600,38800,38200
2010-07-12,28.06,38400,0.2(0.52 %),257980,9858281000,0,0,38200,38500,37700
2010-07-13,28.72,39300,0.9(2.34 %),839490,32868010000,0,0,39000,39500,38500
2010-07-14,29.23,40000,0.7(1.78 %),2082560,82559761000,0,0,39500,40000,39300
2010-07-15,29.3,40100,0.1(0.25 %),1693040,67757546000,400000,16000000000,39900,40300,39800
2010-07-16,30.77,42100,2(4.99 %),1961220,81099928000,0,0,40000,42100,39800
2010-07-19,32.3,44200,2.1(4.99 %),1949090,84767187000,0,0,42000,44200,41500
2010-07-20,33.47,45800,1.6(3.62 %),2259580,102746604000,0,0,44200,46000,44200
2010-07-21,31.86,43600,-2.2(-4.80 %),1185840,52632872000,70000,3150000000,45800,45800,43600
2010-07-22,31.86,43600,0(0.00 %),2120340,91572611000,0,0,42500,43700,41600
2010-07-23,32.96,45100,1.5(3.44 %),1677480,74436589000,0,0,44000,45100,43100
2010-07-26,33.47,45800,0.7(1.55 %),2051570,94160054000,500000,22550000000,45000,46300,44900
2010-07-27,33.18,45400,-0.4(-0.87 %),853490,38511549000,0,0,45900,45900,43800
2010-07-28,32.16,44000,-1.4(-3.08 %),638960,28156419000,30000,1335000000,44200,45400,43200
2010-07-29,31.64,43300,-0.7(-1.59 %),653550,28553923000,50000,2250000000,43000,44000,43000
