Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-10-31,4.37,59500,-3(-4.80 %),250,14875000,0,0,59500,59500,59500
2008-11-03,4.18,57000,-2.5(-4.20 %),360,20520000,0,0,57000,57000,57000
2008-11-04,4.0,54500,-2.5(-4.39 %),900,49050000,0,0,54500,54500,54500
2008-11-05,3.82,52000,-2.5(-4.59 %),2000,104000000,0,0,52000,52000,52000
2008-11-06,3.62,49400,-2.55(-4.91 %),110,5434000,0,0,49400,49400,49400
2008-11-07,3.45,47000,-2.25(-4.57 %),160,7520000,0,0,47000,47000,47000
2008-11-10,3.28,44700,-2.3(-4.89 %),210,9387000,0,0,44700,44700,44700
2008-11-11,3.12,42500,-2.2(-4.92 %),1360,57800000,0,0,42500,42500,42500
2008-11-12,2.96,40400,-2.1(-4.94 %),40,1616000,0,0,40400,40400,40400
2008-11-13,2.82,38400,-2(-4.95 %),60,2304000,0,0,38400,38400,38400
2008-11-14,2.68,36500,-1.9(-4.95 %),81310,2977759000,0,0,36500,39000,36500
2008-11-17,2.55,34700,-1.8(-4.93 %),25150,872795000,0,0,34700,34800,34700
2008-11-18,2.42,33000,-1.7(-4.90 %),2230,73590000,0,0,33000,33000,33000
2008-11-19,2.3,31400,-1.6(-4.85 %),17200,540080000,0,0,31400,31400,31400
2008-11-20,2.19,29900,-1.5(-4.78 %),5550,165945000,0,0,29900,29900,29900
2008-11-21,2.09,28500,-1.4(-4.68 %),2430,69358000,0,0,28600,28600,28500
2008-11-24,1.99,27100,-1.4(-4.91 %),2300,62330000,0,0,27100,27100,27100
2008-11-25,1.89,25800,-1.3(-4.80 %),1910,49278000,0,0,25800,25800,25800
2008-11-26,1.9,25900,0.1(0.39 %),142180,3567334000,0,0,24600,27000,24600
2008-11-27,1.89,25800,-0.1(-0.39 %),28420,733790000,0,0,26800,26800,24800
2008-11-28,1.91,26000,0.2(0.78 %),35720,942167000,0,0,26800,26800,26000
2008-12-01,1.83,25000,-1(-3.85 %),46090,1141934000,0,0,26000,26000,24700
2008-12-02,1.75,23800,-1.2(-4.80 %),41810,997338000,0,0,23900,24000,23800
2008-12-03,1.67,22700,-1.1(-4.62 %),65560,1501935000,0,0,23800,23800,22700
2008-12-04,1.63,21600,-0.5(-2.26 %),32360,705079000,0,0,21100,22400,21100
2008-12-05,1.56,20700,-0.9(-4.17 %),67760,1404560000,0,0,21000,21000,20600
2008-12-08,1.51,20000,-0.7(-3.38 %),13590,270265000,0,0,20000,20700,19700
2008-12-09,1.58,21000,1(5.00 %),4810,100470000,0,0,20800,21000,20800
2008-12-10,1.66,22000,1(4.76 %),3810,83820000,0,0,22000,22000,22000
2008-12-11,1.74,23100,1.1(5.00 %),154440,3557097000,0,0,23100,23100,22500
2008-12-12,1.82,24200,1.1(4.76 %),2390,57838000,0,0,24200,24200,24200
2008-12-15,1.91,25400,1.2(4.96 %),19000,482600000,0,0,25400,25400,25400
2008-12-16,2.0,26600,1.2(4.72 %),233980,6214774000,0,0,26600,26600,25800
2008-12-17,2.0,26600,0(0.00 %),85360,2247956000,0,0,25600,27500,25600
2008-12-18,1.97,26100,-0.5(-1.88 %),14520,386029000,0,0,26600,26900,26000
2008-12-19,2.0,26500,0.4(1.53 %),35930,943306000,0,0,25900,26500,25800
2008-12-22,2.06,27400,0.9(3.40 %),74180,2033750000,0,0,27600,27600,26500
2008-12-23,1.99,26400,-1(-3.65 %),42110,1115068000,0,0,26600,26800,26200
2008-12-24,1.98,26300,-0.1(-0.38 %),28110,733954000,0,0,25500,26400,25500
2008-12-25,2.0,26500,0.2(0.76 %),5190,137907000,0,0,27000,27000,26300
2008-12-26,2.0,26600,0.1(0.38 %),26570,701250000,0,0,26000,26700,26000
2008-12-29,2.03,27000,0.4(1.50 %),27610,743600000,0,0,26100,27000,26100
2008-12-30,2.06,27400,0.4(1.48 %),40230,1097410000,0,0,27100,27500,27000
2008-12-31,2.06,27300,-0.1(-0.36 %),17060,466091000,0,0,27400,27800,26600
2009-01-02,2.03,26900,-0.4(-1.47 %),5500,148207000,0,0,27300,27300,26800
2009-01-05,2.04,27100,0.2(0.74 %),25000,674796000,0,0,27000,27100,26500
2009-01-06,2.06,27300,0.2(0.74 %),35710,973244000,0,0,27800,27800,27100
2009-01-07,2.06,27400,0.1(0.37 %),48800,1338402000,0,0,27300,27700,27300
2009-01-08,2.03,27000,-0.4(-1.46 %),13720,373955000,0,0,26800,27500,26800
2009-01-09,2.06,27300,0.3(1.11 %),2900,79320000,0,0,27400,27400,27300
2009-01-12,2.04,27100,-0.2(-0.73 %),13950,376979000,0,0,27000,27100,26900
2009-01-13,2.03,27000,-0.1(-0.37 %),10310,278326000,0,0,27100,27200,26600
