Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-07-13,6.64,13300,0.2(1.53 %),1131600,14868190000,0,0,13500,13500,12300
2010-07-14,6.99,14000,0.9(6.87 %),971700,13584100000,0,0,13500,14000,13500
2010-07-15,6.79,13600,-0.4(-2.86 %),581300,8130870000,0,0,14800,14800,13600
2010-07-16,6.64,13300,-0.7(-5.00 %),676600,8961470000,10000,132000000,13700,13700,13100
2010-07-19,6.59,13200,0(0.00 %),338500,4425590000,0,0,13000,13300,12900
2010-07-20,6.34,12700,-0.4(-3.05 %),380700,4896840000,100000,1350000000,13000,13200,12600
2010-07-21,6.39,12800,-0.1(-0.78 %),534700,6820670000,500000,6500000000,12600,13000,12400
2010-07-22,6.39,12800,0(0.00 %),434000,5578870000,0,0,12900,13100,12600
2010-07-23,6.39,12800,-0.1(-0.78 %),239900,3074200000,0,0,13000,13000,12700
2010-07-26,6.24,12500,-0.3(-2.34 %),210600,2639680000,20000,256000000,12900,12900,12400
2010-07-27,6.24,12500,0(0.00 %),348400,4386170000,20000,266000000,12300,12800,12300
2010-07-28,5.94,11900,-0.7(-5.56 %),399700,4803220000,0,0,12600,12600,11800
2010-07-29,6.04,12100,0.1(0.83 %),212000,2553590000,0,0,12100,12200,11900
2010-07-30,6.04,12100,0.1(0.83 %),236700,2865130000,90000,1125000000,12100,12400,12000
2010-08-02,5.89,11800,-0.3(-2.48 %),63500,755360000,0,0,12100,12100,11800
2010-08-03,5.89,11800,-0.1(-0.84 %),319100,3763130000,39000,495300000,12000,12000,11600
2010-08-04,5.74,11500,-0.3(-2.54 %),310600,3586050000,0,0,11800,11800,11400
2010-08-05,5.84,11700,0.2(1.74 %),200300,2332070000,0,0,11600,11800,11600
2010-08-06,5.64,11300,-0.3(-2.59 %),236300,2697210000,25000,310000000,11600,11600,11300
2010-08-09,5.44,10900,-0.5(-4.39 %),147200,1620480000,0,0,11400,11400,10800
2010-08-10,5.19,10400,-0.6(-5.45 %),291100,3024340000,0,0,11000,11000,10300
2010-08-11,5.29,10600,0.2(1.92 %),150600,1584730000,0,0,10500,10800,10200
2010-08-12,5.04,10100,-0.4(-3.81 %),405800,4145730000,0,0,10600,10600,10000
2010-08-13,5.24,10500,0.3(2.94 %),498800,5164470000,0,0,10400,10700,10000
2010-08-16,5.54,11100,0.7(6.73 %),406400,4450880000,0,0,10700,11100,10700
2010-08-17,5.39,10800,-0.2(-1.82 %),118500,1287130000,0,0,11200,11200,10600
2010-08-18,5.19,10400,-0.5(-4.59 %),178700,1871050000,0,0,10800,10800,10300
2010-08-19,5.19,10400,-0.1(-0.95 %),249700,2629280000,0,0,10500,10600,10400
2010-08-20,5.19,10400,-0.1(-0.95 %),478800,5038080000,0,0,10400,10700,10300
2010-08-23,5.19,10400,-0.1(-0.95 %),107400,1127920000,0,0,10700,11000,10400
2010-08-24,5.09,10200,-0.3(-2.86 %),294500,2977170000,0,0,10500,10700,10000
2010-08-25,4.99,10000,-0.1(-0.99 %),441500,4402630000,0,0,10100,10100,9800
2010-08-26,4.99,10000,0(0.00 %),219000,2195360000,0,0,10100,10200,9900
2010-08-27,5.09,10200,0.2(2.00 %),222500,2230380000,500000,5000000000,10000,10200,9900
2010-08-30,5.34,10700,0.7(7.00 %),407000,4339180000,130200,1308000000,10400,10700,10400
2010-08-31,5.29,10600,-0.1(-0.93 %),298400,3193660000,0,0,10900,10900,10600
2010-09-01,5.34,10700,0(0.00 %),381500,4059440000,0,0,10700,10800,10400
2010-09-06,5.64,11300,0.7(6.60 %),978300,10956740000,20000,198000000,10800,11300,10800
2010-09-07,5.49,11000,-0.2(-1.79 %),281400,3082350000,0,0,11000,11200,10500
2010-09-08,5.34,10700,-0.3(-2.73 %),258600,2732300000,0,0,10500,10800,10400
2010-09-09,5.64,11300,0.7(6.60 %),971100,10956880000,0,0,10800,11300,10800
2010-09-10,5.89,11800,0.5(4.42 %),1842000,21951660000,0,0,12000,12000,11000
2010-09-13,5.59,11200,-0.7(-5.88 %),327500,3727820000,0,0,11900,12000,11100
2010-09-14,5.59,11200,-0.2(-1.75 %),159600,1818920000,0,0,11500,11600,11200
2010-09-15,5.49,11000,-0.4(-3.51 %),321800,3523150000,0,0,11400,11400,10800
2010-09-16,5.49,11000,0.1(0.92 %),493200,5383680000,0,0,11100,11100,10700
2010-09-17,5.79,11600,0.7(6.42 %),686300,7865340000,10000,102000000,11100,11600,10900
2010-09-20,5.64,11300,-0.2(-1.74 %),466900,5407560000,0,0,11800,11900,11300
2010-09-21,5.49,11000,-0.6(-5.17 %),275100,3038730000,0,0,11500,11500,10900
2010-09-22,5.44,10900,-0.1(-0.91 %),216400,2366030000,0,0,10900,11100,10800
2010-09-23,5.39,10800,-0.1(-0.92 %),525900,5651610000,0,0,10900,11000,10500
2010-09-24,5.39,10800,0.1(0.93 %),304000,3280540000,6500,74100000,10700,11000,10700
2010-09-27,5.39,10800,0(0.00 %),154100,1661170000,0,0,10700,10900,10700
2010-09-28,5.39,10800,0(0.00 %),269600,2917380000,0,0,11000,11000,10800
2010-09-29,5.29,10600,-0.2(-1.85 %),486800,5199470000,0,0,10800,10900,10500
2010-09-30,5.24,10500,-0.2(-1.87 %),175500,1850920000,0,0,10700,10700,10400
2010-10-01,5.19,10400,-0.1(-0.95 %),235300,2471940000,0,0,10500,10600,10400
2010-10-04,5.04,10100,-0.4(-3.81 %),572000,5875970000,0,0,10400,10400,10100
2010-10-05,5.14,10300,0(0.00 %),259900,2641350000,0,0,10300,10400,9900
2010-10-06,5.24,10500,0.3(2.94 %),138800,1459560000,0,0,10300,10700,10200
2010-10-07,5.09,10200,-0.3(-2.86 %),195800,2031560000,0,0,10400,10500,10200
2010-10-08,5.04,10100,-0.3(-2.88 %),139800,1417100000,0,0,10300,10300,10000
2010-10-11,4.99,10000,-0.1(-0.99 %),69500,700170000,0,0,10200,10200,10000
2010-10-12,4.99,10000,-0.1(-0.99 %),212000,2122290000,0,0,10100,10100,10000
2010-10-13,5.04,10100,0.1(1.00 %),94000,944720000,0,0,10000,10100,10000
2010-10-14,4.99,10000,-0.1(-0.99 %),183000,1830220000,0,0,10000,10100,10000
2010-10-15,4.99,10000,0(0.00 %),176400,1766310000,0,0,10100,10100,9900
2010-10-18,4.89,9800,-0.2(-2.00 %),34100,337710000,0,0,10000,10000,9800
2010-10-19,4.74,9500,-0.4(-4.04 %),58200,556650000,0,0,9800,9800,9400
2010-10-20,4.64,9300,-0.3(-3.12 %),244400,2318640000,0,0,9500,9600,9300
2010-10-21,4.74,9500,0(0.00 %),244300,2335260000,0,0,9600,9700,9500
2010-10-22,4.74,9500,-0.1(-1.04 %),154600,1470040000,0,0,9500,9600,9400
2010-10-25,4.69,9400,-0.1(-1.05 %),82200,766230000,0,0,9300,9700,9000
2010-10-26,4.94,9900,0.6(6.45 %),103100,1019250000,0,0,9700,9900,9700
2010-10-27,4.79,9600,-0.3(-3.03 %),33200,317650000,0,0,9500,9700,9500
2010-10-28,4.69,9400,-0.2(-2.08 %),71700,679330000,0,0,9500,9600,9400
2010-10-29,4.79,9600,0.1(1.05 %),24300,231480000,0,0,9700,9700,9300
2010-11-01,4.59,9200,-0.3(-3.16 %),10300,95660000,0,0,9500,9500,9200
2010-11-02,4.59,9200,-0.1(-1.08 %),137400,1265390000,0,0,9000,9300,8900
2010-11-03,4.49,9000,-0.2(-2.17 %),66800,605480000,0,0,9000,9200,8900
2010-11-04,4.54,9100,0(0.00 %),17700,162200000,0,0,9200,9200,9100
2010-11-05,4.69,9400,0.2(2.17 %),80000,742890000,0,0,9300,9500,9000
2010-11-08,4.59,9200,-0.1(-1.08 %),27900,254230000,0,0,9000,9200,9000
2010-11-09,4.44,8900,-0.2(-2.20 %),40100,354970000,0,0,9000,9000,8800
2010-11-10,4.49,9000,0.1(1.12 %),119700,1086030000,20000,190000000,8900,9200,8600
2010-11-11,4.29,8600,-0.5(-5.49 %),131000,1157970000,0,0,8900,9000,8500
2010-11-12,4.09,8200,-0.6(-6.82 %),156400,1287680000,0,0,8300,8300,8200
2010-11-15,3.94,7900,-0.3(-3.66 %),41400,334710000,0,0,8400,8500,7900
2010-11-16,3.94,7900,-0.2(-2.47 %),169700,1316020000,0,0,7700,7900,7600
2010-11-17,3.99,8000,0.2(2.56 %),84700,676540000,0,0,7900,8200,7800
2010-11-18,4.24,8500,0.5(6.25 %),109800,930530000,0,0,8400,8500,8200
2010-11-19,4.04,8100,-0.4(-4.71 %),76000,615720000,0,0,9000,9000,8000
2010-11-22,3.89,7800,-0.3(-3.70 %),174100,1356630000,0,0,8000,8000,7700
2010-11-23,3.94,7900,0.1(1.28 %),31400,246260000,35000,290500000,7900,7900,7700
2010-11-24,3.99,8000,0.2(2.56 %),56200,441210000,0,0,7500,8000,7500
2010-11-25,3.99,8000,0.1(1.27 %),57400,468150000,0,0,8200,8300,8000
2010-11-26,3.99,8000,-0.2(-2.44 %),105200,846880000,0,0,8200,8300,7900
2010-11-29,4.29,8560,0.5(6.17 %),202300,1693810000,0,0,8100,8560,7700
2010-11-30,4.44,8900,0.5(5.95 %),314200,2773810000,0,0,8700,8900,8500
2010-12-01,4.24,8500,-0.3(-3.41 %),160000,1362510000,0,0,8500,8800,8300
2010-12-02,4.39,8800,0.3(3.53 %),194000,1660530000,0,0,8600,8900,8100
2010-12-03,4.59,9200,0.6(6.98 %),387100,3557430000,0,0,9100,9200,9000
2010-12-06,4.74,9500,0.3(3.26 %),644900,6284940000,0,0,9800,9800,9300
2010-12-07,4.59,9200,-0.5(-5.15 %),304300,2875700000,0,0,9700,9900,9100
2010-12-08,4.44,8900,-0.6(-6.32 %),220600,1987450000,0,0,9100,9500,8900
2010-12-09,4.54,9100,0.1(1.11 %),245900,2211330000,40000,380000000,9100,9400,8500
2010-12-10,4.79,9600,0.6(6.67 %),432100,4098870000,10000,95000000,8600,9600,8600
2010-12-13,5.04,10100,0.6(6.32 %),911800,9207540000,0,0,10000,10100,10000
2010-12-14,4.89,9800,-0.3(-2.97 %),533100,5337690000,0,0,10700,10700,9600
2010-12-15,4.94,9900,-0.1(-1.00 %),376800,3764970000,0,0,10000,10400,9700
2010-12-16,4.64,9300,-0.7(-7.00 %),259300,2433280000,0,0,9700,9800,9300
2010-12-17,4.84,9700,0.3(3.19 %),198600,1914190000,0,0,9800,9800,9200
2010-12-20,4.69,9400,-0.2(-2.08 %),121800,1158540000,0,0,9600,9800,9300
2010-12-21,4.64,9300,-0.2(-2.11 %),209700,1936080000,0,0,9400,9600,9000
2010-12-22,4.54,9100,-0.1(-1.09 %),67800,618560000,0,0,9500,9500,9000
