Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-13,2.07,42000,2(5.00 %),83780,3518760,0,0,42000,42000,42000
2006-12-14,2.18,44100,2.1(5.00 %),14140,617127,0,0,42000,44100,42000
2006-12-15,2.29,46300,2.2(4.99 %),8000,370400,0,0,46300,46300,46300
2006-12-18,2.4,48600,2.3(4.97 %),34250,1664550,0,0,48600,48600,48600
2006-12-19,2.52,51000,2.4(4.94 %),41800,2131800,0,0,51000,51000,51000
2006-12-20,2.64,53500,2.5(4.90 %),108950,5828825,0,0,53500,53500,53500
2006-12-21,2.57,52000,-1.5(-2.80 %),116940,6435760,10000,560000,56000,56000,52000
2006-12-22,2.44,49400,-2.6(-5.00 %),12270,608738,0,0,52000,52000,49400
2006-12-25,2.32,47000,-2.4(-4.86 %),5680,268160,0,0,49400,49400,47000
2006-12-26,2.43,49300,2.3(4.89 %),83400,3922192,0,0,44700,49300,44700
2006-12-27,2.49,50500,1.2(2.43 %),46270,2330270,0,0,50500,50500,50500
2006-12-28,2.47,50000,-0.5(-0.99 %),36400,1825050,0,0,50500,50500,50000
2006-12-29,2.47,50000,0(0.00 %),36120,1799800,0,0,50000,50000,50000
2007-01-02,2.37,48000,0.3(0.63 %),36830,1770000000,0,0,48000,49000,47700
2007-01-03,2.37,48000,0(0.00 %),20330,0,0,0,48000,48000,47500
2007-01-04,2.47,50000,2(4.17 %),125140,6171000000,0,0,50000,50000,48000
2007-01-05,2.47,50000,0(0.00 %),137190,0,0,0,50000,50000,50000
2007-01-08,2.44,49500,-0.5(-1.00 %),68960,460000000,0,0,50500,50500,49500
2007-01-09,2.46,49800,0.3(0.61 %),56880,2822000000,0,0,49500,49800,49000
2007-01-10,2.47,50000,0.2(0.40 %),89200,4460000000,0,0,50000,50000,50000
2007-01-11,2.35,47500,-2.5(-5.00 %),55530,2642000000,0,0,48000,48000,47500
2007-01-12,2.39,48500,1(2.11 %),64900,3089000000,0,0,47500,48500,47500
2007-01-15,2.42,49000,0.5(1.03 %),51970,2547000000,0,0,49000,49000,49000
2007-01-16,2.37,48000,-1(-2.04 %),23540,1132000000,0,0,49000,49000,48000
2007-01-17,2.32,47000,-1(-2.08 %),32960,1549000000,0,0,47100,47100,47000
2007-01-18,2.22,45000,-2(-4.26 %),62010,2787000000,0,0,45000,45000,44800
2007-01-19,2.32,47000,2(4.44 %),67070,3110000000,0,0,47000,47000,46000
2007-01-22,2.27,46000,-1(-2.13 %),35150,1636000000,0,0,46800,47000,46000
2007-01-23,2.36,47700,1.7(3.70 %),46780,2210000000,0,0,47000,47700,47000
2007-01-24,2.35,47500,-0.2(-0.42 %),36360,1731000000,0,0,47500,47700,47500
2007-01-25,2.32,47000,-0.5(-1.05 %),13750,650000000,0,0,47500,47500,47000
2007-01-26,2.27,46000,-1(-2.13 %),22400,1039000000,0,0,47000,47000,46000
2007-01-29,2.32,47000,1(2.17 %),34240,1591000000,0,0,47000,47000,46000
2007-01-30,2.42,49000,2(4.26 %),22970,1126000000,0,0,49000,49000,49000
2007-01-31,2.54,51500,2.2(4.46 %),40540,4054000000,0,0,50500,51500,49500
2007-02-01,2.54,51500,0(0.00 %),25240,2524000000,0,0,52000,52000,51500
2007-02-02,2.54,51500,0(0.00 %),29910,2991000000,0,0,51500,51500,51500
2007-02-05,2.67,54000,2.5(4.85 %),95960,5182000000,0,0,54000,54000,54000
2007-02-06,2.79,56500,2.5(4.63 %),50930,2878000000,0,0,56500,56500,56500
2007-02-07,2.91,59000,2.5(4.42 %),123380,7279000000,0,0,59000,59000,59000
2007-02-08,2.79,56500,-2.5(-4.24 %),57580,3334000000,0,0,56500,59000,56500
2007-02-09,2.67,54000,-2.5(-4.42 %),6050,330000000,0,0,54000,56500,54000
2007-02-12,2.59,52500,-1.5(-2.78 %),61130,3195000000,0,0,51500,53500,51500
2007-02-13,2.66,53000,0.5(0.95 %),7860,414000000,0,0,53000,53000,52500
2007-02-14,2.66,53000,0(0.00 %),19990,1059000000,0,0,53000,53000,53000
2007-02-15,2.66,53000,0(0.00 %),13900,737000000,0,0,53000,53000,53000
2007-02-26,2.66,53000,0(0.00 %),16990,900000000,0,0,53000,53000,53000
2007-02-27,2.69,53500,0.5(0.94 %),49800,2659000000,0,0,53500,53500,53000
2007-02-28,2.71,54000,0.5(0.93 %),38230,2064000000,0,0,54000,54000,54000
2007-03-01,2.61,52000,-2(-3.70 %),16950,883000000,0,0,52000,53000,51500
2007-03-02,2.61,52000,0(0.00 %),13830,716000000,0,0,52000,52000,51000
2007-03-05,2.61,52000,0(0.00 %),28290,1471000000,0,0,52000,52000,52000
2007-03-06,2.71,54000,2(3.85 %),62210,3320000000,0,0,54000,54000,53000
2007-03-07,2.84,56500,2.5(4.63 %),54360,3071000000,0,0,56500,56500,56500
2007-03-08,2.96,59000,2.5(4.42 %),111180,6560000000,0,0,59000,59000,59000
2007-03-09,3.06,61000,2(3.39 %),159280,9756000000,0,0,61500,61500,61000
2007-03-12,2.96,59000,-2(-3.28 %),52870,3185000000,0,0,61000,61000,59000
2007-03-13,2.86,57000,-2(-3.39 %),44190,2566000000,0,0,57000,59000,57000
2007-03-14,2.81,56000,-1(-1.75 %),39950,2212000000,0,0,56000,56000,55000
2007-03-15,2.69,53500,-2.5(-4.46 %),31020,1667000000,0,0,54000,54000,53500
2007-03-16,2.81,56000,2.5(4.67 %),23460,1284000000,0,0,53500,56000,53500
2007-03-19,2.76,55000,-1(-1.79 %),42850,2374000000,0,0,56000,56000,55000
2007-03-20,2.71,54000,-1(-1.82 %),35510,1918000000,0,0,54500,55000,52500
2007-03-21,2.66,53000,-1(-1.85 %),30070,1674000000,0,0,56500,56500,53000
2007-03-22,2.66,53000,0(0.00 %),25030,1327000000,0,0,53000,53000,53000
2007-03-23,2.66,53000,0(0.00 %),19850,1048000000,0,0,52500,53000,52500
2007-03-26,2.54,50500,-2.5(-4.72 %),22500,1157000000,0,0,53000,53000,50500
2007-03-27,2.41,48000,-2.5(-4.95 %),18910,908000000,0,0,48000,48000,48000
2007-03-28,2.29,45600,-2.4(-5.00 %),22060,1006000000,0,0,45600,45600,45600
