Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-25,4.97,60000,0.5(0.84 %),30000,1647800000,0,0,53600,60000,53600
2006-12-26,4.99,60300,5.4(9.84 %),2000,120600000,0,0,60300,60300,60300
2006-12-27,5.49,64500,6(9.95 %),24500,1624350000,0,0,64500,64500,64500
2006-12-28,6.02,70900,6.4(9.65 %),108000,7870780000,0,0,70900,70900,70900
2006-12-29,6.04,73000,0.1(0.14 %),14400,1063850000,0,0,77800,77800,72000
2007-01-02,6.13,74000,0.1(0.14 %),15600,1163750000,0,0,75000,76000,73300
2007-01-03,6.14,74100,-0.5(-0.67 %),7800,0,0,0,74000,75000,73200
2007-01-04,6.67,79300,6.4(8.64 %),30400,2429250000,0,0,79300,79300,79000
2007-01-05,7.27,86100,7.9(9.89 %),36000,0,0,0,86100,86100,86100
2007-01-08,7.29,88000,0.2(0.23 %),20900,161300000,0,0,93900,93900,81700
2007-01-09,7.87,94200,7(7.95 %),33800,3112200000,0,0,94000,94200,90000
2007-01-10,8.28,100000,7.9(8.58 %),19900,1968680000,0,0,100000,100000,98000
2007-01-11,8.69,105000,12.9(14.01 %),16300,1678740000,0,0,107000,107000,100000
2007-01-12,9.38,112400,10.3(10.00 %),57900,6560070000,0,0,112400,112400,112400
2007-01-15,9.94,120000,6.7(5.91 %),58500,7155870000,0,0,121200,121200,117000
2007-01-16,9.6,116000,-6.3(-5.15 %),27200,3337090000,0,0,128400,128400,111600
2007-01-17,9.15,110500,-11.8(-9.65 %),13800,1530600000,0,0,123000,123000,110500
2007-01-18,9.94,118200,9.1(8.21 %),35600,3921790000,0,0,102800,118200,102800
2007-01-19,9.77,118000,7.8(7.08 %),56000,6718520000,0,0,120000,121200,118000
2007-01-22,8.94,109700,-12(-10.00 %),23600,2604200000,0,0,125000,125000,109700
2007-01-23,8.69,105000,-5.3(-4.81 %),44000,5035220000,0,0,108000,115600,105000
2007-01-24,9.27,112000,-2.4(-2.10 %),1400,159650000,0,0,112400,112400,112000
2007-01-25,8.78,106000,-8(-7.02 %),18300,1936360000,0,0,111700,111700,105000
2007-01-26,8.78,106000,0.2(0.19 %),40400,4311560000,0,0,113400,113400,105800
2007-01-29,8.94,108000,1.3(1.22 %),46500,5207390000,0,0,113400,113400,108000
2007-01-30,9.94,115600,8(7.14 %),56600,6695820000,0,0,115600,115600,115600
2007-01-31,9.95,120200,1.9(1.61 %),33600,4047000000,0,0,123000,123000,120000
2007-02-01,9.6,116000,-4.4(-3.65 %),5500,652600000,0,0,120000,124000,116000
2007-02-02,9.83,118700,0(0.00 %),35100,4024660000,0,0,119000,119000,110000
