Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-11-17,11.71,46000,3(6.98 %),873160,39500000000,260265,11191395000,44000,46000,43800
2016-11-18,12.48,49050,3.05(6.63 %),1068000,52481000000,0,0,49200,49200,48900
2016-11-21,11.62,45650,-3.4(-6.93 %),607680,28775000000,0,0,49000,49000,45650
2016-11-22,11.07,43500,-2.15(-4.71 %),465470,20572000000,0,0,44000,46100,43100
2016-11-23,10.31,40500,-3(-6.90 %),2309890,94649000000,0,0,43000,43500,40500
2016-11-24,9.6,37700,-2.8(-6.91 %),913610,34618000000,0,0,38200,39000,37700
2016-11-25,9.42,37000,-0.7(-1.86 %),1011670,35759000000,540027,18954947700,35800,37000,35100
2016-11-28,9.16,36000,-1(-2.70 %),238470,8631000000,0,0,37000,38000,34600
2016-11-29,9.19,36100,0.1(0.28 %),179150,6547000000,0,0,36000,37200,36000
2016-11-30,9.29,36500,0.4(1.11 %),325960,11805000000,70000,2501000000,36000,36650,36000
2016-12-01,9.47,37200,0.7(1.92 %),255910,9504000000,20000,682000000,36450,37800,36450
2016-12-02,9.42,37000,-0.2(-0.54 %),279530,10352000000,20000,696000000,37200,37600,36900
2016-12-05,9.32,36600,-0.4(-1.08 %),386860,14144000000,20000,690000000,37000,37100,36400
2016-12-06,9.37,36800,0.2(0.55 %),275940,10093000000,20000,682000000,36400,36800,36100
2016-12-07,9.42,37000,0.2(0.54 %),204120,7540000000,40000,1372000000,36200,37200,36200
2016-12-08,9.32,36600,-0.4(-1.08 %),83490,3085000000,20000,690000000,37100,37450,36600
2016-12-09,9.32,36600,0(0.00 %),149510,5460000000,20000,682000000,36600,37000,36400
2016-12-12,9.24,36300,-0.3(-0.82 %),328030,11944000000,40000,1368000000,36300,36500,36200
2016-12-13,9.25,36350,0.05(0.14 %),227040,8251000000,40000,1356000000,36200,36600,36200
2016-12-14,9.58,37650,1.3(3.58 %),289320,10874000000,89000,3017100000,36400,38200,36350
2016-12-15,9.54,37500,-0.15(-0.40 %),121460,4523000000,20000,702000000,37900,37900,37000
2016-12-16,9.42,37000,-0.5(-1.33 %),273060,10136000000,0,0,37500,37500,36800
2016-12-19,9.43,37050,0.05(0.14 %),366210,13532000000,50000,1725000000,37350,37350,36750
2016-12-20,9.42,37000,-0.05(-0.13 %),178430,6603000000,20000,692000000,37450,37450,36950
