Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-07-16,2.13,42300,0(0.00 %),0,0,0,0,42300,42300,42300
2010-07-19,2.02,40000,-2.3(-5.44 %),1000,40000000,0,0,40000,40000,40000
2010-07-20,2.02,40000,0(0.00 %),2000,80000000,0,0,40000,40000,40000
2010-07-21,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-07-22,2.02,40000,0(0.00 %),1100,44000000,0,0,40000,40000,40000
2010-07-23,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-07-26,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-07-27,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-07-28,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-07-29,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-07-30,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-08-02,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-08-03,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-08-04,2.02,40000,0(0.00 %),0,0,0,0,40000,40000,40000
2010-08-05,1.81,37200,-4(-10.00 %),200,7200000,0,0,37200,37200,37200
2010-08-06,1.81,36000,0(0.00 %),0,0,0,0,36000,36000,36000
2010-08-09,1.81,36000,0(0.00 %),0,0,0,0,36000,36000,36000
2010-08-10,1.81,36000,0(0.00 %),100,3600000,0,0,36000,36000,36000
2010-08-11,1.63,33500,-3.6(-10.00 %),200,6480000,0,0,33500,33500,33500
2010-08-12,1.63,32400,0(0.00 %),0,0,0,0,32400,32400,32400
2010-08-13,1.63,32400,0(0.00 %),0,0,0,0,32400,32400,32400
2010-08-16,1.67,32400,0.7(2.21 %),0,0,0,0,31700,32400,31700
2010-08-17,1.67,32400,0.7(2.21 %),0,0,0,0,31700,32400,31700
2010-08-18,1.67,32400,0.7(2.21 %),0,0,0,0,31700,32400,31700
2010-08-19,1.79,34650,3.1(9.78 %),100,3480000,0,0,34650,34650,34650
