Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2007-09-13,7.32,55500,-2.5(-4.31 %),132500,7354000000,0,0,55500,55500,55500
2007-09-14,7.38,56000,0.5(0.90 %),553000,29989000000,0,0,53000,58000,53000
2007-09-17,7.71,58500,2.5(4.46 %),240970,13613000000,0,0,56000,58500,55000
2007-09-18,8.04,61000,2.5(4.27 %),98150,5987000000,0,0,61000,61000,61000
2007-09-19,8.44,64000,3(4.92 %),105430,6748000000,0,0,64000,64000,64000
2007-09-20,8.84,67000,3(4.69 %),528880,34957000000,0,0,67000,67000,61000
2007-09-21,9.1,69000,2(2.99 %),527340,36700000000,0,0,69000,70000,67500
2007-09-24,9.49,72000,3(4.35 %),174860,12590000000,0,0,72000,72000,72000
2007-09-25,9.96,75500,3.5(4.86 %),37000,2794000000,0,0,75500,75500,75500
2007-09-26,10.42,79000,3.5(4.64 %),69310,5475000000,0,0,79000,79000,79000
2007-09-27,10.88,82500,3.5(4.43 %),501310,41210000000,0,0,82500,82500,79500
2007-09-28,11.41,86500,4(4.85 %),388840,33631000000,0,0,86500,86500,86000
2007-10-01,11.93,90500,4(4.62 %),65030,5885000000,0,0,90500,90500,90500
2007-10-02,12.53,95000,4.5(4.97 %),135070,12832000000,0,0,95000,95000,95000
2007-10-03,13.12,99500,4.5(4.74 %),546350,54348000000,0,0,99500,99500,99000
2007-10-04,13.71,104000,4.5(4.52 %),533540,55352000000,0,0,104000,104000,100000
2007-10-05,13.05,99000,-5(-4.81 %),509350,50687000000,0,0,100000,101000,99000
2007-10-08,12.46,94500,-4.5(-4.55 %),214570,20277000000,0,0,94500,94500,94500
2007-10-09,11.87,90000,-4.5(-4.76 %),212720,19145000000,0,0,90000,90000,90000
2007-10-10,12.46,94500,4.5(5.00 %),574780,54317000000,0,0,94500,94500,94500
2007-10-11,13.05,99000,4.5(4.76 %),612830,60646000000,0,0,99000,99000,98000
2007-10-12,12.92,98000,-1(-1.01 %),400250,39483000000,0,0,99000,99500,96500
2007-10-15,12.79,97000,-1(-1.02 %),269350,26130000000,0,0,96500,98000,96500
2007-10-16,12.46,94500,-2.5(-2.58 %),277150,26419000000,0,0,96000,96500,94500
2007-10-17,12.66,96000,1.5(1.59 %),212740,20351000000,0,0,94500,97000,94500
2007-10-18,12.66,96000,0(0.00 %),259550,24905000000,0,0,96000,97000,95000
2007-10-19,12.59,95500,-0.5(-0.52 %),193120,18491000000,0,0,96000,96000,95000
2007-10-22,12.53,95000,-0.5(-0.52 %),236790,22506000000,0,0,95000,95500,94000
