Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-11-27,6.52,65000,-3(-4.41 %),202800,13182000,0,0,65000,65000,65000
2006-11-28,6.22,62000,-3(-4.62 %),17980,1114760,0,0,62000,62000,62000
2006-11-29,5.92,59000,-3(-4.84 %),9060,534540,0,0,59000,59000,59000
2006-11-30,5.67,56500,-2.5(-4.24 %),22990,1298935,10000,570000,56500,56500,56500
2006-12-01,5.42,54000,-2.5(-4.42 %),34370,1855980,10000,540000,54000,54000,54000
2006-12-04,5.17,51500,-2.5(-4.63 %),55880,2877820,0,0,51500,51500,51500
2006-12-05,4.92,49000,-2.5(-4.85 %),90520,4435480,0,0,49000,49000,49000
2006-12-06,5.12,51000,2(4.08 %),410980,20959980,0,0,51000,51000,51000
2006-12-07,5.37,53500,2.5(4.90 %),56360,3015260,0,0,53500,53500,53500
2006-12-08,5.62,56000,2.5(4.67 %),92260,5166560,0,0,56000,56000,56000
2006-12-11,5.87,58500,2.5(4.46 %),188000,10998000,0,0,58500,58500,58500
2006-12-12,5.62,56000,-2.5(-4.27 %),455880,25529280,0,0,56000,56000,56000
2006-12-13,5.87,58500,2.5(4.46 %),226890,13273065,0,0,58500,58500,58500
2006-12-14,6.02,60000,1.5(2.56 %),306060,18608780,0,0,61000,61000,60000
2006-12-15,6.02,60000,0(0.00 %),216350,13120020,0,0,61500,61500,60000
2006-12-18,5.82,58000,-2(-3.33 %),196460,11611080,0,0,57000,58000,57000
2006-12-19,5.82,58000,0(0.00 %),70710,4101180,0,0,58000,58000,58000
2006-12-20,5.72,57000,-1(-1.72 %),109560,6430670,0,0,60000,60000,57000
2006-12-21,5.52,55000,-2(-3.51 %),105590,6047535,0,0,54500,55000,54500
2006-12-22,5.37,53500,-1.5(-2.73 %),67120,3590920,0,0,53500,53500,53500
2006-12-25,5.52,55000,1.5(2.80 %),31790,1712250,0,0,52500,55000,52500
2006-12-26,5.72,57000,2(3.64 %),41060,2291460,0,0,56000,57000,56000
2006-12-27,5.92,59000,2(3.51 %),74000,4340745,0,0,58000,59000,58000
2006-12-28,6.02,60000,1(1.69 %),259820,15589200,0,0,60000,60000,60000
2006-12-29,5.82,58000,-2(-3.33 %),23210,1351190,0,0,58000,58000,58000
2007-01-02,5.97,59500,1.5(2.59 %),45720,2678000000,0,0,59500,59500,58000
2007-01-03,5.87,58500,-1(-1.68 %),17260,0,0,0,59500,59500,58500
2007-01-04,5.92,59000,0.5(0.85 %),244040,14377000000,0,0,59000,59000,58500
2007-01-05,5.97,59500,0.5(0.85 %),220680,0,0,0,60000,60000,59000
2007-01-08,5.97,59500,0(0.00 %),201050,6923000000,0,0,60000,60000,59500
2007-01-09,6.02,60000,0.5(0.84 %),218980,13107000000,0,0,59500,60000,59500
2007-01-10,6.22,62000,2(3.33 %),173960,10693000000,0,0,60500,62000,60500
2007-01-11,6.22,62000,0(0.00 %),138530,8589000000,0,0,62000,62000,62000
2007-01-12,6.52,65000,3(4.84 %),181360,11723000000,0,0,60000,65000,60000
2007-01-15,6.62,66000,1(1.54 %),131730,8707000000,0,0,66500,66500,66000
2007-01-16,6.52,65000,-1(-1.52 %),106900,7059000000,0,0,66000,67000,65000
2007-01-17,6.22,62000,-3(-4.62 %),105510,6689000000,0,0,62000,65000,62000
2007-01-18,6.52,65000,3(4.84 %),99910,6494000000,0,0,65000,65000,65000
2007-01-19,6.82,68000,3(4.62 %),155590,10580000000,0,0,68000,68000,68000
2007-01-22,6.82,68000,0(0.00 %),149280,10473000000,0,0,71000,71000,68000
2007-01-23,6.72,67000,-1(-1.47 %),89510,6075000000,0,0,68000,69000,67000
2007-01-24,6.72,67000,0(0.00 %),47290,3159000000,0,0,68000,68000,66000
2007-01-25,6.67,66500,-0.5(-0.75 %),55150,3679000000,0,0,68000,68000,66000
2007-01-26,6.42,64000,-2.5(-3.76 %),39760,2544000000,0,0,66500,66500,63500
2007-01-29,6.72,67000,3(4.69 %),39420,2613000000,0,0,67000,67000,64000
2007-01-30,7.03,70000,3(4.48 %),81760,5723000000,0,0,70000,70000,70000
2007-01-31,7.38,73500,3.5(5.00 %),110720,11072000000,0,0,70000,73500,70000
2007-02-01,7.73,77000,3.5(4.76 %),177580,17758000000,0,0,77000,77000,77000
2007-02-02,7.73,77000,0(0.00 %),54360,5436000000,0,0,77000,77000,77000
2007-02-05,7.43,74000,-3(-3.90 %),79940,6013000000,0,0,74000,77000,74000
2007-02-06,7.23,72000,-2(-2.70 %),60710,4344000000,0,0,72000,72000,71000
2007-02-07,7.58,75500,3.5(4.86 %),114370,8623000000,0,0,75500,75500,75000
2007-02-08,7.23,72000,-3.5(-4.64 %),138190,9997000000,0,0,72000,74000,72000
2007-02-09,6.91,67000,-3(-4.69 %),66180,4037000000,0,0,67000,67000,67000
2007-02-12,7.25,64000,3(4.92 %),119420,7637000000,0,0,63500,64000,63500
2007-02-13,7.59,67000,3(4.69 %),102250,6827000000,0,0,67000,67000,66000
2007-02-14,7.81,69000,2(2.99 %),120430,8370000000,0,0,69000,70000,68500
2007-02-15,8.04,71000,2(2.90 %),75430,5319000000,0,0,71000,71000,70000
2007-02-26,8.44,74500,3.5(4.93 %),156010,11623000000,0,0,74500,74500,74500
2007-02-27,8.83,78000,3.5(4.70 %),139570,10886000000,0,0,78000,78000,78000
2007-02-28,9.06,80000,2(2.56 %),222610,17999000000,0,0,80000,81500,80000
2007-03-01,8.72,77000,-3(-3.75 %),109310,8570000000,0,0,77000,79000,77000
2007-03-02,9.11,80500,3.5(4.55 %),209570,16870000000,0,0,80500,80500,80500
2007-03-05,9.57,84500,4(4.97 %),187650,15856000000,0,0,84500,84500,84500
2007-03-06,10.02,88500,4(4.73 %),114240,10110000000,0,0,88500,88500,88500
2007-03-07,10.19,90000,1.5(1.69 %),153170,14018000000,0,0,92500,92500,90000
2007-03-08,9.91,87500,-2.5(-2.78 %),93410,8265000000,0,0,90000,90000,87500
2007-03-09,9.62,85000,-2.5(-2.86 %),135920,11601000000,0,0,85000,86000,85000
2007-03-12,9.85,87000,2(2.35 %),204370,18016000000,0,0,89000,89000,87000
2007-03-13,9.62,85000,-2(-2.30 %),110500,9464000000,0,0,85000,87000,85000
2007-03-14,9.17,81000,-4(-4.71 %),71980,5882000000,0,0,81000,85000,81000
2007-03-15,8.72,77000,-4(-4.94 %),21970,1692000000,0,0,77000,77000,77000
2007-03-16,8.72,77000,0(0.00 %),85100,6366000000,0,0,73500,77000,73500
2007-03-19,9.11,80500,3.5(4.55 %),148290,11937000000,0,0,80500,80500,80500
2007-03-20,9.06,80000,-0.5(-0.62 %),87290,7018000000,0,0,80000,80500,80000
2007-03-21,8.6,76000,-4(-5.00 %),75580,5744000000,0,0,76000,76000,76000
2007-03-22,8.27,73000,-3(-3.95 %),64590,4802000000,0,0,75000,76000,73000
2007-03-23,8.27,73000,0(0.00 %),42760,3121000000,0,0,73000,73000,73000
2007-03-26,7.87,69500,-3.5(-4.79 %),65300,4626000000,0,0,73000,73000,69500
2007-03-27,7.53,66500,-3(-4.32 %),76160,5065000000,0,0,66500,66500,66500
2007-03-28,7.19,63500,-3(-4.51 %),63970,4062000000,0,0,63500,63500,63500
2007-03-29,7.53,66500,3(4.72 %),141280,9395000000,0,0,66500,66500,66500
2007-03-30,7.87,69500,3(4.51 %),170280,11824000000,0,0,69000,69500,69000
2007-04-02,7.59,67000,-2.5(-3.60 %),55960,3840000000,0,0,69000,69000,67000
2007-04-03,7.25,64000,-3(-4.48 %),42770,2737000000,0,0,64000,64000,64000
2007-04-04,7.59,67000,3(4.69 %),18820,1246000000,0,0,64000,67000,64000
2007-04-05,7.59,67000,0(0.00 %),105800,7089000000,0,0,67000,67000,67000
2007-04-06,7.36,65000,-2(-2.99 %),21760,1417000000,0,0,65000,66000,65000
2007-04-09,7.53,66500,1.5(2.31 %),37520,2513000000,0,0,68000,68000,66500
2007-04-10,7.53,66500,0(0.00 %),31990,2127000000,0,0,66500,66500,66500
2007-04-11,7.36,65000,-1.5(-2.26 %),17770,1164000000,0,0,66500,66500,65000
2007-04-12,7.19,63500,-1.5(-2.31 %),38990,2496000000,0,0,64500,64500,63500
2007-04-13,6.91,61000,-2.5(-3.94 %),54400,3308000000,0,0,61000,61000,60500
2007-04-16,6.57,58000,-3(-4.92 %),126390,7421000000,0,0,58000,59000,58000
2007-04-17,6.57,58000,0(0.00 %),68800,3990000000,0,0,58000,58000,58000
2007-04-18,6.85,60500,2.5(4.31 %),12950,769000000,0,0,58000,60500,58000
2007-04-19,6.96,61500,1(1.65 %),73810,4627000000,0,0,63000,63000,61500
2007-04-20,6.85,60500,-1(-1.63 %),27560,1678000000,0,0,61500,61500,60500
2007-04-23,6.57,58000,-2.5(-4.13 %),21840,1270000000,0,0,60000,60000,58000
2007-04-24,6.34,56000,-2(-3.45 %),23480,1310000000,0,0,55500,56000,55500
2007-04-25,6.4,56500,0.5(0.89 %),27730,1556000000,0,0,56000,56500,56000
2007-05-02,6.23,55000,-1.5(-2.65 %),28580,1588000000,0,0,56500,57500,55000
2007-05-03,6.34,56000,1(1.82 %),26360,1476000000,0,0,56000,56000,56000
2007-05-04,6.4,56500,0.5(0.89 %),18940,1068000000,0,0,56000,56500,56000
2007-05-07,6.34,56000,-0.5(-0.88 %),27390,1538000000,0,0,56000,56500,56000
2007-05-08,6.62,58500,2.5(4.46 %),70840,4130000000,0,0,58000,58500,58000
2007-05-09,6.91,61000,2.5(4.27 %),75720,4619000000,0,0,61000,61000,61000
2007-05-10,6.68,59000,-2(-3.28 %),44820,0,0,0,59000,61000,59000
2007-05-11,6.68,59000,0(0.00 %),27640,1628000000,0,0,59000,59000,58500
2007-05-14,6.62,58500,-0.5(-0.85 %),24080,1411000000,0,0,59000,59000,58500
2007-05-15,6.34,56000,-2.5(-4.27 %),143730,8144000000,0,0,57000,57000,56000
