Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-11-27,7.42,54500,2.5(4.81 %),213180,10845562000,175450,8667230000,49700,54500,49700
2009-11-30,7.76,57000,2.5(4.59 %),10010,570570000,264080,15052560000,57000,57000,57000
2009-12-01,8.1,59500,2.5(4.39 %),50210,2987495000,43393,2581884000,59500,59500,59500
2009-12-02,8.44,62000,2.5(4.20 %),938640,57512055000,0,0,60000,62000,58000
2009-12-03,8.37,61500,-0.5(-0.81 %),252670,15742480000,0,0,63500,64000,60000
2009-12-04,8.17,60000,-1.5(-2.44 %),299680,18187445000,0,0,62000,62000,60000
2009-12-07,8.17,60000,0(0.00 %),75590,4525780000,0,0,60000,60500,59500
2009-12-08,7.76,57000,-3(-5.00 %),394810,22687695000,0,0,59500,59500,57000
2009-12-09,7.48,53000,-2(-3.64 %),345940,18369410000,0,0,55000,55000,53000
2009-12-10,7.2,51000,-2(-3.77 %),267670,13756240000,0,0,54000,54500,50500
2009-12-11,6.84,48500,-2.5(-4.90 %),404990,19884457000,0,0,50500,51000,48500
2009-12-14,7.13,50500,2(4.12 %),215080,10846908000,20000,922000000,50500,50500,49500
2009-12-15,7.48,53000,2.5(4.95 %),333180,17641585000,0,0,53000,53000,51000
2009-12-16,7.13,50500,-2.5(-4.72 %),325050,16530825000,0,0,53000,53000,50500
2009-12-17,7.41,52500,2(3.96 %),225400,11395710000,0,0,49500,53000,49000
2009-12-18,7.69,54500,2(3.81 %),349920,19091945000,100000,5500000000,53500,55000,52500
2009-12-21,7.9,56000,1.5(2.75 %),268150,14840215000,20000,1040000000,55000,56500,52500
2009-12-22,7.55,53500,-2.5(-4.46 %),223180,12144945000,0,0,54500,56500,53500
2009-12-23,7.48,53000,-0.5(-0.93 %),159090,8414725000,50000,2800000000,52500,54000,52500
2009-12-24,7.62,54000,1(1.89 %),208970,11131775000,156876,8572788000,53000,54000,51500
2009-12-25,7.97,56500,2.5(4.63 %),421260,23718705000,70000,3920000000,55000,56500,55000
2009-12-28,7.69,54500,-2(-3.54 %),169930,9411745000,28040,1570240000,55000,57000,54500
2009-12-29,7.55,53500,-1(-1.83 %),112290,6009005000,50000,2850000000,53000,54500,53000
2009-12-30,7.9,56000,2.5(4.67 %),342210,19076135000,0,0,53500,56000,53500
2009-12-31,7.69,54500,-1.5(-2.68 %),351240,19340975000,0,0,57000,57000,54000
2010-01-04,8.04,57000,2.5(4.59 %),325720,18528385000,0,0,56500,57000,56000
2010-01-05,8.4,59500,2.5(4.39 %),757070,44926655000,0,0,59000,59500,54500
2010-01-06,8.68,61500,2(3.36 %),611880,37057765000,0,0,58000,62000,58000
2010-01-07,8.47,60000,-1.5(-2.44 %),324950,19929410000,50000,3225000000,61500,63000,60000
2010-01-08,8.04,57000,-3(-5.00 %),538710,31820035000,0,0,61000,61000,57000
2010-01-11,7.97,56500,-0.5(-0.88 %),276400,15653925000,0,0,59000,59000,56000
2010-01-12,7.69,54500,-2(-3.54 %),530440,29376700000,0,0,57000,57000,54000
2010-01-13,7.76,55000,0.5(0.92 %),265230,14279770000,0,0,54500,55500,52500
2010-01-14,7.76,55000,0(0.00 %),112180,6197760000,50000,2875000000,56000,56000,54000
2010-01-15,7.62,54000,-1(-1.82 %),243280,13187020000,0,0,55000,55000,54000
2010-01-18,7.41,52500,-1.5(-2.78 %),301080,15889790000,0,0,53000,53000,52500
2010-01-19,7.41,52500,0(0.00 %),137460,7245005000,0,0,53000,53500,52500
2010-01-20,7.2,51000,-1.5(-2.86 %),139700,7232115000,0,0,53000,53000,51000
2010-01-21,7.13,50500,-0.5(-0.98 %),275010,14052265000,0,0,51000,52000,50000
2010-01-22,7.13,50500,0(0.00 %),59860,3027272000,0,0,49600,51500,49600
2010-01-25,7.27,51500,1(1.98 %),86610,4445245000,0,0,50500,52500,50500
2010-01-26,7.62,54000,2.5(4.85 %),133870,7196760000,0,0,53000,54000,53000
2010-01-27,7.34,52000,-2(-3.70 %),211730,11032535000,0,0,53500,53500,51500
2010-01-28,7.13,50500,-1.5(-2.88 %),63370,3215340000,0,0,52000,52000,50500
2010-01-29,7.13,50500,0(0.00 %),37580,1885790000,0,0,50500,51000,50000
2010-02-01,7.2,51000,0.5(0.99 %),17210,876030000,0,0,50000,51000,50000
2010-02-02,7.2,51000,0(0.00 %),62740,3199995000,0,0,51000,51500,51000
2010-02-03,7.34,52000,1(1.96 %),90070,4670825000,0,0,51500,52500,51500
2010-02-04,7.48,53000,1(1.92 %),178540,9385465000,0,0,52500,53000,52000
2010-02-05,7.41,52500,-0.5(-0.94 %),68850,3551845000,0,0,51000,52500,51000
2010-02-08,7.34,52000,-0.5(-0.95 %),36950,1918275000,0,0,51500,52000,51500
2010-02-09,7.2,51000,-1(-1.92 %),69100,3498585000,0,0,51000,51000,50000
2010-02-10,7.27,51500,0.5(0.98 %),18920,972305000,0,0,52500,52500,51000
2010-02-11,7.41,52500,1(1.94 %),69430,3621595000,0,0,51000,52500,51000
2010-02-12,7.48,53000,0.5(0.95 %),19460,1027130000,0,0,53000,53000,52000
2010-02-22,7.34,52000,-1(-1.89 %),85690,4473195000,0,0,53500,53500,51000
2010-02-23,7.2,51000,-1(-1.92 %),52340,2684715000,0,0,52000,52000,51000
2010-02-24,7.2,51000,0(0.00 %),42320,2149540000,0,0,50500,51500,50500
2010-02-25,7.27,51500,0.5(0.98 %),37350,1924075000,0,0,52000,52000,51500
2010-02-26,7.34,52000,0.5(0.97 %),47780,2471665000,0,0,51000,52000,51000
2010-03-01,7.27,51500,-0.5(-0.96 %),19900,1029325000,0,0,52000,52000,51500
2010-03-02,7.2,51000,-0.5(-0.97 %),34150,1755445000,0,0,51500,51500,51000
2010-03-03,7.48,53000,2(3.92 %),94500,4938235000,0,0,52000,53000,51500
2010-03-04,7.69,54500,1.5(2.83 %),224660,12154010000,0,0,53000,55500,53000
2010-03-05,7.76,55000,0.5(0.92 %),249310,13695995000,0,0,53000,55000,53000
2010-03-08,7.97,56500,1.5(2.73 %),170570,9624255000,0,0,55500,57000,55500
2010-03-09,7.97,56500,0(0.00 %),170860,9659185000,0,0,56000,57000,56000
2010-03-10,7.9,56000,-0.5(-0.88 %),160410,9003035000,0,0,56500,56500,55000
2010-03-11,7.83,55500,-0.5(-0.89 %),125670,7004945000,0,0,55500,56500,55500
2010-03-12,7.9,56000,0.5(0.90 %),167970,9370805000,0,0,55500,56000,55500
2010-03-15,7.97,56500,0.5(0.89 %),228430,12827590000,0,0,56000,56500,55500
2010-03-16,7.69,54500,-2(-3.54 %),122850,6790595000,0,0,56000,56000,54500
2010-03-17,7.69,54500,0(0.00 %),116180,6378345000,0,0,55000,55500,54500
2010-03-18,8.04,57000,2.5(4.59 %),405520,22993565000,0,0,55500,57000,55500
2010-03-19,7.9,56000,-1(-1.75 %),87910,5028255000,0,0,58000,58000,56000
2010-03-22,7.83,55500,-0.5(-0.89 %),352110,19823110000,0,0,55500,57500,55000
2010-03-23,7.69,54500,-1(-1.80 %),249880,13818450000,0,0,56500,56500,54500
2010-03-24,7.76,55000,0.5(0.92 %),120160,6601630000,20000,1060000000,55000,55500,54500
2010-03-25,7.62,54000,-1(-1.82 %),136400,7396265000,0,0,54500,55000,53500
2010-03-26,7.48,53000,-1(-1.85 %),170490,9116990000,0,0,54000,54500,53000
2010-03-29,7.55,53500,0.5(0.94 %),202040,10761440000,0,0,52500,54000,52500
2010-03-30,7.2,51000,-2.5(-4.67 %),818140,41816585000,0,0,52500,52500,51000
2010-03-31,6.84,48500,-2.5(-4.90 %),685530,33429122000,0,0,50000,50000,48500
2010-04-01,6.92,49000,0.5(1.03 %),264820,12936392000,0,0,47600,50000,47500
2010-04-02,6.89,48800,-0.2(-0.41 %),160840,7838605000,0,0,48600,49500,48000
2010-04-05,6.86,48600,-0.2(-0.41 %),182520,8907651000,0,0,49900,49900,48500
2010-04-06,6.92,49000,0.4(0.82 %),472480,23286766000,0,0,48900,50500,48600
2010-04-07,6.96,49300,0.3(0.61 %),217430,10692470000,0,0,49500,49500,48800
2010-04-08,7.27,51500,2.2(4.46 %),990680,50538353000,0,0,49700,51500,49500
2010-04-09,7.13,50500,-1(-1.94 %),304380,15620625000,0,0,52500,52500,50000
2010-04-12,6.99,49500,-1(-1.98 %),316940,15848344000,0,0,50500,51000,49500
