Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-08-01,2.96,9800,-0.5(-4.85 %),25980,254604000,0,0,9800,9800,9800
2011-08-02,2.84,9400,-0.4(-4.08 %),10,94000,0,0,9400,9400,9400
2011-08-03,2.72,9000,-0.4(-4.26 %),10,90000,0,0,9000,9000,9000
2011-08-04,2.6,8600,-0.4(-4.44 %),10100,86860000,0,0,8600,8600,8600
2011-08-05,2.48,8200,-0.4(-4.65 %),2010,16482000,0,0,8200,8200,8200
2011-08-08,2.35,7800,-0.4(-4.88 %),1010,8000000,0,0,8200,8200,7800
2011-08-09,2.26,7500,-0.3(-3.85 %),3020,22650000,0,0,7500,7500,7500
2011-08-10,2.17,7200,-0.3(-4.00 %),53900,388082000,0,0,7200,7400,7200
2011-08-11,2.08,6900,-0.3(-4.17 %),21450,148005000,0,0,6900,6900,6900
2011-08-12,2.11,7000,0.1(1.45 %),61350,411297000,0,0,6600,7200,6600
2011-08-15,2.05,6800,-0.2(-2.86 %),54560,367642000,0,0,7000,7000,6700
2011-08-16,2.02,6700,-0.1(-1.47 %),37120,248578000,0,0,6800,6800,6500
2011-08-17,2.08,6900,0.2(2.99 %),58370,399280000,0,0,6600,7000,6600
2011-08-18,2.17,7200,0.3(4.35 %),83530,598925000,0,0,7100,7200,7100
2011-08-19,2.17,7200,0(0.00 %),17230,121693000,0,0,7100,7300,7000
2011-08-22,2.26,7500,0.3(4.17 %),180830,1354981000,0,0,7200,7500,7200
2011-08-23,2.17,7200,-0.3(-4.00 %),95500,698706000,0,0,7600,7600,7200
2011-08-24,2.14,7100,-0.1(-1.39 %),61500,440820000,0,0,7400,7400,7100
2011-08-25,2.2,7300,0.2(2.82 %),69830,503561000,0,0,7300,7300,7100
2011-08-26,2.29,7600,0.3(4.11 %),93540,697112000,0,0,7200,7600,7200
2011-08-29,2.38,7900,0.3(3.95 %),88220,696938000,0,0,7900,7900,7900
2011-08-30,2.48,8200,0.3(3.80 %),16840,138088000,0,0,8200,8200,8200
2011-08-31,2.6,8600,0.4(4.88 %),119870,1030124000,0,0,8600,8600,8500
2011-09-01,2.72,9000,0.4(4.65 %),97290,869897000,0,0,9000,9000,8800
2011-09-05,2.6,8600,-0.4(-4.44 %),57550,499586000,0,0,8700,8900,8600
2011-09-06,2.54,8400,-0.2(-2.33 %),42890,359622000,0,0,8300,8700,8300
2011-09-07,2.66,8800,0.4(4.76 %),91660,803287000,0,0,8700,8800,8700
2011-09-08,2.66,8800,0(0.00 %),25680,229996000,0,0,8600,9100,8600
2011-09-09,2.72,9000,0.2(2.27 %),36320,326863000,0,0,8500,9000,8500
2011-09-12,2.84,9400,0.4(4.44 %),50840,468958000,0,0,9200,9400,9100
2011-09-13,2.84,9400,0(0.00 %),46500,436705000,0,0,9000,9500,9000
2011-09-14,2.72,9000,-0.4(-4.26 %),54130,500844000,0,0,9300,9500,9000
2011-09-15,2.78,9200,0.2(2.22 %),80180,723363000,0,0,9000,9200,8700
2011-09-16,2.78,9200,0(0.00 %),63020,573312000,0,0,9300,9300,8900
2011-09-19,2.72,9000,-0.2(-2.17 %),106450,965450000,0,0,9000,9200,8900
2011-09-20,2.66,8800,-0.2(-2.22 %),15520,137783000,0,0,8900,9000,8800
2011-09-21,2.75,9100,0.3(3.41 %),136540,1228121000,0,0,8900,9200,8800
2011-09-22,2.78,9200,0.1(1.10 %),174240,1611889000,0,0,9100,9400,9000
2011-09-23,2.66,8800,-0.4(-4.35 %),139100,1253615000,0,0,9200,9200,8800
2011-09-26,2.6,8600,-0.2(-2.27 %),9030,77658000,0,0,8600,8600,8600
2011-09-27,2.69,8900,0.3(3.49 %),38750,344315000,0,0,8700,8900,8700
2011-09-28,2.72,9000,0.1(1.12 %),27300,244320000,0,0,9000,9000,8900
2011-09-29,2.72,9000,0(0.00 %),137620,1251186000,0,0,9000,9200,8900
2011-09-30,2.66,8800,-0.2(-2.22 %),53690,479373000,0,0,9000,9000,8800
2011-10-03,2.72,9000,0.2(2.27 %),42270,375630000,0,0,8800,9000,8700
2011-10-04,2.63,8700,-0.3(-3.33 %),44100,387976000,0,0,9000,9100,8700
2011-10-05,2.72,9000,0.3(3.45 %),38270,344124000,0,0,9000,9100,8900
2011-10-06,2.75,9100,0.1(1.11 %),75740,682470000,0,0,9000,9100,9000
2011-10-07,2.72,9000,-0.1(-1.10 %),26170,235230000,0,0,9000,9000,8900
2011-10-10,2.72,9000,0(0.00 %),53300,475890000,0,0,8900,9000,8900
2011-10-11,2.66,8800,-0.2(-2.22 %),126930,1155712000,0,0,8900,9200,8800
2011-10-12,2.69,8900,0.1(1.14 %),40750,362009000,0,0,8900,8900,8800
2011-10-13,2.72,9000,0.1(1.12 %),20360,181805000,0,0,8900,9000,8900
2011-10-14,2.75,9100,0.1(1.11 %),119410,1095480000,0,0,9000,9300,9000
2011-10-17,2.75,9100,0(0.00 %),16600,150058000,0,0,9000,9100,8900
2011-10-18,2.75,9100,0(0.00 %),91400,829836000,0,0,9000,9200,9000
2011-10-19,2.72,9000,-0.1(-1.10 %),92170,840610000,0,0,8900,9200,8900
2011-10-20,2.69,8900,-0.1(-1.11 %),4300,38280000,0,0,9000,9000,8900
2011-10-21,2.69,8900,0(0.00 %),29500,263027000,0,0,8900,9100,8900
2011-10-24,2.69,8900,0(0.00 %),6190,55121000,0,0,9100,9100,8900
2011-10-25,2.72,9000,0.1(1.12 %),14260,125490000,0,0,8800,9000,8800
2011-10-26,2.72,9000,0(0.00 %),23280,209264000,0,0,9000,9000,8800
2011-10-27,2.72,9000,0(0.00 %),12870,115830000,0,0,9000,9000,9000
