Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-03-22,15.28,19500,-3.4(-14.85 %),7800,154380000,0,0,20100,20100,19500
2018-03-23,14.81,18900,-0.9(-4.55 %),9500,165750000,0,0,19000,19000,18150
2018-03-26,13.16,17600,-0.6(-3.45 %),7500,123650000,0,0,18000,18000,17600
2018-03-27,13.0,16600,0.1(0.61 %),4900,81940000,0,0,16500,17000,16500
2018-03-28,12.93,16500,-0.2(-1.20 %),4600,75780000,0,0,16600,16600,15500
2018-03-29,13.0,16600,0.1(0.61 %),57500,959770000,0,0,16500,17100,16500
2018-03-30,12.77,16300,-0.4(-2.40 %),24500,402660000,0,0,16500,16500,16300
2018-04-02,12.53,16000,-0.4(-2.44 %),9600,152980000,0,0,15700,16000,15700
2018-04-03,12.3,15700,-0.2(-1.26 %),5400,86090000,0,0,16000,16000,15700
2018-04-04,12.69,16200,0.3(1.89 %),11000,177540000,0,0,16200,16200,16100
2018-04-05,12.38,15800,-0.3(-1.86 %),3400,54860000,0,0,16900,16900,15800
2018-04-06,12.85,16400,0.3(1.86 %),20300,331050000,0,0,16000,16400,16000
2018-04-09,12.77,16300,0(0.00 %),0,0,0,0,16300,16300,16300
2018-04-10,12.77,16300,0(0.00 %),2400,39240000,0,0,16300,16500,16300
2018-04-11,12.85,16400,0(0.00 %),0,0,0,0,16400,16400,16400
2018-04-12,12.85,16400,0(0.00 %),0,0,0,0,16400,16400,16400
2018-04-13,12.77,16300,-0.1(-0.61 %),700,11410000,0,0,16300,16300,16300
2018-04-16,12.77,16300,0(0.00 %),400,6490000,0,0,16200,16300,16200
2018-04-17,12.53,16000,-0.2(-1.23 %),1500,24000000,0,0,16000,16000,16000
2018-04-18,12.3,15700,-0.3(-1.88 %),200,3150000,0,0,15800,15800,15700
2018-04-19,12.38,15800,0(0.00 %),0,0,0,0,15800,15800,15800
2018-04-20,11.75,15000,-0.8(-5.06 %),200,3000000,0,0,15000,15000,15000
2018-04-23,11.75,15000,0(0.00 %),0,0,0,0,15000,15000,15000
2018-04-24,11.75,15000,0(0.00 %),500,7500000,0,0,15000,15000,15000
2018-04-26,13.16,16050,1.8(12.00 %),2000,34140000,2500000,37500000000,16050,16050,16050
2018-04-27,11.44,15600,-2.5(-14.62 %),400,5840000,0,0,15600,15600,15600
2018-05-02,10.97,14000,-0.6(-4.11 %),2900,42000000,0,0,14600,14600,14000
2018-05-03,9.79,13000,-2(-13.79 %),500,6260000,0,0,13000,13000,13000
2018-05-04,9.95,12700,0.2(1.60 %),2100,27460000,0,0,13400,13400,12600
2018-05-07,10.11,12900,-0.2(-1.53 %),2300,29640000,0,0,13200,13200,12600
2018-05-08,10.58,13500,0.6(4.65 %),200,2820000,0,0,13800,13800,13500
2018-05-09,11.05,14100,0(0.00 %),600,8540000,0,0,14000,14450,14000
2018-05-10,11.2,14300,0.1(0.70 %),400,5740000,0,0,14200,14500,14200
2018-05-11,11.67,14900,0.5(3.47 %),100,1490000,0,0,14900,14900,14900
2018-05-14,11.67,14900,0(0.00 %),200,2970000,0,0,14800,14900,14800
2018-05-15,10.34,13850,-1.7(-11.41 %),1100,14520000,0,0,13850,13850,13850
2018-05-16,10.34,13200,0(0.00 %),1300,17530000,0,0,14100,14100,13200
2018-05-17,11.36,14100,1(7.41 %),5300,76740000,0,0,14100,14100,13500
2018-05-18,10.58,13500,-1(-6.90 %),1200,16420000,0,0,14600,14600,13500
2018-05-21,10.97,14000,0.3(2.19 %),2400,33720000,0,0,14450,14450,14000
2018-05-22,11.05,14100,0(0.00 %),500,7100000,0,0,14400,14400,14100
2018-05-23,11.2,14300,0.1(0.70 %),300,4300000,0,0,14400,14400,14300
2018-05-24,11.2,14300,0(0.00 %),0,0,0,0,14300,14300,14300
2018-05-25,11.2,14300,0(0.00 %),0,0,0,0,14300,14300,14300
2018-05-28,11.28,14400,0.1(0.70 %),300,4320000,0,0,14400,14400,14400
2018-05-29,11.12,14200,-0.2(-1.39 %),1500,21300000,0,0,14200,14200,14200
2018-05-30,10.97,14000,-0.2(-1.41 %),900,12800000,0,0,14300,14300,14000
2018-05-31,10.97,14000,-0.2(-1.41 %),600,8350000,0,0,13900,14000,13900
2018-06-01,10.18,13000,-0.9(-6.47 %),3800,50700000,0,0,14000,14000,13000
2018-06-04,10.5,13400,0.1(0.75 %),8500,113760000,0,0,13600,13600,13000
2018-06-05,10.42,13300,-0.1(-0.75 %),200,2660000,0,0,13300,13300,13300
2018-06-06,10.18,13000,-0.3(-2.26 %),2900,38210000,0,0,14000,14000,13000
2018-06-07,10.58,13500,0.3(2.27 %),2000,27000000,0,0,13500,13500,13500
2018-06-08,10.58,13500,0(0.00 %),200,2700000,0,0,13500,13500,13500
2018-06-11,10.65,13600,0.1(0.74 %),1400,19070000,0,0,13500,13800,13500
2018-06-12,10.65,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2018-06-13,9.09,12650,-2(-14.71 %),500,5800000,0,0,12650,12650,12650
2018-06-14,10.34,12400,1.6(13.79 %),3300,43500000,0,0,12400,12400,12400
2018-06-15,10.58,13500,0.3(2.27 %),600,8130000,0,0,13800,13800,13500
2018-06-18,10.58,13500,-0.1(-0.74 %),700,9480000,0,0,13600,13600,13500
2018-06-19,10.5,13400,-0.1(-0.74 %),800,10770000,0,0,13500,13500,13400
2018-06-20,10.89,13900,0.4(2.96 %),2500,33110000,0,0,13400,13900,12450
2018-06-21,10.34,13200,0(0.00 %),800,10620000,0,0,13400,13400,13200
2018-06-22,10.42,13300,0(0.00 %),200,2660000,0,0,13300,13300,13300
2018-06-25,10.34,13200,-0.1(-0.75 %),3700,46920000,0,0,12350,13200,12350
