Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2009-11-06,4.71,36500,0.9(2.53 %),44700,1661050000,17000,564400000,38000,38000,35500
2009-11-09,4.64,36000,-1.2(-3.23 %),43200,1577960000,0,0,39050,39050,35100
2009-11-10,4.75,36800,0.3(0.82 %),43700,1588150000,0,0,38500,38500,34000
2009-11-11,4.36,34200,-2.5(-6.89 %),30100,1028330000,0,0,36300,36300,34200
2009-11-12,4.11,31900,-2.3(-6.73 %),11200,358010000,0,0,31900,34200,31900
2009-11-13,4.11,31900,-0.1(-0.31 %),57900,1748990000,0,0,29800,32000,29800
2009-11-16,4.17,32300,2.1(6.95 %),20100,648670000,0,0,31900,32300,31900
2009-11-17,4.39,34000,1.7(5.26 %),21500,729880000,0,0,33000,34500,33000
2009-11-18,4.08,31600,-2.3(-6.78 %),12000,385230000,0,0,34200,34200,31600
2009-11-19,3.86,29900,-2.2(-6.85 %),27400,825440000,0,0,30100,31100,29900
2009-11-20,3.66,28400,-1.7(-5.65 %),11600,339470000,0,0,31000,31000,28300
2009-11-23,3.69,28600,-0.7(-2.39 %),2800,81590000,0,0,30400,30400,28600
2009-11-24,3.87,30000,0.9(3.09 %),12000,352210000,0,0,28500,30000,28500
2009-11-25,3.53,27900,-2(-6.80 %),24800,702630000,0,0,30000,31000,27900
2009-11-26,3.4,26400,-1.9(-6.71 %),18400,487640000,0,0,27000,27000,26400
2009-11-27,3.2,24800,-1.7(-6.42 %),19100,489040000,0,0,24700,27000,24700
2009-11-30,3.52,26550,1.7(6.64 %),10700,289770000,0,0,26550,26550,25700
2009-12-01,3.73,28900,1.8(6.64 %),26400,757780000,0,0,27500,28900,27500
2009-12-02,3.61,28000,-0.7(-2.44 %),6200,180780000,420000,12894000000,29000,30000,28000
2009-12-03,3.51,27200,-2(-6.85 %),9500,258400000,0,0,27200,27200,27200
2009-12-04,3.48,27000,-0.2(-0.74 %),2100,58350000,0,0,28500,28500,27000
2009-12-07,3.59,27800,0(0.00 %),3200,89190000,0,0,28000,28000,27800
2009-12-08,3.55,27500,-0.4(-1.43 %),6400,171190000,0,0,28500,28500,26100
2009-12-09,3.21,25600,-1.8(-6.74 %),24600,614640000,0,0,25600,25600,25600
2009-12-10,3.1,24000,-1(-4.00 %),11400,272820000,0,0,24800,24800,23500
2009-12-11,2.88,22300,-1.6(-6.69 %),25400,576480000,0,0,23000,23200,22300
2009-12-14,2.97,23000,0.3(1.32 %),20900,489100000,0,0,23800,23800,23000
2009-12-15,3.03,23500,0.1(0.43 %),6500,152630000,0,0,23400,23500,23300
2009-12-16,3.11,24100,0.6(2.55 %),22000,518760000,0,0,23500,24100,23500
2009-12-17,3.03,23500,-0.1(-0.42 %),7000,161020000,0,0,23000,23500,22600
2009-12-18,3.16,24500,1.5(6.52 %),10800,265010000,0,0,24500,24600,24500
2009-12-21,3.38,26200,1.7(6.94 %),6000,155610000,0,0,24500,26200,24500
2009-12-22,3.37,26100,0.2(0.77 %),20200,526750000,0,0,26200,26200,26000
2009-12-23,3.35,26000,-0.1(-0.38 %),4200,109180000,0,0,24900,26900,24900
2009-12-24,3.43,26600,0.6(2.31 %),16900,446660000,0,0,26100,26600,26100
2009-12-25,3.48,27000,0.6(2.27 %),12000,322050000,0,0,26400,27000,26400
2009-12-28,3.48,27000,0.2(0.75 %),10500,286200000,0,0,27000,27300,27000
2009-12-29,3.52,27300,0(0.00 %),20500,556710000,0,0,27300,27300,26800
2009-12-30,3.61,28000,0.8(2.94 %),4800,132550000,8100,226800000,27300,28800,27300
2009-12-31,3.61,28000,0.4(1.45 %),10300,288620000,0,0,28000,28200,28000
2010-01-04,3.86,29900,1.9(6.79 %),16300,485530000,0,0,28500,29900,28500
2010-01-05,4.09,31700,1.9(6.38 %),16400,521290000,0,0,31800,31800,31700
2010-01-06,4.08,31600,-0.2(-0.63 %),24500,779460000,0,0,31000,32000,31000
2010-01-07,4.06,31500,-0.3(-0.94 %),19200,607110000,0,0,31800,31800,31500
2010-01-08,3.8,29500,-2.1(-6.65 %),9300,291620000,0,0,31700,31700,29500
2010-01-11,3.93,30500,-0.9(-2.87 %),15500,479160000,0,0,31000,31100,30100
2010-01-12,3.99,30900,0(0.00 %),8000,247990000,0,0,32000,32000,30800
2010-01-13,3.93,30500,-0.5(-1.61 %),15700,473400000,0,0,30000,30500,29500
2010-01-14,4.0,31000,0.8(2.65 %),18200,554940000,0,0,30500,31000,30200
2010-01-15,3.93,30500,0(0.00 %),3500,106500000,0,0,30500,30500,30000
2010-01-18,3.71,28800,-1.6(-5.26 %),2500,72800000,0,0,30000,30000,28800
2010-01-19,3.75,29100,0(0.00 %),6000,174600000,0,0,29100,29100,29100
2010-01-20,3.74,29000,-0.1(-0.34 %),2600,75400000,0,0,29000,29000,29000
2010-01-21,3.8,29500,0.5(1.72 %),2600,75450000,0,0,29000,29500,29000
2010-01-22,3.8,29500,0.5(1.72 %),1900,55150000,0,0,28500,29500,28500
2010-01-25,3.74,29000,0(0.00 %),0,0,0,0,29000,29000,29000
2010-01-26,3.8,29500,0.5(1.72 %),1600,46750000,0,0,29000,29500,29000
2010-01-27,3.77,29200,0(0.00 %),0,0,0,0,29200,29200,29200
2010-01-28,3.77,29200,0(0.00 %),0,0,0,0,29200,29200,29200
2010-01-29,3.74,29000,-0.2(-0.68 %),3900,112920000,0,0,29000,29000,28800
2010-02-01,3.74,29000,0(0.00 %),5000,145000000,0,0,29000,29000,29000
2010-02-02,3.74,29000,0(0.00 %),3500,101500000,0,0,29000,29000,29000
2010-02-03,3.74,29000,0(0.00 %),5500,159480000,0,0,29000,29000,28800
2010-02-04,3.73,28900,-0.1(-0.34 %),3000,86950000,0,0,29000,29000,28900
2010-02-05,3.82,29600,0.6(2.07 %),800,23700000,0,0,29700,29700,29600
2010-02-08,3.73,28900,-0.7(-2.36 %),300,8670000,0,0,28900,28900,28900
2010-02-09,3.68,28500,-0.4(-1.38 %),600,17130000,0,0,28800,28800,28500
2010-02-10,3.69,27100,0(0.00 %),0,0,0,0,27100,27100,27100
2010-02-11,3.8,27900,0.8(2.95 %),100,2790000,0,0,27900,27900,27900
2010-02-12,4.02,29500,1.6(5.73 %),100,2950000,0,0,29500,29500,29500
