Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-29,3.59,47200,2.2(4.89 %),49130,2313866,0,0,47000,47200,45000
2007-01-02,3.43,45000,-2(-4.26 %),26320,1210000000,0,0,45000,47000,45000
2007-01-03,3.26,42800,-2.2(-4.89 %),16550,0,0,0,44000,44000,42800
2007-01-04,3.35,44000,1.2(2.80 %),9130,397000000,0,0,44900,44900,42000
2007-01-05,3.27,43000,-1(-2.27 %),25750,0,0,0,45500,45500,43000
2007-01-08,3.11,40900,-2.1(-4.88 %),29870,50000000,0,0,41500,41500,40900
2007-01-09,3.27,42900,2(4.89 %),30150,1250000000,0,0,41000,42900,41000
2007-01-10,3.2,42000,-0.9(-2.10 %),27600,1134000000,0,0,40800,42000,40800
2007-01-11,3.12,41000,-1(-2.38 %),23500,977000000,0,0,42000,42000,41000
2007-01-12,3.04,40000,-1(-2.44 %),31600,1276000000,0,0,40000,41000,40000
2007-01-15,3.04,40000,0(0.00 %),30030,1187000000,0,0,39800,40000,39000
2007-01-16,3.04,40000,0(0.00 %),31400,1256000000,0,0,40000,40000,40000
2007-01-17,3.2,42000,2(5.00 %),51370,2158000000,0,0,42000,42000,42000
2007-01-18,3.36,44100,2.1(5.00 %),21800,960000000,0,0,44000,44100,44000
2007-01-19,3.5,46000,1.9(4.31 %),67130,3090000000,0,0,46000,46200,46000
2007-01-22,3.33,43700,-2.3(-5.00 %),46490,2032000000,0,0,43700,43700,43700
2007-01-23,3.33,43700,0(0.00 %),38860,1676000000,0,0,41700,43700,41700
2007-01-24,3.49,45800,2.1(4.81 %),64890,2972000000,0,0,45800,45800,45800
2007-01-25,3.35,44000,-1.8(-3.93 %),53740,2452000000,0,0,46000,46000,44000
2007-01-26,3.2,42100,-1.9(-4.32 %),21460,932000000,0,0,44000,44000,42100
2007-01-29,3.36,42700,2(4.91 %),4670,199000000,0,0,42700,42700,42500
2007-01-30,3.53,44800,2.1(4.92 %),12090,542000000,0,0,44800,44800,44800
2007-01-31,3.53,44800,0(0.00 %),10870,1087000000,0,0,45800,45800,44800
2007-02-01,3.38,42900,-1.9(-4.24 %),8510,851000000,0,0,44800,44800,42900
2007-02-02,3.46,44000,1.1(2.56 %),16830,1683000000,0,0,42900,44000,42900
2007-02-05,3.31,42000,-2(-4.55 %),30620,1318000000,0,0,42000,44000,42000
2007-02-06,3.47,44100,2.1(5.00 %),33250,1466000000,0,0,44100,44100,44100
2007-02-07,3.65,46300,2.2(4.99 %),123100,5700000000,0,0,46300,46300,46300
2007-02-08,3.7,47000,0.7(1.51 %),79940,3849000000,0,0,47000,48600,47000
2007-02-09,3.7,47000,0(0.00 %),52850,2494000000,0,0,47000,47500,47000
2007-02-12,3.88,49300,2.3(4.89 %),38460,1888000000,0,0,49000,49300,49000
2007-02-13,4.05,51500,2.2(4.46 %),14940,769000000,0,0,51500,51500,51500
2007-02-14,4.25,54000,2.5(4.85 %),19670,1062000000,0,0,54000,54000,54000
2007-02-15,4.45,56500,2.5(4.63 %),36960,2088000000,0,0,56500,56500,56500
2007-02-26,4.64,59000,2.5(4.42 %),15100,891000000,0,0,59000,59000,59000
2007-02-27,4.84,61500,2.5(4.24 %),6570,404000000,0,0,61500,61500,61500
2007-02-28,4.84,61500,0(0.00 %),48100,2999000000,0,0,61500,64500,61000
2007-03-01,5.08,64500,3(4.88 %),52400,3380000000,0,0,64500,64500,64500
2007-03-02,5.31,67500,3(4.65 %),30940,2088000000,0,0,67500,67500,67500
2007-03-05,5.55,70500,3(4.44 %),42970,3029000000,0,0,70500,70500,70500
2007-03-06,5.83,74000,3.5(4.96 %),34240,2534000000,0,0,74000,74000,74000
2007-03-07,6.1,77500,3.5(4.73 %),77200,5983000000,0,0,77500,77500,77500
2007-03-08,6.06,77000,-0.5(-0.65 %),91110,7015000000,0,0,77000,77000,77000
2007-03-09,5.79,73500,-3.5(-4.55 %),54390,4042000000,0,0,75000,75000,73500
2007-03-12,5.79,73500,0(0.00 %),47380,3482000000,0,0,73500,73500,73500
2007-03-13,5.79,73500,0(0.00 %),37750,2793000000,0,0,73500,75000,73500
2007-03-14,5.79,73500,0(0.00 %),43640,3276000000,0,0,73500,77000,73500
2007-03-15,5.79,73500,0(0.00 %),116960,8668000000,0,0,73500,77000,73500
2007-03-16,5.98,76000,2.5(3.40 %),101640,7424000000,0,0,70000,76000,70000
2007-03-19,6.26,79500,3.5(4.61 %),54740,4352000000,0,0,79500,79500,79500
2007-03-20,6.22,79000,-0.5(-0.63 %),62680,4969000000,0,0,79500,79500,79000
2007-03-21,5.94,75500,-3.5(-4.43 %),33510,2530000000,0,0,75500,75500,75500
2007-03-22,5.67,72000,-3.5(-4.64 %),14150,1025000000,0,0,73000,73000,72000
2007-03-23,5.39,68500,-3.5(-4.86 %),27950,1915000000,0,0,68500,68500,68500
2007-03-26,5.16,65500,-3(-4.38 %),18090,1204000000,0,0,67000,67000,65500
2007-03-27,4.92,62500,-3(-4.58 %),3880,243000000,0,0,62500,62500,62500
2007-03-28,4.68,59500,-3(-4.80 %),5330,317000000,0,0,59500,59500,59500
2007-03-29,4.88,62000,2.5(4.20 %),42210,2491000000,0,0,58000,62000,58000
2007-03-30,4.88,62000,0(0.00 %),86330,5501000000,0,0,64500,64500,62000
2007-04-02,4.64,59000,-3(-4.84 %),15710,929000000,0,0,59500,59500,59000
2007-04-03,4.45,56500,-2.5(-4.24 %),15810,893000000,0,0,56500,56500,56500
2007-04-04,4.33,55000,-1.5(-2.65 %),41040,2236000000,0,0,54000,55000,54000
2007-04-05,4.33,55000,0(0.00 %),29780,1677000000,0,0,57500,57500,55000
2007-04-06,4.13,52500,-2.5(-4.55 %),20230,1062000000,0,0,52500,52500,52500
2007-04-09,3.94,50000,-2.5(-4.76 %),28320,1418000000,0,0,50500,50500,50000
2007-04-10,3.86,49000,-1(-2.00 %),17470,864000000,0,0,50000,50000,49000
2007-04-11,3.86,49000,0(0.00 %),22100,1083000000,0,0,49000,49000,49000
2007-04-12,3.82,48500,-0.5(-1.02 %),12400,605000000,0,0,49000,49000,48500
2007-04-13,3.63,46100,-2.4(-4.95 %),8580,397000000,0,0,47000,47000,46100
