Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-08-22,7.81,15400,1(6.94 %),200,3000000,40000,536000000,14400,15400,14400
2017-08-23,8.35,16450,1.05(6.82 %),100,2000000,0,0,16450,16450,16450
2017-08-24,8.93,17600,1.15(6.99 %),100,2000000,0,0,17600,17600,17600
2017-08-25,9.54,18800,1.2(6.82 %),100,2000000,50000,900000000,18800,18800,18800
2017-08-28,10.2,20100,1.3(6.91 %),100,2000000,0,0,20100,20100,20100
2017-08-29,10.91,21500,1.4(6.97 %),100,2000000,0,0,21500,21500,21500
2017-08-30,11.67,23000,1.5(6.98 %),61100,1405000000,0,0,23000,23000,23000
2017-08-31,12.48,24600,1.6(6.96 %),225000,5535000000,1415000,34667500000,24600,24600,24600
2017-09-01,13.34,26300,1.7(6.91 %),287000,7548000000,100000,2290000000,26300,26300,26300
2017-09-05,14.1,27800,1.5(5.70 %),261750,7207000000,0,0,27900,27900,27000
2017-09-06,13.14,25900,-1.9(-6.83 %),226390,6037000000,0,0,27800,27800,25900
2017-09-07,13.14,25900,0(0.00 %),119130,3091000000,0,0,25150,27300,25150
2017-09-08,12.66,24950,-0.95(-3.67 %),62960,1583000000,700000,17500000000,26000,26000,24950
2017-09-11,12.07,23800,-1.15(-4.61 %),114260,2781000000,0,0,24300,24950,23400
2017-09-12,12.91,25450,1.65(6.93 %),102460,2589000000,0,0,24000,25450,24000
2017-09-13,13.65,26900,1.45(5.70 %),104250,2790000000,0,0,26800,26900,26000
2017-09-14,13.6,26800,-0.1(-0.37 %),204600,5449000000,0,0,27500,27500,26000
2017-09-15,14.46,28500,1.7(6.34 %),414520,11587000000,0,0,26200,28650,26200
2017-09-18,15.42,30400,1.9(6.67 %),446470,13465000000,0,0,28500,30450,28500
2017-09-19,15.12,29800,-0.6(-1.97 %),281420,8716000000,0,0,31000,32000,29800
2017-09-20,15.42,30400,0.6(2.01 %),277560,8336000000,0,0,29600,30900,29200
2017-09-21,15.37,30300,-0.1(-0.33 %),106390,3211000000,0,0,31000,31000,29800
2017-09-22,15.22,30000,-0.3(-0.99 %),123210,3721000000,0,0,30100,30500,30000
2017-09-25,14.2,28000,-2(-6.67 %),243320,6968000000,0,0,29800,29950,27900
2017-09-26,14.2,28000,0(0.00 %),120910,3298000000,0,0,27100,28000,27050
2017-09-27,14.71,29000,1(3.57 %),154080,4420000000,0,0,28000,29400,27500
2017-09-28,14.31,28200,-0.8(-2.76 %),72850,2086000000,0,0,29000,29200,28200
2017-09-29,13.95,27500,-0.7(-2.48 %),74490,2093000000,0,0,28200,28600,27400
2017-10-02,14.13,27850,0.35(1.27 %),144400,4005000000,0,0,27300,28200,27300
2017-10-03,13.65,26900,-0.95(-3.41 %),57930,1589000000,0,0,27650,27850,26800
2017-10-04,13.93,27450,0.55(2.04 %),116390,3171000000,0,0,26900,27450,26900
2017-10-05,13.98,27550,0.1(0.36 %),169210,4712000000,0,0,27500,28400,27450
2017-10-06,14.1,27800,0.25(0.91 %),58340,1616000000,0,0,27550,28150,27550
2017-10-09,14.38,28350,0.55(1.98 %),320440,9039000000,0,0,27900,28400,27800
2017-10-10,15.22,30000,1.65(5.82 %),369460,10803000000,0,0,28350,30000,28300
2017-10-11,14.86,29300,-0.7(-2.33 %),201250,6067000000,0,0,30000,30500,29100
2017-10-12,14.76,29100,-0.2(-0.68 %),158240,4616000000,500000,14750000000,29400,29650,28700
2017-10-13,14.71,29000,-0.1(-0.34 %),70730,2043000000,0,0,29100,29200,28700
2017-10-16,14.76,29100,0.1(0.34 %),106960,3131000000,0,0,29200,29550,29000
2017-10-17,14.84,29250,0.15(0.52 %),157710,4627000000,0,0,29250,29600,29200
2017-10-18,14.56,28700,-0.55(-1.88 %),157290,4581000000,0,0,29200,29300,28700
2017-10-19,14.51,28600,-0.1(-0.35 %),197650,5667000000,0,0,28700,28800,28450
2017-10-20,14.71,29000,0.4(1.40 %),192850,5550000000,0,0,28600,29000,28600
2017-10-23,13.7,27000,-2(-6.90 %),143450,4009000000,0,0,27000,29300,27000
2017-10-24,14.0,27600,0.6(2.22 %),100020,2782000000,0,0,27500,28300,27400
2017-10-25,13.9,27400,-0.2(-0.72 %),121080,3283000000,0,0,27600,27600,27000
2017-10-26,14.0,27600,0.2(0.73 %),292780,7624000000,0,0,25500,27600,25500
2017-10-27,14.15,27900,0.3(1.09 %),209700,5629000000,0,0,26500,28400,26500
2017-10-30,13.44,26500,-1.4(-5.02 %),28700,775000000,0,0,28100,28100,26500
2017-10-31,13.14,25900,-0.6(-2.26 %),86460,2221000000,0,0,26500,26500,25200
2017-11-01,13.14,25900,0(0.00 %),45600,1185000000,0,0,26300,26300,25800
2017-11-02,12.78,25200,-0.7(-2.70 %),37190,947000000,0,0,26750,26750,25200
2017-11-03,11.9,23450,-1.75(-6.94 %),297970,7075000000,0,0,25000,25500,23450
2017-11-06,12.71,25050,1.6(6.82 %),165330,4076000000,110000,2403500000,23450,25050,23450
2017-11-07,12.78,25200,0.15(0.60 %),18180,459000000,0,0,25150,25500,24800
2017-11-08,12.33,24300,-0.9(-3.57 %),51050,1241000000,0,0,25000,25000,23700
2017-11-09,12.12,23900,-0.4(-1.65 %),90300,2170000000,0,0,24300,24300,23750
2017-11-10,12.38,24400,0.5(2.09 %),43710,1066000000,0,0,24000,24800,23900
2017-11-13,12.53,24700,0.3(1.23 %),40260,983000000,0,0,24100,24700,24100
2017-11-14,12.53,24700,0(0.00 %),30210,741000000,0,0,24300,24800,24300
2017-11-15,12.43,24500,-0.2(-0.81 %),25640,629000000,0,0,24500,24700,24400
2017-11-16,12.68,25000,0.5(2.04 %),126070,3113000000,0,0,24500,25300,24500
2017-11-17,12.43,24500,-0.5(-2.00 %),59600,1475000000,0,0,25000,25300,24500
2017-11-20,12.43,24500,0(0.00 %),25110,615000000,0,0,24600,24600,24450
