Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-04-24,33.84,48400,-0.5(-1.02 %),1757390,85909000000,953912,46264732000,48900,49500,48000
2017-04-25,31.57,45150,-3.25(-6.71 %),2533550,118258000000,20000,901000000,48100,48400,45050
2017-04-26,30.84,44100,-1.05(-2.33 %),1743790,76560000000,380000,15960000000,43100,44500,43100
2017-04-27,32.1,45900,1.8(4.08 %),825430,37583000000,50000,2100000000,44100,45900,44100
2017-04-28,32.62,46650,0.75(1.63 %),781910,36483000000,80000,3440000000,46100,47000,46100
2017-05-03,32.69,46750,0.1(0.21 %),521490,24318000000,70000,3150000000,46650,46800,46000
2017-05-04,33.21,47500,0.75(1.60 %),2947740,138712000000,100000,4350000000,46750,47500,46700
2017-05-05,32.94,47100,-0.4(-0.84 %),1274310,60037000000,0,0,47100,47500,47000
2017-05-08,33.21,47500,0.4(0.85 %),1414880,66615000000,0,0,47000,47500,46600
2017-05-09,32.8,46900,-0.6(-1.26 %),864620,40632000000,0,0,47500,47500,46900
2017-05-10,32.94,47100,0.2(0.43 %),2706150,127371000000,0,0,46900,47400,46900
2017-05-11,33.98,48600,1.5(3.18 %),3351200,160537000000,0,0,47100,49700,47100
2017-05-12,33.98,48600,0(0.00 %),1272460,61844000000,0,0,48600,48900,48400
2017-05-15,34.05,48700,0.1(0.21 %),2429190,117890000000,0,0,48250,49200,48000
2017-05-16,35.73,51100,2.4(4.93 %),3627190,181561000000,0,0,49100,52000,48700
2017-05-17,35.66,51000,-0.1(-0.20 %),1642560,83788000000,0,0,51000,52000,50500
2017-05-18,37.06,53000,2(3.92 %),3077950,159669000000,0,0,50800,53000,50800
2017-05-19,39.65,56700,3.7(6.98 %),4369030,244021000000,176000,8712000000,53800,56700,53300
2017-05-22,42.38,60600,3.9(6.88 %),3062670,185046000000,0,0,59800,60600,59000
2017-05-23,42.38,60600,0(0.00 %),2839240,174877000000,0,0,61000,64500,60600
2017-05-24,41.26,59000,-1.6(-2.64 %),1789900,106394000000,0,0,60600,60700,57500
2017-05-25,41.26,59000,0(0.00 %),684100,40502000000,20000,1098000000,59000,60100,58600
2017-05-26,40.63,58100,-0.9(-1.53 %),1237030,71927000000,0,0,58200,58900,57600
2017-05-29,42.03,60100,2(3.44 %),967250,57588000000,0,0,58000,60500,58000
2017-05-30,42.65,61000,0.9(1.50 %),1067000,65478000000,0,0,60100,62100,60100
2017-05-31,42.79,61200,0.2(0.33 %),714650,43839000000,0,0,61500,61700,60400
2017-06-01,42.79,61200,0(0.00 %),522880,32091000000,0,0,61200,61800,61200
2017-06-02,41.75,59700,-1.5(-2.45 %),1244790,74909000000,0,0,60700,61200,59700
2017-06-05,42.72,61100,1.4(2.35 %),665100,40425000000,38000,2424400000,59700,61800,59200
2017-06-06,43.0,61500,0.4(0.65 %),554760,33924000000,0,0,61100,61500,60800
2017-06-07,42.72,61100,-0.4(-0.65 %),626820,38466000000,0,0,61400,61800,61000
2017-06-08,42.72,61100,0(0.00 %),325680,19907000000,0,0,61100,61300,60800
2017-06-09,43.77,62600,1.5(2.45 %),1104760,68543000000,0,0,61000,63400,61000
2017-06-12,44.05,63000,0.4(0.64 %),830860,52827000000,0,0,62600,64500,62300
2017-06-13,44.05,63000,0(0.00 %),422580,26659000000,0,0,63200,63700,62700
2017-06-14,44.05,63000,0(0.00 %),848170,52807000000,27000,1582200000,62800,63000,61900
2017-06-15,43.91,62800,-0.2(-0.32 %),546160,34302000000,100000,6230000000,62500,63300,62100
2017-06-16,43.63,62400,-0.4(-0.64 %),369590,23142000000,286990,17971313800,62400,63000,62300
2017-06-19,44.61,63800,1.4(2.24 %),797760,50221000000,0,0,62300,63800,62300
2017-06-20,45.73,65400,1.6(2.51 %),1506260,97776000000,0,0,64000,65400,63900
2017-06-21,46.78,66900,1.5(2.29 %),980190,64176000000,0,0,65500,67000,64400
2017-06-22,48.6,69500,2.6(3.89 %),1121960,77108000000,200000,13800000000,67600,69800,67500
2017-06-23,49.93,71400,1.9(2.73 %),1825360,129795000000,200000,14200000000,69700,72000,69600
2017-06-26,50.21,71800,0.4(0.56 %),1137940,82060000000,350000,25120000000,72000,73300,71200
2017-06-27,48.11,68800,-3(-4.18 %),1547410,108486000000,0,0,71300,71600,68800
2017-06-28,47.97,68600,-0.2(-0.29 %),1212630,82850000000,0,0,68400,69700,67300
2017-06-29,48.6,69500,0.9(1.31 %),980940,67618000000,20000,1276000000,68800,70200,67900
2017-06-30,48.25,69000,-0.5(-0.72 %),846590,58965000000,159730,11101235000,69900,70100,69000
2017-07-03,48.18,68900,-0.1(-0.14 %),1235890,85403000000,0,0,69000,69600,68500
2017-07-04,47.34,67700,-1.2(-1.74 %),983220,66564000000,0,0,68500,68600,67200
2017-07-05,48.11,68800,1.1(1.62 %),493040,33547000000,0,0,67600,69400,67300
2017-07-06,49.65,71000,2.2(3.20 %),1697930,118198000000,0,0,68500,71200,68000
2017-07-07,48.6,69500,-1.5(-2.11 %),1345800,94314000000,0,0,70700,71000,69400
2017-07-10,48.11,68800,-0.7(-1.01 %),1149130,78915000000,0,0,68500,69400,68200
2017-07-11,48.11,68800,0(0.00 %),669300,45785000000,0,0,68800,68800,68000
2017-07-12,48.11,68800,0(0.00 %),905250,62818000000,0,0,69800,69800,68800
2017-07-13,49.09,70200,1.4(2.03 %),1069020,74370000000,0,0,69000,70200,69000
2017-07-14,48.95,70000,-0.2(-0.28 %),766980,54046000000,33000,2321550000,70800,71000,70000
2017-07-17,48.04,68700,-1.3(-1.86 %),613290,42555000000,0,0,70000,70400,68600
2017-07-18,48.18,68900,0.2(0.29 %),796070,54829000000,0,0,68300,69200,68200
2017-07-19,48.46,69300,0.4(0.58 %),998340,69429000000,1000000,64100000000,68800,69900,68800
2017-07-20,48.04,65500,-0.58(-0.88 %),583230,38545000000,0,0,66700,66900,65300
2017-07-21,48.04,65500,0(0.00 %),615940,40421000000,100000,6561000000,65500,66000,65300
2017-07-24,46.2,63000,-2.5(-3.82 %),1064220,68388000000,0,0,64500,65500,63000
2017-07-25,47.6,64900,1.9(3.02 %),1548220,96868000000,0,0,62000,65000,61000
2017-07-26,47.38,64600,-0.3(-0.46 %),328670,21281000000,20000,1320000000,65200,65200,64300
2017-07-27,46.06,62800,-1.8(-2.79 %),883020,56000000000,0,0,64100,64100,62800
2017-07-28,47.08,64200,1.4(2.23 %),505210,31745000000,0,0,62700,64200,62100
2017-07-31,46.06,62800,-1.4(-2.18 %),291180,18437000000,0,0,64000,64000,62800
2017-08-01,46.2,63000,0.2(0.32 %),420960,26459000000,0,0,62200,63700,62200
2017-08-02,46.35,63200,0.2(0.32 %),347480,21909000000,0,0,62800,63500,62100
2017-08-03,46.2,63000,-0.2(-0.32 %),331860,20879000000,0,0,63000,63200,62700
2017-08-04,46.64,63600,0.6(0.95 %),515090,32646000000,0,0,62800,63900,62700
2017-08-07,48.99,66800,3.2(5.03 %),1648590,108469000000,0,0,63600,66800,63500
2017-08-08,49.5,67500,0.7(1.05 %),1347990,91533000000,0,0,66800,69000,66800
2017-08-09,48.26,65800,-1.7(-2.52 %),699190,46268000000,0,0,67500,68000,65500
2017-08-10,47.82,65200,-0.6(-0.91 %),283290,18504000000,0,0,65000,66000,64800
2017-08-11,47.3,64500,-0.7(-1.07 %),186140,12067000000,0,0,65000,65900,64200
2017-08-14,48.4,66000,1.5(2.33 %),264910,17351000000,0,0,64500,66200,64200
2017-08-15,48.62,66300,0.3(0.45 %),269720,17802000000,0,0,66300,66300,65500
2017-08-16,48.48,66100,-0.2(-0.30 %),578890,38434000000,0,0,66300,66700,65500
2017-08-17,48.26,65800,-0.3(-0.45 %),202030,13353000000,0,0,66100,66300,65800
2017-08-18,48.48,66100,0.3(0.46 %),287630,18996000000,0,0,65800,66400,65700
2017-08-21,49.36,67300,1.2(1.82 %),1445250,97481000000,200000,13550000000,67000,67900,66800
2017-08-22,48.92,66700,-0.6(-0.89 %),211800,14199000000,0,0,67700,67800,66300
2017-08-23,48.92,66700,0(0.00 %),103940,6912000000,0,0,66300,66800,66200
2017-08-24,49.58,67600,0.9(1.35 %),865230,58318000000,0,0,66600,67800,66400
2017-08-25,49.5,67500,-0.1(-0.15 %),501000,33966000000,20000,1258000000,67600,68400,67300
