Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-01-26,13.02,17950,1.15(6.85 %),20000,359000000,0,0,17950,17950,17950
2018-01-29,13.92,19200,1.25(6.96 %),13450,258000000,0,0,19200,19200,19200
2018-01-30,14.87,20500,1.3(6.77 %),86250,1768000000,0,0,20500,20500,20500
2018-01-31,15.85,21850,1.35(6.59 %),136540,2990000000,0,0,21900,21900,21850
2018-02-01,16.93,23350,1.5(6.86 %),123440,2854000000,0,0,22400,23350,22300
2018-02-02,16.1,22200,-1.15(-4.93 %),73850,1696000000,0,0,23400,23400,22200
2018-02-05,16.06,22150,-0.05(-0.23 %),28620,632200000,0,0,22000,22500,22000
2018-02-06,15.16,20900,-1.25(-5.64 %),83520,1737000000,405780,8359068000,20900,21000,20600
2018-02-07,15.34,21150,0.25(1.20 %),79040,1663740000,0,0,21000,21150,21000
2018-02-08,15.23,21000,-0.15(-0.71 %),63460,1336000000,0,0,21150,21150,21000
2018-02-09,14.54,20050,-0.95(-4.52 %),73810,1495000000,0,0,20500,20500,20000
2018-02-12,14.94,20600,0.55(2.74 %),24270,500000000,0,0,20600,20600,20050
2018-02-13,15.08,20800,0.2(0.97 %),28340,584000000,0,0,20550,20800,20550
2018-02-21,15.3,21100,0.3(1.44 %),39660,831000000,0,0,20800,21100,20800
2018-02-22,15.23,21000,-0.1(-0.47 %),41630,876000000,0,0,21050,21100,21000
2018-02-23,15.37,21200,0.2(0.95 %),68710,1451000000,0,0,21000,21300,21000
2018-02-26,15.37,21200,0(0.00 %),47520,1006000000,0,0,21150,21200,21100
2018-02-27,15.23,21000,-0.2(-0.94 %),70750,1491000000,0,0,21200,21200,20950
2018-02-28,15.3,21100,0.1(0.48 %),83490,1757000000,0,0,21000,21100,20950
2018-03-01,15.34,21150,0.05(0.24 %),53560,1130000000,0,0,21100,21150,21100
2018-03-02,15.34,21150,0(0.00 %),105890,2240000000,0,0,21150,21200,21100
2018-03-05,15.48,21350,0.2(0.95 %),172830,3666000000,0,0,21150,21350,21150
2018-03-06,15.7,21650,0.3(1.41 %),203320,4378000000,0,0,21400,21650,21400
2018-03-07,15.74,21700,0.05(0.23 %),199540,4313000000,0,0,21550,21700,21500
2018-03-08,15.88,21900,0.2(0.92 %),175070,3810000000,0,0,21700,21900,21650
2018-03-09,16.1,22200,0.3(1.37 %),193630,4261000000,0,0,21900,22200,21850
2018-03-12,16.17,22300,0.1(0.45 %),184830,4113000000,0,0,22300,22300,22200
2018-03-13,16.21,22350,0.05(0.22 %),154270,3432000000,0,0,22300,22350,22150
2018-03-14,16.43,22650,0.3(1.34 %),170190,3828000000,0,0,22300,22700,22300
2018-03-15,16.43,22650,0(0.00 %),161460,3634000000,0,0,22550,22650,22450
2018-03-16,16.9,23300,0.65(2.87 %),180140,4141000000,0,0,23300,23400,22750
2018-03-19,16.97,23400,0.1(0.43 %),162550,3801000000,0,0,23400,23450,23250
2018-03-20,17.04,23500,0.1(0.43 %),180510,4225000000,0,0,23400,23500,23200
2018-03-21,17.12,23600,0.1(0.43 %),189290,4451000000,0,0,23500,23600,23450
2018-03-22,17.15,23650,0.05(0.21 %),175860,4157000000,0,0,23650,23750,23550
2018-03-23,17.19,23700,0.05(0.21 %),165930,3888000000,0,0,23600,23700,23250
2018-03-26,17.55,24200,0.5(2.11 %),214990,5135000000,0,0,23650,24200,23650
2018-03-27,17.66,24350,0.15(0.62 %),131590,3196000000,0,0,24200,24350,24200
2018-03-28,17.73,24450,0.1(0.41 %),192280,4702000000,0,0,24350,24550,24350
2018-03-29,17.84,24600,0.15(0.61 %),149290,3671000000,0,0,24400,24800,24400
2018-03-30,18.13,25000,0.4(1.63 %),144800,3582000000,0,0,24600,25000,24550
2018-04-02,18.31,25250,0.25(1.00 %),224190,5625000000,0,0,25050,25250,25050
2018-04-03,18.57,25600,0.35(1.39 %),300040,7613000000,1000000,23500000000,25250,25600,25200
2018-04-04,19.18,26450,0.85(3.32 %),194850,5049000000,555000,14243500000,25700,26450,25600
2018-04-05,19.83,27350,0.9(3.40 %),480980,12993000000,490000,13020000000,26450,27400,26450
2018-04-06,20.38,28100,0.75(2.74 %),278070,7741000000,600000,16040000000,27350,28300,27350
2018-04-09,19.87,27400,-0.7(-2.49 %),299700,8314000000,420000,11049000000,28200,28300,27300
2018-04-10,19.07,26300,-1.1(-4.01 %),438110,11659000000,0,0,27250,27250,26000
2018-04-11,18.13,25000,-1.3(-4.94 %),270010,6881000000,0,0,26000,26100,25000
2018-04-12,18.46,25450,0.45(1.80 %),217610,5403000000,190000,4746000000,24850,25450,24450
2018-04-13,18.78,25900,0.45(1.77 %),218050,5611000000,0,0,25500,26000,25500
2018-04-16,19.15,26400,0.5(1.93 %),100720,2632000000,0,0,25850,26400,25850
2018-04-17,19.11,26350,-0.05(-0.19 %),114930,3016000000,0,0,26400,26450,26050
2018-04-18,18.86,26000,-0.35(-1.33 %),178960,4646000000,0,0,26350,26350,25700
2018-04-19,18.13,25000,-1(-3.85 %),223510,5704000000,0,0,25900,25900,25000
2018-04-20,18.2,25100,0.1(0.40 %),81610,2026000000,0,0,24950,25100,24550
2018-04-23,17.77,24500,-0.6(-2.39 %),153710,3804000000,0,0,24500,25150,24500
2018-04-24,17.48,24100,-0.4(-1.63 %),45490,1103000000,0,0,24450,24450,24100
2018-04-26,16.57,22850,-1.25(-5.19 %),103260,2432000000,0,0,24050,24050,22850
2018-04-27,16.82,23200,0.35(1.53 %),157200,3591000000,0,0,22750,23200,22400
2018-05-02,16.93,23350,0.15(0.65 %),74180,1725000000,0,0,23350,23400,23150
2018-05-03,17.19,23700,0.35(1.50 %),71500,1678000000,0,0,23400,23700,23300
2018-05-04,17.48,24100,0.4(1.69 %),117680,2814000000,0,0,23750,24100,23700
2018-05-07,17.95,24750,0.65(2.70 %),137570,3363000000,0,0,24100,24750,24100
2018-05-08,17.88,24650,-0.1(-0.40 %),106790,2639000000,0,0,24750,24850,24550
2018-05-09,18.06,24900,0.25(1.01 %),117720,2915000000,0,0,24650,24900,24650
2018-05-10,18.46,25450,0.55(2.21 %),71050,1790000000,0,0,24950,25450,24950
2018-05-11,18.46,25450,0(0.00 %),105660,2671000000,0,0,25400,25500,25100
2018-05-14,18.67,25750,0.3(1.18 %),50190,1283000000,0,0,25400,25750,25350
2018-05-15,18.75,25850,0.1(0.39 %),148230,3822000000,0,0,25800,26000,25700
2018-05-16,18.24,25150,-0.7(-2.71 %),153830,3932000000,43000,1075000000,25850,25900,25150
2018-05-17,18.46,25450,0.3(1.19 %),117160,2977000000,0,0,25150,25550,25150
2018-05-18,18.53,25550,0.1(0.39 %),92480,2350000000,0,0,25450,25550,25300
2018-05-21,18.53,25550,0(0.00 %),83210,2135000000,97000,2425000000,25600,25750,25550
2018-05-22,18.13,25000,-0.55(-2.15 %),100450,2544000000,20000,496000000,25550,25600,25000
2018-05-23,18.35,25300,0.3(1.20 %),113570,2847000000,0,0,25050,25300,24900
2018-05-24,18.49,25500,0.2(0.79 %),199770,5061000000,0,0,25300,25500,25150
2018-05-25,18.42,25400,-0.1(-0.39 %),216830,5582000000,0,0,25500,25900,25400
2018-05-28,17.84,24600,-0.8(-3.15 %),114410,2870000000,60000,1530000000,25150,25400,24500
2018-05-29,17.88,24650,0.05(0.20 %),201990,4962000000,0,0,24650,24750,24250
2018-05-30,17.7,24400,-0.25(-1.01 %),73080,1794000000,0,0,24650,24700,24400
2018-05-31,17.95,24750,0.35(1.43 %),263920,6488000000,70000,1805000000,24350,24800,24350
2018-06-01,18.06,24900,0.15(0.61 %),149520,3701000000,100000,2570000000,24700,24900,24650
2018-06-04,18.24,25150,0.25(1.00 %),196410,4918000000,100000,2500000000,24950,25150,24800
2018-06-05,18.24,25150,0(0.00 %),221540,5575000000,0,0,25150,25250,25100
2018-06-06,18.35,25300,0.15(0.60 %),198620,4992000000,70000,1750000000,25150,25300,25050
2018-06-07,18.35,25300,0(0.00 %),212840,5363000000,78800,1999400000,25300,25300,25100
2018-06-08,18.38,25350,0.05(0.20 %),168850,4276000000,200000,5000000000,25300,25400,25250
2018-06-11,18.42,25400,0.05(0.20 %),245220,6238000000,80000,2030000000,25350,25550,25300
2018-06-12,18.24,25150,-0.25(-0.98 %),187430,4742000000,148800,3759400000,25400,25450,25150
2018-06-13,18.49,25500,0.35(1.39 %),231240,5868000000,0,0,25200,25550,25100
2018-06-14,19.73,27200,1.7(6.67 %),366470,9634000000,100000,2550000000,25550,27250,25500
2018-06-15,19.73,27200,0(0.00 %),189500,5160000000,50000,1325000000,27250,27350,27100
2018-06-18,18.89,26050,-1.15(-4.23 %),264560,7089000000,0,0,27200,27250,26050
2018-06-19,17.62,24300,-1.75(-6.72 %),265610,6587000000,0,0,25500,25500,24300
2018-06-20,18.13,25000,0.7(2.88 %),229270,5673000000,0,0,24400,25000,24400
2018-06-21,17.95,24750,-0.25(-1.00 %),167240,4167000000,200000,5000000000,24900,25050,24750
2018-06-22,18.13,25000,0.25(1.01 %),171440,4263000000,100000,2550000000,24750,25050,24750
2018-06-25,18.24,25150,0.15(0.60 %),229760,5782000000,25000,637500000,25050,25250,25050
2018-06-26,17.99,24800,-0.35(-1.39 %),172090,4262000000,100000,2550000000,25000,25000,24650
2018-06-27,17.91,24700,-0.1(-0.40 %),170600,4227000000,0,0,24750,24850,24650
2018-06-28,17.33,23900,-0.8(-3.24 %),184810,4498000000,0,0,24600,24600,23900
2018-06-29,17.12,23600,-0.3(-1.26 %),140770,3337000000,0,0,23750,23900,23600
2018-07-02,16.43,22650,-0.95(-4.03 %),119160,2752000000,100000,2525000000,23600,23600,22650
2018-07-03,15.41,21250,-1.4(-6.18 %),160800,3551000000,0,0,22650,22650,21250
2018-07-04,15.45,21300,0.05(0.24 %),162640,3451000000,0,0,21250,21350,21100
2018-07-05,14.87,20500,-0.8(-3.76 %),108430,2272000000,0,0,21300,21300,20500
2018-07-06,14.54,20050,-0.45(-2.20 %),118560,2394000000,80000,1752000000,20500,20500,20050
2018-07-09,14.54,20050,0(0.00 %),166260,3361000000,0,0,20050,20400,20050
2018-07-10,14.54,20050,0(0.00 %),115620,2322000000,40000,802000000,20050,20200,20000
2018-07-11,14.14,19500,-0.55(-2.74 %),93920,1873000000,0,0,20250,20250,19500
2018-07-12,14.25,19650,0.15(0.77 %),146110,2859000000,0,0,19650,19750,19400
2018-07-13,14.32,19750,0.1(0.51 %),150750,2987000000,0,0,19650,19950,19650
2018-07-16,14.32,19750,0(0.00 %),165700,3275000000,0,0,19750,19950,19650
2018-07-17,14.36,19800,0.05(0.25 %),179090,3526000000,0,0,19700,19800,19500
2018-07-18,14.58,20100,0.3(1.52 %),245990,4912000000,0,0,19800,20150,19800
2018-07-19,14.65,20200,0.1(0.50 %),272430,5486000000,0,0,20150,20300,20000
2018-07-20,14.69,20250,0.05(0.25 %),262320,5267000000,0,0,20250,20350,19900
2018-07-23,15.01,20700,0.45(2.22 %),316260,6506000000,0,0,20700,20800,20200
2018-07-24,15.66,21600,0.9(4.35 %),271760,5746000000,0,0,20700,21600,20700
2018-07-25,15.52,21400,-0.2(-0.93 %),380930,8303000000,0,0,21650,22000,21400
2018-07-26,15.12,20850,-0.55(-2.57 %),262800,5521000000,200000,4400000000,21400,21450,20800
2018-07-27,14.94,20600,-0.25(-1.20 %),252570,5269000000,0,0,20800,21050,20600
2018-07-30,14.14,19500,-1.1(-5.34 %),170430,3423000000,100000,2200000000,20550,20600,19500
2018-07-31,15.09,18150,1.14(6.72 %),197270,3567000000,0,0,18150,18150,18150
2018-08-01,15.89,19050,0.95(5.25 %),606890,11429000000,0,0,18200,19100,18200
2018-08-02,15.64,18750,-0.3(-1.57 %),350550,6662000000,0,0,19100,19150,18750
2018-08-03,16.3,19550,0.8(4.27 %),197380,3800000000,0,0,18750,19600,18750
2018-08-06,16.3,19550,0(0.00 %),321010,6317000000,0,0,19650,19850,19550
2018-08-07,16.18,19400,-0.15(-0.77 %),326430,6339000000,0,0,19500,19550,19300
2018-08-08,16.6,19900,0.5(2.58 %),396060,7775000000,0,0,19450,20000,19300
2018-08-09,16.3,19550,-0.35(-1.76 %),404390,7943000000,0,0,19800,19850,19500
2018-08-10,16.3,19550,0(0.00 %),370460,7265000000,0,0,19550,19700,19550
2018-08-13,16.35,19600,0.05(0.26 %),308200,6018000000,0,0,19500,19600,19450
2018-08-14,16.26,19500,-0.1(-0.51 %),267460,5230000000,0,0,19550,19650,19500
2018-08-15,16.39,19650,0.15(0.77 %),188660,3687000000,0,0,19500,19700,19450
2018-08-16,16.43,19700,0.05(0.25 %),150590,2962000000,0,0,19600,19750,19550
2018-08-17,16.47,19750,0.05(0.25 %),150010,2952000000,0,0,19600,19800,19600
2018-08-20,16.43,19700,-0.05(-0.25 %),202440,3996000000,0,0,19700,19800,19700
