Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2018-03-07,16.03,16800,-0.7(-4.00 %),7174392,123090361800,3807684,57512745700,18200,18200,16500
2018-03-08,16.41,17200,0(0.00 %),6824944,116485332400,2814200,42628740000,17200,17500,16700
2018-03-09,16.69,17500,0.4(2.34 %),5309486,92034027000,491000,7819600000,17100,17600,17100
2018-03-12,16.5,17300,0(0.00 %),4343745,75223054500,325000,5030000000,17700,17700,17200
2018-03-13,16.41,17200,-0.1(-0.58 %),4454169,76578649000,10325000,153056000000,17300,17400,17100
2018-03-14,16.22,17000,-0.2(-1.16 %),4455422,76144977400,15000,245500000,17200,17300,16900
2018-03-15,15.93,16700,-0.4(-2.34 %),3704865,62224336500,210000,3066000000,17100,17100,16600
2018-03-16,16.31,17100,0.3(1.79 %),3923430,66754622000,0,0,16700,17200,16700
2018-03-19,16.22,17000,0(0.00 %),2652660,44950129000,335000,5649500000,17200,17300,16800
2018-03-20,15.93,16700,-0.2(-1.18 %),2469883,41510130700,200000,2880000000,17000,17000,16700
2018-03-21,15.93,16700,-0.1(-0.60 %),1929052,32422179600,0,0,17000,17000,16700
2018-03-22,15.55,16300,-0.5(-2.98 %),3131060,51165562000,5000,71500000,16800,16800,16000
2018-03-23,15.36,16100,-0.2(-1.23 %),3356387,53663828300,10062,139861800,16000,16200,15600
2018-03-26,14.98,15700,-0.3(-1.88 %),1932826,30511252400,0,0,16000,16000,15600
2018-03-27,14.88,15600,-0.2(-1.27 %),1055477,16560858100,0,0,15700,15800,15600
2018-03-28,14.88,15600,-0.1(-0.64 %),1694196,26394149000,59000,823180000,15600,15700,15500
2018-03-29,15.45,16200,0.6(3.85 %),2103906,34052605000,0,0,15700,16600,15600
2018-03-30,15.83,16600,0.4(2.47 %),2354364,38804971200,0,0,16300,16700,16200
2018-04-02,15.83,16600,0.1(0.61 %),2577643,42658842100,1,14100,16600,16800,16400
2018-04-03,15.45,16200,-0.4(-2.41 %),2257070,36539320000,0,0,16600,16600,16000
2018-04-04,15.64,16400,0.2(1.23 %),2402101,39533266600,0,0,16500,16900,16200
2018-04-05,15.45,16200,-0.3(-1.82 %),1725227,28020888400,0,0,16500,16600,16100
2018-04-06,15.36,16100,-0.1(-0.62 %),1731257,27766499700,0,0,16200,16300,15900
2018-04-09,15.26,16000,0(0.00 %),1733995,27495041500,99000,1821600000,16100,16100,15700
2018-04-10,15.17,15900,0(0.00 %),1485078,23571633200,0,0,15900,16100,15700
2018-04-11,14.88,15600,-0.3(-1.89 %),2053300,32143610000,0,0,15900,16000,15300
2018-04-12,14.98,15700,0(0.00 %),977010,15242931000,0,0,15600,15700,15500
2018-04-13,14.88,15600,0(0.00 %),1503780,23328409000,0,0,15600,15700,15300
2018-04-16,14.79,15500,0(0.00 %),1698800,26390560000,0,0,15700,15900,15300
2018-04-17,14.88,15600,0.1(0.65 %),742496,11479978000,28000,498400000,15500,15600,15300
2018-04-18,14.4,15100,-0.4(-2.58 %),1683810,25643186000,0,0,15600,15600,15000
2018-04-19,13.93,14600,-0.6(-3.95 %),2236680,32752676000,0,0,15200,15200,14500
2018-04-20,13.93,14600,0(0.00 %),1461117,21041497500,7000,87500000,14500,14700,14200
2018-04-23,13.55,14200,-0.2(-1.39 %),859630,12211358000,0,0,14700,14800,13600
2018-04-24,13.16,13800,-0.4(-2.82 %),1109190,15458486000,0,0,14200,14300,13700
2018-04-26,12.97,13600,-0.3(-2.16 %),2116175,29590739300,3937000,54330600000,14400,14500,13500
2018-04-27,12.97,13600,-0.4(-2.86 %),1100812,14901112200,200000,2400000000,13800,13800,13400
2018-05-03,12.69,13300,-0.3(-2.21 %),1736969,22677361900,192000,2784000000,13600,13600,12900
2018-05-04,12.78,13400,0.3(2.29 %),976440,13007656000,33,369600,13200,13500,13200
2018-05-07,13.74,14350,1.1(8.27 %),1944203,27944844700,0,0,13800,14350,13600
2018-05-08,13.74,14400,0(0.00 %),1537398,22106340900,0,0,14600,14600,14200
2018-05-09,13.55,14200,-0.2(-1.39 %),1083060,15722572000,0,0,14400,14900,14200
