Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-05-22,7.85,35600,-0.7(-1.93 %),273300,9899640000,0,0,36500,38000,35500
2006-05-24,7.39,33500,-2.7(-7.46 %),179700,6027900000,0,0,35800,35800,33100
2006-05-26,7.12,32300,-1.2(-3.58 %),117500,3814210000,0,0,33700,33700,32000
2006-05-29,6.46,30050,-3.2(-9.85 %),191300,5676840000,0,0,32500,32500,30050
2006-05-31,6.07,27500,-2.2(-7.41 %),350300,9638940000,0,0,29200,29200,27250
2006-06-01,6.66,29400,2.7(9.82 %),226600,6701570000,0,0,25700,29400,25600
2006-06-02,7.17,32300,2.9(9.80 %),276300,8971120000,0,0,32000,32300,32000
2006-06-05,7.21,32700,0.2(0.62 %),246900,8303390000,0,0,34800,34800,32600
2006-06-06,6.95,31500,-2.1(-6.25 %),165300,5224470000,0,0,32300,34500,30900
2006-06-07,6.73,30500,-1.1(-3.48 %),84700,2552540000,0,0,31200,31200,29700
2006-06-08,6.86,31100,1(3.32 %),79300,2452550000,0,0,30000,31200,30000
2006-06-09,6.73,30500,-0.4(-1.29 %),152200,4678570000,0,0,31000,31400,30000
2006-06-12,6.4,29000,-1.7(-5.54 %),247400,7141160000,0,0,30100,30100,28500
2006-06-13,6.35,28800,0.4(1.41 %),202500,5762910000,0,0,28800,28800,28200
2006-06-14,6.51,29500,1(3.51 %),155200,4572300000,0,0,29200,29600,29000
2006-06-15,6.48,29400,-0.1(-0.34 %),101600,2983080000,0,0,29600,29700,29000
2006-06-16,6.29,28500,-0.9(-3.06 %),84400,2410070000,0,0,29500,29500,28200
2006-06-19,6.24,28300,-0.3(-1.05 %),82500,2324910000,0,0,28500,28500,28000
2006-06-20,6.11,27700,-0.5(-1.77 %),66100,1841780000,0,0,28300,28300,27600
2006-06-21,5.69,25800,-2.1(-7.53 %),135900,3559710000,0,0,27500,27500,25750
2006-06-22,6.31,27600,2.4(9.16 %),126700,3519090000,0,0,26500,27600,24000
2006-06-23,6.13,27800,0(0.00 %),131100,3717690000,0,0,29500,29500,27500
2006-06-26,5.96,27000,-1.4(-4.93 %),88700,2399510000,0,0,27500,28500,26800
2006-06-27,5.91,26800,-0.3(-1.11 %),92100,2461210000,0,0,26900,26900,26600
2006-06-28,5.96,27000,0.3(1.12 %),82300,2213650000,0,0,28000,28000,26800
2006-06-29,5.98,27100,0.2(0.74 %),78700,2117880000,0,0,27000,27100,26800
2006-06-30,6.04,27400,0.5(1.86 %),45200,1231560000,0,0,27300,27500,27000
2006-07-03,5.96,27000,-0.2(-0.74 %),85600,2325520000,0,0,27400,27400,27000
2006-07-04,5.84,26500,-0.7(-2.57 %),58000,1546810000,0,0,27200,27200,26500
2006-07-05,5.8,26300,-0.4(-1.50 %),70100,1841150000,0,0,26500,26500,26200
2006-07-06,5.87,26600,0.3(1.14 %),58600,1545350000,0,0,26300,27000,26000
2006-07-07,5.89,26700,0.3(1.14 %),53500,1423540000,0,0,26600,26900,26500
2006-07-10,5.84,26500,-0.1(-0.38 %),19300,511660000,0,0,26900,26900,26400
2006-07-11,5.82,26400,-0.1(-0.38 %),41300,1090020000,0,0,26500,26500,26300
2006-07-12,5.82,26400,0(0.00 %),54500,1427000000,0,0,26300,26500,26000
2006-07-13,5.8,26300,0.1(0.38 %),44000,1164810000,0,0,26400,26700,26200
2006-07-14,5.96,27000,0.5(1.89 %),124800,3313660000,0,0,26600,27000,26200
2006-07-17,5.96,27000,0.4(1.50 %),167800,4578840000,0,0,27200,27800,25100
2006-07-18,5.91,26800,-0.5(-1.83 %),69300,1861780000,0,0,26800,27000,26700
2006-07-19,5.84,26500,-0.4(-1.49 %),64500,1696870000,0,0,26800,26800,26200
2006-07-20,5.84,26500,0.2(0.76 %),102100,2693940000,0,0,26000,26600,26000
2006-07-21,5.84,26500,0.1(0.38 %),120300,3206330000,0,0,28000,28000,26500
2006-07-24,5.8,26300,-0.4(-1.50 %),154400,4087320000,0,0,26700,26700,26300
2006-07-25,5.4,24500,-2(-7.55 %),145900,3686950000,0,0,26000,26000,24500
2006-07-26,5.4,24500,-0.8(-3.16 %),201800,4874200000,0,0,22900,25000,22900
2006-07-27,5.71,25900,1.7(7.02 %),288400,7304450000,0,0,24500,26100,24300
2006-07-28,5.73,26000,0.7(2.77 %),142200,3701780000,0,0,26000,26400,25600
2006-07-31,5.6,25400,-0.6(-2.31 %),171800,4338260000,0,0,25500,25800,24800
2006-08-01,5.65,25600,0.3(1.19 %),196700,4946190000,0,0,24800,25600,24500
2006-08-02,5.6,25400,0.3(1.20 %),297700,7527110000,0,0,25000,25700,24500
2006-08-03,5.73,26000,0.7(2.77 %),266600,6922340000,0,0,26000,26100,25700
2006-08-04,5.91,26800,0.8(3.08 %),214600,5718300000,0,0,26000,26900,26000
2006-08-07,5.87,26600,0(0.00 %),206900,5491920000,0,0,26600,27000,26100
2006-08-08,5.87,26600,0.1(0.38 %),135600,3585910000,0,0,26500,26600,26200
2006-08-09,5.89,26700,0.3(1.14 %),117000,3103180000,0,0,26500,26700,26400
2006-08-10,5.87,26600,0.1(0.38 %),109100,2888180000,0,0,26500,26600,26200
2006-08-11,5.91,26800,0.3(1.13 %),218900,5838810000,0,0,26400,26800,26300
2006-08-14,6.18,28000,1.3(4.87 %),254900,6993720000,0,0,27000,28000,26800
2006-08-15,6.02,27300,-0.1(-0.36 %),305700,8409360000,0,0,28000,28000,27300
2006-08-16,6.2,28100,0.6(2.18 %),198400,5548480000,0,0,28000,28200,27800
2006-08-17,6.48,29400,1.4(5.00 %),499400,14484470000,0,0,28500,29600,28500
2006-08-18,6.51,29500,0.5(1.72 %),517400,15187590000,0,0,29000,29600,28500
2006-08-21,6.46,29300,-0.1(-0.34 %),138300,4068020000,0,0,29500,29800,29200
2006-08-22,6.22,28200,-1.2(-4.08 %),225000,6357620000,0,0,28500,28600,28000
2006-08-23,6.31,28600,0.3(1.06 %),292500,8343600000,0,0,28200,29000,28000
2006-08-24,6.31,28600,0.1(0.35 %),96100,2768400000,0,0,28900,29000,28500
2006-08-25,6.4,29000,0.2(0.69 %),108600,3139010000,0,0,28800,29000,28600
2006-08-28,6.37,28900,0(0.00 %),118600,3432700000,0,0,28900,29000,28800
2006-08-29,6.42,29100,0.2(0.69 %),169700,4915730000,0,0,29000,29100,28800
2006-08-30,6.4,29000,0(0.00 %),203000,5890180000,0,0,29000,29100,28900
2006-08-31,6.4,29000,0(0.00 %),200900,5819120000,0,0,29000,29000,28900
2006-09-01,6.42,29100,0.1(0.34 %),152300,4420930000,0,0,29000,29500,28900
2006-09-05,6.51,29500,0.5(1.72 %),174500,5140250000,0,0,29300,29500,29200
2006-09-06,6.44,29200,-0.3(-1.02 %),85300,2515790000,0,0,29500,29700,29200
2006-09-07,6.42,29100,-0.4(-1.36 %),77200,2248950000,0,0,29500,29500,29000
2006-09-08,6.51,29500,0.4(1.37 %),190100,5565860000,0,0,29200,29500,28800
2006-09-11,6.51,29500,0.2(0.68 %),234000,6896200000,0,0,29000,29600,29000
2006-09-12,6.44,29200,-0.3(-1.02 %),161800,4732670000,0,0,29200,29400,29000
2006-09-13,6.48,29400,0.1(0.34 %),178400,5244530000,0,0,29000,29500,29000
2006-09-14,6.48,29400,0(0.00 %),104900,3077330000,0,0,28000,29400,28000
2006-09-15,6.4,29000,-0.3(-1.02 %),102100,2977910000,0,0,29300,29400,29000
2006-09-18,6.44,29200,0(0.00 %),89200,2601160000,0,0,29200,29400,29000
2006-09-19,6.44,29200,0(0.00 %),133600,3905300000,0,0,29000,29300,29000
2006-09-20,6.44,29200,0(0.00 %),124100,3627180000,0,0,29200,29400,29000
2006-09-21,6.42,29100,-0.1(-0.34 %),75900,2213690000,0,0,29500,29500,29000
2006-09-22,6.4,29000,-0.2(-0.68 %),38200,1107350000,0,0,29100,29100,28900
2006-09-25,6.4,29000,0(0.00 %),163400,4728620000,0,0,28900,29000,28900
2006-09-26,6.4,29000,0.1(0.35 %),209300,6063970000,0,0,29000,29100,28900
2006-09-27,6.44,29200,0.2(0.69 %),147900,4299940000,0,0,29000,29200,29000
2006-09-28,6.42,29100,0(0.00 %),119500,3476920000,0,0,29200,29200,29000
2006-09-29,6.42,29100,0(0.00 %),113600,3309240000,0,0,29200,29200,29000
2006-10-02,6.42,29100,0(0.00 %),88200,2572400000,0,0,29200,29300,29100
2006-10-03,6.44,29200,0(0.00 %),81200,2363950000,0,0,29200,29200,29000
2006-10-04,6.42,29100,0(0.00 %),125900,3662430000,0,0,29100,29300,29000
2006-10-05,6.44,29200,0.1(0.34 %),261100,7618800000,0,0,29200,29200,29100
2006-10-06,6.46,29300,0.1(0.34 %),115600,3380990000,0,0,29300,29300,29100
2006-10-09,6.44,29200,0(0.00 %),135300,3948980000,0,0,29300,29300,29000
2006-10-10,6.4,29000,-0.2(-0.68 %),92400,2689330000,0,0,29200,29200,29000
2006-10-11,6.42,29100,0(0.00 %),107100,3112180000,0,0,29000,29100,29000
2006-10-12,6.42,29100,0(0.00 %),91100,2654010000,0,0,29100,29200,29000
2006-10-13,6.42,29100,0(0.00 %),113600,3257720000,0,0,29100,29200,27050
2006-10-16,6.4,29000,0.3(1.05 %),148700,4328210000,0,0,29300,29300,29000
2006-10-17,6.4,29000,-0.1(-0.34 %),46300,1343130000,0,0,29000,29100,29000
2006-10-18,6.4,29000,0(0.00 %),68000,1970370000,0,0,29000,29100,28600
2006-10-19,6.42,29100,0.1(0.34 %),106700,3101060000,0,0,29100,29100,28900
2006-10-20,6.42,29100,0(0.00 %),39300,1142340000,0,0,29000,29100,29000
2006-10-23,6.42,29100,0(0.00 %),90600,2636260000,0,0,29000,29100,29000
2006-10-24,6.4,29000,-0.1(-0.34 %),34100,991040000,0,0,29000,29100,29000
2006-10-25,6.4,29000,-0.1(-0.34 %),32100,931900000,0,0,29100,29100,29000
2006-10-26,6.4,29000,0(0.00 %),45300,1314390000,0,0,29000,29100,28900
2006-10-27,6.42,29100,0.1(0.34 %),72500,2106480000,0,0,29000,29100,29000
2006-10-30,6.44,29200,0.1(0.34 %),169200,4918040000,0,0,29000,29200,29000
2006-10-31,6.4,29000,-0.1(-0.34 %),63600,1845160000,0,0,29100,29100,29000
2006-11-01,6.42,29100,0.1(0.34 %),105600,3073730000,0,0,31050,31050,29000
2006-11-02,6.44,29200,0.1(0.34 %),47700,1391230000,0,0,29000,29300,29000
2006-11-03,6.44,29200,0(0.00 %),37000,1081580000,0,0,29200,29300,29200
2006-11-06,6.51,29500,0.3(1.03 %),57900,1705110000,0,0,29400,29500,29200
2006-11-07,6.59,29900,0.5(1.70 %),93700,2784000000,0,0,29600,29900,29500
2006-11-08,6.79,30800,1.1(3.70 %),88800,2709880000,0,0,30000,30800,30000
2006-11-09,6.84,31000,0.5(1.64 %),99500,3081020000,0,0,31000,31200,30800
2006-11-10,6.7,30400,-0.6(-1.94 %),58800,1790500000,0,0,31100,31200,29200
2006-11-13,6.59,29900,0.1(0.34 %),56000,1675140000,0,0,29800,30300,29700
2006-11-14,6.57,29800,-0.1(-0.33 %),72600,2165570000,0,0,30000,30000,29700
2006-11-15,6.51,29500,-0.3(-1.01 %),41600,1231820000,0,0,30000,30000,29500
2006-11-16,6.44,29200,-0.4(-1.35 %),66600,1953220000,0,0,29700,29700,29200
2006-11-17,6.57,29800,0.5(1.71 %),127400,3768760000,0,0,29100,29900,29000
2006-11-20,6.62,30000,0.4(1.35 %),136600,4073240000,0,0,29800,30000,29700
2006-11-21,6.88,31200,1.4(4.70 %),121300,3744190000,0,0,30100,31200,30100
2006-11-22,7.48,33400,3(9.71 %),239600,8033530000,0,0,31000,33400,31000
2006-11-23,8.12,36250,3.3(9.85 %),259600,9553280000,0,0,36250,36250,36250
2006-11-27,8.27,37500,-2.5(-6.25 %),130400,5008810000,0,0,39400,39400,36900
2006-11-28,8.12,36800,-1.6(-4.17 %),277900,10252500000,0,0,37500,38000,34900
2006-12-01,8.45,38300,0.3(0.79 %),168100,6509590000,0,0,38500,39000,38300
2006-12-06,8.49,38500,-1(-2.53 %),89900,3479100000,0,0,39600,39600,38000
2006-12-07,8.6,39000,0.3(0.78 %),184100,7119960000,0,0,38500,39000,35800
2006-12-08,8.67,39300,0.6(1.55 %),176400,6912300000,0,0,38500,39800,38500
2006-12-11,9.06,41100,1.9(4.85 %),427800,17413750000,0,0,39800,42050,39300
2006-12-13,9.48,43000,0.8(1.90 %),351400,15035780000,0,0,42500,43500,42000
2006-12-14,10.15,46000,3.2(7.48 %),429900,19344140000,0,0,43000,46000,43000
2006-12-15,10.37,47000,2(4.44 %),506100,24308910000,0,0,49000,49200,46100
2006-12-18,10.37,47000,-1(-2.08 %),297000,14139520000,0,0,50000,50300,46500
2006-12-19,10.48,47500,-0.1(-0.21 %),459900,21724220000,0,0,49000,50000,46500
2006-12-20,10.41,47200,0(0.00 %),346100,16374590000,0,0,47000,49500,46900
2006-12-21,10.04,45500,-1.8(-3.81 %),338000,15483370000,0,0,47700,47700,43900
2006-12-22,9.26,42300,-3.8(-8.30 %),154600,6453750000,0,0,42300,42600,42300
2006-12-25,9.48,43000,1.3(3.12 %),208500,8409330000,0,0,39050,43000,39050
2006-12-26,9.77,44300,4(9.93 %),100300,4442700000,0,0,44300,44300,43000
2006-12-27,10.15,46000,1.7(3.84 %),172700,8039880000,0,0,47400,47400,45000
2006-12-28,10.04,45500,-1.1(-2.36 %),169700,7763140000,0,0,48500,48500,44500
2006-12-29,10.15,46000,0.3(0.66 %),180200,8258770000,0,0,45000,46900,44300
2007-01-02,10.26,46500,-1.2(-2.52 %),196700,9154420000,0,0,47700,48000,45800
2007-01-03,10.23,46400,-0.6(-1.28 %),206000,0,0,0,47000,47500,46000
2007-01-04,10.56,47900,1.1(2.35 %),272900,13081710000,0,0,46800,49000,46500
2007-01-05,11.07,50200,0.2(0.40 %),663200,0,0,0,50000,51000,48800
2007-01-08,11.03,50000,0.8(1.63 %),551500,4703590000,0,0,49200,53000,48000
2007-01-09,11.98,53500,4.8(9.70 %),1145600,62243980000,0,0,49500,53500,49500
2007-01-10,13.17,58100,0(0.00 %),783000,46744560000,0,0,58100,58100,58100
2007-01-11,14.42,63900,-0.2(-0.30 %),1950500,127620000000,0,0,63900,63900,55500
2007-01-26,23.16,70000,0(0.00 %),1309320,137479000000,0,0,70000,70000,70000
2007-01-29,22.06,100000,-5(-4.76 %),368240,36824000000,0,0,100000,100000,100000
2007-01-30,20.95,95000,-5(-5.00 %),28920,2747000000,0,0,95000,95000,95000
2007-01-31,19.96,90500,-4.5(-4.74 %),64600,6460000000,0,0,95000,95000,90500
2007-02-01,20.95,95000,4.5(4.97 %),1935240,193524000000,0,0,95000,95000,95000
2007-02-02,21.95,99500,4.5(4.74 %),875450,87545000000,0,0,95000,99500,95000
2007-02-05,22.06,100000,0.5(0.50 %),1664780,170166000000,0,0,100000,104000,100000
2007-02-06,23.16,105000,5(5.00 %),735900,74037000000,0,0,105000,105000,95000
2007-02-07,22.06,100000,-5(-4.76 %),527530,52753000000,0,0,100000,100000,100000
2007-02-08,20.95,95000,-5(-5.00 %),156020,14822000000,0,0,95000,95000,95000
2007-02-09,21.95,99500,4.5(4.74 %),995830,93326000000,0,0,99500,99500,90500
2007-02-12,20.95,95000,-4.5(-4.52 %),843820,80163000000,0,0,95000,95000,95000
2007-02-13,21.17,96000,1(1.05 %),263840,25407000000,0,0,96000,97000,96000
2007-02-14,20.95,95000,-1(-1.04 %),288690,27456000000,0,0,95000,96000,95000
2007-02-15,20.95,95000,0(0.00 %),225170,21391000000,0,0,95000,95000,95000
2007-02-26,21.39,97000,2(2.11 %),1431040,137896000000,0,0,97000,97000,95000
2007-02-27,21.39,97000,0(0.00 %),1099530,106654000000,0,0,97000,97000,97000
2007-02-28,20.95,95000,-2(-2.06 %),839430,79640000000,0,0,95000,95000,92500
2007-03-01,20.29,92000,-3(-3.16 %),563780,53379000000,0,0,92000,95000,92000
2007-03-02,20.95,95000,3(3.26 %),587230,55539000000,0,0,92000,95000,92000
2007-03-05,21.39,97000,2(2.11 %),502970,48302000000,0,0,97000,97000,95000
2007-03-06,20.4,92500,-4.5(-4.64 %),698000,64565000000,0,0,92500,92500,92500
2007-03-07,20.4,92500,0(0.00 %),156190,14470000000,0,0,92500,93000,92500
2007-03-08,20.29,92000,-0.5(-0.54 %),162040,14866000000,0,0,92500,92500,91000
2007-03-09,19.85,90000,-2(-2.17 %),452190,40697000000,0,0,90000,90000,90000
2007-03-12,19.08,86500,-3.5(-3.89 %),488790,42445000000,0,0,88000,88000,86500
2007-03-13,18.75,85000,-1.5(-1.73 %),648520,55329000000,0,0,85000,86000,85000
2007-03-14,17.86,81000,-4(-4.71 %),328520,26610000000,0,0,81000,81000,81000
2007-03-15,16.98,77000,-4(-4.94 %),647020,49821000000,0,0,77000,77000,77000
2007-03-16,17.77,79500,3.5(4.61 %),600240,47719000000,0,0,79500,79500,79500
2007-03-19,18.1,81000,1.5(1.89 %),1326520,109151000000,0,0,83000,83000,81000
2007-03-20,17.65,79000,-2(-2.47 %),478240,38337000000,0,0,80000,81000,79000
2007-03-21,17.21,77000,-2(-2.53 %),554490,43044000000,0,0,77000,79000,77000
2007-03-22,16.98,76000,-1(-1.30 %),774960,59419000000,0,0,78000,78000,76000
2007-03-23,16.76,75000,-1(-1.32 %),659430,49971000000,0,0,77000,77000,75000
2007-03-26,16.54,74000,-1(-1.33 %),935820,70506000000,0,0,78000,78000,74000
2007-03-27,15.87,71000,-3(-4.05 %),632440,46182000000,0,0,75000,75000,71000
2007-03-28,15.2,68000,-3(-4.23 %),1021270,69605000000,0,0,69000,69000,68000
2007-03-29,15.87,71000,3(4.41 %),939560,66709000000,0,0,71000,71000,71000
2007-03-30,16.65,74500,3.5(4.93 %),972750,72470000000,0,0,74500,74500,74500
