Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2011-07-25,1.18,15200,-0.8(-5.00 %),5050,76760000,0,0,15200,15200,15200
2011-07-26,1.12,14500,-0.7(-4.61 %),94030,1363435000,0,0,14500,14500,14500
2011-07-27,1.12,14500,0(0.00 %),119560,1651342000,0,0,13800,14500,13800
2011-07-28,1.14,14700,0.2(1.38 %),51380,760190000,0,0,14500,15000,14500
2011-07-29,1.14,14700,0(0.00 %),7500,108550000,0,0,14400,14700,14300
2011-08-01,1.08,14000,-0.7(-4.76 %),79830,1128430000,0,0,14600,14600,14000
2011-08-02,1.03,13300,-0.7(-5.00 %),55710,741458000,0,0,13500,13500,13300
2011-08-03,1.08,13900,0.6(4.51 %),410,5699000,0,0,13900,13900,13900
2011-08-04,1.12,14500,0.6(4.32 %),9540,137277000,0,0,14400,14500,14000
2011-08-05,1.13,14600,0.1(0.69 %),7880,113530000,0,0,14200,15000,14200
2011-08-08,1.08,14000,-0.6(-4.11 %),38540,541000000,0,0,14000,14500,14000
2011-08-09,1.1,14200,0.2(1.43 %),4030,56162000,31553,419655000,13500,14200,13500
2011-08-10,1.1,14200,0(0.00 %),5430,77059000,0,0,13600,14200,13600
2011-08-11,1.1,14200,0(0.00 %),14370,204054000,0,0,14200,14200,14200
2011-08-12,1.12,14500,0.3(2.11 %),160,2297000,0,0,14900,14900,14200
2011-08-15,1.15,14800,0.3(2.07 %),16010,229166000,0,0,14500,14800,14200
2011-08-16,1.09,14100,-0.7(-4.73 %),1760,24839000,0,0,14900,14900,14100
2011-08-17,1.13,14600,0.5(3.55 %),6030,85836000,0,0,14400,14600,14100
2011-08-18,1.15,14900,0.3(2.05 %),1620,24029000,0,0,14600,14900,14300
2011-08-19,1.12,14500,-0.4(-2.68 %),14960,216923000,0,0,14800,14800,14500
2011-08-22,1.14,14700,0.2(1.38 %),10330,149793000,93370,1288506000,15100,15100,14200
2011-08-23,1.12,14500,-0.2(-1.36 %),4050,58725000,0,0,14500,14500,14500
2011-08-24,1.12,14500,0(0.00 %),10010,145620000,0,0,15200,15200,14200
2011-08-25,1.14,14700,0.2(1.38 %),3070,44595000,0,0,14500,14700,14500
2011-08-26,1.12,14500,-0.2(-1.36 %),9670,140213000,0,0,14500,14500,14300
2011-08-29,1.12,14500,0(0.00 %),40,584000,0,0,14700,14700,14500
2011-08-30,1.12,14500,0(0.00 %),760,11020000,129131,1782008000,14500,14500,14500
2011-08-31,1.08,14000,-0.5(-3.45 %),5860,82917000,0,0,14500,14500,13900
2011-09-01,1.05,13500,-0.5(-3.57 %),2730,36942000,0,0,14700,14700,13400
2011-09-05,1.08,14000,0.5(3.70 %),2530,35144000,0,0,14000,14000,13500
2011-09-06,1.11,14300,0.3(2.14 %),2880,39015000,0,0,14400,14400,13300
2011-09-07,1.1,14200,-0.1(-0.70 %),2020,28284000,0,0,14000,14200,14000
2011-09-08,1.08,14000,-0.2(-1.41 %),10320,144710000,0,0,14000,14100,14000
2011-09-09,1.14,14700,0.7(5.00 %),24630,353198000,0,0,14100,14700,14100
2011-09-12,1.15,14800,0.1(0.68 %),5400,79920000,0,0,14800,14800,14800
2011-09-13,1.19,15400,0.6(4.05 %),26080,393400000,0,0,15000,15400,15000
2011-09-14,1.22,15700,0.3(1.95 %),10750,170115000,0,0,15800,16000,15600
2011-09-15,1.16,15000,-0.7(-4.46 %),12020,182404000,0,0,15400,15400,15000
2011-09-16,1.12,14400,-0.6(-4.00 %),7500,111100000,0,0,15000,15000,14400
2011-09-19,1.17,15100,0.7(4.86 %),9310,140461000,0,0,15000,15100,14100
2011-09-20,1.16,15000,-0.1(-0.66 %),20,294000,0,0,14400,15000,14400
2011-09-21,1.12,14400,-0.6(-4.00 %),6960,100393000,0,0,14500,14500,14400
2011-09-22,1.14,14700,0.3(2.08 %),70,1031000,0,0,14900,14900,14700
2011-09-23,1.15,14900,0.2(1.36 %),3960,58368000,0,0,14700,15000,14700
2011-09-26,1.16,15000,0.1(0.67 %),5500,80750000,0,0,14500,15000,14500
2011-09-27,1.12,14500,-0.5(-3.33 %),10,145000,0,0,14500,14500,14500
2011-09-28,1.12,14500,0(0.00 %),10500,152749000,0,0,14500,14900,14500
2011-09-29,1.12,14500,0(0.00 %),15000,218000000,0,0,14600,14600,14500
2011-09-30,1.12,14500,0(0.00 %),3300,47460000,0,0,14200,14500,14200
2011-10-03,1.12,14500,0(0.00 %),200,2900000,30000,450000000,14500,14500,14500
2011-10-04,1.12,14500,0(0.00 %),1670,23873000,0,0,14200,14500,14200
2011-10-05,1.12,14500,0(0.00 %),960,13924000,0,0,14900,14900,14500
2011-10-06,1.13,14600,0.1(0.69 %),14790,215755000,0,0,14500,14600,14500
2011-10-07,1.12,14500,-0.1(-0.68 %),8740,127374000,0,0,14600,14600,14500
2011-10-10,1.11,14300,-0.2(-1.38 %),20,286000,0,0,14300,14300,14300
2011-10-11,1.11,14300,0(0.00 %),10000,143000000,0,0,14300,14300,14300
2011-10-12,1.11,14300,0(0.00 %),57010,822372000,60000,900000000,14400,14800,14300
2011-10-13,1.12,14400,0.1(0.70 %),4000,57800000,0,0,14500,14500,14400
2011-10-14,1.12,14500,0.1(0.69 %),13000,188200000,0,0,14500,14500,14400
2011-10-17,1.12,14500,0(0.00 %),52820,765883000,20253,279491000,14500,14500,14400
2011-10-18,1.12,14500,0(0.00 %),11300,163850000,0,0,14500,14500,14500
2011-10-19,1.12,14500,0(0.00 %),0,0,0,0,14500,14500,14500
2011-10-20,1.12,14500,0(0.00 %),8480,122960000,0,0,14500,14500,14500
2011-10-21,1.12,14500,0(0.00 %),13590,197064000,0,0,14500,14600,14500
2011-10-24,1.13,14600,0.1(0.69 %),21000,306100000,0,0,14500,14600,14500
2011-10-25,1.09,14100,-0.5(-3.42 %),6630,96131000,0,0,14500,14500,14100
2011-10-26,1.04,13400,-0.7(-4.96 %),1110,15774000,0,0,14300,14300,13400
2011-10-27,1.08,14000,0.6(4.48 %),3020,42271000,0,0,13100,14000,13100
2011-10-28,1.1,14200,0.2(1.43 %),1030,14522000,0,0,13500,14500,13500
2011-10-31,1.11,14300,0.1(0.70 %),5500,78900000,0,0,14400,14400,14300
2011-11-01,1.11,14300,0(0.00 %),6000,85800000,0,0,14300,14300,14300
2011-11-02,1.11,14300,0(0.00 %),0,0,0,0,14300,14300,14300
2011-11-03,1.1,14200,-0.1(-0.70 %),6010,84742000,0,0,14100,14200,14100
2011-11-04,1.08,14000,-0.2(-1.41 %),6020,84382000,0,0,14200,14200,14000
2011-11-07,1.08,14000,0(0.00 %),1000,14000000,0,0,14000,14000,14000
2011-11-08,1.08,14000,0(0.00 %),0,0,0,0,14000,14000,14000
2011-11-09,1.08,14000,0(0.00 %),1030,14216000,0,0,13600,14000,13600
2011-11-10,1.08,13900,-0.1(-0.71 %),1160,16069000,0,0,13800,13900,13800
2011-11-11,1.08,13900,0(0.00 %),0,0,0,0,13900,13900,13900
