Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-26,10.68,46800,0(0.00 %),7200,330720000,0,0,45000,46800,45000
2006-12-27,10.5,46000,0.1(0.22 %),5000,246300000,0,0,50100,50100,46000
2006-12-28,11.07,48500,-0.8(-1.62 %),9700,471200000,0,0,48000,49200,48000
2006-12-29,11.18,49000,0.4(0.82 %),11500,552240000,0,0,50000,50000,46000
2007-01-02,10.84,47500,1.5(3.26 %),3700,172700000,0,0,46000,47500,45550
2007-01-03,10.41,45600,0.1(0.22 %),9300,0,0,0,45500,46500,45000
2007-01-04,10.27,45000,0(0.00 %),33700,1500800000,0,0,45000,45000,43000
2007-01-05,10.36,45400,0.4(0.89 %),15500,0,0,0,45000,46400,44500
2007-01-08,10.8,47300,0.8(1.72 %),10600,0,0,0,46500,48000,46200
2007-01-09,10.73,47000,-2.2(-4.47 %),8300,397750000,0,0,49200,49200,47000
2007-01-10,11.07,48500,-0.5(-1.02 %),2300,112400000,0,0,49000,49000,48500
2007-01-11,11.07,48500,0.2(0.41 %),14300,691260000,0,0,48300,49000,47500
2007-01-12,10.96,48000,-0.5(-1.03 %),19800,947350000,0,0,48500,48500,47500
2007-01-15,10.73,47000,-0.5(-1.05 %),25900,1227250000,0,0,47500,48000,46500
2007-01-16,10.73,47000,-0.1(-0.21 %),3000,139150000,0,0,47100,47100,46100
2007-01-17,10.96,48000,1(2.13 %),7800,365280000,0,0,47000,48000,46400
2007-01-18,11.2,47500,0(0.00 %),7600,363890000,0,0,47500,48000,47100
2007-01-19,11.13,47200,0.2(0.43 %),10300,490480000,0,0,47000,48800,47000
2007-01-22,10.85,46000,0(0.00 %),6100,284660000,0,0,46000,47500,46000
2007-01-23,10.85,46000,-0.2(-0.43 %),2700,124280000,0,0,46200,46200,46000
2007-01-24,10.85,46000,2(4.55 %),6500,292840000,0,0,44000,46000,44000
2007-01-25,10.89,46200,0.3(0.65 %),17000,790230000,0,0,45900,49000,45000
2007-01-26,10.97,46500,0(0.00 %),9000,420250000,0,0,46500,47500,46500
2007-01-29,10.85,46000,-0.1(-0.22 %),5800,267490000,0,0,46100,47200,45000
2007-01-30,11.96,49200,0(0.00 %),41100,2082500000,0,0,49200,49200,49200
2007-01-31,13.13,54200,0(0.00 %),15200,844480000,0,0,54200,54200,53000
2007-02-01,14.41,59600,0(0.00 %),22800,1393080000,0,0,59600,59600,59600
2007-02-02,15.85,65400,0(0.00 %),24400,1639680000,0,0,65400,65400,65400
2007-02-05,17.43,71900,0(0.00 %),58500,4323150000,0,0,71900,71900,71900
2007-02-06,17.92,76000,-5.2(-6.40 %),72000,5519920000,0,0,79100,79100,73000
2007-02-07,17.21,73000,-2(-2.67 %),19500,1428480000,0,0,75000,76000,70700
2007-02-08,15.8,67900,-4(-5.63 %),12200,852800000,0,0,71000,71000,67900
2007-02-09,15.09,64000,1(1.59 %),31300,1988500000,0,0,63000,68000,63000
2007-02-12,16.04,68000,3(4.62 %),14100,904900000,0,0,65000,68000,63000
2007-02-13,16.65,70600,0(0.00 %),9700,677370000,0,0,70600,70600,66000
2007-02-14,17.92,75500,1.4(1.88 %),31500,2372630000,0,0,74600,75500,72000
2007-02-15,18.39,78000,1(1.30 %),27500,2144150000,0,0,77000,80000,76700
2007-02-26,20.23,83500,0(0.00 %),13200,1132000000,0,0,83500,83500,83500
2007-02-27,22.24,91800,0(0.00 %),12300,1159890000,0,0,91800,91800,91800
2007-02-28,22.4,95000,0.7(0.74 %),41800,4151620000,0,0,94300,100900,93500
