Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2016-12-21,9.56,17700,2.3(14.94 %),3000,53100000,0,0,17700,17700,17700
2016-12-22,10.96,18950,2.6(14.69 %),6900,140070000,0,0,18950,18950,18950
2016-12-23,11.23,20800,0.5(2.46 %),7200,161910000,0,0,21700,21700,20600
2016-12-26,10.53,19500,-3(-13.33 %),1500,32840000,0,0,22250,22250,19500
2016-12-27,10.15,18800,-3.1(-14.16 %),500,9400000,0,0,18800,18800,18800
2016-12-28,10.15,18800,0(0.00 %),0,0,0,0,18800,18800,18800
2016-12-29,10.15,18800,0(0.00 %),0,0,0,0,18800,18800,18800
2016-12-30,8.64,17500,-2.8(-14.89 %),100,1600000,0,0,17500,17500,17500
2017-01-03,8.64,16000,0(0.00 %),0,0,0,0,16000,16000,16000
2017-01-04,8.64,16000,0(0.00 %),0,0,0,0,16000,16000,16000
2017-01-05,7.34,14900,-2.4(-15.00 %),3700,50320000,0,0,14900,14900,14900
2017-01-06,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-09,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-10,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-11,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-12,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-13,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-16,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-17,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-18,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-19,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-20,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-23,7.34,13600,0(0.00 %),0,0,0,0,13600,13600,13600
2017-01-24,6.26,12650,-2(-14.71 %),200,2320000,0,0,12650,12650,12650
2017-01-25,5.35,10800,-1.7(-14.66 %),200,1980000,0,0,10800,10800,10800
2017-02-02,5.35,9900,0(0.00 %),0,0,0,0,9900,9900,9900
2017-02-03,5.35,9900,0(0.00 %),0,0,0,0,9900,9900,9900
2017-02-06,4.59,9210,-1.4(-14.14 %),100,850000,0,0,9210,9210,9210
2017-02-07,3.94,7900,-1.2(-14.12 %),100,730000,0,0,7900,7900,7900
2017-02-08,3.4,6790,-1(-13.70 %),4800,30240000,0,0,6790,6790,6790
2017-02-09,3.4,6300,0(0.00 %),4700,29840000,0,0,6740,6740,6300
2017-02-10,3.4,6300,0(0.00 %),200,1350000,0,0,6740,6740,6300
2017-02-13,3.51,6500,-0.3(-4.41 %),2000,13000000,0,0,6500,6500,6500
2017-02-14,3.51,6500,0(0.00 %),100,650000,0,0,6500,6500,6500
2017-02-15,4.0,6960,0.9(13.85 %),2800,16940000,0,0,6040,6960,6040
2017-02-16,3.78,7000,0.9(14.75 %),600,4200000,0,0,7000,7000,7000
2017-02-17,4.32,7490,1(14.29 %),100,800000,0,0,7490,7490,7490
2017-02-20,4.97,8560,1.2(15.00 %),500,4540000,0,0,8560,8560,8560
2017-02-21,4.91,9100,0(0.00 %),3400,30920000,0,0,9100,9100,9000
2017-02-22,4.91,9100,0(0.00 %),0,0,0,0,9100,9100,9100
2017-02-23,4.21,8460,-1.3(-14.29 %),300,2340000,0,0,8460,8460,8460
2017-02-24,3.62,7250,-1.1(-14.10 %),3000,20100000,0,0,7250,7250,7250
2017-02-27,4.16,7170,1(14.93 %),500,3850000,0,0,7170,7170,7170
2017-02-28,4.75,8240,1.1(14.29 %),200,1760000,0,0,8240,8240,8240
2017-03-01,4.75,8800,0(0.00 %),0,0,0,0,8800,8800,8800
2017-03-02,4.59,8500,-0.3(-3.41 %),6200,53110000,0,0,8700,8700,8500
2017-03-03,4.64,8600,0(0.00 %),0,0,0,0,8600,8600,8600
2017-03-06,4.0,8000,-1.2(-13.95 %),3000,22900000,0,0,8000,8000,8000
2017-03-07,4.64,7920,1(13.16 %),200,1720000,0,0,7920,7920,7920
2017-03-08,4.64,8600,0(0.00 %),0,0,0,0,8600,8600,8600
2017-03-09,4.05,8000,-1.1(-12.79 %),100,750000,0,0,8000,8000,8000
2017-03-10,4.59,8030,1(13.33 %),100,850000,0,0,8030,8030,8030
2017-03-13,4.59,8500,0(0.00 %),0,0,0,0,8500,8500,8500
2017-03-14,4.91,9100,0.6(7.06 %),100,910000,0,0,9100,9100,9100
2017-03-15,4.91,9100,0(0.00 %),0,0,0,0,9100,9100,9100
2017-03-16,4.91,9100,0(0.00 %),0,0,0,0,9100,9100,9100
2017-03-17,4.91,9100,0(0.00 %),0,0,0,0,9100,9100,9100
2017-03-20,4.91,9100,0(0.00 %),0,0,0,0,9100,9100,9100
2017-03-21,4.91,9100,0(0.00 %),0,0,0,0,9100,9100,9100
2017-03-22,4.86,9000,-0.1(-1.10 %),2000,16440000,0,0,8460,9000,8460
2017-03-23,4.43,8370,0(0.00 %),0,0,0,0,8370,8370,8370
2017-03-24,4.27,7900,-0.3(-3.66 %),800,6040000,0,0,7630,7900,7630
2017-03-27,4.21,7800,0.2(2.63 %),1300,9380000,0,0,7350,7900,7350
2017-03-28,4.43,8200,1(13.89 %),300,2460000,0,0,8200,8200,8200
2017-03-29,4.54,8400,0.2(2.44 %),200,1740000,0,0,8770,8770,8400
2017-03-30,4.81,8900,0.2(2.30 %),140,1210000,0,0,8900,8900,8900
2017-03-31,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-03,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-04,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-05,4.81,8900,0(0.00 %),40,408000,0,0,8900,8900,8900
2017-04-07,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-10,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-11,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-12,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-13,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-14,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-17,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-18,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-19,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-20,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-21,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-24,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-25,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-26,4.81,8900,0(0.00 %),0,0,0,0,8900,8900,8900
2017-04-27,4.1,8280,-1.3(-14.61 %),1300,10470000,0,0,8280,8900,8280
2017-04-28,3.73,7070,-1.2(-14.81 %),5700,42020000,0,0,8130,8130,7070
2017-05-03,4.0,7380,0(0.00 %),0,0,0,0,7380,7380,7380
2017-05-04,3.78,7000,-0.4(-5.41 %),500,3500000,0,0,7000,7000,7000
2017-05-05,3.78,7000,0(0.00 %),0,0,0,0,7000,7000,7000
2017-05-08,4.27,7490,0.9(12.86 %),500,3950000,0,0,7490,7490,7490
2017-05-09,3.67,7350,-1.1(-13.92 %),8300,56440000,0,0,7350,7350,7350
2017-05-10,4.16,7280,0.9(13.24 %),500,3850000,0,0,7280,7280,7280
2017-05-11,4.16,7700,0(0.00 %),0,0,0,0,7700,7700,7700
2017-05-12,4.16,7700,0(0.00 %),0,0,0,0,7700,7700,7700
2017-05-15,4.16,7700,0(0.00 %),0,0,0,0,7700,7700,7700
2017-05-16,3.78,7160,-0.7(-9.09 %),500,3500000,0,0,7160,7160,7160
2017-05-17,3.24,6510,-1(-14.29 %),300,2180000,0,0,7490,7490,6510
