Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-08-10,26.97,43300,-2.2(-4.84 %),134610,5851374000,380850,17138250000,43500,45500,43300
2010-08-11,26.1,41900,-1.4(-3.23 %),369860,15451287000,0,0,41200,43200,41200
2010-08-12,24.85,39900,-2(-4.77 %),87280,3496168000,200000,7980000000,42500,42500,39900
2010-08-13,24.91,40000,0.1(0.25 %),731660,28990880000,200000,7980000000,38700,40300,38600
2010-08-16,25.91,41600,1.6(4.00 %),583730,24196437000,0,0,41400,41800,40100
2010-08-17,25.35,40700,-0.9(-2.16 %),291860,11806049000,800000,32000000000,41600,41600,40100
2010-08-18,24.1,38700,-2(-4.91 %),712220,27969088000,500000,19500000000,40000,40300,38700
2010-08-19,24.1,38700,0(0.00 %),429820,16693972000,20000,736000000,39100,39300,38500
2010-08-20,23.48,37700,-1(-2.58 %),574310,21684817000,1000000,40000000000,38700,38700,37300
2010-08-23,22.42,36000,-1.7(-4.51 %),224980,8164246000,0,0,37300,37300,36000
2010-08-24,21.37,33500,-1.2(-4.71 %),599070,14645159000,2300000,55890000000,33500,33500,33500
2010-08-25,21.46,24400,0.1(0.41 %),224490,5446021000,0,0,23400,25000,23400
2010-08-26,22.51,25600,1.2(4.92 %),242060,6136971000,0,0,25500,25600,25000
2010-08-27,23.57,26800,1.2(4.69 %),355310,9359711000,60000,1608000000,26000,26800,25800
2010-08-30,24.71,28100,1.3(4.85 %),1066050,29955905000,0,0,28100,28100,28000
2010-08-31,25.5,29000,0.9(3.20 %),941330,26916695000,30000,858000000,28600,29000,27900
2010-09-01,25.33,28800,-0.2(-0.69 %),463320,13259161000,20950,578220000,29000,29000,27700
2010-09-06,25.41,28900,0.1(0.35 %),1102110,31975801000,0,0,29500,29600,28100
2010-09-07,24.27,27600,-1.3(-4.50 %),672000,18731833000,0,0,28000,28200,27600
2010-09-08,23.74,27000,-0.6(-2.17 %),346870,9276257000,0,0,26500,27100,26400
2010-09-09,24.1,27400,0.4(1.48 %),452530,12406092000,0,0,27500,27900,26900
2010-09-10,23.48,26700,-0.7(-2.55 %),530950,14348836000,0,0,27000,27400,26700
2010-09-13,22.69,25800,-0.9(-3.37 %),327220,8498857000,0,0,26500,26700,25500
2010-09-14,22.95,26100,0.3(1.16 %),259960,6751102000,0,0,26000,26300,25500
2010-09-15,23.04,26200,0.1(0.38 %),263990,6896034000,0,0,26100,26500,25800
2010-09-16,24.18,27500,1.3(4.96 %),619470,16594256000,0,0,26200,27500,26200
2010-09-17,24.97,28400,0.9(3.27 %),541740,15351686000,0,0,27500,28600,27500
2010-09-20,25.06,28500,0.1(0.35 %),824820,23473699000,0,0,28500,28900,28000
2010-09-21,26.29,29900,1.4(4.91 %),1339530,39699016000,0,0,28500,29900,28500
2010-09-22,27.52,31300,1.4(4.68 %),1094400,34127969000,0,0,30500,31300,30400
2010-09-23,27.88,31700,0.4(1.28 %),1441100,46916527000,20000,656000000,32300,32800,30000
2010-09-24,28.23,32100,0.4(1.26 %),656650,20892575000,20000,640000000,32300,32300,31300
2010-09-27,28.32,32200,0.1(0.31 %),955910,30820591000,0,0,32400,32600,32000
2010-09-28,28.58,32500,0.3(0.93 %),845350,27144431000,200000,6400000000,32600,32600,31700
2010-09-29,27.17,30900,-1.6(-4.92 %),453850,14412694000,0,0,32500,32700,30900
2010-09-30,27.26,31000,0.1(0.32 %),539370,16719993000,0,0,30900,32000,30500
2010-10-01,27.26,31000,0(0.00 %),456240,14127475000,20000,590000000,31000,32000,30700
2010-10-04,26.38,30000,-1(-3.23 %),486210,14516332000,0,0,31500,31500,29500
2010-10-05,26.38,30000,0(0.00 %),296340,8695722000,0,0,28500,30000,28500
2010-10-06,27.17,30900,0.9(3.00 %),326560,9909039000,320000,9805000000,30400,31000,29500
2010-10-07,27.52,31300,0.4(1.29 %),265940,8271672000,0,0,30900,31400,30800
2010-10-08,27.08,30800,-0.5(-1.60 %),162050,5001331000,190000,6027000000,30500,31400,30500
2010-10-11,26.91,30600,-0.2(-0.65 %),366710,11125121000,125000,3842500000,31500,31500,29800
2010-10-12,26.29,29900,-0.7(-2.29 %),277780,8298058000,579000,17903000000,30600,30600,29500
2010-10-13,26.38,30000,0.1(0.33 %),157340,4697316000,309420,9410168000,29900,30400,29600
2010-10-14,26.65,30300,0.3(1.00 %),173720,5224651000,655000,19979000000,31000,31000,29900
2010-10-15,26.38,30000,-0.3(-0.99 %),79500,2385079000,0,0,30000,30200,29700
2010-10-18,26.29,29900,-0.1(-0.33 %),157790,4720901000,200000,6014500000,30500,30500,29700
2010-10-19,25.5,29000,-0.9(-3.01 %),115870,3402301000,0,0,30000,30000,29000
2010-10-20,24.27,27600,-1.4(-4.83 %),116870,3232962000,429990,11879760000,28000,28500,27600
2010-10-21,24.36,27700,0.1(0.36 %),73240,2006979000,0,0,27000,27800,27000
2010-10-22,24.36,27700,0(0.00 %),54550,1509945000,60000,1662000000,27700,27800,27300
2010-10-25,24.53,27900,0.2(0.72 %),65260,1776687000,0,0,27000,27900,26500
2010-10-26,25.06,28500,0.6(2.15 %),204430,5855945000,0,0,28600,29200,27100
2010-10-27,24.36,27700,-0.8(-2.81 %),65700,1832975000,0,0,28500,28500,27700
2010-10-28,24.27,27600,-0.1(-0.36 %),118390,3205233000,0,0,27800,27800,26700
2010-10-29,24.36,27700,0.1(0.36 %),419430,11743917000,670000,18643000000,26700,28600,26700
2010-11-01,23.74,27000,-0.7(-2.53 %),71160,1939948000,140000,4022000000,27500,27600,27000
2010-11-02,23.22,26400,-0.6(-2.22 %),238750,6363714000,140000,4022000000,26600,27000,26400
2010-11-03,23.22,26400,0(0.00 %),45250,1196970000,58240,1537536000,26200,26900,26200
2010-11-04,23.66,26900,0.5(1.89 %),281460,7418339000,0,0,26400,26900,26000
2010-11-05,23.83,27100,0.2(0.74 %),306370,8234550000,0,0,26500,27100,26000
2010-11-08,23.66,26900,-0.2(-0.74 %),117600,3157585000,0,0,26800,27100,26300
2010-11-09,22.69,25800,-1.1(-4.09 %),99580,2589846000,0,0,26000,26500,25800
2010-11-10,22.42,25500,-0.3(-1.16 %),162990,4149628000,0,0,25500,25700,25200
