Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2024-01-19,22.69,24500,1.6(6.99 %),100,2000000,0,0,24500,24500,24500
2024-01-22,24.27,26200,1.7(6.94 %),100,2000000,0,0,26200,26200,26200
2024-01-23,25.93,28000,1.8(6.87 %),100200,2805000000,0,0,28000,28000,28000
2024-01-24,27.74,29950,1.95(6.96 %),1200,35000000,0,0,29950,29950,29950
2024-01-25,29.64,32000,2.05(6.84 %),10000,320000000,0,0,32000,32000,32000
2024-01-26,31.68,34200,2.2(6.88 %),7900,270000000,0,0,34200,34200,34200
2024-01-29,33.85,36550,2.35(6.87 %),22400,818000000,0,0,36550,36550,36550
2024-01-30,36.21,39100,2.55(6.98 %),24800,969000000,0,0,39100,39100,39100
2024-01-31,38.71,41800,2.7(6.91 %),14300,597000000,0,0,41800,41800,41800
2024-02-01,41.4,44700,2.9(6.94 %),21900,978000000,0,0,44700,44700,44700
2024-02-02,38.76,41850,-2.85(-6.38 %),75100,3353000000,0,0,47800,47800,41600
2024-02-05,36.08,38950,-2.9(-6.93 %),27200,1059000000,0,0,38950,40000,38950
2024-02-06,33.57,36250,-2.7(-6.93 %),44200,1606000000,0,0,36500,36600,36250
2024-02-07,35.15,37950,1.7(4.69 %),48700,1739000000,0,0,35000,38750,33750
2024-02-15,34.73,37500,-0.45(-1.19 %),26900,1032000000,0,0,39900,40000,37200
2024-02-16,35.1,37900,0.4(1.07 %),20300,755000000,0,0,37500,37900,36750
2024-02-19,33.62,36300,-1.6(-4.22 %),19100,696000000,0,0,37000,37300,36000
2024-02-20,33.25,35900,-0.4(-1.10 %),24100,867000000,0,0,37500,37500,35400
2024-02-21,32.09,34650,-1.25(-3.48 %),13800,479000000,0,0,34600,35900,34600
2024-02-22,32.32,34900,0.25(0.72 %),6300,220000000,0,0,34600,35400,34600
2024-02-23,31.49,34000,-0.9(-2.58 %),27100,926000000,0,0,34900,34900,34000
2024-02-26,31.95,34500,0.5(1.47 %),20700,704000000,0,0,34000,34950,34000
2024-02-27,32.23,34800,0.3(0.87 %),6200,216000000,0,0,35500,35500,34500
2024-02-28,32.42,35000,0.2(0.57 %),22400,786000000,0,0,34700,35500,34700
2024-02-29,32.14,34700,-0.3(-0.86 %),1900,66000000,0,0,35000,35000,34700
2024-03-01,32.88,35500,0.8(2.31 %),16400,560000000,0,0,34700,35500,34000
2024-03-04,32.14,34700,-0.8(-2.25 %),26600,908000000,0,0,35000,35000,34000
2024-03-05,32.23,34800,0.1(0.29 %),10600,361000000,0,0,35000,35000,34050
2024-03-06,31.49,34000,-0.8(-2.30 %),15900,541000000,0,0,34050,34800,34000
2024-03-07,31.21,33700,-0.3(-0.88 %),8500,288000000,0,0,34000,34500,33600
2024-03-08,31.21,33700,0(0.00 %),1800,61000000,0,0,34400,34400,33700
2024-03-11,32.09,34650,0.95(2.82 %),7400,253000000,0,0,33700,34700,33700
2024-03-12,31.21,33700,-0.95(-2.74 %),4200,141000000,0,0,33800,33800,33700
2024-03-13,29.64,32000,-1.7(-5.04 %),30700,1002000000,0,0,34000,34000,32000
2024-03-14,30.56,33000,1(3.12 %),6200,205000000,0,0,34100,34100,32600
2024-03-15,30.84,33300,0.3(0.91 %),6100,201000000,0,0,32000,33300,32000
2024-03-18,31.12,33600,0.3(0.90 %),3800,125000000,0,0,33200,33600,32500
2024-03-19,30.66,33100,-0.5(-1.49 %),3300,109000000,0,0,32150,33700,32150
2024-03-20,30.38,32800,-0.3(-0.91 %),4900,160000000,0,0,32650,33000,32650
2024-03-21,30.19,32600,-0.2(-0.61 %),4800,156000000,0,0,32600,32800,32100
2024-03-22,30.29,32700,0.1(0.31 %),6600,216000000,0,0,32950,33100,32700
2024-03-25,30.47,32900,0.2(0.61 %),2400,79000000,0,0,33000,33000,32900
2024-03-26,31.58,34100,1.2(3.65 %),19500,663000000,0,0,33600,34500,33000
2024-03-27,31.49,34000,-0.1(-0.29 %),13200,442000000,0,0,34700,34700,33000
2024-03-28,30.66,33100,-0.9(-2.65 %),2500,83000000,0,0,34000,34000,33100
2024-03-29,30.66,33100,0(0.00 %),100,3000000,0,0,33100,33100,33100
2024-04-01,30.56,33000,-0.1(-0.30 %),6400,212000000,0,0,33150,33500,33000
2024-04-02,30.75,33200,0.2(0.61 %),4500,148000000,0,0,33000,33200,32700
2024-04-03,31.03,33500,0.3(0.90 %),500,16000000,0,0,33500,33500,33500
2024-04-04,30.19,32600,-0.9(-2.69 %),1800,58000000,0,0,32600,32600,32600
2024-04-05,30.56,33000,0.4(1.23 %),1600,52000000,0,0,32600,33000,32600
2024-04-08,30.56,33000,0(0.00 %),4700,157000000,0,0,33500,33500,33000
2024-04-09,30.56,33000,0(0.00 %),300,9000000,0,0,32200,33000,32200
