Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2006-12-07,12.81,90000,4(4.65 %),88780,7897040,0,0,86000,90000,86000
2006-12-08,13.38,94000,4(4.44 %),8380,787720,0,0,94000,94000,94000
2006-12-11,14.02,98500,4.5(4.79 %),20000,1970000,0,0,98500,98500,98500
2006-12-12,14.66,103000,4.5(4.57 %),91280,9401840,0,0,103000,103000,103000
2006-12-13,15.37,108000,5(4.85 %),60760,6562080,0,0,108000,108000,108000
2006-12-14,16.09,113000,5(4.63 %),50070,5657910,0,0,113000,113000,113000
2006-12-15,16.37,115000,2(1.77 %),100550,11358530,0,0,113000,115000,113000
2006-12-18,15.66,110000,-5(-4.35 %),90730,10072050,0,0,112000,112000,110000
2006-12-19,15.09,106000,-4(-3.64 %),64260,6831430,0,0,105000,106000,105000
2006-12-20,14.52,102000,-4(-3.77 %),53730,5449350,0,0,101000,102000,101000
2006-12-21,15.23,107000,5(4.90 %),164920,17646440,0,0,107000,107000,107000
2006-12-22,14.52,102000,-5(-4.67 %),18510,1888020,70000,7140000,102000,102000,102000
2006-12-25,15.23,107000,5(4.90 %),61300,6195800,0,0,97000,107000,97000
2006-12-26,15.23,107000,0(0.00 %),66970,7165790,0,0,107000,107000,107000
2006-12-27,15.66,110000,3(2.80 %),63690,6914580,0,0,107000,110000,107000
2006-12-28,15.66,110000,0(0.00 %),67330,7389840,0,0,108000,110000,108000
2006-12-29,15.8,111000,1(0.91 %),36160,3989230,0,0,110000,111000,110000
2007-01-02,15.8,111000,5(4.72 %),36510,4022000000,0,0,111000,111000,106000
2007-01-03,15.66,110000,-1(-0.90 %),10330,0,0,0,111000,111000,110000
2007-01-04,15.94,112000,2(1.82 %),55890,6237000000,0,0,112000,112000,110000
2007-01-05,16.09,113000,1(0.89 %),34340,0,0,0,113000,113000,112000
2007-01-08,15.66,110000,-3(-2.65 %),23430,146000000,0,0,110000,110000,108000
2007-01-09,15.66,110000,0(0.00 %),69340,7614000000,0,0,109000,110000,109000
2007-01-10,15.8,111000,1(0.91 %),75760,8360000000,0,0,110000,111000,110000
2007-01-11,15.8,111000,0(0.00 %),101890,11310000000,0,0,111000,111000,111000
2007-01-12,15.66,110000,-1(-0.90 %),66280,7284000000,0,0,111000,111000,109000
2007-01-15,15.8,111000,1(0.91 %),97810,10809000000,0,0,109000,111000,109000
2007-01-16,16.51,116000,5(4.50 %),67760,7716000000,0,0,111000,116000,111000
2007-01-17,15.8,111000,-5(-4.31 %),69570,7967000000,0,0,117000,117000,111000
2007-01-18,15.8,111000,0(0.00 %),33440,3705000000,0,0,110000,111000,110000
2007-01-19,16.09,113000,2(1.80 %),65420,7407000000,0,0,114000,114000,113000
2007-01-22,15.37,108000,-5(-4.42 %),48390,5343000000,0,0,113000,113000,108000
2007-01-23,15.66,110000,2(1.85 %),11700,1276000000,0,0,108000,110000,108000
2007-01-24,15.94,112000,2(1.82 %),45110,5031000000,0,0,111000,112000,111000
2007-01-25,15.37,108000,-4(-3.57 %),43250,4766000000,0,0,111000,111000,108000
2007-01-26,15.23,107000,-1(-0.93 %),40930,4405000000,0,0,115600,115600,107000
