Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2024-12-16,16.0,16000,-1(-5.88 %),90500,1463000000,0,0,17100,17100,15850
2024-12-17,15.45,15450,-0.55(-3.44 %),91600,1400000000,0,0,16100,16100,14900
2024-12-18,15.55,15550,0.1(0.65 %),24700,374000000,20000,300000000,14700,15600,14700
2024-12-19,15.4,15400,-0.15(-0.96 %),15400,234000000,134000,1943000000,15500,15500,15050
2024-12-20,14.7,14700,-0.7(-4.55 %),28800,430000000,0,0,15300,15300,14700
2024-12-23,15.2,15200,0.5(3.40 %),53900,810000000,315000,4567500000,14900,15200,14700
2024-12-24,15.0,15000,-0.2(-1.32 %),19000,283000000,0,0,14200,15200,14200
2024-12-25,15.0,15000,0(0.00 %),19700,294000000,0,0,15000,15000,14700
2024-12-26,14.85,14850,-0.15(-1.00 %),18800,279000000,0,0,15000,15000,14700
2024-12-27,14.7,14700,-0.15(-1.01 %),7300,108000000,0,0,14850,14900,14700
2024-12-30,14.75,14750,0.05(0.34 %),204600,3012000000,1939070,30343426000,14700,14900,14500
2024-12-31,14.85,14850,0.1(0.68 %),16500,244000000,0,0,14800,14850,14750
2025-01-02,14.2,14200,-0.65(-4.38 %),69700,996000000,0,0,14850,14850,14150
2025-01-03,14.0,14000,-0.2(-1.41 %),13600,190000000,0,0,14200,14200,13950
2025-01-06,14.35,14350,0.35(2.50 %),41600,596000000,533334,6960008700,14500,14600,13050
2025-01-07,14.5,14500,0.15(1.05 %),78600,1109000000,0,0,14350,14600,13350
2025-01-08,14.0,14000,-0.5(-3.45 %),21500,304000000,0,0,14500,14500,14000
2025-01-09,14.0,14000,0(0.00 %),3900,54000000,0,0,14000,14400,13800
2025-01-10,13.9,13900,-0.1(-0.71 %),9900,137000000,0,0,14200,14200,13800
2025-01-13,13.9,13900,0(0.00 %),9200,127000000,0,0,13900,14000,13800
2025-01-14,13.8,13800,-0.1(-0.72 %),21800,300000000,0,0,13900,13900,13700
2025-01-15,13.8,13800,0(0.00 %),10100,138000000,0,0,13900,14000,13500
