Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2010-06-02,3.9,12400,-0.6(-4.62 %),142430,1773385000,0,0,12600,12700,12400
2010-06-03,4.06,12900,0.5(4.03 %),116180,1477039000,0,0,12800,12900,12400
2010-06-04,4.0,12700,-0.2(-1.55 %),40720,509515000,0,0,13000,13000,12400
2010-06-07,3.81,12100,-0.6(-4.72 %),55290,669020000,0,0,12100,12200,12100
2010-06-08,3.62,11500,-0.6(-4.96 %),47150,542677000,0,0,11500,11800,11500
2010-06-09,3.53,11200,-0.3(-2.61 %),42070,478508000,0,0,11800,11800,11200
2010-06-10,3.46,11000,-0.2(-1.79 %),36760,402111000,0,0,11500,11500,10700
2010-06-11,3.43,10900,-0.1(-0.91 %),129120,1394306000,0,0,11000,11200,10500
2010-06-14,3.59,11400,0.5(4.59 %),27020,308028000,0,0,11400,11400,11400
2010-06-15,3.75,11900,0.5(4.39 %),47080,560252000,0,0,11900,11900,11900
2010-06-16,3.9,12400,0.5(4.20 %),351090,4349918000,0,0,12400,12400,12200
2010-06-17,3.84,12200,-0.2(-1.61 %),155310,1889919000,0,0,12500,12500,11900
2010-06-18,3.75,11900,-0.3(-2.46 %),61890,742048000,0,0,12000,12200,11900
2010-06-21,3.87,12300,0.4(3.36 %),90460,1105935000,0,0,11800,12400,11800
2010-06-22,3.78,12000,-0.3(-2.44 %),120680,1462677000,0,0,12300,12300,12000
2010-06-23,3.97,12600,0.6(5.00 %),282620,3524591000,0,0,12000,12600,12000
2010-06-24,3.97,12600,0(0.00 %),146500,1870949000,0,0,12900,12900,12600
2010-06-25,3.84,12200,-0.4(-3.17 %),62320,770425000,0,0,12500,12500,12200
2010-06-28,3.78,12000,-0.2(-1.64 %),87020,1049040000,0,0,12000,12200,12000
2010-06-29,3.71,11800,-0.2(-1.67 %),56970,681216000,0,0,12000,12200,11800
2010-06-30,3.62,11500,-0.3(-2.54 %),76050,875615000,0,0,11300,11800,11300
2010-07-01,3.65,11600,0.1(0.87 %),58800,679010000,0,0,11500,11600,11500
2010-07-02,3.62,11500,-0.1(-0.86 %),27780,320942000,0,0,11600,12000,11500
2010-07-05,3.62,11500,0(0.00 %),56550,642236000,0,0,11300,11500,11300
2010-07-06,3.56,11300,-0.2(-1.74 %),34010,383192000,0,0,11500,11500,11100
2010-07-07,3.49,11100,-0.2(-1.77 %),64990,727887000,0,0,11300,11300,11100
2010-07-08,3.53,11200,0.1(0.90 %),66780,744985000,0,0,11500,11500,11100
2010-07-09,3.46,11000,-0.2(-1.79 %),53470,591557000,0,0,11300,11300,11000
2010-07-12,3.46,11000,0(0.00 %),78400,859003000,0,0,11000,11000,10900
2010-07-13,3.56,11300,0.3(2.73 %),73120,817960000,0,0,11000,11300,11000
2010-07-14,3.49,11100,-0.2(-1.77 %),54700,610398000,0,0,11300,11300,11000
2010-07-15,3.46,11000,-0.1(-0.90 %),43480,479193000,0,0,11000,11200,10900
2010-07-16,3.46,11000,0(0.00 %),96050,1059787000,0,0,11000,11200,10900
2010-07-19,3.49,11100,0.1(0.91 %),116590,1280418000,0,0,11000,11100,10900
2010-07-20,3.53,11200,0.1(0.90 %),140970,1576179000,0,0,11300,11300,11000
2010-07-21,3.46,11000,-0.2(-1.79 %),90410,1004490000,0,0,11100,11200,11000
2010-07-22,3.46,11000,0(0.00 %),79240,870337000,0,0,11100,11100,10900
2010-07-23,3.4,10800,-0.2(-1.82 %),159920,1745751000,0,0,11000,11000,10800
2010-07-26,3.4,10800,0(0.00 %),135250,1472657000,0,0,10800,11000,10800
2010-07-27,3.4,10800,0(0.00 %),90490,976328000,0,0,10800,10900,10700
2010-07-28,3.27,10400,-0.4(-3.70 %),74640,788565000,0,0,10700,10900,10400
2010-07-29,3.27,10400,0(0.00 %),49340,512826000,0,0,10400,10400,10300
2010-07-30,3.3,10500,0.1(0.96 %),58650,609531000,0,0,10300,10600,10300
2010-08-02,3.21,10200,-0.3(-2.86 %),28960,296321000,0,0,10300,10300,10200
2010-08-03,3.18,10100,-0.1(-0.98 %),35820,363215000,0,0,10200,10300,10000
2010-08-04,3.12,9900,-0.2(-1.98 %),46140,456940000,0,0,10000,10000,9800
2010-08-05,3.08,9800,-0.1(-1.01 %),44180,437072000,0,0,9900,10100,9800
2010-08-06,3.05,9700,-0.1(-1.02 %),44270,432329000,0,0,9700,9900,9700
2010-08-09,2.93,9300,-0.4(-4.12 %),81160,762935000,0,0,9800,9800,9300
2010-08-10,2.9,9200,-0.1(-1.08 %),67650,608402000,0,0,9100,9300,8900
2010-08-11,2.86,9100,-0.1(-1.09 %),47570,434568000,0,0,9100,9500,9000
2010-08-12,2.77,8800,-0.3(-3.30 %),101150,906759000,0,0,9000,9200,8800
2010-08-13,2.8,8900,0.1(1.14 %),48880,433272000,0,0,9000,9000,8800
2010-08-16,2.93,9300,0.4(4.49 %),71990,661812000,0,0,8900,9300,8900
2010-08-17,2.9,9200,-0.1(-1.08 %),29450,268482000,0,0,9200,9200,9000
2010-08-18,2.83,9000,-0.2(-2.17 %),37290,336425000,0,0,9300,9300,8900
2010-08-19,2.8,8900,-0.1(-1.11 %),7260,65048000,0,0,8900,9000,8900
2010-08-20,2.77,8800,-0.1(-1.12 %),51660,453622000,0,0,8800,8900,8600
2010-08-23,2.74,8700,-0.1(-1.14 %),8700,76800000,0,0,8900,9000,8700
2010-08-24,2.64,8400,-0.3(-3.45 %),59820,508595000,0,0,8700,8700,8400
2010-08-25,2.52,8000,-0.4(-4.76 %),50920,413523000,0,0,8400,8600,8000
2010-08-26,2.55,8100,0.1(1.25 %),24560,198516000,0,0,8000,8300,8000
2010-08-27,2.49,7900,-0.2(-2.47 %),23420,186858000,0,0,8100,8100,7900
2010-08-30,2.58,8200,0.3(3.80 %),60070,492424000,0,0,7900,8200,7900
2010-08-31,2.71,8600,0.4(4.88 %),86680,743198000,0,0,8600,8600,8500
2010-09-01,2.83,9000,0.4(4.65 %),38710,346248000,0,0,9000,9000,8800
2010-09-06,2.96,9400,0.4(4.44 %),71040,665200000,0,0,9300,9400,9200
2010-09-07,2.99,9500,0.1(1.06 %),92210,873325000,0,0,9400,9800,9200
2010-09-08,2.93,9300,-0.2(-2.11 %),74740,692105000,0,0,9300,9500,9100
2010-09-09,2.93,9300,0(0.00 %),29100,271151000,0,0,9500,9500,9200
2010-09-10,2.8,8900,-0.4(-4.30 %),98810,891575000,0,0,9400,9400,8900
2010-09-13,2.8,8900,0(0.00 %),17370,154363000,0,0,8900,8900,8700
2010-09-14,2.86,9100,0.2(2.25 %),16030,144150000,0,0,9200,9200,8900
2010-09-15,2.83,9000,-0.1(-1.10 %),32830,295530000,0,0,9000,9100,9000
2010-09-16,2.86,9100,0.1(1.11 %),17660,159091000,0,0,9100,9100,8900
2010-09-17,2.86,9100,0(0.00 %),53890,487790000,0,0,9100,9200,8900
2010-09-20,2.83,9000,-0.1(-1.10 %),62050,557185000,0,0,9000,9100,8900
2010-09-21,2.8,8900,-0.1(-1.11 %),52320,464746000,0,0,9000,9000,8700
2010-09-22,2.83,9000,0.1(1.12 %),8030,71468000,0,0,8900,9000,8900
2010-09-23,2.74,8700,-0.3(-3.33 %),21920,192609000,0,0,8900,9000,8700
2010-09-24,2.77,8800,0.1(1.15 %),13980,122093000,0,0,9000,9000,8700
2010-09-27,2.8,8900,0.1(1.14 %),32460,285482000,0,0,8600,8900,8600
2010-09-28,2.8,8900,0(0.00 %),21380,188473000,0,0,8900,9000,8800
2010-09-29,2.74,8700,-0.2(-2.25 %),6610,57925000,0,0,8900,8900,8700
2010-09-30,2.74,8700,0(0.00 %),23660,203652000,0,0,8700,8800,8400
2010-10-01,2.64,8400,-0.3(-3.45 %),19420,165363000,0,0,8700,8700,8400
2010-10-04,2.58,8200,-0.2(-2.38 %),45410,375272000,0,0,8800,8800,8200
2010-10-05,2.61,8300,0.1(1.22 %),17110,141866000,0,0,8500,8500,8200
2010-10-06,2.68,8500,0.2(2.41 %),16060,134750000,0,0,8300,8500,8300
2010-10-07,2.64,8400,-0.1(-1.18 %),18250,154499000,0,0,8500,8600,8400
2010-10-08,2.61,8300,-0.1(-1.19 %),11040,92206000,0,0,8400,8400,8300
2010-10-11,2.58,8200,-0.1(-1.20 %),22230,184159000,0,0,8300,8300,8200
2010-10-12,2.55,8100,-0.1(-1.22 %),14550,119130000,0,0,8400,8400,8100
2010-10-13,2.64,8400,0.3(3.70 %),30650,252599000,0,0,8200,8400,8200
2010-10-14,2.64,8400,0(0.00 %),10120,85410000,0,0,8500,8500,8400
2010-10-15,2.61,8300,-0.1(-1.19 %),6460,52918000,0,0,8200,8500,8100
2010-10-18,2.58,8200,-0.1(-1.20 %),9460,77913000,0,0,8300,8300,8000
2010-10-19,2.61,8300,0.1(1.22 %),8470,68887000,0,0,8200,8300,8100
2010-10-20,2.49,7900,-0.4(-4.82 %),39220,312491000,0,0,8000,8000,7900
2010-10-21,2.39,7600,-0.3(-3.80 %),33980,259089000,0,0,7900,8000,7600
2010-10-22,2.42,7700,0.1(1.32 %),78560,593479000,0,0,7700,7900,7300
2010-10-25,2.52,8000,0.3(3.90 %),45270,360574000,0,0,8000,8000,7500
2010-10-26,2.55,8100,0.1(1.25 %),44320,361771000,0,0,8000,8400,8000
2010-10-27,2.55,8100,0(0.00 %),7980,63245000,0,0,8400,8400,7800
2010-10-28,2.55,8100,0(0.00 %),7060,56483000,0,0,8300,8300,7800
2010-10-29,2.55,8100,0(0.00 %),13210,106945000,0,0,8200,8200,8000
2010-11-01,2.52,8000,-0.1(-1.23 %),14500,115623000,0,0,8100,8100,7900
2010-11-02,2.55,8100,0.1(1.25 %),17070,136125000,0,0,7900,8100,7900
2010-11-03,2.46,7800,-0.3(-3.70 %),32030,253311000,0,0,8000,8100,7800
2010-11-04,2.52,8000,0.2(2.56 %),22790,180608000,0,0,8000,8000,7800
2010-11-05,2.55,8100,0.1(1.25 %),54210,437806000,0,0,7900,8100,7900
2010-11-08,2.49,7900,-0.2(-2.47 %),27570,218559000,0,0,8200,8200,7900
2010-11-09,2.49,7900,0(0.00 %),94840,724479000,0,0,7700,8000,7600
2010-11-10,2.49,7900,0(0.00 %),15130,119229000,0,0,8000,8000,7800
2010-11-11,2.46,7800,-0.1(-1.27 %),39950,315504000,0,0,8000,8000,7800
2010-11-12,2.42,7700,-0.1(-1.28 %),23500,176874000,0,0,7600,7800,7500
2010-11-15,2.33,7400,-0.3(-3.90 %),76720,572177000,0,0,7600,7700,7400
2010-11-16,2.27,7200,-0.2(-2.70 %),57350,413814000,0,0,7400,7400,7100
2010-11-17,2.33,7400,0.2(2.78 %),25910,190562000,0,0,7400,7500,7300
