Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2023-12-04,12.5,19250,1.25(6.94 %),1597400,30749000000,0,0,19250,19250,19250
2023-12-05,12.21,18800,-0.45(-2.34 %),359400,6849000000,0,0,19200,19250,18800
2023-12-06,11.92,18350,-0.45(-2.39 %),371400,6768000000,0,0,18550,19500,18000
2023-12-07,11.2,17250,-1.1(-5.99 %),410100,7121000000,0,0,18400,18400,17150
2023-12-08,11.2,17250,0(0.00 %),307300,5110000000,0,0,17100,17250,16050
2023-12-11,11.04,17000,-0.25(-1.45 %),207800,3483000000,0,0,17500,17500,16500
2023-12-12,10.72,16500,-0.5(-2.94 %),66700,1105000000,0,0,16500,17000,16500
2023-12-13,10.72,16500,0(0.00 %),44400,726000000,0,0,16500,16800,16200
2023-12-14,10.97,16900,0.4(2.42 %),398200,6578000000,0,0,16500,16900,16300
2023-12-15,10.91,16800,-0.1(-0.59 %),160800,2668000000,0,0,16800,16800,16400
2023-12-18,10.72,16500,-0.3(-1.79 %),97800,1597000000,0,0,16250,16500,16250
2023-12-19,10.65,16400,-0.1(-0.61 %),482500,7788000000,0,0,16400,16600,15900
2023-12-20,10.52,16200,-0.2(-1.22 %),194300,3140000000,0,0,16300,16400,15950
2023-12-21,10.62,16350,0.15(0.93 %),178800,2853000000,0,0,16000,16350,15800
2023-12-22,10.52,16200,-0.15(-0.92 %),166400,2695000000,0,0,16250,16350,16000
2023-12-25,10.52,16200,0(0.00 %),119600,1916000000,0,0,16000,16200,15900
2023-12-26,10.49,16150,-0.05(-0.31 %),187400,2993000000,0,0,15950,16150,15850
2023-12-27,10.46,16100,-0.05(-0.31 %),195600,3103000000,0,0,16150,16150,15700
2023-12-28,10.39,16000,-0.1(-0.62 %),133500,2109000000,0,0,16000,16000,15700
2023-12-29,10.2,15700,-0.3(-1.88 %),172500,2727000000,0,0,15850,15900,15600
2024-01-02,10.07,15500,-0.2(-1.27 %),146300,2271000000,0,0,15700,15800,15450
2024-01-03,10.29,15850,0.35(2.26 %),239700,3716000000,0,0,15300,15950,15300
2024-01-04,10.26,15800,-0.05(-0.32 %),137500,2159000000,0,0,15850,15900,15500
2024-01-05,10.0,15400,-0.4(-2.53 %),148500,2304000000,0,0,15700,15800,15200
2024-01-08,9.87,15200,-0.2(-1.30 %),128800,1970000000,0,0,15200,15500,15200
2024-01-09,10.1,15550,0.35(2.30 %),262900,4021000000,0,0,15050,15550,15050
2024-01-10,10.03,15450,-0.1(-0.64 %),217800,3370000000,0,0,15450,15600,15450
2024-01-11,10.2,15700,0.25(1.62 %),254500,3917000000,0,0,15300,15700,15300
2024-01-12,10.39,16000,0.3(1.91 %),329300,5184000000,0,0,15700,16000,15350
2024-01-15,10.39,16000,0(0.00 %),103000,1649000000,0,0,16000,16200,15800
2024-01-16,10.26,15800,-0.2(-1.25 %),151400,2382000000,0,0,16150,16150,15300
2024-01-17,10.2,15700,-0.1(-0.63 %),124600,1952000000,0,0,15700,15800,15500
2024-01-18,10.2,15700,0(0.00 %),68800,1073000000,0,0,15500,15700,15400
2024-01-19,10.1,15550,-0.15(-0.96 %),108100,1695000000,0,0,15700,15800,15550
2024-01-22,10.1,15550,0(0.00 %),115400,1793000000,0,0,15550,15650,15450
2024-01-23,10.39,16000,0.45(2.89 %),305900,4804000000,0,0,15500,16000,15500
2024-01-24,10.52,16200,0.2(1.25 %),288400,4637000000,0,0,15900,16200,15800
2024-01-25,10.42,16050,-0.15(-0.93 %),147400,2355000000,0,0,16050,16050,15800
2024-01-26,10.39,16000,-0.05(-0.31 %),123400,1975000000,0,0,16150,16300,15800
2024-01-29,10.39,16000,0(0.00 %),111200,1762000000,0,0,16000,16000,15700
2024-01-30,10.2,15700,-0.3(-1.88 %),127900,2023000000,0,0,16050,16050,15700
2024-01-31,10.13,15600,-0.1(-0.64 %),97500,1518000000,0,0,15600,15650,15500
2024-02-01,10.26,15800,0.2(1.28 %),254200,3986000000,0,0,15500,15800,15500
2024-02-02,10.29,15850,0.05(0.32 %),153700,2414000000,0,0,15950,15950,15500
2024-02-05,10.26,15800,-0.05(-0.32 %),145800,2297000000,0,0,15600,15900,15600
2024-02-06,10.29,15850,0.05(0.32 %),170100,2688000000,0,0,15800,15850,15650
2024-02-07,10.39,16000,0.15(0.95 %),162400,2566000000,0,0,15850,16000,15700
2024-02-15,10.39,16000,0(0.00 %),136800,2186000000,0,0,16000,16050,15950
2024-02-16,10.52,16200,0.2(1.25 %),165200,2656000000,0,0,16000,16250,15900
2024-02-19,10.42,16050,-0.15(-0.93 %),113600,1818000000,0,0,16100,16150,15950
2024-02-20,10.36,15950,-0.1(-0.62 %),110600,1758000000,0,0,15950,16000,15850
2024-02-21,10.2,15700,-0.25(-1.57 %),219500,3474000000,0,0,16000,16000,15700
2024-02-22,10.1,15550,-0.15(-0.96 %),173100,2707000000,0,0,15550,15750,15500
2024-02-23,10.13,15600,0.05(0.32 %),166500,2588000000,0,0,15500,15600,15500
2024-02-26,10.2,15700,0.1(0.64 %),88200,1382000000,0,0,15550,15800,15550
2024-02-27,10.2,15700,0(0.00 %),109900,1725000000,0,0,15700,15800,15650
2024-02-28,10.88,16750,1.05(6.69 %),405900,6631000000,0,0,15750,16750,15750
2024-02-29,10.97,16900,0.15(0.90 %),193700,3255000000,0,0,16750,16900,16750
2024-03-01,10.78,16600,-0.3(-1.78 %),155300,2584000000,0,0,16800,16950,16300
2024-03-04,10.62,16350,-0.25(-1.51 %),110600,1813000000,0,0,16600,16600,16200
2024-03-05,10.62,16350,0(0.00 %),121000,1968000000,0,0,16350,16400,16150
2024-03-06,10.62,16350,0(0.00 %),56300,919000000,0,0,16200,16450,16200
2024-03-07,10.65,16400,0.05(0.31 %),144000,2343000000,0,0,16300,16400,16050
2024-03-08,10.62,16350,-0.05(-0.30 %),81600,1334000000,0,0,16350,16400,16300
2024-03-11,10.65,16400,0.05(0.31 %),80200,1312000000,0,0,16300,16400,16300
2024-03-12,10.72,16500,0.1(0.61 %),112000,1835000000,0,0,16400,16500,16250
2024-03-13,10.65,16400,-0.1(-0.61 %),172500,2810000000,0,0,16600,16600,16050
2024-03-14,10.55,16250,-0.15(-0.91 %),105500,1712000000,0,0,16250,16400,16050
2024-03-15,10.49,16150,-0.1(-0.62 %),107800,1738000000,0,0,16100,16250,16000
2024-03-18,10.29,15850,-0.3(-1.86 %),166300,2642000000,0,0,16150,16250,15600
2024-03-19,10.36,15950,0.1(0.63 %),113900,1803000000,0,0,15850,15950,15650
2024-03-20,10.46,16100,0.15(0.94 %),168800,2691000000,0,0,15800,16100,15800
