Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2008-02-26,5.13,22800,-1.2(-5.00 %),245000,5586000000,0,0,22800,22800,22800
2008-02-27,4.89,21700,-1.1(-4.82 %),104350,2264000000,0,0,21700,21700,21700
2008-02-28,4.73,21000,-0.7(-3.23 %),325810,6785000000,0,0,20700,22000,20700
2008-02-29,4.66,20700,-0.3(-1.43 %),101860,2133000000,0,0,21500,21500,20500
2008-03-03,4.44,19700,-1(-4.83 %),85780,1690576000,0,0,19700,20000,19700
2008-03-04,4.23,18800,-0.9(-4.57 %),13390,251732000,0,0,18800,18800,18800
2008-03-05,4.03,17900,-0.9(-4.79 %),27480,491892000,50000,895000000,17900,17900,17900
2008-03-06,4.21,18700,0.8(4.47 %),62160,1162392000,0,0,18700,18700,18700
2008-03-07,4.41,19600,0.9(4.81 %),206280,4042688000,40000,712000000,19600,19600,19500
2008-03-10,4.28,19000,-0.6(-3.06 %),395780,7977445000,91000,1737700000,20500,20500,19000
2008-03-11,4.08,18100,-0.9(-4.74 %),170610,3094404000,0,0,18100,18500,18100
2008-03-12,4.1,18200,0.1(0.55 %),91200,1642379000,0,0,17400,18500,17400
2008-03-13,4.05,18000,-0.2(-1.10 %),98900,1775387000,0,0,18500,18500,17600
2008-03-14,3.96,17600,-0.4(-2.22 %),47520,835447000,0,0,17500,17800,17500
2008-03-17,3.78,16800,-0.8(-4.55 %),124610,2106215000,0,0,17000,17000,16800
2008-03-18,3.6,16000,-0.8(-4.76 %),24280,388480000,0,0,16000,16000,16000
2008-03-19,3.42,15200,-0.8(-5.00 %),191760,2995358000,0,0,15500,16700,15200
2008-03-20,3.27,14500,-0.7(-4.61 %),181630,2669234000,0,0,14800,15100,14500
2008-03-21,3.11,13800,-0.7(-4.83 %),147620,2037256000,0,0,13800,13900,13800
2008-03-24,2.97,13200,-0.6(-4.35 %),26050,343860000,0,0,13200,13200,13200
2008-03-25,2.84,12600,-0.6(-4.55 %),33900,427140000,0,0,12600,12600,12600
2008-03-26,2.75,12200,-0.4(-3.17 %),327290,4034840000,0,0,12100,12900,12100
2008-03-27,2.77,12300,0.1(0.82 %),11600,142680000,0,0,12300,12300,12300
