Date,GiaDieuChinh,Close,ThayDoi,Volume,GiaTriKhopLenh,KLThoaThuan,GtThoaThuan,Open,High,Low
2017-05-17,21.84,51000,3(6.25 %),45330,2234000000,1207801,54351045000,51300,51300,48000
2017-05-18,21.63,50500,-0.5(-0.98 %),9120,459000000,0,0,51000,51000,48000
2017-05-19,20.13,47000,-3.5(-6.93 %),129870,6105000000,0,0,47000,47500,47000
2017-05-22,18.74,43750,-3.25(-6.91 %),99560,4375000000,50000,2225000000,44000,45000,43750
2017-05-23,17.43,40700,-3.05(-6.97 %),230970,9411000000,0,0,41100,41100,40700
2017-05-24,18.63,43500,2.8(6.88 %),23270,992000000,0,0,39500,43500,39500
2017-05-25,18.72,43700,0.2(0.46 %),28490,1286000000,0,0,46400,46400,43700
2017-05-26,17.82,41600,-2.1(-4.81 %),47220,2018000000,0,0,43000,43700,41500
2017-05-29,17.82,41600,0(0.00 %),50040,2033000000,0,0,41600,42000,40000
2017-05-30,17.73,41400,-0.2(-0.48 %),15360,625000000,0,0,40200,41600,40100
2017-05-31,17.9,41800,0.4(0.97 %),17350,725000000,0,0,41500,41900,41500
2017-06-01,17.65,41200,-0.6(-1.44 %),16340,676000000,0,0,41500,41700,41100
2017-06-02,17.65,41200,0(0.00 %),13830,571000000,0,0,42900,42900,41100
2017-06-05,17.56,41000,-0.2(-0.49 %),7770,316000000,0,0,41100,41300,40000
2017-06-06,17.43,40700,-0.3(-0.73 %),35700,1432000000,0,0,40200,40700,40000
2017-06-07,17.47,40800,0.1(0.25 %),24920,1004000000,0,0,40800,40800,40100
2017-06-08,17.17,40100,-0.7(-1.72 %),7550,303000000,0,0,40100,40500,40100
2017-06-09,17.3,40400,0.3(0.75 %),6330,254000000,0,0,41000,41000,40000
2017-06-12,17.13,40000,-0.4(-0.99 %),14610,584000000,57800,2173280000,40400,40400,40000
2017-06-13,17.35,40500,0.5(1.25 %),27010,1087000000,0,0,40900,40900,40000
2017-06-14,18.03,42100,1.6(3.95 %),33130,1364000000,0,0,40000,43000,40000
2017-06-15,18.29,42700,0.6(1.43 %),30530,1281000000,0,0,42900,42900,41800
2017-06-16,18.55,43300,0.6(1.41 %),31930,1375000000,0,0,42500,44000,42300
2017-06-19,19.06,44500,1.2(2.77 %),49890,2188000000,71524,2882417200,43300,44500,43300
2017-06-20,19.66,45900,1.4(3.15 %),15370,702000000,0,0,45000,46500,45000
2017-06-21,19.19,44800,-1.1(-2.40 %),14860,672000000,0,0,46000,46000,44800
2017-06-22,19.27,45000,0.2(0.45 %),34930,1573000000,0,0,45500,45500,44800
2017-06-23,19.02,44400,-0.6(-1.33 %),36590,1639000000,0,0,45000,46000,44250
2017-06-26,19.27,45000,0.6(1.35 %),33950,1512000000,0,0,44300,45300,44300
2017-06-27,19.23,44900,-0.1(-0.22 %),30210,1351000000,0,0,44600,45300,44500
2017-06-28,19.23,44900,0(0.00 %),43400,1937000000,0,0,44400,45000,44000
2017-06-29,18.8,43900,-1(-2.23 %),23440,1030000000,0,0,43100,45100,43100
2017-06-30,18.84,44000,0.1(0.23 %),30990,1364000000,0,0,44100,44100,43600
2017-07-03,19.27,45000,1(2.27 %),54760,2442000000,100000,4500000000,45800,45800,44200
2017-07-04,19.94,44500,1.5(3.49 %),30310,1339000000,0,0,44500,44900,43500
2017-07-05,19.68,43900,-0.6(-1.35 %),30120,1321000000,0,0,45000,45000,43100
2017-07-06,19.94,44500,0.6(1.37 %),31140,1374000000,0,0,43900,44500,43900
2017-07-07,19.99,44600,0.1(0.22 %),1110,49000000,0,0,44000,44600,44000
2017-07-10,19.54,43600,-1(-2.24 %),28590,1256000000,0,0,44400,44500,43500
2017-07-11,19.45,43400,-0.2(-0.46 %),20470,889000000,0,0,43800,43800,43100
2017-07-12,19.36,43200,-0.2(-0.46 %),26490,1145000000,0,0,43400,43600,43000
2017-07-13,19.25,42950,-0.25(-0.58 %),20620,887000000,0,0,43200,43300,41500
2017-07-14,19.25,42950,0(0.00 %),19180,825000000,0,0,43500,43500,41800
2017-07-17,19.25,42950,0(0.00 %),24010,1027000000,250000,10500000000,42900,42950,42500
2017-07-18,19.14,42700,-0.25(-0.58 %),22010,935000000,0,0,42950,42950,41900
2017-07-19,19.03,42450,-0.25(-0.59 %),20050,843000000,0,0,42700,43000,40000
2017-07-20,18.6,41500,-0.95(-2.24 %),21140,859000000,0,0,42450,42450,39800
2017-07-21,19.27,43000,1.5(3.61 %),26940,1120000000,0,0,41500,43000,40600
2017-07-24,18.53,41350,-1.65(-3.84 %),19990,830000000,0,0,42800,42800,41000
2017-07-25,18.82,42000,0.65(1.57 %),25250,1057000000,0,0,42500,42500,41700
2017-07-26,18.82,42000,0(0.00 %),31030,1302000000,0,0,42000,42700,41300
2017-07-27,18.6,41500,-0.5(-1.19 %),29650,1236000000,0,0,41500,42000,41500
2017-07-28,18.91,42200,0.7(1.69 %),33950,1420000000,0,0,41500,42200,41500
2017-07-31,18.91,42200,0(0.00 %),19950,838000000,0,0,42100,42400,41550
2017-08-01,18.82,42000,-0.2(-0.47 %),48950,2069000000,0,0,42400,42500,42000
2017-08-02,18.82,42000,0(0.00 %),55060,2309000000,0,0,42000,42200,41800
2017-08-03,18.78,41900,-0.1(-0.24 %),21600,906000000,0,0,42000,42000,41900
2017-08-04,18.73,41800,-0.1(-0.24 %),98450,4125000000,0,0,42200,42200,41600
2017-08-07,17.52,39100,-2.7(-6.46 %),41840,1715000000,0,0,41750,41800,39100
2017-08-08,18.33,40900,1.8(4.60 %),19250,787000000,0,0,40500,41500,40500
2017-08-09,18.31,40850,-0.05(-0.12 %),19920,811000000,0,0,40850,40850,40000
2017-08-10,18.29,40800,-0.05(-0.12 %),21340,859000000,0,0,40850,40850,40000
2017-08-11,18.06,40300,-0.5(-1.23 %),25560,1035000000,0,0,40800,40800,40000
